"Educator Race/Ethnicity Report for 2006-07"

"District","School","Race","Count","% of Total"
,"Robert E. Fitch High School","Asian",2,1.7
,,"Black or African American",1,0.8
,,"Hispanic",3,2.5
,,"White",110,93.2
,,"American Indian",2,1.7
,"S. B. Butler School","Black or African American",2,5.9
,,"White",32,94.1
,"West Side Middle School","Asian",1,2.3
,,"Black or African American",2,4.7
,,"Hispanic",1,2.3
,,"White",39,90.7
"Guilford School District","A. Baldwin Middle School","Black or African American",1,1.7
,,"White",57,98.3
,"A. W. Cox School","Asian",1,3.0
,,"Black or African American",1,3.0
,,"White",31,93.9
,"Calvin Leete School","White",29,100.0
,"E. C. Adams Middle School","Hispanic",1,1.5
,,"White",65,98.5
,"Guilford High School","White",107,100.0
,"Guilford Lakes School","White",42,100.0
,"Melissa Jones School","White",34,100.0
"Hamden School District","Alice Peck Learning Center","White",7,100.0
,"Bear Path School","Black or African American",1,2.3
,,"Hispanic",1,2.3
,,"White",42,95.5
,"Church Street School","Black or African American",3,8.3
,,"Hispanic",1,2.8
,,"White",32,88.9
,"Dunbar Hill School","Asian",1,3.3
,,"Black or African American",2,6.7
,,"White",27,90.0
,"Hamden High School","Asian",2,1.1
,,"Black or African American",9,5.1
,,"Hispanic",6,3.4
,,"White",161,90.4
,"Hamden Middle School","Asian",1,1.0
,,"Black or African American",8,8.2
,,"Hispanic",5,5.1
,,"White",84,85.7
,"Helen Street School","Black or African American",2,6.5
,,"Hispanic",1,3.2
,,"White",28,90.3
,"Ridge Hill School","Black or African American",3,9.4
,,"Hispanic",3,9.4
,,"White",26,81.3
,"Shepherd Glen School","Asian",1,3.6
,,"Black or African American",1,3.6
,,"White",26,92.9
,"Spring Glen School","Asian",1,3.4
,,"Black or African American",2,6.9
,,"White",26,89.7
,"West Woods School","Hispanic",1,2.1
,,"White",46,97.9
"Hampton School District","Hampton Elementary School","White",19,95.0
,,"American Indian",1,5.0
"Hartford School District","Asian Studies Academy","Asian",2,4.4
,,"Black or African American",3,6.7
,,"Hispanic",7,15.6
,,"White",32,71.1
,,"American Indian",1,2.2
,"Barnard-Brown School","Black or African American",3,6.3
,,"Hispanic",18,37.5
,,"White",27,56.3
,"Batchelder School","Black or African American",5,10.2
,,"Hispanic",1,2.0
,,"White",43,87.8
,"Breakthrough Magnet School","Black or African American",2,7.1
,,"Hispanic",3,10.7
,,"White",23,82.1
,"Bulkeley High School Lower School","Asian",1,0.7
,,"Black or African American",6,4.5
,,"Hispanic",29,21.6
,,"White",98,73.1
,"Burns Latino Studies Academy","Black or African American",2,3.5
,,"Hispanic",18,31.6
,,"White",37,64.9
,"Burr School","Black or African American",3,6.4
,,"Hispanic",9,19.1
,,"White",35,74.5
,"Capital Preparatory Magnet School","Asian",1,4.5
,,"Black or African American",9,40.9
,,"Hispanic",3,13.6
,,"White",9,40.9
,"Clark School","Black or African American",9,22.5
,,"Hispanic",3,7.5
,,"White",28,70.0
,"Classical Magnet School","Asian",1,2.0
,,"Black or African American",7,13.7
,,"Hispanic",2,3.9
,,"White",41,80.4
,"Dr. Joseph Bellizzi Middle School","Asian",3,4.3
,,"Black or African American",11,15.7
,,"Hispanic",7,10.0
,,"White",49,70.0
,"Dr. Ramon E. Betances Early Reading Lab","Hispanic",16,41.0
,,"White",23,59.0
,"Environmental Sciences Magnet at Hooker School","Black or African American",2,5.4
,,"Hispanic",10,27.0
,,"White",24,64.9
,,"American Indian",1,2.7
,"Expeditionary Learning Academy at Moylan School","Asian",2,3.2
,,"Black or African American",1,1.6
,,"Hispanic",12,19.4
,,"White",47,75.8
,"Fox Middle School","Asian",2,2.9
,,"Black or African American",31,44.3
,,"Hispanic",4,5.7
,,"White",33,47.1
,"Hartford Magnet Trinity College Academy","Black or African American",3,5.5
,,"Hispanic",7,12.7
,,"White",45,81.8
,"Hartford Public High School","Asian",1,0.8
,,"Black or African American",14,11.6
,,"Hispanic",19,15.7
,,"White",87,71.9
,"Hartford Transitional Learning Academy (Elementary)","Black or African American",3,8.3
,,"Hispanic",7,19.4
,,"White",25,69.4
,,"American Indian",1,2.8
,"Hartford Transitional Learning Academy (Secondary)","Black or African American",6,25.0
,,"White",18,75.0
,"Kennelly School","Black or African American",5,7.8
,,"Hispanic",4,6.3
,,"White",55,85.9
,"Little Owls Learning Center","White",1,100.0
,"M. D. Fox School","Black or African American",3,3.8
,,"Hispanic",20,25.6
,,"White",55,70.5
,"M. L. King, Jr. School","Asian",3,4.8
,,"Black or African American",23,36.5
,,"Hispanic",2,3.2
,,"White",35,55.6
,"McDonough Middle School","Black or African American",2,4.2
,,"Hispanic",8,16.7
,,"White",38,79.2
,"Milner School","Asian",1,2.0
,,"Black or African American",8,15.7
,,"Hispanic",3,5.9
,,"White",38,74.5
,,"American Indian",1,2.0
,"Naylor/CCSU Leadership Academy","Black or African American",5,9.8
,,"Hispanic",4,7.8
,,"White",42,82.4
,"Parkville Community School","Asian",2,3.8
,,"Black or African American",4,7.5
,,"Hispanic",12,22.6
,,"White",35,66.0
,"Pathways Academy of Technology and Design","Black or African American",2,6.3
,,"Hispanic",2,6.3
,,"White",28,87.5
,"Quirk Middle School","Black or African American",12,14.8
,,"Hispanic",13,16.0
,,"White",54,66.7
,,"American Indian",2,2.5
,"R.J. Kinsella Magnet School of Performing Arts","Black or African American",4,7.5
,,"Hispanic",8,15.1
,,"White",41,77.4
,"Rawson School","Asian",1,2.5
,,"Black or African American",14,35.0
,,"White",24,60.0
,,"American Indian",1,2.5
,"SAND School","Black or African American",11,30.6
,,"Hispanic",1,2.8
,,"White",24,66.7
,"STEM Magnet at Fisher School","Asian",1,1.7
,,"Black or African American",22,37.3
,,"Hispanic",1,1.7
,,"White",35,59.3
,"Sanchez School","Hispanic",25,43.9
,,"White",32,56.1
,"Simpson-Waverly School","Asian",1,2.1
,,"Black or African American",17,36.2
,,"Hispanic",2,4.3
,,"White",26,55.3
,,"American Indian",1,2.1
,"Sports and Medical Sciences Academy","Hispanic",7,19.4
,,"White",29,80.6
,"Twain School","Black or African American",15,51.7
,,"White",14,48.3
,"University High of Science and Engineering","Asian",1,3.6
,,"Black or African American",2,7.1
,,"Hispanic",2,7.1
,,"White",23,82.1
,"Weaver High School","Asian",2,1.8
,,"Black or African American",43,38.7
,,"Hispanic",3,2.7
,,"White",63,56.8
,"Webster Micro Society Magnet School","Black or African American",6,11.5
,,"Hispanic",1,1.9
,,"White",45,86.5
,"West Middle School","Asian",1,1.6
,,"Black or African American",4,6.5
,,"Hispanic",4,6.5
,,"White",53,85.5
,"Wish Museum School","Black or African American",8,17.4
,,"Hispanic",10,21.7
,,"White",28,60.9
"Hartland School District","Hartland School","White",27,100.0
"Hebron School District","Gilead Hill School","White",45,100.0
,"Hebron Elementary School","Black or African American",1,1.9
,,"Hispanic",1,1.9
,,"White",51,96.2
"Highville Mustard Seed Charter School District","Highville Mustard Seed Charter School","Black or African American",1,4.8
,,"White",20,95.2
"Integrated Day Charter School District","Integrated Day Charter School","White",22,100.0
"Interdistrict School for Arts and Comm District","Interdistrict School For Arts And Communication","Hispanic",1,5.9
,,"White",15,88.2
,,"American Indian",1,5.9
"Jumoke Academy District","Jumoke Academy","Black or African American",5,23.8
,,"White",16,76.2
"Kent School District","Kent Center School","White",33,100.0
"Killingly School District","Goodyear Early Childhood Center","White",6,100.0
,"Killingly Central School","White",43,100.0
,"Killingly High School","Asian",2,2.2
,,"Hispanic",1,1.1
,,"White",89,96.7
,"Killingly Intermediate School","White",78,98.7
,,"American Indian",1,1.3
,"Killingly Memorial School","White",49,100.0
"Learn","Learn Special Education","Black or African American",1,3.6
,,"White",27,96.4
,"Regional Multicultural Magnet School","Asian",1,2.4
,,"Black or African American",1,2.4
,,"Hispanic",3,7.1
,,"White",37,88.1
,"The Friendship School","Hispanic",3,7.9
,,"White",35,92.1
"Lebanon School District","Lebanon Elementary School","White",44,100.0
,"Lebanon Middle School","Asian",1,2.6
,,"White",37,97.4
,"Lyman Memorial High School","Asian",1,1.7
,,"Hispanic",2,3.3
,,"White",56,93.3
,,"American Indian",1,1.7
"Ledyard School District","Gales Ferry School","White",30,100.0
,"Gallup Hill School","White",45,100.0
,"Juliet W. Long School","White",39,100.0
,"Ledyard Center School","Hispanic",1,2.4
,,"White",40,97.6
,"Ledyard High School","Black or African American",1,1.0
,,"Hispanic",1,1.0
,,"White",94,97.9
,"Ledyard Middle School","Black or African American",2,4.7
,,"White",41,95.3
"Lisbon School District","Lisbon Central School","White",55,100.0
"Litchfield School District","Center School","White",34,100.0
,"Litchfield High School","White",65,100.0
,"Litchfield Intermediate School","White",28,100.0
"Madison School District","Daniel Hand High School","Asian",3,2.6
,,"Hispanic",1,0.9
,,"White",112,96.6
,"Dr. Robert H. Brown Middle School","Hispanic",1,1.5
,,"White",65,98.5
,"Island Avenue Elementary School","White",31,100.0
,"J. Milton Jeffrey Elementary School","White",48,100.0
,"Kathleen H. Ryerson Elementary School","White",34,100.0
,"Walter C. Polson Upper Middle School","Hispanic",1,1.5
,,"White",65,98.5
"Manchester School District","Nathan Hale School","Black or African American",1,2.9
,,"Hispanic",2,5.9
,,"White",31,91.2
,"Bowers School","Black or African American",2,4.4
,,"Hispanic",1,2.2
,,"White",42,93.3
,"Buckley School","Black or African American",1,2.2
,,"Hispanic",1,2.2
,,"White",43,93.5
,,"American Indian",1,2.2
,"Highland Park School","Hispanic",1,3.0
,,"White",32,97.0
,"Illing Middle School","Black or African American",7,6.9
,,"Hispanic",6,5.9
,,"White",89,87.3
,"Keeney School","Hispanic",1,2.3
,,"White",43,97.7
,"Manchester High School","Asian",1,0.5
,,"Black or African American",10,5.2
,,"Hispanic",8,4.1
,,"White",173,89.6
,,"American Indian",1,0.5
,"Manchester Preschool Center","White",5,100.0
,"Manchester Regional Academy","White",24,100.0
,"Martin School","Hispanic",1,3.1
,,"White",31,96.9
,"Robertson School","White",42,100.0
,"Verplanck School","Asian",1,2.3
,,"Hispanic",1,2.3
,,"White",41,95.3
,"Waddell School","Black or African American",2,4.4
,,"Hispanic",2,4.4
,,"White",40,88.9
,,"American Indian",1,2.2
,"Washington School","Black or African American",3,7.3
,,"Hispanic",4,9.8
,,"White",34,82.9
"Mansfield School District","Annie E. Vinton School","Hispanic",1,3.4
,,"White",28,96.6
,"Dorothy C. Goodwin School","White",28,100.0
,"Mansfield Middle School School","Black or African American",2,2.9
,,"Hispanic",2,2.9
,,"White",65,94.2
,"Southeast Elementary School","White",29,96.7
,,"American Indian",1,3.3
"Marlborough School District","Elmer Thienes-Mary Hall Elementary School","Asian",1,1.8
,,"White",56,98.2
"Meriden School District","Nathan Hale School","Hispanic",4,7.3
,,"White",51,92.7
,"Benjamin Franklin School","Black or African American",3,6.7
,,"Hispanic",5,11.1
,,"White",37,82.2
,"Casimir Pulaski School","Black or African American",1,1.7
,,"Hispanic",2,3.4
,,"White",55,94.8
,"Francis T. Maloney High School","Asian",1,0.8
,,"Black or African American",1,0.8
,,"Hispanic",10,8.2
,,"White",109,89.3
,,"American Indian",1,0.8
,"Hanover School","Asian",1,2.1
,,"Hispanic",6,12.8
,,"White",40,85.1
,"Israel Putnam School","Black or African American",1,2.1
,,"Hispanic",2,4.2
,,"White",45,93.8
,"John Barry School","Black or African American",2,3.8
,,"Hispanic",2,3.8
,,"White",49,92.5
,"Lincoln Middle School","Black or African American",1,1.2
,,"Hispanic",6,7.4
,,"White",74,91.4
,"Orville H. Platt High School","Black or African American",3,2.7
,,"Hispanic",6,5.5
,,"White",100,90.9
,,"American Indian",1,0.9
,"Roger Sherman School","Hispanic",3,7.0
,,"White",40,93.0
,"Thomas Hooker School","Asian",1,2.4
,,"Hispanic",10,24.4
,,"White",30,73.2
,"Washington Middle School","Black or African American",2,2.0
,,"Hispanic",8,7.8
,,"White",91,89.2
,,"American Indian",1,1.0
"Middletown School District","Bielefield School","Asian",1,3.1
,,"Black or African American",1,3.1
,,"White",30,93.8
,"Farm Hill School","Black or African American",1,2.9
,,"Hispanic",1,2.9
,,"White",33,94.3
,"Keigwin Middle School","Asian",1,2.9
,,"Black or African American",1,2.9
,,"White",32,94.1
,"Lawrence School","Black or African American",3,7.7
,,"Hispanic",1,2.6
,,"White",35,89.7
,"MacDonough School","White",33,100.0
,"Middletown High School","Asian",1,0.9
,,"Black or African American",1,0.9
,,"Hispanic",3,2.8
,,"White",104,95.4
,"Moody School","Black or African American",1,2.9
,,"Hispanic",1,2.9
,,"White",32,94.1
,"Snow School","Hispanic",1,2.6
,,"White",37,97.4
,"Spencer School","Asian",1,2.9
,,"Black or African American",1,2.9
,,"Hispanic",1,2.9
,,"White",31,91.2
,"Wesley School","Black or African American",1,3.0
,,"White",32,97.0
,"Woodrow Wilson Middle School","Asian",1,1.7
,,"Black or African American",5,8.5
,,"Hispanic",1,1.7
,,"White",51,86.4
,,"American Indian",1,1.7
"Milford School District","Calf Pen Meadow School","White",37,100.0
,"East Shore Middle School","White",58,100.0
,"Harborside Middle School","Black or African American",1,1.5
,,"White",64,98.5
,"J. F. Kennedy School","White",39,100.0
,"Jonathan Law High School","Black or African American",1,1.1
,,"White",90,97.8
,,"American Indian",1,1.1
,"Joseph A. Foran High School","Asian",1,1.0
,,"Black or African American",2,2.0
,,"Hispanic",1,1.0
,,"White",97,96.0
,"Live Oaks School","White",38,100.0
,"Mathewson School","White",46,100.0
,"Meadowside School","White",43,100.0
,"Orange Avenue School","Black or African American",1,2.4
,,"White",41,97.6
,"Orchard Hills School","White",40,100.0
,"Pumpkin Delight School","Hispanic",1,2.6
,,"White",38,97.4
,"Simon Lake School","White",36,100.0
,"The Academy","White",9,100.0
,"West Shore Middle School","Asian",1,1.6
,,"Hispanic",1,1.6
,,"White",58,95.1
,,"American Indian",1,1.6
"Monroe School District","Chalk Hill School","Hispanic",1,2.0
,,"White",48,98.0
,"Fawn Hollow Elementary School","Hispanic",1,2.1
,,"White",47,97.9
,"Jockey Hollow School","White",52,100.0
,"Masuk High School","Hispanic",1,0.9
,,"White",114,99.1
,"Monroe Elementary School","White",34,100.0
,"Stepney Elementary School","White",41,100.0
"Montville School District","Dr. Charles E. Murphy School","Black or African American",1,2.4
,,"White",40,97.6
,"Leonard J. Tyl Middle School","Asian",1,1.4
,,"White",72,98.6
,"Mohegan School","White",40,100.0
,"Montville High School","Hispanic",4,4.5
,,"White",84,95.5
,"Oakdale School","White",42,100.0
,"Palmer Academy","White",7,100.0
"Naugatuck School District","Andrew Avenue School","White",23,100.0
,"Central Avenue School","White",29,100.0
,"City Hill Middle School","White",44,100.0
,"Cross Street Intermediate School","White",35,100.0
,"Hillside Intermediate School","Hispanic",1,2.9
,,"White",33,97.1
,"Hillside Middle School","Hispanic",1,3.4
,,"White",28,96.6
,"Hop Brook Elementary School","White",26,100.0
,"Maple Hill School","White",38,100.0
,"Naugatuck High School","Asian",1,0.8
,,"Hispanic",3,2.3
,,"White",127,96.9
,"Salem School","White",27,100.0
,"Western School","White",26,100.0
"New Beginnings Inc Family Academy District","New Beginnings Inc., Family Academy","Black or African American",5,19.2
,,"Hispanic",1,3.8
,,"White",20,76.9
"New Britain School District","Chamberlain Elementary School","Asian",1,2.0
,,"Black or African American",2,3.9
,,"Hispanic",8,15.7
,,"White",40,78.4
,"Frank J. DiLoreto School","Hispanic",8,17.8
,,"White",37,82.2
,"Gaffney School","Asian",1,2.2
,,"Black or African American",1,2.2
,,"White",43,95.6
,"Holmes School","Hispanic",5,12.2
,,"White",36,87.8
,"House of Arts Letters and Science (HALS) Academy","White",10,100.0
,"Jefferson School","Asian",2,5.7
,,"Black or African American",1,2.9
,,"Hispanic",2,5.7
,,"White",30,85.7
,"Lincoln School","Hispanic",8,17.4
,,"White",38,82.6
,"New Britain High School","Asian",2,0.9
,,"Black or African American",13,5.9
,,"Hispanic",19,8.6
,,"White",187,84.6
,"Northend School","Black or African American",3,13.0
,,"Hispanic",2,8.7
,,"White",18,78.3
,"Pulaski Middle School","Black or African American",5,6.4
,,"Hispanic",11,14.1
,,"White",62,79.5
,"Roosevelt Middle School","Asian",1,1.6
,,"Black or African American",9,14.5
,,"Hispanic",5,8.1
,,"White",47,75.8
,"Slade Middle School","Asian",1,1.3
,,"Black or African American",3,4.0
,,"Hispanic",9,12.0
,,"White",62,82.7
,"Smalley Academy","Black or African American",2,4.1
,,"Hispanic",10,20.4
,,"White",37,75.5
,"Smith School","Asian",1,1.9
,,"Black or African American",3,5.7
,,"Hispanic",3,5.7
,,"White",46,86.8
,"Vance School","Hispanic",2,5.6
,,"White",34,94.4
"New Canaan School District","East School","White",56,100.0
,"New Canaan High School","Asian",1,0.8
,,"Black or African American",1,0.8
,,"Hispanic",1,0.8
,,"White",115,97.5
,"Saxe Middle School","Black or African American",2,1.5
,,"Hispanic",2,1.5
,,"White",132,97.1
,"South School","White",64,100.0
,"West School","Asian",1,1.7
,,"White",57,98.3
"New Fairfield School District","Consolidated School","White",50,100.0
,"Meeting House Hill School","Asian",1,1.8
,,"Hispanic",1,1.8
,,"White",55,96.5
,"New Fairfield High School","Hispanic",1,1.1
,,"White",90,98.9
,"New Fairfield Middle School","Hispanic",1,1.5
,,"White",66,98.5
"New Hartford School District","Ann Antolini School","Hispanic",1,3.1
,,"White",31,96.9
,"Bakerville Consolidated School","White",18,100.0
,"New Hartford Elementary School","White",15,100.0
"New Haven School District","Edgewood School","Black or African American",4,10.8
,,"Hispanic",1,2.7
,,"White",32,86.5
,"Nathan Hale School","Black or African American",1,2.3
,,"Hispanic",1,2.3
,,"White",42,95.5
,"Augusta Lewis Troup School","Black or African American",13,25.0
,,"Hispanic",2,3.8
,,"White",36,69.2
,,"American Indian",1,1.9
,"Barnard Environmental Magnet School","Black or African American",1,3.4
,,"White",28,96.6
,"Beecher School","Asian",1,3.7
,,"Black or African American",7,25.9
,,"White",19,70.4
,"Benjamin Jepson Magnet School","Black or African American",1,2.3
,,"Hispanic",1,2.3
,,"White",41,95.3
,"Betsy Ross Arts Magnet School","Asian",1,1.8
,,"Black or African American",17,29.8
,,"Hispanic",2,3.5
,,"White",37,64.9
,"Bishop Woods School","Asian",1,3.4
,,"Black or African American",2,6.9
,,"White",26,89.7
,"Celentano BioTech, Health and Medical Magnet School","Black or African American",8,16.7
,,"Hispanic",3,6.3
,,"White",37,77.1
,"Clarence Rogers School","Black or African American",4,21.1
,,"Hispanic",2,10.5
,,"White",13,68.4
,"Clemente Leadership Academy","Black or African American",18,31.6
,,"Hispanic",9,15.8
,,"White",30,52.6
,"Clinton Avenue School","Hispanic",9,22.0
,,"White",31,75.6
,,"American Indian",1,2.4
,"Columbus Family Academy","Black or African American",1,3.3
,,"Hispanic",15,50.0
,,"White",14,46.7
,"Conte/West Hills Magnet School","Black or African American",6,11.8
,,"Hispanic",2,3.9
,,"White",42,82.4
,,"American Indian",1,2.0
,"Cooperative High School","Black or African American",7,14.9
,,"Hispanic",4,8.5
,,"White",36,76.6
,"Cortlandt V.R. Creed Health and Sport Sciences High School","Black or African American",5,25.0
,,"Hispanic",1,5.0
,,"White",14,70.0
,"Davis 21st Century Magnet Elementary School","Black or African American",6,19.4
,,"White",25,80.6
,"Early Learning Center","Black or African American",1,33.3
,,"White",2,66.7
,"East Rock Community Magnet School","Asian",1,1.3
,,"Black or African American",14,17.7
,,"Hispanic",2,2.5
,,"White",62,78.5
,"Fair Haven School","Black or African American",10,12.2
,,"Hispanic",17,20.7
,,"White",55,67.1
,"Headstart","Black or African American",2,50.0
,,"Hispanic",2,50.0
,"High School In The Community","Black or African American",5,14.3
,,"Hispanic",2,5.7
,,"White",28,80.0
,"Hill Central Music Academy","Black or African American",5,9.4
,,"Hispanic",5,9.4
,,"White",43,81.1
,"Hill Regional Career High School","Asian",2,2.8
,,"Black or African American",12,16.9
,,"Hispanic",7,9.9
,,"White",50,70.4
,"James Hillhouse High School","Asian",1,0.9
,,"Black or African American",37,33.6
,,"Hispanic",5,4.5
,,"White",67,60.9
,"John C. Daniels","Black or African American",4,8.5
,,"Hispanic",15,31.9
,,"White",28,59.6
,"John S. Martinez School","Black or African American",4,9.5
,,"Hispanic",11,26.2
,,"White",26,61.9
,,"American Indian",1,2.4
,"Katherine Brennan School","Black or African American",17,41.5
,,"White",24,58.5
,"King/Robinson Magnet School","Asian",1,2.0
,,"Black or African American",20,40.8
,,"Hispanic",1,2.0
,,"White",26,53.1
,,"American Indian",1,2.0
,"Lincoln-Bassett School","Asian",1,2.4
,,"Black or African American",13,31.0
,,"Hispanic",1,2.4
,,"White",27,64.3
,"Metropolitan Business Academy","Black or African American",4,16.7
,,"White",20,83.3
,"New Haven Academy","Asian",2,10.0
,,"Black or African American",3,15.0
,,"Hispanic",2,10.0
,,"White",13,65.0
,"Polly T. McCabe Center","Black or African American",4,36.4
,,"Hispanic",1,9.1
,,"White",6,54.5
,"Primary Learning Academy","Black or African American",2,100.0
,"Prince School","Black or African American",2,16.7
,,"Hispanic",4,33.3
,,"White",6,50.0
,"Riverside Education Academy","Black or African American",10,41.7
,,"Hispanic",2,8.3
,,"White",12,50.0
,"Ross/Woodward School","Black or African American",12,24.5
,,"Hispanic",5,10.2
,,"White",32,65.3
,"Sheridan Communications and Technology Magnet School","Asian",1,3.0
,,"Black or African American",4,12.1
,,"Hispanic",1,3.0
,,"White",27,81.8
,"Sound School","Black or African American",1,2.2
,,"Hispanic",1,2.2
,,"White",44,95.7
,"Timothy Dwight School","Black or African American",10,27.8
,,"Hispanic",4,11.1
,,"White",22,61.1
,"Truman School","Black or African American",6,12.2
,,"Hispanic",15,30.6
,,"White",28,57.1
,"Urban Youth Center Middle School","Asian",1,5.9
,,"Black or African American",9,52.9
,,"White",7,41.2
,"Vincent E. Mauro Elementary Math, Science and Technology Magnet School","Asian",1,2.5
,,"Black or African American",8,20.0
,,"Hispanic",7,17.5
,,"White",24,60.0
,"West Rock Authors Academy","Black or African American",7,38.9
,,"White",11,61.1
,"Wexler/Grant Community School","Asian",1,2.4
,,"Black or African American",14,33.3
,,"Hispanic",1,2.4
,,"White",26,61.9
,"Wilbur Cross High School","Asian",2,1.2
,,"Black or African American",27,16.1
,,"Hispanic",15,8.9
,,"White",124,73.8
,"Worthington Hooker School","Asian",1,2.5
,,"Black or African American",1,2.5
,,"Hispanic",1,2.5
,,"White",37,92.5
"New London School District","Jennings School","Asian",1,2.9
,,"Black or African American",1,2.9
,,"Hispanic",9,26.5
,,"White",23,67.6
,"Bennie Dover Jackson Middle School","Black or African American",10,14.5
,,"Hispanic",7,10.1
,,"White",52,75.4
,"Harbor School","Hispanic",1,3.1
,,"White",31,96.9
,"Nathan Hale Arts Magnet School","Asian",1,3.0
,,"Black or African American",3,9.1
,,"Hispanic",1,3.0
,,"White",28,84.8
,"New London High School","Asian",1,1.3
,,"Black or African American",5,6.3
,,"Hispanic",5,6.3
,,"White",68,86.1
,"Winthrop STEM Elementary Magnet School","Black or African American",4,12.9
,,"Hispanic",6,19.4
,,"White",21,67.7
"New Milford School District","Hill And Plain School","White",37,100.0
,"John Pettibone School","White",41,100.0
,"New Milford High School","Hispanic",4,3.3
,,"White",118,96.7
,"Northville Elementary School","White",36,100.0
,"Sarah Noble Intermediate School","White",88,98.9
,,"American Indian",1,1.1
,"Schaghticoke Middle School","White",78,100.0
"Newington School District","Anna Reynolds School","Black or African American",1,2.3
,,"White",43,97.7
,"Elizabeth Green School","Black or African American",1,2.9
,,"White",33,97.1
,"John Paterson School","Black or African American",1,2.0
,,"White",50,98.0
,"John Wallace Middle School","Asian",1,1.4
,,"White",70,98.6
,"Martin Kellogg Middle School","Black or African American",2,2.8
,,"Hispanic",1,1.4
,,"White",69,95.8
,"Newington High School","Asian",1,0.8
,,"Hispanic",2,1.7
,,"White",117,97.5
,"Ruth Chaffee School","White",38,100.0
"Newtown School District","Hawley Elementary School","White",35,100.0
,"Head O'Meadow Elementary School","White",40,100.0
,"Middle Gate Elementary School","White",41,100.0
,"Newtown High School","Hispanic",2,1.6
,,"White",120,97.6
,,"American Indian",1,0.8
,"Newtown Middle School","Hispanic",1,1.2
,,"White",80,98.8
,"Reed Intermediate School","Black or African American",1,1.3
,,"White",74,98.7
,"Sandy Hook Elementary School","Black or African American",1,1.9
,,"White",51,98.1
"Norfolk School District","Botelle Elementary School","White",26,100.0
"North Branford School District","Jerome Harrison School","White",30,100.0
,"North Branford High School","White",68,100.0
,"North Branford Intermediate School","Hispanic",1,2.0
,,"White",49,98.0
,"Stanley T. Williams School","White",22,100.0
,"Totoket Valley Elementary School","White",36,100.0
"North Canaan School District","North Canaan Elementary School","White",39,100.0
"North Haven School District","Clintonville Elementary School","White",35,100.0
,"Green Acres Elementary School","White",39,100.0
,"Montowese Elementary School","White",35,97.2
,,"American Indian",1,2.8
,"North Haven High School","Black or African American",2,1.8
,,"Hispanic",1,0.9
,,"White",107,97.3
,"North Haven Middle School","Asian",1,1.3
,,"Hispanic",2,2.6
,,"White",73,96.1
,"Ridge Road Elementary School","White",37,100.0
"North Stonington School District","North Stonington Elementary School","White",34,100.0
,"Wheeler High School","White",39,100.0
,"Wheeler Middle School","White",37,100.0
"Norwalk School District","Brien McMahon High School","Asian",1,0.8
,,"Black or African American",5,4.1
,,"Hispanic",8,6.6
,,"White",107,88.4
,"Brookside Elementary School","Black or African American",5,13.2
,,"Hispanic",1,2.6
,,"White",32,84.2
,"Columbus Magnet School","Black or African American",2,6.7
,,"Hispanic",2,6.7
,,"White",26,86.7
,"Cranbury Elementary School","Black or African American",1,2.6
,,"Hispanic",1,2.6
,,"White",36,94.7
,"Fox Run Elementary School","Black or African American",3,8.1
,,"Hispanic",2,5.4
,,"White",32,86.5
,"Jefferson Magnet School","Black or African American",1,2.4
,,"Hispanic",3,7.3
,,"White",37,90.2
,"Kendall Elementary School","Black or African American",1,2.4
,,"Hispanic",4,9.5
,,"White",37,88.1
,"Marvin Elementary School","Asian",1,2.4
,,"Black or African American",2,4.9
,,"Hispanic",1,2.4
,,"White",37,90.2
,"Naramake Elementary School","Black or African American",2,5.9
,,"White",32,94.1
,"Nathan Hale Middle School","Asian",1,1.5
,,"Black or African American",6,9.1
,,"Hispanic",3,4.5
,,"White",56,84.8
,"Norwalk High School","Black or African American",10,7.0
,,"Hispanic",9,6.3
,,"White",123,86.0
,,"American Indian",1,0.7
,"Norwalk Pathways Academy at Briggs","Black or African American",7,36.8
,,"White",12,63.2
,"Ponus Ridge Middle School","Asian",1,1.5
,,"Black or African American",9,13.2
,,"Hispanic",3,4.4
,,"White",55,80.9
,"Roton Middle School","Asian",1,1.7
,,"Black or African American",4,6.8
,,"Hispanic",4,6.8
,,"White",50,84.7
,"Rowayton School","Black or African American",1,2.6
,,"White",38,97.4
,"Silvermine Elementary School","Hispanic",10,26.3
,,"White",28,73.7
,"Tracey School","Black or African American",3,8.1
,,"Hispanic",3,8.1
,,"White",31,83.8
,"West Rocks Middle School","Asian",2,2.7
,,"Black or African American",6,8.2
,,"Hispanic",3,4.1
,,"White",62,84.9
,"Wolfpit School","Black or African American",3,7.9
,,"Hispanic",2,5.3
,,"White",33,86.8
"Norwich Free Academy District","Norwich Free Academy","Asian",4,2.1
,,"Black or African American",7,3.7
,,"Hispanic",3,1.6
,,"White",173,92.0
,,"American Indian",1,0.5
"Norwich School District","Bishop School Early Learning Center","White",16,100.0
,"Deborah-Tennant Zinewicz School","White",7,100.0
,"Greeneville School","Hispanic",1,3.8
,,"White",25,96.2
,"Hickory Street School","White",7,100.0
,"John B. Stanton Network School","Hispanic",1,3.8
,,"White",25,96.2
,"Kelly Middle School","Asian",1,1.7
,,"White",58,98.3
,"Moriarty Magnet School","White",29,100.0
,"Samuel Huntington School","Asian",1,3.1
,,"Black or African American",1,3.1
,,"Hispanic",1,3.1
,,"White",29,90.6
,"Teachers' Memorial Middle School","Hispanic",1,2.0
