"Educator Race/Ethnicity Report for 2002-03"

"District","School","Race","Count","% of Total"
,,"Asian",1,0.7
,"Burns Latino Studies Academy","Black or African American",1,1.7
,,"Hispanic",18,31.0
,,"White",38,65.5
,,"Asian",1,1.7
,"Burr School","American Indian",1,1.9
,,"Black or African American",2,3.7
,,"Hispanic",12,22.2
,,"White",37,68.5
,,"Asian",2,3.7
,"Clark School","Black or African American",14,34.1
,,"Hispanic",3,7.3
,,"White",24,58.5
,"Classical Magnet School","Black or African American",5,10.0
,,"Hispanic",7,14.0
,,"White",38,76.0
,"Dr. Joseph Bellizzi Middle School","Black or African American",7,9.3
,,"Hispanic",9,12.0
,,"White",56,74.7
,,"Asian",3,4.0
,"Dr. Ramon E. Betances Early Reading Lab","Hispanic",19,48.7
,,"White",20,51.3
,"Environmental Sciences Magnet at Hooker School","American Indian",1,3.6
,,"Black or African American",3,10.7
,,"Hispanic",11,39.3
,,"White",13,46.4
,"Expeditionary Learning Academy at Moylan School","Black or African American",4,6.7
,,"Hispanic",13,21.7
,,"White",43,71.7
,"Fox Middle School","American Indian",2,2.6
,,"Black or African American",37,48.7
,,"Hispanic",5,6.6
,,"White",31,40.8
,,"Asian",1,1.3
,"Hartford Magnet Trinity College Academy","Black or African American",4,8.7
,,"Hispanic",6,13.0
,,"White",36,78.3
,"Hartford Public High School","Black or African American",21,16.0
,,"Hispanic",18,13.7
,,"White",91,69.5
,,"Asian",1,0.8
,"Hartford Transitional Learning Academy (Elementary)","Black or African American",13,20.0
,,"Hispanic",7,10.8
,,"White",45,69.2
,"Kennelly School","Black or African American",8,11.9
,,"Hispanic",1,1.5
,,"White",58,86.6
,"Little Owls Learning Center","White",1,100.0
,"M. D. Fox School","Black or African American",6,6.5
,,"Hispanic",27,29.0
,,"White",60,64.5
,"M. L. King, Jr. School","Black or African American",31,49.2
,,"Hispanic",2,3.2
,,"White",29,46.0
,,"Asian",1,1.6
,"McDonough Middle School","Black or African American",6,11.8
,,"Hispanic",11,21.6
,,"White",34,66.7
,"Milner School","Black or African American",12,24.5
,,"Hispanic",5,10.2
,,"White",31,63.3
,,"Asian",1,2.0
,"Naylor/CCSU Leadership Academy","Black or African American",8,15.7
,,"Hispanic",4,7.8
,,"White",39,76.5
,"Parkville Community School","Black or African American",2,3.7
,,"Hispanic",16,29.6
,,"White",34,63.0
,,"Asian",2,3.7
,"Quirk Middle School","American Indian",1,0.9
,,"Black or African American",24,21.4
,,"Hispanic",18,16.1
,,"White",68,60.7
,,"Asian",1,0.9
,"R.J. Kinsella Magnet School of Performing Arts","Black or African American",2,4.3
,,"Hispanic",11,23.9
,,"White",33,71.7
,"Rawson School","American Indian",1,3.7
,,"Black or African American",13,48.1
,,"White",13,48.1
,"SAND School","Black or African American",18,52.9
,,"Hispanic",2,5.9
,,"White",14,41.2
,"STEM Magnet at Fisher School","Black or African American",23,39.0
,,"Hispanic",1,1.7
,,"White",35,59.3
,"Sanchez School","Hispanic",26,47.3
,,"White",29,52.7
,"Simpson-Waverly School","American Indian",1,2.8
,,"Black or African American",13,36.1
,,"Hispanic",1,2.8
,,"White",20,55.6
,,"Asian",1,2.8
,"Sports and Medical Sciences Academy","Black or African American",6,20.0
,,"Hispanic",5,16.7
,,"White",19,63.3
,"Twain School","Black or African American",15,41.7
,,"Hispanic",1,2.8
,,"White",20,55.6
,"Weaver High School","Black or African American",54,49.1
,,"Hispanic",4,3.6
,,"White",50,45.5
,,"Asian",2,1.8
,"Webster Micro Society Magnet School","Black or African American",4,9.5
,,"Hispanic",2,4.8
,,"White",36,85.7
,"West Middle School","Black or African American",5,7.2
,,"Hispanic",7,10.1
,,"White",56,81.2
,,"Asian",1,1.4
,"Wish Museum School","Black or African American",8,17.4
,,"Hispanic",9,19.6
,,"White",29,63.0
"Hartland School District","Hartland School","White",32,100.0
"Hebron School District","Gilead Hill School","White",53,100.0
,"Hebron Elementary School","Black or African American",1,2.7
,,"White",36,97.3
"Highville Mustard Seed Charter School District","Highville Mustard Seed Charter School","Black or African American",7,36.8
,,"Hispanic",2,10.5
,,"White",10,52.6
"Integrated Day Charter School District","Integrated Day Charter School","Black or African American",1,5.3
,,"White",18,94.7
"Interdistrict School for Arts and Comm District","Interdistrict School For Arts And Communication","White",14,100.0
"Jumoke Academy District","Jumoke Academy","Black or African American",3,17.6
,,"White",14,82.4
"Kent School District","Kent Center School","White",34,100.0
"Killingly School District","Goodyear Early Childhood Center","White",5,100.0
,"Killingly Central School","White",40,100.0
,"Killingly High School","White",85,97.7
,,"Asian",2,2.3
,"Killingly Intermediate School","American Indian",1,1.3
,,"Hispanic",1,1.3
,,"White",74,97.4
,"Killingly Memorial School","White",49,100.0
"Learn","Learn Special Education","Black or African American",1,2.9
,,"Hispanic",1,2.9
,,"White",32,94.1
,"Regional Multicultural Magnet School","Hispanic",3,6.8
,,"White",41,93.2
"Lebanon School District","Lebanon Elementary School","White",46,100.0
,"Lebanon Middle School","Black or African American",1,2.4
,,"White",40,95.2
,,"Asian",1,2.4
,"Lyman Memorial High School","American Indian",1,1.7
,,"Hispanic",3,5.0
,,"White",55,91.7
,,"Asian",1,1.7
"Ledyard School District","Gales Ferry School","American Indian",1,3.3
,,"White",29,96.7
,"Gallup Hill School","White",37,100.0
,"Juliet W. Long School","American Indian",1,2.9
,,"Hispanic",1,2.9
,,"White",33,94.3
,"Ledyard Center School","Hispanic",1,2.5
,,"White",39,97.5
,"Ledyard High School","Black or African American",1,1.0
,,"Hispanic",1,1.0
,,"White",100,98.0
,"Ledyard Middle School","Black or African American",1,2.2
,,"White",44,97.8
"Lisbon School District","Lisbon Central School","White",51,100.0
"Litchfield School District","Center School","White",38,100.0
,"Litchfield High School","White",66,100.0
,"Litchfield Intermediate School","White",33,100.0
"Madison School District","Daniel Hand High School","White",94,97.9
,,"Asian",2,2.1
,"Island Avenue Elementary School","White",29,100.0
,"J. Milton Jeffrey Elementary School","White",47,100.0
,"Kathleen H. Ryerson Elementary School","White",27,100.0
,"Town Campus Learning Center","White",21,100.0
"Manchester School District","Nathan Hale School","Black or African American",1,3.2
,,"White",30,96.8
,"Bennet Middle School","Black or African American",4,4.5
,,"Hispanic",4,4.5
,,"White",80,90.9
,"Bowers School","White",37,100.0
,"Buckley School","White",35,100.0
,"Highland Park School","Hispanic",1,3.4
,,"White",28,96.6
,"Illing Middle School","Black or African American",3,3.1
,,"Hispanic",5,5.2
,,"White",88,90.7
,,"Asian",1,1.0
,"Keeney School","White",36,100.0
,"Manchester High School","Black or African American",7,4.0
,,"Hispanic",5,2.8
,,"White",164,92.7
,,"Asian",1,0.6
,"Manchester Preschool Center","Black or African American",1,9.1
,,"White",10,90.9
,"Manchester Regional Academy","White",22,100.0
,"Martin School","White",24,100.0
,"Robertson School","Hispanic",1,2.6
,,"White",37,97.4
,"Verplanck School","White",40,100.0
,"Waddell School","Black or African American",1,2.8
,,"Hispanic",1,2.8
,,"White",34,94.4
,"Washington School","Black or African American",3,8.6
,,"Hispanic",2,5.7
,,"White",30,85.7
"Mansfield School District","Annie E. Vinton School","Hispanic",1,3.6
,,"White",27,96.4
,"Dorothy C. Goodwin School","White",29,100.0
,"Mansfield Middle School School","Black or African American",2,2.9
,,"Hispanic",1,1.4
,,"White",66,95.7
,"Southeast Elementary School","White",30,100.0
"Marlborough School District","Elmer Thienes-Mary Hall Elementary School","American Indian",1,1.7
,,"White",57,96.6
,,"Asian",1,1.7
"Meriden School District","Nathan Hale School","Black or African American",1,1.7
,,"Hispanic",2,3.4
,,"White",55,94.8
,"Benjamin Franklin School","Black or African American",1,2.0
,,"Hispanic",2,4.0
,,"White",47,94.0
,"Casimir Pulaski School","Hispanic",1,1.6
,,"White",59,96.7
,,"Asian",1,1.6
,"Francis T. Maloney High School","Hispanic",7,5.9
,,"White",111,94.1
,"Hanover School","Hispanic",6,11.3
,,"White",46,86.8
,,"Asian",1,1.9
,"Israel Putnam School","Hispanic",1,2.0
,,"White",48,96.0
,,"Asian",1,2.0
,"John Barry School","Black or African American",2,3.7
,,"Hispanic",2,3.7
,,"White",50,92.6
,"Lincoln Middle School","Hispanic",4,5.6
,,"White",68,94.4
,"Orville H. Platt High School","American Indian",2,1.9
,,"Black or African American",3,2.8
,,"Hispanic",3,2.8
,,"White",100,92.6
,"Roger Sherman School","Hispanic",2,3.8
,,"White",50,96.2
,"Thomas Hooker School","Hispanic",9,22.0
,,"White",31,75.6
,,"Asian",1,2.4
,"Washington Middle School","American Indian",1,1.0
,,"Black or African American",1,1.0
,,"Hispanic",7,7.1
,,"White",89,90.8
"Middletown School District","Bielefield School","White",34,97.1
,,"Asian",1,2.9
,"Farm Hill School","Black or African American",2,5.9
,,"Hispanic",1,2.9
,,"White",31,91.2
,"Keigwin Middle School","Black or African American",4,8.9
,,"White",41,91.1
,"Lawrence School","Black or African American",3,7.9
,,"White",34,89.5
,,"Asian",1,2.6
,"MacDonough School","Black or African American",2,6.1
,,"White",30,90.9
,,"Asian",1,3.0
,"Middletown High School","Black or African American",5,4.7
,,"Hispanic",1,0.9
,,"White",99,93.4
,,"Asian",1,0.9
,"Moody School","Black or African American",1,3.1
,,"Hispanic",1,3.1
,,"White",29,90.6
,,"Asian",1,3.1
,"Snow School","Black or African American",1,2.3
,,"Hispanic",1,2.3
,,"White",41,93.2
,,"Asian",1,2.3
,"Spencer School","Black or African American",1,2.9
,,"Hispanic",1,2.9
,,"White",31,91.2
,,"Asian",1,2.9
,"Wesley School","Black or African American",1,3.1
,,"White",31,96.9
,"Woodrow Wilson Middle School","Black or African American",8,10.8
,,"White",63,85.1
,,"Asian",3,4.1
"Milford School District","Calf Pen Meadow School","White",39,100.0
,"East Shore Middle School","Hispanic",1,1.7
,,"White",58,98.3
,"Harborside Middle School","Black or African American",1,1.7
,,"White",59,98.3
,"J. F. Kennedy School","White",37,100.0
,"Jonathan Law High School","American Indian",1,1.1
,,"Black or African American",1,1.1
,,"Hispanic",3,3.3
,,"White",87,94.6
,"Joseph A. Foran High School","Black or African American",1,1.1
,,"Hispanic",1,1.1
,,"White",91,97.8
,"Live Oaks School","White",38,100.0
,"Mathewson School","White",44,100.0
,"Meadowside School","White",39,100.0
,"Orange Avenue School","White",35,100.0
,"Orchard Hills School","White",43,100.0
,"Pumpkin Delight School","White",37,100.0
,"Simon Lake School","White",39,100.0
,"The Academy","White",9,100.0
,"West Shore Middle School","American Indian",1,1.7
,,"Hispanic",1,1.7
,,"White",55,94.8
,,"Asian",1,1.7
"Monroe School District","Chalk Hill School","Hispanic",1,1.9
,,"White",51,98.1
,"Fawn Hollow Elementary School","Hispanic",1,2.0
,,"White",46,93.9
,,"Asian",2,4.1
,"Jockey Hollow School","Black or African American",1,1.9
,,"White",51,98.1
,"Masuk High School","White",107,100.0
,"Monroe Elementary School","Hispanic",1,2.9
,,"White",34,97.1
,"Stepney Elementary School","White",40,100.0
"Montville School District","Dr. Charles E. Murphy School","Black or African American",1,2.1
,,"White",46,97.9
,"Leonard J. Tyl Middle School","White",77,98.7
,,"Asian",1,1.3
,"Mohegan School","White",47,100.0
,"Montville High School","Hispanic",2,2.4
,,"White",83,97.6
,"Oakdale School","White",42,100.0
,"Palmer Academy","White",6,100.0
"Naugatuck School District","Andrew Avenue School","White",26,100.0
,"Central Avenue School","White",25,100.0
,"City Hill Middle School","Black or African American",1,1.3
,,"White",75,98.7
,"Cross Street Intermediate School","White",20,100.0
,"Hillside Intermediate School","White",33,100.0
,"Hillside Middle School","Hispanic",1,2.3
,,"White",43,97.7
,"Hop Brook Elementary School","White",27,100.0
,"Maple Hill School","Hispanic",1,3.0
,,"White",32,97.0
,"Naugatuck High School","Black or African American",2,1.6
,,"Hispanic",1,0.8
,,"White",125,97.7
,"Salem School","White",23,100.0
,"Western School","White",27,100.0
"New Beginnings Inc Family Academy District","New Beginnings Inc., Family Academy","Black or African American",5,35.7
,,"Hispanic",1,7.1
,,"White",8,57.1
"New Britain School District","Chamberlain Elementary School","Black or African American",3,6.4
,,"Hispanic",8,17.0
,,"White",36,76.6
,"Frank J. DiLoreto School","Hispanic",14,29.2
,,"White",34,70.8
,"Gaffney School","Black or African American",1,2.0
,,"White",48,98.0
,"Holmes School","Hispanic",5,11.1
,,"White",40,88.9
,"Jefferson School","Hispanic",2,5.6
,,"White",33,91.7
,,"Asian",1,2.8
,"Lincoln School","Hispanic",6,15.0
,,"White",34,85.0
,"New Britain Center For School Readiness","White",7,100.0
,"New Britain High School","American Indian",1,0.5
,,"Black or African American",7,3.5
,,"Hispanic",15,7.4
,,"White",178,88.1
,,"Asian",1,0.5
,"Northend School","Black or African American",2,8.0
,,"White",23,92.0
,"Pulaski Middle School","American Indian",1,1.1
,,"Black or African American",5,5.7
,,"Hispanic",9,10.3
,,"White",72,82.8
,"Roosevelt Middle School","Black or African American",7,11.1
,,"Hispanic",9,14.3
,,"White",47,74.6
,"Slade Middle School","Black or African American",8,9.9
,,"Hispanic",11,13.6
,,"White",61,75.3
,,"Asian",1,1.2
,"Smalley Academy","Black or African American",1,2.0
,,"Hispanic",9,17.6
,,"White",40,78.4
,,"Asian",1,2.0
,"Smith School","Black or African American",2,4.1
,,"Hispanic",4,8.2
,,"White",43,87.8
,"Vance School","Black or African American",1,2.9
,,"Hispanic",2,5.9
,,"White",31,91.2
"New Canaan School District","East School","White",55,100.0
,"New Canaan High School","Black or African American",1,1.0
,,"White",100,98.0
,,"Asian",1,1.0
,"Saxe Middle School","Black or African American",4,3.1
,,"Hispanic",1,0.8
,,"White",123,96.1
,"South School","White",60,100.0
,"West School","White",56,100.0
"New Fairfield School District","Consolidated School","White",49,100.0
,"Meeting House Hill School","Hispanic",1,1.7
,,"White",57,98.3
,"New Fairfield High School","Black or African American",1,1.2
,,"White",84,98.8
,"New Fairfield Middle School","White",68,100.0
"New Hartford School District","Ann Antolini School","White",34,100.0
,"Bakerville Consolidated School","White",20,100.0
,"New Hartford Elementary School","White",18,100.0
"New Haven School District","Edgewood School","Black or African American",5,14.3
,,"White",29,82.9
,,"Asian",1,2.9
,"Nathan Hale School","Black or African American",2,4.5
,,"Hispanic",1,2.3
,,"White",41,93.2
,"Barnard Environmental Magnet School","Black or African American",3,12.5
,,"White",21,87.5
,"Beecher School","Black or African American",8,24.2
,,"White",25,75.8
,"Benjamin Jepson Magnet School","Black or African American",4,11.1
,,"Hispanic",1,2.8
,,"White",31,86.1
,"Betsy Ross Arts Magnet School","Black or African American",19,32.8
,,"Hispanic",1,1.7
,,"White",38,65.5
,"Bishop Woods School","Black or African American",1,3.6
,,"Hispanic",1,3.6
,,"White",25,89.3
,,"Asian",1,3.6
,"Clarence Rogers School","Black or African American",10,66.7
,,"White",5,33.3
,"Clinton Avenue School","Black or African American",1,2.9
,,"Hispanic",8,23.5
,,"White",25,73.5
,"Columbus Family Academy","Black or African American",3,10.3
,,"Hispanic",12,41.4
,,"White",14,48.3
,"Conte/West Hills Magnet School","Black or African American",4,7.5
,,"Hispanic",2,3.8
,,"White",47,88.7
,"Cooperative High School","Black or African American",6,13.6
,,"Hispanic",1,2.3
,,"White",36,81.8
,,"Asian",1,2.3
,"Cortlandt V.R. Creed Health and Sport Sciences High School","Black or African American",6,27.3
,,"White",16,72.7
,"Davis 21st Century Magnet Elementary School","Black or African American",9,24.3
,,"White",28,75.7
,"Early Learning Center","Black or African American",2,50.0
,,"White",2,50.0
,"East Rock Community Magnet School","Black or African American",14,17.7
,,"Hispanic",1,1.3
,,"White",63,79.7
,,"Asian",1,1.3
,"Fair Haven School","Black or African American",9,11.5
,,"Hispanic",15,19.2
,,"White",54,69.2
,"Headstart","White",1,100.0
,"High School In The Community","Black or African American",4,11.8
,,"Hispanic",2,5.9
,,"White",27,79.4
,,"Asian",1,2.9
,"Hill Central Music Academy","Black or African American",9,18.8
,,"Hispanic",12,25.0
,,"White",26,54.2
,,"Asian",1,2.1
,"Hill Regional Career High School","Black or African American",14,21.2
,,"Hispanic",3,4.5
,,"White",48,72.7
,,"Asian",1,1.5
,"James Hillhouse High School","American Indian",1,1.0
,,"Black or African American",32,31.4
,,"Hispanic",3,2.9
,,"White",64,62.7
,,"Asian",2,2.0
,"Katherine Brennan School","Black or African American",8,27.6
,,"White",21,72.4
,"Lincoln-Bassett School","Black or African American",18,46.2
,,"White",21,53.8
,"Martin Luther King School","Black or African American",7,30.4
,,"White",16,69.6
,"New Haven Academy","Black or African American",5,14.7
,,"White",29,85.3
,"Polly T. McCabe Center","Black or African American",1,10.0
,,"Hispanic",1,10.0
,,"White",8,80.0
,"Prince School","Black or African American",4,19.0
,,"Hispanic",5,23.8
,,"White",12,57.1
,"Quinnipiac Real World Math STEM School","Black or African American",1,3.6
,,"Hispanic",2,7.1
,,"White",24,85.7
,,"Asian",1,3.6
,"Riverside Education Academy","Black or African American",10,43.5
,,"Hispanic",1,4.3
,,"White",11,47.8
,,"Asian",1,4.3
,"Sheridan Communications and Technology Magnet School","American Indian",1,1.7
,,"Black or African American",6,10.2
,,"Hispanic",1,1.7
,,"White",50,84.7
,,"Asian",1,1.7
,"Sound School","Black or African American",3,6.5
,,"Hispanic",3,6.5
,,"White",40,87.0
,"Strong 21st Century Communications Magnet and SCSU Lab School","American Indian",1,4.0
,,"Black or African American",1,4.0
,,"Hispanic",8,32.0
,,"White",15,60.0
,"Timothy Dwight School","Black or African American",8,25.8
,,"Hispanic",4,12.9
,,"White",18,58.1
,,"Asian",1,3.2
,"Troup Middle School","Black or African American",16,23.9
,,"Hispanic",1,1.5
,,"White",50,74.6
,"Truman School","Black or African American",2,5.9
,,"Hispanic",9,26.5
,,"White",22,64.7
,,"Asian",1,2.9
,"Urban Youth Center Elementary School","Black or African American",5,38.5
,,"Hispanic",1,7.7
,,"White",7,53.8
,"Urban Youth Center Middle School","Black or African American",11,50.0
,,"White",10,45.5
,,"Asian",1,4.5
,"Vincent E. Mauro Elementary Math, Science and Technology Magnet School","Black or African American",10,27.0
,,"Hispanic",6,16.2
,,"White",20,54.1
,,"Asian",1,2.7
,"Welch Annex School","Black or African American",2,6.7
,,"Hispanic",10,33.3
,,"White",18,60.0
,"West Rock Authors Academy","Black or African American",3,20.0
,,"Hispanic",1,6.7
,,"White",11,73.3
,"Wexler/Grant Community School","Black or African American",21,56.8
,,"White",16,43.2
,"Wilbur Cross High School","American Indian",1,0.8
,,"Black or African American",23,17.3
,,"Hispanic",15,11.3
,,"White",91,68.4
,,"Asian",3,2.3
,"Worthington Hooker School","Black or African American",3,8.3
,,"Hispanic",1,2.8
,,"White",31,86.1
,,"Asian",1,2.8
"New London School District","Jennings School","Black or African American",1,2.9
,,"Hispanic",1,2.9
,,"White",32,91.4
,,"Asian",1,2.9
,"Bennie Dover Jackson Middle School","Black or African American",10,13.5
,,"Hispanic",5,6.8
,,"White",59,79.7
,"Edgerton School","Black or African American",2,4.9
,,"Hispanic",12,29.3
,,"White",26,63.4
,,"Asian",1,2.4
,"Harbor School","Black or African American",2,6.5
,,"Hispanic",1,3.2
,,"White",28,90.3
,"Nathan Hale Arts Magnet School","Black or African American",2,5.3
,,"Hispanic",1,2.6
,,"White",35,92.1
,"New London High School","Black or African American",3,4.1
,,"Hispanic",4,5.5
,,"White",66,90.4
,"Winthrop STEM Elementary Magnet School","Black or African American",3,8.8
,,"Hispanic",4,11.8
,,"White",27,79.4
"New Milford School District","Hill And Plain School","White",37,100.0
,"John Pettibone School","White",41,100.0
,"New Milford High School","Hispanic",2,1.7
,,"White",117,98.3
,"Northville Elementary School","White",38,100.0
,"Sarah Noble Intermediate School","White",91,100.0
,"Schaghticoke Middle School","Hispanic",1,1.3
,,"White",79,98.8
"Newington School District","Anna Reynolds School","Black or African American",1,2.2
,,"White",45,97.8
,"Elizabeth Green School","Black or African American",1,3.0
,,"White",32,97.0
,"John Paterson School","Black or African American",1,2.2
,,"White",45,97.8
,"John Wallace Middle School","White",65,98.5
,,"Asian",1,1.5
,"Martin Kellogg Middle School","Black or African American",1,1.6
,,"Hispanic",1,1.6
,,"White",58,95.1
,,"Asian",1,1.6
,"Newington High School","Black or African American",1,0.9
,,"Hispanic",2,1.8
,,"White",108,95.6
,,"Asian",2,1.8
,"Ruth Chaffee School","White",38,100.0
"Newtown School District","Hawley Elementary School","White",45,100.0
,"Head O'Meadow Elementary School","White",42,100.0
,"Middle Gate Elementary School","White",50,100.0
,"Newtown High School","American Indian",1,0.8
,,"White",120,99.2
,"Newtown Middle School","White",95,100.0
,"Reed Intermediate School","White",2,100.0
,"Sandy Hook Elementary School","Black or African American",2,3.4
,,"White",57,96.6
"Norfolk School District","Botelle Elementary School","White",22,100.0
"North Branford School District","Jerome Harrison School","White",37,100.0
,"North Branford High School","White",59,98.3
,,"Asian",1,1.7
,"North Branford Intermediate School","White",51,100.0
,"Stanley T. Williams School","White",24,100.0
,"Totoket Valley Elementary School","White",38,100.0
"North Canaan School District","North Canaan Elementary School","White",40,100.0
"North Haven School District","Clintonville Elementary School","White",38,100.0
,"Green Acres Elementary School","White",39,100.0
,"Montowese Elementary School","American Indian",1,2.6
,,"White",37,97.4
,"North Haven High School","Black or African American",2,2.1
,,"Hispanic",1,1.0
,,"White",93,96.9
,"North Haven Middle School","Hispanic",2,2.7
,,"White",72,96.0
,,"Asian",1,1.3
,"Ridge Road Elementary School","Hispanic",1,2.7
,,"White",36,97.3
"North Stonington School District","North Stonington Elementary School","White",37,100.0
,"Wheeler High School","White",40,100.0
,"Wheeler Middle School","White",36,100.0
"Norwalk School District","Brien McMahon High School","Black or African American",7,6.7
,,"Hispanic",8,7.7
,,"White",88,84.6
,,"Asian",1,1.0
,"Brookside Elementary School","Black or African American",5,12.2
,,"Hispanic",8,19.5
,,"White",28,68.3
,"Columbus Magnet School","Black or African American",1,3.0
,,"Hispanic",2,6.1
,,"White",30,90.9
,"Cranbury Elementary School","Hispanic",1,2.3
,,"White",43,97.7
,"Fox Run Elementary School","Black or African American",3,7.0
,,"Hispanic",3,7.0
,,"White",37,86.0
,"Jefferson Magnet School","Black or African American",3,7.9
,,"Hispanic",3,7.9
,,"White",32,84.2
,"Kendall Elementary School","Black or African American",2,4.5
,,"Hispanic",4,9.1
,,"White",38,86.4
,"Marvin Elementary School","Black or African American",3,6.5
,,"White",42,91.3
,,"Asian",1,2.2
,"Naramake Elementary School","Black or African American",2,5.9
,,"White",32,94.1
,"Nathan Hale Middle School","Black or African American",10,15.2
,,"Hispanic",2,3.0
,,"White",53,80.3
,,"Asian",1,1.5
,"Norwalk High School","Black or African American",11,8.0
,,"Hispanic",8,5.8
,,"White",119,86.2
,"Norwalk Pathways Academy at Briggs","Black or African American",4,23.5
,,"White",13,76.5
,"Ponus Ridge Middle School","Black or African American",6,9.5
,,"Hispanic",1,1.6
,,"White",54,85.7
,,"Asian",2,3.2
,"Roton Middle School","Black or African American",1,1.9
,,"Hispanic",2,3.8
,,"White",49,92.5
,,"Asian",1,1.9
,"Rowayton School","Black or African American",2,5.3
,,"White",36,94.7
,"Silvermine Elementary School","Hispanic",6,15.0
,,"White",34,85.0
,"Tracey School","Black or African American",4,9.3
,,"Hispanic",2,4.7
,,"White",37,86.0
,"West Rocks Middle School","American Indian",1,1.5
,,"Black or African American",7,10.4
,,"Hispanic",2,3.0
,,"White",57,85.1
,"Wolfpit School","Black or African American",2,5.1
,,"Hispanic",1,2.6
,,"White",36,92.3
"Norwich Free Academy District","Norwich Free Academy","American Indian",1,0.6
,,"Black or African American",4,2.2
,,"Hispanic",5,2.8
,,"White",167,93.3
,,"Asian",2,1.1
"Norwich School District","Bishop School Early Learning Center","Black or African American",1,5.0
,,"White",19,95.0
,"Greeneville School","Black or African American",1,3.3
,,"White",29,96.7
,"Hickory Street School","White",1,100.0
,"John B. Stanton Network School","White",28,100.0
,"Kelly Middle School","White",56,100.0
,"Moriarty Magnet School","Black or African American",1,3.4
,,"White",28,96.6
,"Samuel Huntington School","White",25,100.0
,"Teachers' Memorial Middle School","White",46,100.0
,"Thames River Academy","Black or African American",1,16.7
,,"White",5,83.3
,"Thomas W. Mahan School","White",25,100.0
,"Uncas Network School","Black or African American",2,7.7
,,"White",24,92.3
,"Veterans' Memorial School","Black or African American",1,4.0
,,"White",24,96.0
,"Wequonnoc Magnet School","White",24,100.0
"Odyssey Community School District","Odyssey Community School","White",10,100.0
"Old Saybrook School District","Kathleen E. Goodwin School","White",63,100.0
,"Old Saybrook Middle School","Hispanic",2,2.9
,,"White",67,95.7
,,"Asian",1,1.4
,"Old Saybrook Senior High School","White",54,100.0
"Orange School District","Mary L. Tracy School","White",31,100.0
,"Peck Place School","Hispanic",1,2.4
,,"White",40,97.6
,"Race Brook School","Hispanic",2,5.6
,,"White",34,94.4
,"Turkey Hill School","White",38,100.0
"Oxford School District","Great Oak School","White",42,100.0
,"Oxford Center School","Hispanic",1,2.7
,,"White",36,97.3
,"Quaker Farms School","White",38,100.0
"Plainfield School District","Early Childhood Center","White",16,100.0
,"Moosup Elementary School","White",27,100.0
,"Plainfield Central School","Hispanic",1,2.0
,,"White",49,98.0
,"Plainfield High School","White",68,100.0
,"Plainfield Memorial School","White",36,100.0
,"Shepard Hill Elementary School","White",28,100.0
"Plainville School District","Frank T. Wheeler School","Black or African American",1,3.1
,,"White",31,96.9
,"Linden Street School","White",35,100.0
,"Louis Toffolon School","Black or African American",1,2.6
,,"White",37,97.4
,"Middle School of Plainville","White",61,100.0
,"Plainville High School","Black or African American",1,1.3
,,"Hispanic",1,1.3
,,"White",74,97.4
,"Prekindergarten Program","White",2,100.0
"Plymouth School District","Eli Terry Jr. Middle School","White",47,100.0
,"Main Street School","White",21,100.0
,"Plymouth Center School","White",46,100.0
,"Prospect Street School","White",18,100.0
,"Terryville High School","Hispanic",1,2.1
,,"White",45,95.7
,,"Asian",1,2.1
"Pomfret School District","Pomfret Community School","White",45,100.0
"Portland School District","Gildersleeve School","Hispanic",1,3.0
,,"White",32,97.0
,"Portland High School","White",40,100.0
,"Portland Middle School","American Indian",1,2.7
,,"Hispanic",1,2.7
,,"White",35,94.6
,"Valley View School","Hispanic",1,3.1
,,"White",31,96.9
"Preston School District","Preston Plains School","White",21,100.0
"Putnam School District","Putnam Elementary School","Hispanic",1,1.5
,,"White",65,98.5
,"Putnam High School","Hispanic",1,2.2
,,"White",44,97.8
,"Putnam Middle School","White",36,100.0
"Redding School District","John Read Middle School","Hispanic",1,1.7
,,"White",57,98.3
,"Redding Elementary School","White",62,100.0
"Regional School District 01","Housatonic Valley Regional High School","White",57,98.3
,,"Asian",1,1.7
"Regional School District 04","John Winthrop Middle School","White",38,100.0
,"Valley Regional High School","Hispanic",2,3.4
,,"White",56,96.6
"Regional School District 05","Amity Middle School: Bethany","White",62,100.0
,"Amity Middle School: Orange","Hispanic",2,3.2
,,"White",61,96.8
,"Amity Regional High School","Hispanic",5,4.6
,,"White",103,95.4
"Regional School District 06","Goshen Center School","White",27,100.0
,"James Morris School","White",27,100.0
,"Wamogo Regional High School","Hispanic",1,1.8
,,"White",56,98.2
,"Warren Elementary School","White",19,100.0
"Regional School District 07","Northwestern Regional High School","White",75,100.0
,"Northwestern Regional Middle School","White",57,100.0
"Regional School District 08","RHAM High School","Hispanic",2,2.3
,,"White",84,97.7
,"RHAM Middle School","American Indian",1,1.4
,,"Black or African American",1,1.4
,,"Hispanic",1,1.4
,,"White",66,95.7
"Regional School District 09","Joel Barlow High School","Black or African American",1,1.1
,,"Hispanic",1,1.1
,,"White",88,97.8
"Regional School District 10","Har-Bur Middle School","White",67,100.0
,"Harwinton Consolidated School","Hispanic",1,1.9
,,"White",53,98.1
,"Lake Garda Elementary School","White",65,100.0
,"Lewis S. Mills High School","American Indian",1,1.4
,,"Black or African American",1,1.4
,,"White",72,97.3
"Regional School District 11","Parish Hill High School","White",49,100.0
