"Find School/District Results"

"OrganizationType","District","OrganizationCode","OrganizationName","Street","City","State","ZIP","Phone","Fax","Website","Education Program","Program Type","Inter-District Magnet","Pre Kindergarten","Kindergarten","Grade 1","Grade 2","Grade 3","Grade 4","Grade 5","Grade 6","Grade 7","Grade 8","Grade 9","Grade 10","Grade 11","Grade 12"
"Nonpublic Elementary and Secondary Schools",,"0325121","Covenant Academy","Box 231","Coventry","CT","06238","860-871-4169",,,"Standard Non-Public",,,,,,,,,,,,,,,,
"Nonpublic Elementary and Secondary Schools",,"1425121","Covenant Academy","26 Deer Meadow","Tolland","CT","06084","xxx-x-",,,"Standard Non-Public",,,,,,,,,,,,,,,,
"Nonpublic Elementary and Secondary Schools",,"1695221","Covenant Academy","Box 51","Woodstock","CT","06281","860-871-4169",,,"Standard Non-Public",,,,,,,,,,,,,,,,
"Nonpublic Elementary and Secondary Schools",,"0645021","Covenant Preparatory School","135 Broad Street","Hartford","CT","06105","860-547-0298","860-547-0361",,"Standard Non-Public",,,"0","0","0","0","0","0","1","1","1","1","0","0","0","0"
"Nonpublic Elementary and Secondary Schools",,"8251221","Crossroads School for Children","11 Huron Drive","Natick","MA","01760","508-651-7500","508-651-7510","www.crossroadsschoolma.org","APSEP",,,"0","1","1","1","1","1","1","1","1","1","1","1","1","1"
"Nonpublic Elementary and Secondary Schools",,"1160221","Crossway Christian Academy","250 East Putnam Road","Putnam","CT","06260","860-963-3787","860-963-0623",,"Standard Non-Public",,,"0","1","1","1","1","1","1","1","1","1","0","0","0","0"
"Nonpublic Elementary and Secondary Schools",,"8330161","Crotched Mountain Rehabilitation Center","1 Verney Drive","Greenfield","NH","03047","603-547-3311",,,"APSEP",,,,,,,,,,,,,,,,
"Nonpublic Elementary and Secondary Schools",,"8253461","Curtis Blake School","979 Dickinson Street","Springfield","MA","01108","413-205-3960",,,"APSEP",,,,,,,,,,,,,,,,
"Nonpublic Elementary and Secondary Schools",,"8350121","Del Rio Academy","50 Calle del Rio","Los Lunas","NM","87031","505-866-9271",,,"Standard Non-Public",,,"0","0","0","1","1","1","1","1","1","1","0","0","0","0"
"Nonpublic Elementary and Secondary Schools",,"8251061","Devereaux","60 Miles Road, PO Box 219","Rutland","MA","01543","508-886-4746",,,"APSEP",,,,,,,,,,,,,,,,
"Nonpublic Elementary and Secondary Schools",,"8120861","Devereaux Florida","5850 T. G. Lee Blvd, Suite 400","Orlando","FL","32822","407-362-9210",,,"APSEP",,,,,,,,,,,,,,,,
"Nonpublic Elementary and Secondary Schools",,"8420461","Devereaux Kanner Center in West Chester","390 E. Boot Road","West Chester","PA","19380","610-431-8100",,,"APSEP",,,,,,,,,,,,,,,,
"Nonpublic Elementary and Secondary Schools",,"8480121","Devereux - League City","1150 Devereux Drive","League City","TX","77573","800-373-0011",,,"Standard Non-Public",,,,,,,,,,,,,,,,
"Nonpublic Elementary and Secondary Schools",,"1500161","Devereux Glenholme School","81 Sabbaday Lane","Washington","CT","06793","860-868-7377","860-868-6711",,"APSEP",,,"0","0","0","0","0","1","1","1","1","1","1","1","1","1"
"Nonpublic Elementary and Secondary Schools",,"1380321","Diocese of Bridgeport Schools Corp. D.B.A. St. James School","50 Harvey Place","Stratford","CT","06615","203-375-5994","203-380-0749",,"Standard Non-Public",,,"1","1","1","1","1","1","1","1","1","1","0","0","0","0"
"Nonpublic Elementary and Secondary Schools",,"0020482","Disability Resource Network, Inc.","230 Caroline Street","Derby","CT","06483","203-732-0030","203-732-1070",,"TVSP",,,"0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Nonpublic Elementary and Secondary Schools",,"0150682","Disability Resource Network, Inc. - Bridgeport","1718 Capital Avenue","Bridgeport","CT","06604","203-732-0030","203-732-1070",,"TVSP",,,"0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Nonpublic Elementary and Secondary Schools",,"0600282","Discover Learn Work Career Training Services - Ability Beyond","929 Boston Post Road","Guilford","CT","06437","203-826-3099","860-410-1165",,"TVSP",,,"0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"Nonpublic Elementary and Secondary Schools",,"1100182","Discover Learn Work Career Training Services - Ability Beyond","17 Farmington Ave","Plainville","CT","06062","203-826-3099","860-410-1165",,"TVSP",,,"0","0","0","0","0","0","0","0","0","0","0","0","0","1"
