"category","participation.rate","meeting.bench.count","meeting.bench.rate","school_code","year"
"Hispanic or Latino ","96.4 ","32 ","14.3","0156311","201516"
"White ","97.9 ","* ","*","0156311","201516"
"English Language Learners ","98.2 ","21 ","18.9","0156311","201516"
"Eligible for Free or ","96.0 ","45 ","10.1","0156311","201516"
"Reduced-Price Meals","","","","0156311","201516"
"Students with Disabilities ","* ","0 ","*","0156311","201516"
"School ","96.0 ","45 ","10.1","0156311","201516"
"District ","94.9 ","","11.9","0156311","201516"
"Female ","71.1 ","111 ","38.7","0176111","201314"
"Male ","56.5 ","88 ","29.4","0176111","201314"
"Black or African American ","60.0 ","6 ","13.3","0176111","201314"
"Hispanic or Latino ","39.0 ","14 ","13.3","0176111","201314"
"White ","69.0 ","165 ","40.9","0176111","201314"
"English Language Learners ","27.3 ","0 ","0.0","0176111","201314"
"Eligible for Free or ","43.3 ","29 ","13.8","0176111","201314"
"Reduced-Price Meals","","","","0176111","201314"
"Students with Disabilities ","* ","* ","*","0176111","201314"
"School ","63.7 ","199 ","34.0","0176111","201314"
"District ","64.9 ","","33.4","0176111","201314"
"Female ","68.6 ","94 ","33.9","0176111","201415"
"Male ","50.7 ","79 ","28.8","0176111","201415"
"Black or African American ","51.1 ","8 ","17.0","0176111","201415"
"Hispanic or Latino ","38.2 ","14 ","13.7","0176111","201415"
"White ","66.5 ","141 ","38.1","0176111","201415"
"English Language Learners ","* ","0 ","*","0176111","201415"
"Eligible for Free or ","44.9 ","32 ","15.5","0176111","201415"
"Reduced-Price Meals","","","","0176111","201415"
"Students with Disabilities ","* ","* ","*","0176111","201415"
"School ","59.7 ","173 ","31.4","0176111","201415"
"District ","56.3 ","","29.1","0176111","201415"
"Female ","97.7 ","112 ","42.4","0176111","201516"
"Male ","96.8 ","100 ","35.8","0176111","201516"
"Black or African American ","97.3 ","9 ","24.3","0176111","201516"
"Hispanic or Latino ","98.9 ","17 ","18.1","0176111","201516"
"White ","96.8 ","174 ","45.9","0176111","201516"
"English Language Learners ","* ","0 ","*","0176111","201516"
"Eligible for Free or ","97.4 ","46 ","23.5","0176111","201516"
"Reduced-Price Meals","","","","0176111","201516"
"Students with Disabilities ","* ","* ","*","0176111","201516"
"School ","97.2 ","212 ","39.0","0176111","201516"
"District ","94.8 ","","33.6","0176111","201516"
"Female ","82.0 ","131 ","43.0","0176211","201314"
"Male ","59.0 ","87 ","27.6","0176211","201314"
"Black or African American ","62.2 ","* ","*","0176211","201314"
"Hispanic or Latino ","48.2 ","12 ","14.5","0176211","201314"
"White ","74.0 ","182 ","38.8","0176211","201314"
"English Language Learners ","* ","0 ","*","0176211","201314"
"Eligible for Free or ","58.1 ","34 ","19.8","0176211","201314"
"Reduced-Price Meals","","","","0176211","201314"
"Students with Disabilities ","* ","* ","*","0176211","201314"
"School ","70.3 ","218 ","35.2","0176211","201314"
"District ","64.9 ","","33.4","0176211","201314"
"Female ","69.9 ","99 ","34.3","0176211","201415"
"Male ","47.9 ","80 ","25.6","0176211","201415"
"Black or African American ","47.8 ","9 ","19.6","0176211","201415"
"Hispanic or Latino ","39.8 ","11 ","12.5","0176211","201415"
"White ","63.0 ","150 ","33.6","0176211","201415"
"English Language Learners ","* ","0 ","*","0176211","201415"
"Eligible for Free or ","42.9 ","28 ","15.4","0176211","201415"
"Reduced-Price Meals","","","","0176211","201415"
"Students with Disabilities ","* ","* ","*","0176211","201415"
"School ","58.5 ","179 ","29.7","0176211","201415"
"District ","56.3 ","","29.1","0176211","201415"
"Female ","98.3 ","105 ","35.1","0176211","201516"
"Male ","96.1 ","90 ","29.5","0176211","201516"
"Black or African American ","96.2 ","* ","*","0176211","201516"
"Hispanic or Latino ","95.2 ","17 ","20.2","0176211","201516"
"White ","97.5 ","159 ","36.1","0176211","201516"
"English Language Learners ","* ","0 ","*","0176211","201516"
"Eligible for Free or ","95.0 ","34 ","19.0","0176211","201516"
"Reduced-Price Meals","","","","0176211","201516"
"Students with Disabilities ","* ","* ","*","0176211","201516"
"School ","97.2 ","195 ","32.3","0176211","201516"
"District ","94.8 ","","33.6","0176211","201516"
"Female ","93.7 ","152 ","63.6","0186111","201314"
"Male ","87.3 ","141 ","63.8","0186111","201314"
"Black or African American ","* ","* ","*","0186111","201314"
"Hispanic or Latino ","* ","7 ","*","0186111","201314"
"White ","91.3 ","265 ","64.2","0186111","201314"
"English Language Learners ","N/A ","N/A ","N/A","0186111","201314"
"Eligible for Free or ","76.2 ","10 ","47.6","0186111","201314"
"Reduced-Price Meals","","","","0186111","201314"
"Students with Disabilities ","* ","* ","*","0186111","201314"
"School ","90.7 ","293 ","63.7","0186111","201314"
"District ","89.9 ","","63.1","0186111","201314"
"Female ","85.8 ","141 ","59.0","0186111","201415"
"Male ","84.6 ","129 ","62.0","0186111","201415"
"Black or African American ","* ","* ","*","0186111","201415"
"Hispanic or Latino ","65.2 ","* ","*","0186111","201415"
"White ","85.9 ","240 ","61.4","0186111","201415"
"English Language Learners ","* ","0 ","*","0186111","201415"
"Eligible for Free or ","67.7 ","11 ","35.5","0186111","201415"
"Reduced-Price Meals","","","","0186111","201415"
"Students with Disabilities ","* ","* ","*","0186111","201415"
"School ","85.2 ","270 ","60.4","0186111","201415"
"District ","83.9 ","","59.5","0186111","201415"
"Female ","99.5 ","124 ","57.7","0186111","201516"
"Male ","97.8 ","155 ","67.7","0186111","201516"
"Black or African American ","* ","* ","*","0186111","201516"
"Hispanic or Latino ","* ","7 ","*","0186111","201516"
"White ","99.0 ","245 ","63.5","0186111","201516"
"English Language Learners ","* ","0 ","*","0186111","201516"
"Eligible for Free or ","94.1 ","11 ","32.4","0186111","201516"
"Reduced-Price Meals","","","","0186111","201516"
"Students with Disabilities ","* ","* ","*","0186111","201516"
"School ","98.6 ","279 ","62.8","0186111","201516"
"District ","98.0 ","","62.3","0186111","201516"
"Female ","85.5 ","73 ","62.4","0236111","201314"
"Male ","82.9 ","85 ","58.2","0236111","201314"
"Black or African American ","* ","* ","*","0236111","201314"
"Hispanic or Latino ","* ","* ","*","0236111","201314"
"White ","84.5 ","151 ","61.6","0236111","201314"
"English Language Learners ","N/A ","N/A ","N/A","0236111","201314"
"Eligible for Free or ","* ","6 ","*","0236111","201314"
"Reduced-Price Meals","","","","0236111","201314"
"Students with Disabilities ","* ","* ","*","0236111","201314"
"School ","84.0 ","158 ","60.1","0236111","201314"
"District ","82.8 ","","59.2","0236111","201314"
"Female ","83.2 ","61 ","64.2","0236111","201415"
"Male ","75.6 ","80 ","63.0","0236111","201415"
"Black or African American ","* ","0 ","*","0236111","201415"
"Hispanic or Latino ","* ","* ","*","0236111","201415"
"White ","81.5 ","132 ","66.0","0236111","201415"
"English Language Learners ","N/A ","N/A ","N/A","0236111","201415"
"Eligible for Free or ","* ","* ","*","0236111","201415"
"Reduced-Price Meals","","","","0236111","201415"
"Students with Disabilities ","* ","* ","*","0236111","201415"
"School ","78.8 ","141 ","63.5","0236111","201415"
"District ","76.4 ","","61.6","0236111","201415"
"Female ","98.1 ","73 ","68.9","0236111","201516"
"Male ","98.2 ","77 ","68.1","0236111","201516"
"Black or African American ","* ","* ","*","0236111","201516"
"Hispanic or Latino ","* ","11 ","*","0236111","201516"
"White ","99.4 ","131 ","72.4","0236111","201516"
"English Language Learners ","* ","0 ","*","0236111","201516"
"Eligible for Free or ","93.8 ","11 ","34.4","0236111","201516"
"Reduced-Price Meals","","","","0236111","201516"
"Students with Disabilities ","* ","* ","*","0236111","201516"
"School ","98.2 ","150 ","68.5","0236111","201516"
"District ","97.8 ","","67.0","0236111","201516"
"Female ","91.8 ","243 ","64.1","0256111","201314"
"Male ","87.2 ","215 ","56.1","0256111","201314"
"Black or African American ","* ","* ","*","0256111","201314"
"Hispanic or Latino ","69.6 ","* ","*","0256111","201314"
"White ","89.7 ","395 ","59.9","0256111","201314"
"English Language Learners ","* ","0 ","*","0256111","201314"
"Eligible for Free or ","77.1 ","* ","*","0256111","201314"
"Reduced-Price Meals","","","","0256111","201314"
"Students with Disabilities ","37.5 ","* ","*","0256111","201314"
"School ","89.5 ","458 ","60.1","0256111","201314"
"District ","86.4 ","","57.6","0256111","201314"
"Female ","91.0 ","227 ","63.8","0256111","201415"
"Male ","80.9 ","224 ","55.6","0256111","201415"
"Black or African American ","66.7 ","* ","*","0256111","201415"
"Hispanic or Latino ","* ","* ","*","0256111","201415"
"White ","87.2 ","401 ","61.2","0256111","201415"
"English Language Learners ","* ","* ","*","0256111","201415"
"Eligible for Free or ","61.8 ","12 ","21.8","0256111","201415"
"Reduced-Price Meals","","","","0256111","201415"
"Students with Disabilities ","40.0 ","* ","*","0256111","201415"
"School ","85.6 ","451 ","59.4","0256111","201415"
"District ","82.6 ","","57.1","0256111","201415"
"Female ","99.1 ","248 ","72.3","0256111","201516"
"Male ","97.8 ","246 ","59.4","0256111","201516"
"Black or African American ","95.0 ","* ","*","0256111","201516"
"Hispanic or Latino ","95.2 ","9 ","42.9","0256111","201516"
"White ","98.5 ","423 ","65.5","0256111","201516"
"English Language Learners ","* ","0 ","*","0256111","201516"
"Eligible for Free or ","92.6 ","18 ","33.3","0256111","201516"
"Reduced-Price Meals","","","","0256111","201516"
"Students with Disabilities ","100.0 ","6 ","20.7","0256111","201516"
"School ","98.4 ","494 ","65.3","0256111","201516"
"District ","96.5 ","","62.3","0256111","201516"
"Female ","83.8 ","59 ","45.4","0276111","201314"
"Male ","77.8 ","62 ","43.1","0276111","201314"
"Black or African American ","* ","0 ","*","0276111","201314"
"Hispanic or Latino ","* ","8 ","*","0276111","201314"
"White ","80.5 ","106 ","44.0","0276111","201314"
"English Language Learners ","* ","0 ","*","0276111","201314"
"Eligible for Free or ","54.8 ","14 ","33.3","0276111","201314"
"Reduced-Price Meals","","","","0276111","201314"
"Students with Disabilities ","* ","* ","*","0276111","201314"
"School ","80.7 ","121 ","44.2","0276111","201314"
"District ","79.9 ","","43.5","0276111","201314"
"Female ","87.6 ","61 ","47.3","0276111","201415"
"Male ","67.4 ","49 ","34.0","0276111","201415"
"Black or African American ","* ","0 ","*","0276111","201415"
"Hispanic or Latino ","* ","* ","*","0276111","201415"
"White ","78.4 ","98 ","40.7","0276111","201415"
"English Language Learners ","* ","0 ","*","0276111","201415"
"Eligible for Free or ","46.8 ","9 ","19.1","0276111","201415"
"Reduced-Price Meals","","","","0276111","201415"
"Students with Disabilities ","* ","0 ","*","0276111","201415"
"School ","76.9 ","110 ","40.3","0276111","201415"
"District ","75.8 ","","39.7","0276111","201415"
"Female ","99.3 ","63 ","45.0","0276111","201516"
"Male ","96.6 ","39 ","32.8","0276111","201516"
"Black or African American ","* ","0 ","*","0276111","201516"
"Hispanic or Latino ","96.3 ","* ","*","0276111","201516"
"White ","98.1 ","93 ","43.3","0276111","201516"
"English Language Learners ","* ","0 ","*","0276111","201516"
"Eligible for Free or ","95.1 ","8 ","19.5","0276111","201516"
"Reduced-Price Meals","","","","0276111","201516"
"Students with Disabilities ","* ","* ","*","0276111","201516"
"School ","98.1 ","102 ","39.4","0276111","201516"
"District ","98.1 ","","39.2","0276111","201516"
"Female ","83.8 ","138 ","51.9","0286111","201314"
"Male ","67.3 ","80 ","36.4","0286111","201314"
"Black or African American ","* ","* ","*","0286111","201314"
"Hispanic or Latino ","68.8 ","10 ","31.3","0286111","201314"
"White ","76.2 ","195 ","46.4","0286111","201314"
"English Language Learners ","* ","0 ","*","0286111","201314"
"Eligible for Free or ","52.7 ","11 ","20.0","0286111","201314"
"Reduced-Price Meals","","","","0286111","201314"
"Students with Disabilities ","* ","* ","*","0286111","201314"
"School ","76.3 ","218 ","44.9","0286111","201314"
"District ","75.6 ","","44.4","0286111","201314"
"Female ","78.9 ","112 ","48.3","0286111","201415"
"Male ","67.0 ","80 ","40.6","0286111","201415"
"Black or African American ","* ","* ","*","0286111","201415"
"Hispanic or Latino ","60.7 ","8 ","28.6","0286111","201415"
"White ","73.6 ","175 ","46.7","0286111","201415"
"English Language Learners ","* ","0 ","*","0286111","201415"
"Eligible for Free or ","48.2 ","14 ","25.0","0286111","201415"
"Reduced-Price Meals","","","","0286111","201415"
"Students with Disabilities ","* ","* ","*","0286111","201415"
"School ","73.4 ","192 ","44.8","0286111","201415"
"District ","70.4 ","","42.8","0286111","201415"
"Female ","96.0 ","110 ","49.3","0286111","201516"
"Male ","97.3 ","87 ","46.3","0286111","201516"
"Black or African American ","* ","* ","*","0286111","201516"
"Hispanic or Latino ","95.5 ","6 ","27.3","0286111","201516"
"White ","96.4 ","182 ","50.3","0286111","201516"
"English Language Learners ","* ","0 ","*","0286111","201516"
"Eligible for Free or ","95.3 ","13 ","20.3","0286111","201516"
"Reduced-Price Meals","","","","0286111","201516"
"Students with Disabilities ","* ","0 ","*","0286111","201516"
"School ","96.6 ","197 ","47.9","0286111","201516"
"District ","94.8 ","","46.1","0286111","201516"
"Female ","77.8 ","58 ","43.0","0326111","201314"
"Male ","64.2 ","45 ","36.6","0326111","201314"
"Black or African American ","* ","0 ","*","0326111","201314"
"Hispanic or Latino ","* ","* ","*","0326111","201314"
"White ","71.8 ","93 ","39.7","0326111","201314"
"English Language Learners ","N/A ","N/A ","N/A","0326111","201314"
"Eligible for Free or ","42.2 ","7 ","15.6","0326111","201314"
"Reduced-Price Meals","","","","0326111","201314"
"Students with Disabilities ","* ","0 ","*","0326111","201314"
"School ","71.3 ","103 ","39.9","0326111","201314"
"District ","70.2 ","","39.3","0326111","201314"
"Female ","82.8 ","53 ","45.7","0326111","201415"
"Male ","58.5 ","38 ","30.9","0326111","201415"
"Black or African American ","* ","0 ","*","0326111","201415"
"Hispanic or Latino ","* ","* ","*","0326111","201415"
"White ","71.1 ","81 ","37.2","0326111","201415"
"English Language Learners ","N/A ","N/A ","N/A","0326111","201415"
"Eligible for Free or ","47.8 ","10 ","21.7","0326111","201415"
"Reduced-Price Meals","","","","0326111","201415"
"Students with Disabilities ","* ","* ","*","0326111","201415"
"School ","70.3 ","91 ","38.1","0326111","201415"
"District ","67.2 ","","36.0","0326111","201415"
"Female ","98.5 ","69 ","53.1","0326111","201516"
"Male ","95.9 ","46 ","38.0","0326111","201516"
"Black or African American ","* ","* ","*","0326111","201516"
"Hispanic or Latino ","* ","* ","*","0326111","201516"
"White ","97.3 ","104 ","46.0","0326111","201516"
"English Language Learners ","N/A ","N/A ","N/A","0326111","201516"
"Eligible for Free or ","89.4 ","12 ","25.5","0326111","201516"
"Reduced-Price Meals","","","","0326111","201516"
"Students with Disabilities ","* ","* ","*","0326111","201516"
"School ","97.2 ","115 ","45.8","0326111","201516"
"District ","96.2 ","","43.7","0326111","201516"
"Female ","79.3 ","51 ","37.8","0336111","201314"
"Male ","74.4 ","54 ","43.2","0336111","201314"
"Black or African American ","68.2 ","* ","*","0336111","201314"
"Hispanic or Latino ","* ","* ","*","0336111","201314"
"White ","78.6 ","90 ","43.7","0336111","201314"
"English Language Learners ","* ","0 ","*","0336111","201314"
"Eligible for Free or ","51.4 ","6 ","17.1","0336111","201314"
"Reduced-Price Meals","","","","0336111","201314"
"Students with Disabilities ","* ","0 ","*","0336111","201314"
"School ","76.9 ","105 ","40.4","0336111","201314"
"District ","73.4 ","","38.3","0336111","201314"
"Female ","80.3 ","61 ","48.0","0336111","201415"
"Male ","69.8 ","67 ","48.2","0336111","201415"
"Black or African American ","70.0 ","* ","*","0336111","201415"
"Hispanic or Latino ","* ","* ","*","0336111","201415"
"White ","75.2 ","111 ","52.9","0336111","201415"
"English Language Learners ","* ","* ","*","0336111","201415"
"Eligible for Free or ","50.0 ","* ","*","0336111","201415"
"Reduced-Price Meals","","","","0336111","201415"
"Students with Disabilities ","* ","* ","*","0336111","201415"
"School ","74.8 ","128 ","48.1","0336111","201415"
"District ","73.0 ","","47.1","0336111","201415"
"Female ","99.3 ","83 ","61.5","0336111","201516"
"Male ","99.3 ","74 ","49.0","0336111","201516"
"Black or African American ","100.0 ","* ","*","0336111","201516"
"Hispanic or Latino ","100.0 ","* ","*","0336111","201516"
"White ","99.1 ","133 ","59.6","0336111","201516"
"English Language Learners ","* ","0 ","*","0336111","201516"
"Eligible for Free or ","98.2 ","18 ","32.7","0336111","201516"
"Reduced-Price Meals","","","","0336111","201516"
"Students with Disabilities ","* ","* ","*","0336111","201516"
"School ","99.3 ","157 ","54.9","0336111","201516"
"District ","97.3 ","","53.4","0336111","201516"
"Female ","72.0 ","219 ","33.3","0346111","201314"
"Male ","62.4 ","203 ","30.1","0346111","201314"
"Black or African American ","67.7 ","17 ","13.4","0346111","201314"
"Hispanic or Latino ","44.0 ","64 ","13.7","0346111","201314"
"White ","81.6 ","275 ","46.4","0346111","201314"
"English Language Learners ","15.9 ","* ","*","0346111","201314"
"Eligible for Free or ","49.9 ","79 ","16.2","0346111","201314"
"Reduced-Price Meals","","","","0346111","201314"
"Students with Disabilities ","* ","* ","*","0346111","201314"
"School ","67.1 ","422 ","31.7","0346111","201314"
"District ","65.2 ","","30.6","0346111","201314"
"Female ","68.2","221 ","33.2","0346111","201415"
"Male ","55.9","176 ","27.6","0346111","201415"
"Black or African American ","63.6","* ","*","0346111","201415"
"Hispanic or Latino ","39.6","65 ","14.4","0346111","201415"
"White ","76.9","260 ","42.8","0346111","201415"
"English Language Learners ","14.9","7 ","3.7","0346111","201415"
"Eligible for Free or ","43.7","77 ","15.5","0346111","201415"
"Reduced-Price Meals",NA,"","","0346111","201415"
"Students with Disabilities ","26.9","* ","*","0346111","201415"
"School ","62.2","397 ","30.5","0346111","201415"
"District ","59.9","","29.2","0346111","201415"
"Female ","96.4 ","224 ","33.9","0346111","201516"
"Male ","93.7 ","203 ","29.7","0346111","201516"
"Black or African American ","94.4 ","28 ","19.4","0346111","201516"
"Hispanic or Latino ","92.9 ","70 ","15.1","0346111","201516"
"White ","96.7 ","275 ","44.8","0346111","201516"
"English Language Learners ","90.3 ","7 ","4.0","0346111","201516"
"Eligible for Free or ","93.8 ","89 ","17.2","0346111","201516"
"Reduced-Price Meals","","","","0346111","201516"
"Students with Disabilities ","* ","* ","*","0346111","201516"
"School ","95.0 ","427 ","31.7","0346111","201516"
"District ","94.5 ","","30.4","0346111","201516"
"Female ","* ","0","*","0346211","201314"
"Male ","* ","0","0.0","0346211","201314"
"Black or African American ","* ","0","*","0346211","201314"
"Hispanic or Latino ","* ","0","*","0346211","201314"
"White ","* ","0","*","0346211","201314"
"English Language Learners ","* ","0","*","0346211","201314"
"Eligible for Free or ","* ","0","0.0","0346211","201314"
"Reduced-Price Meals","",NA,"","0346211","201314"
"Students with Disabilities ","* ","0","*","0346211","201314"
"School ","* ","0","0.0","0346211","201314"
"District ","65.2 ",NA,"30.6","0346211","201314"
"Female ","* ","0","0.0","0346211","201415"
"Male ","* ","0","0.0","0346211","201415"
"Black or African American ","* ","0","*","0346211","201415"
"Hispanic or Latino ","0.0 ","0","0.0","0346211","201415"
"White ","* ","0","*","0346211","201415"
"English Language Learners ","* ","0","*","0346211","201415"
"Eligible for Free or ","* ","0","0.0","0346211","201415"
"Reduced-Price Meals","",NA,"","0346211","201415"
"Students with Disabilities ","* ","0","*","0346211","201415"
"School ","* ","0","0.0","0346211","201415"
"District ","59.9 ",NA,"29.2","0346211","201415"
"Female ","84.0 ","0","0.0","0346211","201516"
"Male ","92.0 ","0","0.0","0346211","201516"
"Black or African American ","* ","0","*","0346211","201516"
"Hispanic or Latino ","83.3 ","0","0.0","0346211","201516"
"White ","* ","0","*","0346211","201516"
"English Language Learners ","* ","0","*","0346211","201516"
"Eligible for Free or ","85.0 ","0","0.0","0346211","201516"
"Reduced-Price Meals","",NA,"","0346211","201516"
"Students with Disabilities ","* ","0","*","0346211","201516"
"School ","88.0 ","0","0.0","0346211","201516"
"District ","94.5 ",NA,"30.4","0346211","201516"
"Female ","95.0 ","285 ","83.6","0356111","201314"
"Male ","93.0 ","255 ","80.7","0356111","201314"
"Black or African American ","* ","* ","*","0356111","201314"
"Hispanic or Latino ","90.0 ","23 ","76.7","0356111","201314"
"White ","94.2 ","499 ","82.5","0356111","201314"
"English Language Learners ","* ","0 ","*","0356111","201314"
"Eligible for Free or ","N/A ","N/A ","N/A","0356111","201314"
"Reduced-Price Meals","","","","0356111","201314"
"Students with Disabilities ","77.8 ","10 ","37.0","0356111","201314"
"School ","94.1 ","540 ","82.2","0356111","201314"
"District ","92.3 ","","80.4","0356111","201314"
"Female ","93.1 ","277 ","82.7","0356111","201415"
"Male ","92.9 ","269 ","83.0","0356111","201415"
"Black or African American ","* ","* ","*","0356111","201415"
"Hispanic or Latino ","85.7 ","21 ","75.0","0356111","201415"
"White ","93.4 ","501 ","82.8","0356111","201415"
"English Language Learners ","N/A ","N/A ","N/A","0356111","201415"
"Eligible for Free or ","* ","* ","*","0356111","201415"
"Reduced-Price Meals","","","","0356111","201415"
"Students with Disabilities ","* ","7 ","*","0356111","201415"
"School ","93.0 ","546 ","82.9","0356111","201415"
"District ","91.3 ","","81.0","0356111","201415"
"Female ","99.0 ","274 ","88.1","0356111","201516"
"Male ","99.4 ","305 ","86.6","0356111","201516"
"Black or African American ","* ","* ","*","0356111","201516"
"Hispanic or Latino ","100.0 ","24 ","80.0","0356111","201516"
"White ","99.2 ","529 ","87.7","0356111","201516"
"English Language Learners ","* ","0 ","*","0356111","201516"
"Eligible for Free or ","* ","6 ","*","0356111","201516"
"Reduced-Price Meals","","","","0356111","201516"
"Students with Disabilities ","* ","9 ","*","0356111","201516"
"School ","99.2 ","579 ","87.3","0356111","201516"
"District ","98.1 ","","85.9","0356111","201516"
"Female ","66.0 ","13 ","13.0","0376111","201314"
"Male ","51.1 ","13 ","14.8","0376111","201314"
"Black or African American ","51.5 ","* ","*","0376111","201314"
"Hispanic or Latino ","* ","* ","*","0376111","201314"
"White ","68.5 ","20 ","18.0","0376111","201314"
"English Language Learners ","* ","0 ","*","0376111","201314"
"Eligible for Free or ","51.1 ","* ","*","0376111","201314"
"Reduced-Price Meals","","","","0376111","201314"
"Students with Disabilities ","* ","0 ","*","0376111","201314"
"School ","59.0 ","26 ","13.8","0376111","201314"
"District ","57.8 ","","13.5","0376111","201314"
"Female ","58.4 ","9 ","10.1","0376111","201415"
"Male ","42.7 ","10 ","12.2","0376111","201415"
"Black or African American ","* ","* ","*","0376111","201415"
"Hispanic or Latino ","45.5 ","* ","*","0376111","201415"
"White ","59.8 ","14 ","15.2","0376111","201415"
"English Language Learners ","* ","0 ","*","0376111","201415"
"Eligible for Free or ","42.3 ","* ","*","0376111","201415"
"Reduced-Price Meals","","","","0376111","201415"
"Students with Disabilities ","* ","0 ","*","0376111","201415"
"School ","50.9 ","19 ","11.1","0376111","201415"
"District ","49.4 ","","10.8","0376111","201415"
"Female ","97.5 ","9 ","11.1","0376111","201516"
"Male ","94.3 ","13 ","14.8","0376111","201516"
"Black or African American ","88.5 ","* ","*","0376111","201516"
"Hispanic or Latino ","93.5 ","* ","*","0376111","201516"
"White ","98.9 ","14 ","15.9","0376111","201516"
"English Language Learners ","* ","* ","*","0376111","201516"
"Eligible for Free or ","93.2 ","9 ","8.7","0376111","201516"
"Reduced-Price Meals","","","","0376111","201516"
"Students with Disabilities ","* ","0 ","*","0376111","201516"
"School ","95.9 ","22 ","13.0","0376111","201516"
"District ","95.3 ","","12.9","0376111","201516"
"Female ","87.7 ","39 ","68.4","0406111","201314"
"Male ","70.8 ","38 ","52.8","0406111","201314"
"Black or African American ","* ","* ","*","0406111","201314"
"Hispanic or Latino ","* ","0 ","*","0406111","201314"
"White ","80.9 ","73 ","63.5","0406111","201314"
"English Language Learners ","N/A ","N/A ","N/A","0406111","201314"
"Eligible for Free or ","* ","* ","*","0406111","201314"
"Reduced-Price Meals","","","","0406111","201314"
"Students with Disabilities ","* ","* ","*","0406111","201314"
"School ","78.3 ","77 ","59.7","0406111","201314"
"District ","77.1 ","","58.8","0406111","201314"
"Female ","86.9 ","39 ","63.9","0406111","201415"
"Male ","69.4 ","39 ","54.2","0406111","201415"
"Black or African American ","* ","* ","*","0406111","201415"
"Hispanic or Latino ","* ","* ","*","0406111","201415"
"White ","77.4 ","69 ","60.0","0406111","201415"
"English Language Learners ","N/A ","N/A ","N/A","0406111","201415"
"Eligible for Free or ","* ","* ","*","0406111","201415"
"Reduced-Price Meals","","","","0406111","201415"
"Students with Disabilities ","* ","* ","*","0406111","201415"
"School ","77.4 ","78 ","58.6","0406111","201415"
"District ","74.1 ","","56.1","0406111","201415"
"Female ","100.0 ","34 ","55.7","0406111","201516"
"Male ","100.0 ","40 ","55.6","0406111","201516"
"Black or African American ","* ","* ","*","0406111","201516"
"Hispanic or Latino ","* ","* ","*","0406111","201516"
"White ","100.0 ","68 ","61.8","0406111","201516"
"English Language Learners ","N/A ","N/A ","N/A","0406111","201516"
"Eligible for Free or ","* ","* ","*","0406111","201516"
"Reduced-Price Meals","","","","0406111","201516"
"Students with Disabilities ","* ","0 ","*","0406111","201516"
"School ","100.0 ","74 ","55.6","0406111","201516"
"District ","98.5 ","","54.4","0406111","201516"
"Female ","69.4 ","36 ","36.7","0416111","201314"
"Male ","62.7 ","41 ","37.3","0416111","201314"
"Black or African American ","* ","* ","*","0416111","201314"
"Hispanic or Latino ","* ","* ","*","0416111","201314"
"White ","65.0 ","72 ","36.0","0416111","201314"
"English Language Learners ","N/A ","N/A ","N/A","0416111","201314"
"Eligible for Free or ","32.0 ","* ","*","0416111","201314"
"Reduced-Price Meals","","","","0416111","201314"
"Students with Disabilities ","* ","* ","*","0416111","201314"
"School ","65.9 ","77 ","37.0","0416111","201314"
"District ","63.4 ","","35.6","0416111","201314"
"Female ","74.7 ","37 ","42.5","0416111","201415"
"Male ","60.2 ","40 ","43.0","0416111","201415"
"Black or African American ","* ","0 ","*","0416111","201415"
"Hispanic or Latino ","* ","* ","*","0416111","201415"
"White ","67.1 ","74 ","42.8","0416111","201415"
"English Language Learners ","N/A ","N/A ","N/A","0416111","201415"
"Eligible for Free or ","37.0 ","* ","*","0416111","201415"
"Reduced-Price Meals","","","","0416111","201415"
"Students with Disabilities ","* ","* ","*","0416111","201415"
"School ","67.2 ","77 ","42.8","0416111","201415"
"District ","65.1 ","","41.4","0416111","201415"
"Female ","96.9 ","35 ","36.5","0416111","201516"
"Male ","97.1 ","29 ","42.0","0416111","201516"
"Black or African American ","* ","* ","*","0416111","201516"
"Hispanic or Latino ","* ","* ","*","0416111","201516"
"White ","96.7 ","58 ","38.4","0416111","201516"
"English Language Learners ","N/A ","N/A ","N/A","0416111","201516"
"Eligible for Free or ","* ","* ","*","0416111","201516"
"Reduced-Price Meals","","","","0416111","201516"
"Students with Disabilities ","* ","0 ","*","0416111","201516"
"School ","97.0 ","64 ","38.8","0416111","201516"
"District ","94.7 ","","37.9","0416111","201516"
"Female ","82.4 ","73 ","55.7","0426111","201314"
"Male ","80.7 ","53 ","46.5","0426111","201314"
"Black or African American ","* ","* ","*","0426111","201314"
"Hispanic or Latino ","* ","* ","*","0426111","201314"
"White ","81.9 ","119 ","52.7","0426111","201314"
"English Language Learners ","N/A ","N/A ","N/A","0426111","201314"
"Eligible for Free or ","54.5 ","7 ","31.8","0426111","201314"
"Reduced-Price Meals","","","","0426111","201314"
"Students with Disabilities ","* ","0 ","*","0426111","201314"
"School ","81.6 ","126 ","51.4","0426111","201314"
"District ","79.1 ","","49.6","0426111","201314"
"Female ","86.0 ","83 ","58.0","0426111","201415"
"Male ","70.5 ","60 ","49.2","0426111","201415"
"Black or African American ","* ","0 ","*","0426111","201415"
"Hispanic or Latino ","* ","* ","*","0426111","201415"
"White ","78.8 ","133 ","54.3","0426111","201415"
"English Language Learners ","N/A ","N/A ","N/A","0426111","201415"
"Eligible for Free or ","38.9 ","7 ","19.4","0426111","201415"
"Reduced-Price Meals","","","","0426111","201415"
