"category","percent","school_code","year"
"State Low Poverty Quartile Schools ","99.5","0154011","201314"
"School ","100","0154011","201415"
"State High Poverty Quartile Schools ","97.9","0154011","201415"
"State Low Poverty Quartile Schools ","99.6","0154011","201415"
"School ","100","0154011","201516"
"State High Poverty Quartile Schools ","97.6","0154011","201516"
"State Low Poverty Quartile Schools ","99.6","0154011","201516"
"School ","100","0154111","201314"
"State High Poverty Quartile Schools ","97.8","0154111","201314"
"State Low Poverty Quartile Schools ","99.5","0154111","201314"
"School ","91.2","0154111","201415"
"State High Poverty Quartile Schools ","97.9","0154111","201415"
"State Low Poverty Quartile Schools ","99.6","0154111","201415"
"School ","100","0154111","201516"
"State High Poverty Quartile Schools ","97.6","0154111","201516"
"State Low Poverty Quartile Schools ","99.6","0154111","201516"
"School ","100","0154211","201314"
"State High Poverty Quartile Schools ","97.8","0154211","201314"
"State Low Poverty Quartile Schools ","99.5","0154211","201314"
"School ","100","0154211","201415"
"State High Poverty Quartile Schools ","97.9","0154211","201415"
"State Low Poverty Quartile Schools ","99.6","0154211","201415"
"School ","100","0154211","201516"
"State High Poverty Quartile Schools ","97.6","0154211","201516"
"State Low Poverty Quartile Schools ","99.6","0154211","201516"
"School ","100","0154411","201314"
"State High Poverty Quartile Schools ","97.8","0154411","201314"
"State Low Poverty Quartile Schools ","99.5","0154411","201314"
"School ","100","0154411","201415"
"State High Poverty Quartile Schools ","97.9","0154411","201415"
"State Low Poverty Quartile Schools ","99.6","0154411","201415"
"School ","100","0154411","201516"
"State High Poverty Quartile Schools ","97.6","0154411","201516"
"State Low Poverty Quartile Schools ","99.6","0154411","201516"
"School ","100","0154511","201314"
"State High Poverty Quartile Schools ","97.8","0154511","201314"
"State Low Poverty Quartile Schools ","99.5","0154511","201314"
"School ","100","0154511","201415"
"State High Poverty Quartile Schools ","97.9","0154511","201415"
"State Low Poverty Quartile Schools ","99.6","0154511","201415"
"School ","100","0154511","201516"
"State High Poverty Quartile Schools ","97.6","0154511","201516"
"State Low Poverty Quartile Schools ","99.6","0154511","201516"
"School ","100","0154611","201314"
"State High Poverty Quartile Schools ","97.8","0154611","201314"
"State Low Poverty Quartile Schools ","99.5","0154611","201314"
"School ","100","0154611","201415"
"State High Poverty Quartile Schools ","97.9","0154611","201415"
"State Low Poverty Quartile Schools ","99.6","0154611","201415"
"School ","100","0154611","201516"
"State High Poverty Quartile Schools ","97.6","0154611","201516"
"State Low Poverty Quartile Schools ","99.6","0154611","201516"
"School ","100","0156111","201314"
"State High Poverty Quartile Schools ","97.8","0156111","201314"
"State Low Poverty Quartile Schools ","99.5","0156111","201314"
"School ","93.8","0156111","201415"
"State High Poverty Quartile Schools ","97.9","0156111","201415"
"State Low Poverty Quartile Schools ","99.6","0156111","201415"
"School ","98.3","0156111","201516"
"State High Poverty Quartile Schools ","97.6","0156111","201516"
"State Low Poverty Quartile Schools ","99.6","0156111","201516"
"School ","100","0156211","201314"
"State High Poverty Quartile Schools ","97.8","0156211","201314"
"State Low Poverty Quartile Schools ","99.5","0156211","201314"
"School ","100","0156211","201415"
"State High Poverty Quartile Schools ","97.9","0156211","201415"
"State Low Poverty Quartile Schools ","99.6","0156211","201415"
"School ","100","0156211","201516"
"State High Poverty Quartile Schools ","97.6","0156211","201516"
"State Low Poverty Quartile Schools ","99.6","0156211","201516"
"School ","98.3","0156311","201314"
"State High Poverty Quartile Schools ","97.8","0156311","201314"
"State Low Poverty Quartile Schools ","99.5","0156311","201314"
"School ","97","0156311","201415"
"State High Poverty Quartile Schools ","97.9","0156311","201415"
"State Low Poverty Quartile Schools ","99.6","0156311","201415"
"School ","100","0156311","201516"
"State High Poverty Quartile Schools ","97.6","0156311","201516"
"State Low Poverty Quartile Schools ","99.6","0156311","201516"
"School ","100","0170311","201314"
"State High Poverty Quartile Schools ","97.8","0170311","201314"
"State Low Poverty Quartile Schools ","99.5","0170311","201314"
"School ","100","0170311","201415"
"State High Poverty Quartile Schools ","97.9","0170311","201415"
"State Low Poverty Quartile Schools ","99.6","0170311","201415"
"School ","100","0170311","201516"
"State High Poverty Quartile Schools ","97.6","0170311","201516"
"State Low Poverty Quartile Schools ","99.6","0170311","201516"
"School ","100","0170411","201415"
"State High Poverty Quartile Schools ","97.9","0170411","201415"
"State Low Poverty Quartile Schools ","99.6","0170411","201415"
"School ","100","0170411","201516"
"State High Poverty Quartile Schools ","97.6","0170411","201516"
"State Low Poverty Quartile Schools ","99.6","0170411","201516"
"School ","100","0170511","201314"
"State High Poverty Quartile Schools ","97.8","0170511","201314"
"State Low Poverty Quartile Schools ","99.5","0170511","201314"
"School ","100","0170511","201415"
"State High Poverty Quartile Schools ","97.9","0170511","201415"
"State Low Poverty Quartile Schools ","99.6","0170511","201415"
"School ","100","0170511","201516"
"State High Poverty Quartile Schools ","97.6","0170511","201516"
"State Low Poverty Quartile Schools ","99.6","0170511","201516"
"School ","96.5","0171111","201314"
"State High Poverty Quartile Schools ","97.8","0171111","201314"
"State Low Poverty Quartile Schools ","99.5","0171111","201314"
"School ","100","0171111","201415"
"State High Poverty Quartile Schools ","97.9","0171111","201415"
"State Low Poverty Quartile Schools ","99.6","0171111","201415"
"School ","100","0171111","201516"
"State High Poverty Quartile Schools ","97.6","0171111","201516"
"State Low Poverty Quartile Schools ","99.6","0171111","201516"
"School ","98.2","0171211","201314"
"State High Poverty Quartile Schools ","97.8","0171211","201314"
"State Low Poverty Quartile Schools ","99.5","0171211","201314"
"School ","100","0171211","201415"
"State High Poverty Quartile Schools ","97.9","0171211","201415"
"State Low Poverty Quartile Schools ","99.6","0171211","201415"
"School ","100","0171211","201516"
"State High Poverty Quartile Schools ","97.6","0171211","201516"
"State Low Poverty Quartile Schools ","99.6","0171211","201516"
"School ","93.5","0171411","201314"
"State High Poverty Quartile Schools ","97.8","0171411","201314"
"State Low Poverty Quartile Schools ","99.5","0171411","201314"
"School ","100","0171411","201415"
"State High Poverty Quartile Schools ","97.9","0171411","201415"
"State Low Poverty Quartile Schools ","99.6","0171411","201415"
"School ","100","0171411","201516"
"State High Poverty Quartile Schools ","97.6","0171411","201516"
"State Low Poverty Quartile Schools ","99.6","0171411","201516"
"School ","100","0171711","201314"
"State High Poverty Quartile Schools ","97.8","0171711","201314"
"State Low Poverty Quartile Schools ","99.5","0171711","201314"
"School ","100","0171711","201415"
"State High Poverty Quartile Schools ","97.9","0171711","201415"
"State Low Poverty Quartile Schools ","99.6","0171711","201415"
"School ","100","0171711","201516"
"State High Poverty Quartile Schools ","97.6","0171711","201516"
"State Low Poverty Quartile Schools ","99.6","0171711","201516"
"School ","100","0171911","201314"
"State High Poverty Quartile Schools ","97.8","0171911","201314"
"State Low Poverty Quartile Schools ","99.5","0171911","201314"
"School ","100","0171911","201415"
"State High Poverty Quartile Schools ","97.9","0171911","201415"
"State Low Poverty Quartile Schools ","99.6","0171911","201415"
"School ","100","0171911","201516"
"State High Poverty Quartile Schools ","97.6","0171911","201516"
"State Low Poverty Quartile Schools ","99.6","0171911","201516"
"School ","100","0172011","201314"
"State High Poverty Quartile Schools ","97.8","0172011","201314"
"State Low Poverty Quartile Schools ","99.5","0172011","201314"
"School ","100","0172011","201415"
"State High Poverty Quartile Schools ","97.9","0172011","201415"
"State Low Poverty Quartile Schools ","99.6","0172011","201415"
"School ","100","0172011","201516"
"State High Poverty Quartile Schools ","97.6","0172011","201516"
"State Low Poverty Quartile Schools ","99.6","0172011","201516"
"School ","98","0175111","201314"
"State High Poverty Quartile Schools ","97.8","0175111","201314"
"State Low Poverty Quartile Schools ","99.5","0175111","201314"
"School ","100","0175111","201415"
"State High Poverty Quartile Schools ","97.9","0175111","201415"
"State Low Poverty Quartile Schools ","99.6","0175111","201415"
"School ","100","0175111","201516"
"State High Poverty Quartile Schools ","97.6","0175111","201516"
"State Low Poverty Quartile Schools ","99.6","0175111","201516"
"School ","100","0175211","201314"
"State High Poverty Quartile Schools ","97.8","0175211","201314"
"State Low Poverty Quartile Schools ","99.5","0175211","201314"
"School ","100","0175211","201415"
"State High Poverty Quartile Schools ","97.9","0175211","201415"
"State Low Poverty Quartile Schools ","99.6","0175211","201415"
"School ","100","0175211","201516"
"State High Poverty Quartile Schools ","97.6","0175211","201516"
"State Low Poverty Quartile Schools ","99.6","0175211","201516"
"School ","100","0176111","201314"
"State High Poverty Quartile Schools ","97.8","0176111","201314"
"State Low Poverty Quartile Schools ","99.5","0176111","201314"
"School ","100","0176111","201415"
"State High Poverty Quartile Schools ","97.9","0176111","201415"
"State Low Poverty Quartile Schools ","99.6","0176111","201415"
"School ","100","0176111","201516"
"State High Poverty Quartile Schools ","97.6","0176111","201516"
"State Low Poverty Quartile Schools ","99.6","0176111","201516"
"School ","100","0176211","201314"
"State High Poverty Quartile Schools ","97.8","0176211","201314"
"State Low Poverty Quartile Schools ","99.5","0176211","201314"
"School ","100","0176211","201415"
"State High Poverty Quartile Schools ","97.9","0176211","201415"
"State Low Poverty Quartile Schools ","99.6","0176211","201415"
"School ","100","0176211","201516"
"State High Poverty Quartile Schools ","97.6","0176211","201516"
"State Low Poverty Quartile Schools ","99.6","0176211","201516"
"School ","100","0180311","201314"
"State High Poverty Quartile Schools ","97.8","0180311","201314"
"State Low Poverty Quartile Schools ","99.5","0180311","201314"
"School ","100","0180311","201415"
"State High Poverty Quartile Schools ","97.9","0180311","201415"
"State Low Poverty Quartile Schools ","99.6","0180311","201415"
"School ","100","0180311","201516"
"State High Poverty Quartile Schools ","97.6","0180311","201516"
"State Low Poverty Quartile Schools ","99.6","0180311","201516"
"School ","100","0180411","201314"
"State High Poverty Quartile Schools ","97.8","0180411","201314"
"State Low Poverty Quartile Schools ","99.5","0180411","201314"
"School ","100","0180411","201415"
"State High Poverty Quartile Schools ","97.9","0180411","201415"
"State Low Poverty Quartile Schools ","99.6","0180411","201415"
"School ","100","0180411","201516"
"State High Poverty Quartile Schools ","97.6","0180411","201516"
"State Low Poverty Quartile Schools ","99.6","0180411","201516"
"School ","100","0185311","201314"
"State High Poverty Quartile Schools ","97.8","0185311","201314"
"State Low Poverty Quartile Schools ","99.5","0185311","201314"
"School ","97.9","0185311","201415"
"State High Poverty Quartile Schools ","97.9","0185311","201415"
"State Low Poverty Quartile Schools ","99.6","0185311","201415"
"School ","100","0185311","201516"
"State High Poverty Quartile Schools ","97.6","0185311","201516"
"State Low Poverty Quartile Schools ","99.6","0185311","201516"
"School ","100","0186111","201314"
"State High Poverty Quartile Schools ","97.8","0186111","201314"
"State Low Poverty Quartile Schools ","99.5","0186111","201314"
"School ","98.3","0186111","201415"
"State High Poverty Quartile Schools ","97.9","0186111","201415"
"State Low Poverty Quartile Schools ","99.6","0186111","201415"
"School ","100","0186111","201516"
"State High Poverty Quartile Schools ","97.6","0186111","201516"
"State Low Poverty Quartile Schools ","99.6","0186111","201516"
"School ","100","0190111","201314"
"State High Poverty Quartile Schools ","97.8","0190111","201314"
"State Low Poverty Quartile Schools ","99.5","0190111","201314"
"School ","100","0190111","201415"
"State High Poverty Quartile Schools ","97.9","0190111","201415"
"State Low Poverty Quartile Schools ","99.6","0190111","201415"
"School ","100","0190111","201516"
"State High Poverty Quartile Schools ","97.6","0190111","201516"
"State Low Poverty Quartile Schools ","99.6","0190111","201516"
"School ","100","0195111","201314"
"State High Poverty Quartile Schools ","97.8","0195111","201314"
"State Low Poverty Quartile Schools ","99.5","0195111","201314"
"School ","99","0195111","201415"
"State High Poverty Quartile Schools ","97.9","0195111","201415"
"State Low Poverty Quartile Schools ","99.6","0195111","201415"
"School ","100","0195111","201516"
"State High Poverty Quartile Schools ","97.6","0195111","201516"
"State Low Poverty Quartile Schools ","99.6","0195111","201516"
"School ","92.9","0210111","201314"
"State High Poverty Quartile Schools ","97.8","0210111","201314"
"State Low Poverty Quartile Schools ","99.5","0210111","201314"
"School ","100","0210111","201415"
"State High Poverty Quartile Schools ","97.9","0210111","201415"
"State Low Poverty Quartile Schools ","99.6","0210111","201415"
"School ","100","0210111","201516"
"State High Poverty Quartile Schools ","97.6","0210111","201516"
"State Low Poverty Quartile Schools ","99.6","0210111","201516"
"School ","100","0220211","201314"
"State High Poverty Quartile Schools ","97.8","0220211","201314"
"State Low Poverty Quartile Schools ","99.5","0220211","201314"
"School ","100","0220211","201415"
"State High Poverty Quartile Schools ","97.9","0220211","201415"
"State Low Poverty Quartile Schools ","99.6","0220211","201415"
"School ","100","0220211","201516"
"State High Poverty Quartile Schools ","97.6","0220211","201516"
"State Low Poverty Quartile Schools ","99.6","0220211","201516"
"School ","100","0225111","201314"
"State High Poverty Quartile Schools ","97.8","0225111","201314"
"State Low Poverty Quartile Schools ","99.5","0225111","201314"
"School ","100","0225111","201415"
"State High Poverty Quartile Schools ","97.9","0225111","201415"
"State Low Poverty Quartile Schools ","99.6","0225111","201415"
"School ","93.2","0225111","201516"
"State High Poverty Quartile Schools ","97.6","0225111","201516"
"State Low Poverty Quartile Schools ","99.6","0225111","201516"
"School ","100","0230211","201314"
"State High Poverty Quartile Schools ","97.8","0230211","201314"
"State Low Poverty Quartile Schools ","99.5","0230211","201314"
"School ","100","0230211","201415"
"State High Poverty Quartile Schools ","97.9","0230211","201415"
"State Low Poverty Quartile Schools ","99.6","0230211","201415"
"School ","100","0230211","201516"
"State High Poverty Quartile Schools ","97.6","0230211","201516"
"State Low Poverty Quartile Schools ","99.6","0230211","201516"
"School ","92.8","0230311","201314"
"State High Poverty Quartile Schools ","97.8","0230311","201314"
"State Low Poverty Quartile Schools ","99.5","0230311","201314"
"School ","100","0230311","201415"
"State High Poverty Quartile Schools ","97.9","0230311","201415"
"State Low Poverty Quartile Schools ","99.6","0230311","201415"
"School ","100","0230311","201516"
"State High Poverty Quartile Schools ","97.6","0230311","201516"
"State Low Poverty Quartile Schools ","99.6","0230311","201516"
"School ","100","0235111","201314"
"State High Poverty Quartile Schools ","97.8","0235111","201314"
"State Low Poverty Quartile Schools ","99.5","0235111","201314"
"School ","100","0235111","201415"
"State High Poverty Quartile Schools ","97.9","0235111","201415"
"State Low Poverty Quartile Schools ","99.6","0235111","201415"
"School ","100","0235111","201516"
"State High Poverty Quartile Schools ","97.6","0235111","201516"
"State Low Poverty Quartile Schools ","99.6","0235111","201516"
"School ","100","0236111","201314"
"State High Poverty Quartile Schools ","97.8","0236111","201314"
"State Low Poverty Quartile Schools ","99.5","0236111","201314"
"School ","100","0236111","201415"
"State High Poverty Quartile Schools ","97.9","0236111","201415"
"State Low Poverty Quartile Schools ","99.6","0236111","201415"
"School ","100","0236111","201516"
"State High Poverty Quartile Schools ","97.6","0236111","201516"
"State Low Poverty Quartile Schools ","99.6","0236111","201516"
"School ","100","0240211","201314"
"State High Poverty Quartile Schools ","97.8","0240211","201314"
"State Low Poverty Quartile Schools ","99.5","0240211","201314"
"School ","100","0240211","201415"
"State High Poverty Quartile Schools ","97.9","0240211","201415"
"State Low Poverty Quartile Schools ","99.6","0240211","201415"
"School ","100","0240211","201516"
"State High Poverty Quartile Schools ","97.6","0240211","201516"
"State Low Poverty Quartile Schools ","99.6","0240211","201516"
"School ","100","0250111","201314"
"State High Poverty Quartile Schools ","97.8","0250111","201314"
"State Low Poverty Quartile Schools ","99.5","0250111","201314"
"School ","100","0250111","201415"
"State High Poverty Quartile Schools ","97.9","0250111","201415"
"State Low Poverty Quartile Schools ","99.6","0250111","201415"
"School ","100","0250111","201516"
"State High Poverty Quartile Schools ","97.6","0250111","201516"
"State Low Poverty Quartile Schools ","99.6","0250111","201516"
"School ","100","0250211","201314"
"State High Poverty Quartile Schools ","97.8","0250211","201314"
"State Low Poverty Quartile Schools ","99.5","0250211","201314"
"School ","100","0250211","201415"
"State High Poverty Quartile Schools ","97.9","0250211","201415"
"State Low Poverty Quartile Schools ","99.6","0250211","201415"
"School ","100","0250211","201516"
"State High Poverty Quartile Schools ","97.6","0250211","201516"
"State Low Poverty Quartile Schools ","99.6","0250211","201516"
"School ","100","0250411","201314"
"State High Poverty Quartile Schools ","97.8","0250411","201314"
"State Low Poverty Quartile Schools ","99.5","0250411","201314"
"School ","100","0250411","201415"
"State High Poverty Quartile Schools ","97.9","0250411","201415"
"State Low Poverty Quartile Schools ","99.6","0250411","201415"
"School ","100","0250411","201516"
"State High Poverty Quartile Schools ","97.6","0250411","201516"
"State Low Poverty Quartile Schools ","99.6","0250411","201516"
"School ","100","0250511","201314"
"State High Poverty Quartile Schools ","97.8","0250511","201314"
"State Low Poverty Quartile Schools ","99.5","0250511","201314"
"School ","100","0250511","201415"
"State High Poverty Quartile Schools ","97.9","0250511","201415"
"State Low Poverty Quartile Schools ","99.6","0250511","201415"
"School ","100","0250511","201516"
"State High Poverty Quartile Schools ","97.6","0250511","201516"
"State Low Poverty Quartile Schools ","99.6","0250511","201516"
"School ","100","0250611","201314"
"State High Poverty Quartile Schools ","97.8","0250611","201314"
"State Low Poverty Quartile Schools ","99.5","0250611","201314"
"School ","100","0250611","201415"
"State High Poverty Quartile Schools ","97.9","0250611","201415"
"State Low Poverty Quartile Schools ","99.6","0250611","201415"
"School ","100","0250611","201516"
"State High Poverty Quartile Schools ","97.6","0250611","201516"
"State Low Poverty Quartile Schools ","99.6","0250611","201516"
"School ","100","0255111","201314"
"State High Poverty Quartile Schools ","97.8","0255111","201314"
"State Low Poverty Quartile Schools ","99.5","0255111","201314"
"School ","100","0255111","201415"
"State High Poverty Quartile Schools ","97.9","0255111","201415"
"State Low Poverty Quartile Schools ","99.6","0255111","201415"
"School ","100","0255111","201516"
"State High Poverty Quartile Schools ","97.6","0255111","201516"
"State Low Poverty Quartile Schools ","99.6","0255111","201516"
"School ","100","0256111","201314"
"State High Poverty Quartile Schools ","97.8","0256111","201314"
"State Low Poverty Quartile Schools ","99.5","0256111","201314"
"School ","100","0256111","201415"
"State High Poverty Quartile Schools ","97.9","0256111","201415"
"State Low Poverty Quartile Schools ","99.6","0256111","201415"
"School ","100","0256111","201516"
"State High Poverty Quartile Schools ","97.6","0256111","201516"
"State Low Poverty Quartile Schools ","99.6","0256111","201516"
"School ","100","0260111","201314"
"State High Poverty Quartile Schools ","97.8","0260111","201314"
"State Low Poverty Quartile Schools ","99.5","0260111","201314"
"School ","100","0260111","201415"
"State High Poverty Quartile Schools ","97.9","0260111","201415"
"State Low Poverty Quartile Schools ","99.6","0260111","201415"
"School ","100","0260111","201516"
"State High Poverty Quartile Schools ","97.6","0260111","201516"
"State Low Poverty Quartile Schools ","99.6","0260111","201516"
"School ","100","0270111","201314"
"State High Poverty Quartile Schools ","97.8","0270111","201314"
"State Low Poverty Quartile Schools ","99.5","0270111","201314"
"School ","100","0270111","201415"
"State High Poverty Quartile Schools ","97.9","0270111","201415"
"State Low Poverty Quartile Schools ","99.6","0270111","201415"
"School ","100","0270111","201516"
"State High Poverty Quartile Schools ","97.6","0270111","201516"
"State Low Poverty Quartile Schools ","99.6","0270111","201516"
"School ","99.1","0270311","201314"
"State High Poverty Quartile Schools ","97.8","0270311","201314"
"State Low Poverty Quartile Schools ","99.5","0270311","201314"
"School ","100","0270311","201415"
"State High Poverty Quartile Schools ","97.9","0270311","201415"
"State Low Poverty Quartile Schools ","99.6","0270311","201415"
"School ","100","0270311","201516"
"State High Poverty Quartile Schools ","97.6","0270311","201516"
"State Low Poverty Quartile Schools ","99.6","0270311","201516"
"School ","100","0275111","201314"
"State High Poverty Quartile Schools ","97.8","0275111","201314"
"State Low Poverty Quartile Schools ","99.5","0275111","201314"
"School ","100","0275111","201415"
"State High Poverty Quartile Schools ","97.9","0275111","201415"
"State Low Poverty Quartile Schools ","99.6","0275111","201415"
"School ","100","0275111","201516"
"State High Poverty Quartile Schools ","97.6","0275111","201516"
"State Low Poverty Quartile Schools ","99.6","0275111","201516"
"School ","100","0276111","201314"
"State High Poverty Quartile Schools ","97.8","0276111","201314"
"State Low Poverty Quartile Schools ","99.5","0276111","201314"
"School ","100","0276111","201415"
"State High Poverty Quartile Schools ","97.9","0276111","201415"
"State Low Poverty Quartile Schools ","99.6","0276111","201415"
"School ","100","0276111","201516"
"State High Poverty Quartile Schools ","97.6","0276111","201516"
"State Low Poverty Quartile Schools ","99.6","0276111","201516"
"School ","100","0280211","201314"
"State High Poverty Quartile Schools ","97.8","0280211","201314"
"State Low Poverty Quartile Schools ","99.5","0280211","201314"
"School ","100","0280211","201415"
"State High Poverty Quartile Schools ","97.9","0280211","201415"
"State Low Poverty Quartile Schools ","99.6","0280211","201415"
"School ","100","0280211","201516"
"State High Poverty Quartile Schools ","97.6","0280211","201516"
"State Low Poverty Quartile Schools ","99.6","0280211","201516"
"School ","98.2","0280411","201314"
"State High Poverty Quartile Schools ","97.8","0280411","201314"
"State Low Poverty Quartile Schools ","99.5","0280411","201314"
"School ","100","0280411","201415"
"State High Poverty Quartile Schools ","97.9","0280411","201415"
"State Low Poverty Quartile Schools ","99.6","0280411","201415"
"School ","100","0280411","201516"
"State High Poverty Quartile Schools ","97.6","0280411","201516"
"State Low Poverty Quartile Schools ","99.6","0280411","201516"
"School ","97.8","0285111","201314"
"State High Poverty Quartile Schools ","97.8","0285111","201314"
"State Low Poverty Quartile Schools ","99.5","0285111","201314"
"School ","100","0285111","201415"
"State High Poverty Quartile Schools ","97.9","0285111","201415"
"State Low Poverty Quartile Schools ","99.6","0285111","201415"
"School ","100","0285111","201516"
"State High Poverty Quartile Schools ","97.6","0285111","201516"
"State Low Poverty Quartile Schools ","99.6","0285111","201516"
"School ","100","0286111","201314"
"State High Poverty Quartile Schools ","97.8","0286111","201314"
"State Low Poverty Quartile Schools ","99.5","0286111","201314"
"School ","100","0286111","201415"
"State High Poverty Quartile Schools ","97.9","0286111","201415"
"State Low Poverty Quartile Schools ","99.6","0286111","201415"
"School ","100","0286111","201516"
"State High Poverty Quartile Schools ","97.6","0286111","201516"
"State Low Poverty Quartile Schools ","99.6","0286111","201516"
"School ","100","0290111","201314"
"State High Poverty Quartile Schools ","97.8","0290111","201314"
"State Low Poverty Quartile Schools ","99.5","0290111","201314"
"School ","100","0290111","201415"
"State High Poverty Quartile Schools ","97.9","0290111","201415"
"State Low Poverty Quartile Schools ","99.6","0290111","201415"
"School ","100","0290111","201516"
"State High Poverty Quartile Schools ","97.6","0290111","201516"
"State Low Poverty Quartile Schools ","99.6","0290111","201516"
"School ","100","0300111","201314"
"State High Poverty Quartile Schools ","97.8","0300111","201314"
"State Low Poverty Quartile Schools ","99.5","0300111","201314"
"School ","98.9","0300111","201415"
"State High Poverty Quartile Schools ","97.9","0300111","201415"
"State Low Poverty Quartile Schools ","99.6","0300111","201415"
"School ","100","0300111","201516"
"State High Poverty Quartile Schools ","97.6","0300111","201516"
"State Low Poverty Quartile Schools ","99.6","0300111","201516"
"School ","100","0310111","201314"
"State High Poverty Quartile Schools ","97.8","0310111","201314"
"State Low Poverty Quartile Schools ","99.5","0310111","201314"
"School ","100","0310111","201415"
"State High Poverty Quartile Schools ","97.9","0310111","201415"
"State Low Poverty Quartile Schools ","99.6","0310111","201415"
"School ","100","0310111","201516"
"State High Poverty Quartile Schools ","97.6","0310111","201516"
"State Low Poverty Quartile Schools ","99.6","0310111","201516"
"School ","100","0320211","201314"
"State High Poverty Quartile Schools ","97.8","0320211","201314"
"State Low Poverty Quartile Schools ","99.5","0320211","201314"
"School ","100","0320211","201415"
"State High Poverty Quartile Schools ","97.9","0320211","201415"
"State Low Poverty Quartile Schools ","99.6","0320211","201415"
"School ","100","0320211","201516"
"State High Poverty Quartile Schools ","97.6","0320211","201516"
"State Low Poverty Quartile Schools ","99.6","0320211","201516"
"School ","100","0320411","201314"
"State High Poverty Quartile Schools ","97.8","0320411","201314"
"State Low Poverty Quartile Schools ","99.5","0320411","201314"
"School ","100","0320411","201415"
"State High Poverty Quartile Schools ","97.9","0320411","201415"
"State Low Poverty Quartile Schools ","99.6","0320411","201415"
"School ","100","0320411","201516"
"State High Poverty Quartile Schools ","97.6","0320411","201516"
"State Low Poverty Quartile Schools ","99.6","0320411","201516"
"School ","100","0325111","201314"
"State High Poverty Quartile Schools ","97.8","0325111","201314"
"State Low Poverty Quartile Schools ","99.5","0325111","201314"
"School ","100","0325111","201415"
"State High Poverty Quartile Schools ","97.9","0325111","201415"
"State Low Poverty Quartile Schools ","99.6","0325111","201415"
"School ","100","0325111","201516"
"State High Poverty Quartile Schools ","97.6","0325111","201516"
"State Low Poverty Quartile Schools ","99.6","0325111","201516"
"School ","100","0326111","201314"
"State High Poverty Quartile Schools ","97.8","0326111","201314"
"State Low Poverty Quartile Schools ","99.5","0326111","201314"
"School ","97.2","0326111","201415"
"State High Poverty Quartile Schools ","97.9","0326111","201415"
"State Low Poverty Quartile Schools ","99.6","0326111","201415"
"School ","100","0326111","201516"
"State High Poverty Quartile Schools ","97.6","0326111","201516"
"State Low Poverty Quartile Schools ","99.6","0326111","201516"
"School ","100","0330211","201314"
"State High Poverty Quartile Schools ","97.8","0330211","201314"
"State Low Poverty Quartile Schools ","99.5","0330211","201314"
"School ","98.2","0330211","201415"
"State High Poverty Quartile Schools ","97.9","0330211","201415"
"State Low Poverty Quartile Schools ","99.6","0330211","201415"
"School ","100","0330211","201516"
"State High Poverty Quartile Schools ","97.6","0330211","201516"
"State Low Poverty Quartile Schools ","99.6","0330211","201516"
"School ","100","0330311","201314"
"State High Poverty Quartile Schools ","97.8","0330311","201314"
"State Low Poverty Quartile Schools ","99.5","0330311","201314"
"School ","100","0330311","201415"
"State High Poverty Quartile Schools ","97.9","0330311","201415"
"State Low Poverty Quartile Schools ","99.6","0330311","201415"
"School ","97","0330311","201516"
"State High Poverty Quartile Schools ","97.6","0330311","201516"
"State Low Poverty Quartile Schools ","99.6","0330311","201516"
"School ","100","0335111","201314"
"State High Poverty Quartile Schools ","97.8","0335111","201314"
"State Low Poverty Quartile Schools ","99.5","0335111","201314"
"School ","100","0335111","201415"
"State High Poverty Quartile Schools ","97.9","0335111","201415"
"State Low Poverty Quartile Schools ","99.6","0335111","201415"
"School ","97","0335111","201516"
"State High Poverty Quartile Schools ","97.6","0335111","201516"
"State Low Poverty Quartile Schools ","99.6","0335111","201516"
"School ","100","0336111","201314"
"State High Poverty Quartile Schools ","97.8","0336111","201314"
"State Low Poverty Quartile Schools ","99.5","0336111","201314"
"School ","100","0336111","201415"
"State High Poverty Quartile Schools ","97.9","0336111","201415"
"State Low Poverty Quartile Schools ","99.6","0336111","201415"
"School ","100","0336111","201516"
"State High Poverty Quartile Schools ","97.6","0336111","201516"
"State Low Poverty Quartile Schools ","99.6","0336111","201516"
"School ","N/A","0340111","201314"
"School Poverty Quartile:  N/A","","0340111","201314"
"State High Poverty Quartile Schools ","N/A","0340111","201314"
"State Low Poverty Quartile Schools ","N/A","0340111","201314"
"School ","N/A","0340111","201415"
"State High Poverty Quartile Schools ","N/A","0340111","201415"
"State Low Poverty Quartile Schools ","N/A","0340111","201415"
"School ","N/A","0340111","201516"
"State High Poverty Quartile Schools ","N/A","0340111","201516"
"State Low Poverty Quartile Schools ","N/A","0340111","201516"
"School ","100","0340211","201314"
"State High Poverty Quartile Schools ","97.8","0340211","201314"
"State Low Poverty Quartile Schools ","99.5","0340211","201314"
"School ","100","0340211","201415"
"State High Poverty Quartile Schools ","97.9","0340211","201415"
"State Low Poverty Quartile Schools ","99.6","0340211","201415"
"School ","100","0340211","201516"
"State High Poverty Quartile Schools ","97.6","0340211","201516"
"State Low Poverty Quartile Schools ","99.6","0340211","201516"
"School ","100","0340311","201415"
"State High Poverty Quartile Schools ","97.9","0340311","201415"
"State Low Poverty Quartile Schools ","99.6","0340311","201415"
"School ","100","0340311","201516"
"State High Poverty Quartile Schools ","97.6","0340311","201516"
"State Low Poverty Quartile Schools ","99.6","0340311","201516"
"School ","100","0340511","201314"
"State High Poverty Quartile Schools ","97.8","0340511","201314"
