"indicator","index.rate","target","points","max","percent.points","state.avg","school_code","year"
"Physical Fitness (estimated part rate) and (fitness rate) ","100.0% | 38.7% ","75% ",25.8,50,51.5,"89.2% | 50.5%","0152111","201516"
"Arts Access ","N/A ","60% ",0,0,0,"47.5%","0152111","201516"
"ELA: All Students ","49.3 ","75 ",65.8,100,65.8,"67.9","0152211","201415"
"ELA: High Needs Students ","49.3 ","75 ",65.8,100,65.8,"56.7","0152211","201415"
"Math: All Students ","42.1 ","75 ",56.1,100,56.1,"59.3","0152211","201415"
"Math: High Needs Students ","42.1 ","75 ",56.1,100,56.1,"47.8","0152211","201415"
"Science: All Students ","37.2 ","75 ",49.6,100,49.6,"56.5","0152211","201415"
"Science: High Needs Students ","37.2 ","75 ",49.6,100,49.6,"45.9","0152211","201415"
"Chronic absenteeism: All Students ","30.1% ","<=5% ",0,50,0,"10.6%","0152211","201415"
"Chronic absenteeism: High Needs Students ","30.1% ","<=5% ",0,50,0,"17.3%","0152211","201415"
"Prep for CCR: % Taking Courses ","N/A ","75% ",0,0,0,"66.1%","0152211","201415"
"Prep for CCR: % Passing Exams ","N/A ","75% ",0,0,0,"37.3%","0152211","201415"
"Physical Fitness (estimated part rate) and (fitness rate) ","89.5% | 39.0% ","75% ",13,50,26,"87.6% | 51.0%","0152211","201415"
"Arts Access ","N/A ","60% ",0,0,0,"45.7%","0152211","201415"
"Accountability Index ","","",396.5,800,49.6,"","0152211","201415"
"ELA Performance index: All Students ","48.7 ","75 ",32.5,50,65,"67.7","0152211","201516"
"ELA Performance index: High Needs Students ","48.7 ","75 ",32.5,50,65,"56.7","0152211","201516"
"Math Performance index: All Students ","40.8 ","75 ",27.2,50,54.4,"61.4","0152211","201516"
"Math Performance index: High Needs Students ","40.8 ","75 ",27.2,50,54.4,"49.9","0152211","201516"
"Science Performance index: All Students ","36.1 ","75 ",24.1,50,48.1,"57.5","0152211","201516"
"Science Performance index: High Needs Students ","36.1 ","75 ",24.1,50,48.1,"47.0","0152211","201516"
"ELA Academic growth: ELA Performance index: All Students ","64.7% ","100% ",64.7,100,64.7,"63.8%","0152211","201516"
"ELA Academic growth: ELA Performance index: High Needs Students ","64.7% ","100% ",64.7,100,64.7,"58.3%","0152211","201516"
"Math Academic growth: Math Performance index: All Students ","58.5% ","100% ",58.5,100,58.5,"65.0%","0152211","201516"
"Math Academic growth: Math Performance index: High Needs Students ","58.5% ","100% ",58.5,100,58.5,"57.4%","0152211","201516"
"Chronic absenteeism: Science Performance index: All Students ","27.9% ","<=5% ",4.2,50,8.4,"9.6%","0152211","201516"
"Chronic absenteeism: Science Performance index: High Needs Students ","27.9% ","<=5% ",4.2,50,8.4,"15.6%","0152211","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: All Students ","N/A ","75% ",0,0,0,"67.6%","0152211","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: High Needs Students ","N/A ","75% ",0,0,0,"40.7%","0152211","201516"
"On-track to High School Graduation ","83.3% ","94% ",44.3,50,88.7,"85.1%","0152211","201516"
"4-year Graduation All Students (2015 Cohort) ","N/A ","94% ",0,0,0,"87.2%","0152211","201516"
"6-year Graduation - High Needs Students (2013 Cohort) ","N/A ","94% ",0,0,0,"78.6%","0152211","201516"
"Postsecondary Entrance (Class of 2015) ","N/A ","75% ",0,0,0,"71.9%","0152211","201516"
"Physical Fitness (estimated part rate) and (fitness rate) ","91.0% | 43.1% ","75% ",28.7,50,57.5,"89.2% | 50.5%","0152211","201516"
"Arts Access ","N/A ","60% ",0,0,0,"47.5%","0152211","201516"
"ELA: All Students ","52.1 ","75 ",69.5,100,69.5,"67.9","0152511","201415"
"ELA: High Needs Students ","52.1 ","75 ",69.5,100,69.5,"56.7","0152511","201415"
"Math: All Students ","43.6 ","75 ",58.1,100,58.1,"59.3","0152511","201415"
"Math: High Needs Students ","43.6 ","75 ",58.1,100,58.1,"47.8","0152511","201415"
"Science: All Students ","41.6 ","75 ",55.5,100,55.5,"56.5","0152511","201415"
"Science: High Needs Students ","41.6 ","75 ",55.5,100,55.5,"45.9","0152511","201415"
"Chronic absenteeism: All Students ","14.7% ","<=5% ",30.6,50,61.3,"10.6%","0152511","201415"
"Chronic absenteeism: High Needs Students ","14.7% ","<=5% ",30.6,50,61.3,"17.3%","0152511","201415"
"Prep for CCR: % Taking Courses ","N/A ","75% ",0,0,0,"66.1%","0152511","201415"
"Prep for CCR: % Passing Exams ","N/A ","75% ",0,0,0,"37.3%","0152511","201415"
"Physical Fitness (estimated part rate) and (fitness rate) ","96.5% | 35.6% ","75% ",23.7,50,47.5,"87.6% | 51.0%","0152511","201415"
"Arts Access ","N/A ","60% ",0,0,0,"45.7%","0152511","201415"
"Accountability Index ","","",497.5,800,62.2,"","0152511","201415"
"ELA Performance index: All Students ","50.0 ","75 ",33.3,50,66.6,"67.7","0152511","201516"
"ELA Performance index: High Needs Students ","50.0 ","75 ",33.3,50,66.6,"56.7","0152511","201516"
"Math Performance index: All Students ","42.8 ","75 ",28.5,50,57,"61.4","0152511","201516"
"Math Performance index: High Needs Students ","42.8 ","75 ",28.5,50,57,"49.9","0152511","201516"
"Science Performance index: All Students ","39.1 ","75 ",26.1,50,52.2,"57.5","0152511","201516"
"Science Performance index: High Needs Students ","39.1 ","75 ",26.1,50,52.2,"47.0","0152511","201516"
"ELA Academic growth: ELA Performance index: All Students ","47.0% ","100% ",47,100,47,"63.8%","0152511","201516"
"ELA Academic growth: ELA Performance index: High Needs Students ","47.0% ","100% ",47,100,47,"58.3%","0152511","201516"
"Math Academic growth: Math Performance index: All Students ","48.3% ","100% ",48.3,100,48.3,"65.0%","0152511","201516"
"Math Academic growth: Math Performance index: High Needs Students ","48.3% ","100% ",48.3,100,48.3,"57.4%","0152511","201516"
"Chronic absenteeism: Science Performance index: All Students ","15.1% ","<=5% ",29.9,50,59.7,"9.6%","0152511","201516"
"Chronic absenteeism: Science Performance index: High Needs Students ","15.1% ","<=5% ",29.9,50,59.7,"15.6%","0152511","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: All Students ","N/A ","75% ",0,0,0,"67.6%","0152511","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: High Needs Students ","N/A ","75% ",0,0,0,"40.7%","0152511","201516"
"On-track to High School Graduation ","86.4% ","94% ",46,50,91.9,"85.1%","0152511","201516"
"4-year Graduation All Students (2015 Cohort) ","N/A ","94% ",0,0,0,"87.2%","0152511","201516"
"6-year Graduation - High Needs Students (2013 Cohort) ","N/A ","94% ",0,0,0,"78.6%","0152511","201516"
"Postsecondary Entrance (Class of 2015) ","N/A ","75% ",0,0,0,"71.9%","0152511","201516"
"Physical Fitness (estimated part rate) and (fitness rate) ","100.0% | 35.8% ","75% ",23.9,50,47.7,"89.2% | 50.5%","0152511","201516"
"Arts Access ","N/A ","60% ",0,0,0,"47.5%","0152511","201516"
"ELA: All Students ","44.9 ","75 ",59.9,100,59.9,"67.9","0152611","201415"
"ELA: High Needs Students ","44.9 ","75 ",59.9,100,59.9,"56.7","0152611","201415"
"Math: All Students ","33.3 ","75 ",44.4,100,44.4,"59.3","0152611","201415"
"Math: High Needs Students ","33.3 ","75 ",44.4,100,44.4,"47.8","0152611","201415"
"Science: All Students ","34.8 ","75 ",46.3,100,46.3,"56.5","0152611","201415"
"Science: High Needs Students ","34.8 ","75 ",46.3,100,46.3,"45.9","0152611","201415"
"Chronic absenteeism: All Students ","25.0% ","<=5% ",9.9,50,19.8,"10.6%","0152611","201415"
"Chronic absenteeism: High Needs Students ","25.0% ","<=5% ",9.9,50,19.8,"17.3%","0152611","201415"
"Prep for CCR: % Taking Courses ","N/A ","75% ",0,0,0,"66.1%","0152611","201415"
"Prep for CCR: % Passing Exams ","N/A ","75% ",0,0,0,"37.3%","0152611","201415"
"Physical Fitness (estimated part rate) and (fitness rate) ","72.7% | 4.5% ","75% ",1.5,50,3,"87.6% | 51.0%","0152611","201415"
"Arts Access ","N/A ","60% ",0,0,0,"45.7%","0152611","201415"
"Accountability Index ","","",368,800,46,"","0152611","201415"
"ELA Performance index: All Students ","44.0 ","75 ",29.4,50,58.7,"67.7","0152611","201516"
"ELA Performance index: High Needs Students ","44.0 ","75 ",29.4,50,58.7,"56.7","0152611","201516"
"Math Performance index: All Students ","35.9 ","75 ",23.9,50,47.9,"61.4","0152611","201516"
"Math Performance index: High Needs Students ","35.9 ","75 ",23.9,50,47.9,"49.9","0152611","201516"
"Science Performance index: All Students ","32.8 ","75 ",21.9,50,43.7,"57.5","0152611","201516"
"Science Performance index: High Needs Students ","32.8 ","75 ",21.9,50,43.7,"47.0","0152611","201516"
"ELA Academic growth: ELA Performance index: All Students ","45.7% ","100% ",45.7,100,45.7,"63.8%","0152611","201516"
"ELA Academic growth: ELA Performance index: High Needs Students ","45.7% ","100% ",45.7,100,45.7,"58.3%","0152611","201516"
"Math Academic growth: Math Performance index: All Students ","49.2% ","100% ",49.2,100,49.2,"65.0%","0152611","201516"
"Math Academic growth: Math Performance index: High Needs Students ","49.2% ","100% ",49.2,100,49.2,"57.4%","0152611","201516"
"Chronic absenteeism: Science Performance index: All Students ","17.5% ","<=5% ",25.1,50,50.1,"9.6%","0152611","201516"
"Chronic absenteeism: Science Performance index: High Needs Students ","17.5% ","<=5% ",25.1,50,50.1,"15.6%","0152611","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: All Students ","N/A ","75% ",0,0,0,"67.6%","0152611","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: High Needs Students ","N/A ","75% ",0,0,0,"40.7%","0152611","201516"
"On-track to High School Graduation ","79.2% ","94% ",42.1,50,84.2,"85.1%","0152611","201516"
"4-year Graduation All Students (2015 Cohort) ","N/A ","94% ",0,0,0,"87.2%","0152611","201516"
"6-year Graduation - High Needs Students (2013 Cohort) ","N/A ","94% ",0,0,0,"78.6%","0152611","201516"
"Postsecondary Entrance (Class of 2015) ","N/A ","75% ",0,0,0,"71.9%","0152611","201516"
"Physical Fitness (estimated part rate) and (fitness rate) ","90.5% | 3.2% ","75% ",2.2,50,4.3,"89.2% | 50.5%","0152611","201516"
"Arts Access ","N/A ","60% ",0,0,0,"47.5%","0152611","201516"
"ELA: All Students ","53.0 ","75 ",70.7,100,70.7,"67.9","0153011","201415"
"ELA: High Needs Students ","53.0 ","75 ",70.7,100,70.7,"56.7","0153011","201415"
"Math: All Students ","42.4 ","75 ",56.6,100,56.6,"59.3","0153011","201415"
"Math: High Needs Students ","42.4 ","75 ",56.6,100,56.6,"47.8","0153011","201415"
"Science: All Students ","40.5 ","75 ",53.9,100,53.9,"56.5","0153011","201415"
"Science: High Needs Students ","40.5 ","75 ",53.9,100,53.9,"45.9","0153011","201415"
"Chronic absenteeism: All Students ","19.7% ","<=5% ",20.6,50,41.2,"10.6%","0153011","201415"
"Chronic absenteeism: High Needs Students ","19.7% ","<=5% ",20.6,50,41.2,"17.3%","0153011","201415"
"Prep for CCR: % Taking Courses ","N/A ","75% ",0,0,0,"66.1%","0153011","201415"
"Prep for CCR: % Passing Exams ","N/A ","75% ",0,0,0,"37.3%","0153011","201415"
"Physical Fitness (estimated part rate) and (fitness rate) ","98.4% | 51.6% ","75% ",34.4,50,68.9,"87.6% | 51.0%","0153011","201415"
"Arts Access ","N/A ","60% ",0,0,0,"45.7%","0153011","201415"
"Accountability Index ","","",478.1,800,59.8,"","0153011","201415"
"ELA Performance index: All Students ","50.6 ","75 ",33.8,50,67.5,"67.7","0153011","201516"
"ELA Performance index: High Needs Students ","50.6 ","75 ",33.8,50,67.5,"56.7","0153011","201516"
"Math Performance index: All Students ","41.1 ","75 ",27.4,50,54.8,"61.4","0153011","201516"
"Math Performance index: High Needs Students ","41.1 ","75 ",27.4,50,54.8,"49.9","0153011","201516"
"Science Performance index: All Students ","40.9 ","75 ",27.3,50,54.5,"57.5","0153011","201516"
"Science Performance index: High Needs Students ","40.9 ","75 ",27.3,50,54.5,"47.0","0153011","201516"
"ELA Academic growth: ELA Performance index: All Students ","51.2% ","100% ",51.2,100,51.2,"63.8%","0153011","201516"
"ELA Academic growth: ELA Performance index: High Needs Students ","51.2% ","100% ",51.2,100,51.2,"58.3%","0153011","201516"
"Math Academic growth: Math Performance index: All Students ","44.5% ","100% ",44.5,100,44.5,"65.0%","0153011","201516"
"Math Academic growth: Math Performance index: High Needs Students ","44.5% ","100% ",44.5,100,44.5,"57.4%","0153011","201516"
"Chronic absenteeism: Science Performance index: All Students ","22.1% ","<=5% ",15.7,50,31.5,"9.6%","0153011","201516"
"Chronic absenteeism: Science Performance index: High Needs Students ","22.1% ","<=5% ",15.7,50,31.5,"15.6%","0153011","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: All Students ","N/A ","75% ",0,0,0,"67.6%","0153011","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: High Needs Students ","N/A ","75% ",0,0,0,"40.7%","0153011","201516"
"On-track to High School Graduation ","91.7% ","94% ",48.8,50,97.5,"85.1%","0153011","201516"
"4-year Graduation All Students (2015 Cohort) ","N/A ","94% ",0,0,0,"87.2%","0153011","201516"
"6-year Graduation - High Needs Students (2013 Cohort) ","N/A ","94% ",0,0,0,"78.6%","0153011","201516"
"Postsecondary Entrance (Class of 2015) ","N/A ","75% ",0,0,0,"71.9%","0153011","201516"
"Physical Fitness (estimated part rate) and (fitness rate) ","87.1% | 65.5% ","75% ",21.8,50,43.7,"89.2% | 50.5%","0153011","201516"
"Arts Access ","N/A ","60% ",0,0,0,"47.5%","0153011","201516"
"ELA: All Students ","53.6 ","75 ",71.4,100,71.4,"67.9","0153211","201415"
"ELA: High Needs Students ","53.6 ","75 ",71.4,100,71.4,"56.7","0153211","201415"
"Math: All Students ","42.6 ","75 ",56.7,100,56.7,"59.3","0153211","201415"
"Math: High Needs Students ","42.6 ","75 ",56.7,100,56.7,"47.8","0153211","201415"
"Science: All Students ","35.7 ","75 ",47.6,100,47.6,"56.5","0153211","201415"
"Science: High Needs Students ","35.7 ","75 ",47.6,100,47.6,"45.9","0153211","201415"
"Chronic absenteeism: All Students ","8.8% ","<=5% ",42.4,50,84.7,"10.6%","0153211","201415"
"Chronic absenteeism: High Needs Students ","8.8% ","<=5% ",42.4,50,84.7,"17.3%","0153211","201415"
"Prep for CCR: % Taking Courses ","N/A ","75% ",0,0,0,"66.1%","0153211","201415"
"Prep for CCR: % Passing Exams ","N/A ","75% ",0,0,0,"37.3%","0153211","201415"
"Physical Fitness (estimated part rate) and (fitness rate) ","99.2% | 11.0% ","75% ",7.3,50,14.7,"87.6% | 51.0%","0153211","201415"
"Arts Access ","N/A ","60% ",0,0,0,"45.7%","0153211","201415"
"Accountability Index ","","",486.3,800,60.8,"","0153211","201415"
"ELA Performance index: All Students ","53.8 ","75 ",35.8,50,71.7,"67.7","0153211","201516"
"ELA Performance index: High Needs Students ","53.8 ","75 ",35.8,50,71.7,"56.7","0153211","201516"
"Math Performance index: All Students ","44.9 ","75 ",30,50,59.9,"61.4","0153211","201516"
"Math Performance index: High Needs Students ","44.9 ","75 ",30,50,59.9,"49.9","0153211","201516"
"Science Performance index: All Students ","43.1 ","75 ",28.7,50,57.5,"57.5","0153211","201516"
"Science Performance index: High Needs Students ","43.1 ","75 ",28.7,50,57.5,"47.0","0153211","201516"
"ELA Academic growth: ELA Performance index: All Students ","59.1% ","100% ",59.1,100,59.1,"63.8%","0153211","201516"
"ELA Academic growth: ELA Performance index: High Needs Students ","59.1% ","100% ",59.1,100,59.1,"58.3%","0153211","201516"
"Math Academic growth: Math Performance index: All Students ","56.7% ","100% ",56.7,100,56.7,"65.0%","0153211","201516"
"Math Academic growth: Math Performance index: High Needs Students ","56.7% ","100% ",56.7,100,56.7,"57.4%","0153211","201516"
"Chronic absenteeism: Science Performance index: All Students ","3.6% ","<=5% ",50,50,100,"9.6%","0153211","201516"
"Chronic absenteeism: Science Performance index: High Needs Students ","3.6% ","<=5% ",50,50,100,"15.6%","0153211","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: All Students ","N/A ","75% ",0,0,0,"67.6%","0153211","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: High Needs Students ","N/A ","75% ",0,0,0,"40.7%","0153211","201516"
"On-track to High School Graduation ","85.5% ","94% ",45.5,50,91,"85.1%","0153211","201516"
"4-year Graduation All Students (2015 Cohort) ","N/A ","94% ",0,0,0,"87.2%","0153211","201516"
"6-year Graduation - High Needs Students (2013 Cohort) ","N/A ","94% ",0,0,0,"78.6%","0153211","201516"
"Postsecondary Entrance (Class of 2015) ","N/A ","75% ",0,0,0,"71.9%","0153211","201516"
"Physical Fitness (estimated part rate) and (fitness rate) ","92.8% | 16.8% ","75% ",11.2,50,22.4,"89.2% | 50.5%","0153211","201516"
"Arts Access ","N/A ","60% ",0,0,0,"47.5%","0153211","201516"
"ELA: All Students ","65.0 ","75 ",86.6,100,86.6,"67.9","0153611","201415"
"ELA: High Needs Students ","65.0 ","75 ",86.6,100,86.6,"56.7","0153611","201415"
"Math: All Students ","53.8 ","75 ",71.8,100,71.8,"59.3","0153611","201415"
"Math: High Needs Students ","53.8 ","75 ",71.8,100,71.8,"47.8","0153611","201415"
"Science: All Students ","49.4 ","75 ",65.9,100,65.9,"56.5","0153611","201415"
"Science: High Needs Students ","49.4 ","75 ",65.9,100,65.9,"45.9","0153611","201415"
"Chronic absenteeism: All Students ","4.8% ","<=5% ",50,50,100,"10.6%","0153611","201415"
"Chronic absenteeism: High Needs Students ","4.8% ","<=5% ",50,50,100,"17.3%","0153611","201415"
"Prep for CCR: % Taking Courses ","N/A ","75% ",0,0,0,"66.1%","0153611","201415"
"Prep for CCR: % Passing Exams ","N/A ","75% ",0,0,0,"37.3%","0153611","201415"
"Physical Fitness (estimated part rate) and (fitness rate) ","92.2% | 45.0% ","75% ",30,50,60,"87.6% | 51.0%","0153611","201415"
"Arts Access ","N/A ","60% ",0,0,0,"45.7%","0153611","201415"
"Accountability Index ","","",627.7,800,78.5,"","0153611","201415"
"ELA Performance index: All Students ","63.7 ","75 ",42.5,50,85,"67.7","0153611","201516"
"ELA Performance index: High Needs Students ","63.7 ","75 ",42.5,50,85,"56.7","0153611","201516"
"Math Performance index: All Students ","50.8 ","75 ",33.9,50,67.8,"61.4","0153611","201516"
"Math Performance index: High Needs Students ","50.8 ","75 ",33.9,50,67.8,"49.9","0153611","201516"
"Science Performance index: All Students ","50.2 ","75 ",33.5,50,66.9,"57.5","0153611","201516"
"Science Performance index: High Needs Students ","50.2 ","75 ",33.5,50,66.9,"47.0","0153611","201516"
"ELA Academic growth: ELA Performance index: All Students ","63.0% ","100% ",63,100,63,"63.8%","0153611","201516"
"ELA Academic growth: ELA Performance index: High Needs Students ","63.0% ","100% ",63,100,63,"58.3%","0153611","201516"
"Math Academic growth: Math Performance index: All Students ","49.9% ","100% ",49.9,100,49.9,"65.0%","0153611","201516"
"Math Academic growth: Math Performance index: High Needs Students ","49.9% ","100% ",49.9,100,49.9,"57.4%","0153611","201516"
"Chronic absenteeism: Science Performance index: All Students ","4.5% ","<=5% ",50,50,100,"9.6%","0153611","201516"
"Chronic absenteeism: Science Performance index: High Needs Students ","4.5% ","<=5% ",50,50,100,"15.6%","0153611","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: All Students ","N/A ","75% ",0,0,0,"67.6%","0153611","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: High Needs Students ","N/A ","75% ",0,0,0,"40.7%","0153611","201516"
"On-track to High School Graduation ","89.7% ","94% ",47.7,50,95.4,"85.1%","0153611","201516"
"4-year Graduation All Students (2015 Cohort) ","N/A ","94% ",0,0,0,"87.2%","0153611","201516"
"6-year Graduation - High Needs Students (2013 Cohort) ","N/A ","94% ",0,0,0,"78.6%","0153611","201516"
"Postsecondary Entrance (Class of 2015) ","N/A ","75% ",0,0,0,"71.9%","0153611","201516"
"Physical Fitness (estimated part rate) and (fitness rate) ","49.6% | 56.8% ","75% ",0,50,0,"89.2% | 50.5%","0153611","201516"
"Arts Access ","N/A ","60% ",0,0,0,"47.5%","0153611","201516"
"ELA: All Students ","66.5 ","75 ",88.6,100,88.6,"67.9","0153711","201415"
"ELA: High Needs Students ","66.5 ","75 ",88.6,100,88.6,"56.7","0153711","201415"
"Math: All Students ","54.6 ","75 ",72.7,100,72.7,"59.3","0153711","201415"
"Math: High Needs Students ","54.6 ","75 ",72.7,100,72.7,"47.8","0153711","201415"
"Science: All Students ","53.4 ","75 ",71.1,100,71.1,"56.5","0153711","201415"
"Science: High Needs Students ","53.4 ","75 ",71.1,100,71.1,"45.9","0153711","201415"
"Chronic absenteeism: All Students ","4.6% ","<=5% ",50,50,100,"10.6%","0153711","201415"
"Chronic absenteeism: High Needs Students ","4.6% ","<=5% ",50,50,100,"17.3%","0153711","201415"
"Prep for CCR: % Taking Courses ","N/A ","75% ",0,0,0,"66.1%","0153711","201415"
"Prep for CCR: % Passing Exams ","N/A ","75% ",0,0,0,"37.3%","0153711","201415"
"Physical Fitness (estimated part rate) and (fitness rate) ","100.0% | 55.3% ","75% ",36.9,50,73.8,"87.6% | 51.0%","0153711","201415"
"Arts Access ","N/A ","60% ",0,0,0,"45.7%","0153711","201415"
"Accountability Index ","","",647.5,800,80.9,"","0153711","201415"
"ELA Performance index: All Students ","62.7 ","75 ",41.8,50,83.7,"67.7","0153711","201516"
"ELA Performance index: High Needs Students ","62.7 ","75 ",41.8,50,83.7,"56.7","0153711","201516"
"Math Performance index: All Students ","53.2 ","75 ",35.5,50,71,"61.4","0153711","201516"
"Math Performance index: High Needs Students ","53.2 ","75 ",35.5,50,71,"49.9","0153711","201516"
"Science Performance index: All Students ","53.2 ","75 ",35.5,50,71,"57.5","0153711","201516"
"Science Performance index: High Needs Students ","53.2 ","75 ",35.5,50,71,"47.0","0153711","201516"
"ELA Academic growth: ELA Performance index: All Students ","52.5% ","100% ",52.5,100,52.5,"63.8%","0153711","201516"
"ELA Academic growth: ELA Performance index: High Needs Students ","52.5% ","100% ",52.5,100,52.5,"58.3%","0153711","201516"
"Math Academic growth: Math Performance index: All Students ","49.3% ","100% ",49.3,100,49.3,"65.0%","0153711","201516"
"Math Academic growth: Math Performance index: High Needs Students ","49.3% ","100% ",49.3,100,49.3,"57.4%","0153711","201516"
"Chronic absenteeism: Science Performance index: All Students ","4.1% ","<=5% ",50,50,100,"9.6%","0153711","201516"
"Chronic absenteeism: Science Performance index: High Needs Students ","4.1% ","<=5% ",50,50,100,"15.6%","0153711","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: All Students ","N/A ","75% ",0,0,0,"67.6%","0153711","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: High Needs Students ","N/A ","75% ",0,0,0,"40.7%","0153711","201516"
"On-track to High School Graduation ","92.9% ","94% ",49.4,50,98.8,"85.1%","0153711","201516"
"4-year Graduation All Students (2015 Cohort) ","N/A ","94% ",0,0,0,"87.2%","0153711","201516"
"6-year Graduation - High Needs Students (2013 Cohort) ","N/A ","94% ",0,0,0,"78.6%","0153711","201516"
"Postsecondary Entrance (Class of 2015) ","N/A ","75% ",0,0,0,"71.9%","0153711","201516"
"Physical Fitness (estimated part rate) and (fitness rate) ","99.2% | 56.8% ","75% ",37.9,50,75.8,"89.2% | 50.5%","0153711","201516"
"Arts Access ","N/A ","60% ",0,0,0,"47.5%","0153711","201516"
"ELA: All Students ","49.3 ","75 ",65.7,100,65.7,"67.9","0153911","201415"
"ELA: High Needs Students ","49.3 ","75 ",65.7,100,65.7,"56.7","0153911","201415"
"Math: All Students ","38.2 ","75 ",51,100,51,"59.3","0153911","201415"
"Math: High Needs Students ","38.2 ","75 ",51,100,51,"47.8","0153911","201415"
"Science: All Students ","33.7 ","75 ",44.9,100,44.9,"56.5","0153911","201415"
"Science: High Needs Students ","33.7 ","75 ",44.9,100,44.9,"45.9","0153911","201415"
"Chronic absenteeism: All Students ","28.2% ","<=5% ",3.7,50,7.4,"10.6%","0153911","201415"
"Chronic absenteeism: High Needs Students ","28.2% ","<=5% ",3.7,50,7.4,"17.3%","0153911","201415"
"Prep for CCR: % Taking Courses ","N/A ","75% ",0,0,0,"66.1%","0153911","201415"
"Prep for CCR: % Passing Exams ","N/A ","75% ",0,0,0,"37.3%","0153911","201415"
"Physical Fitness (estimated part rate) and (fitness rate) ","90.1% | 30.3% ","75% ",20.2,50,40.4,"87.6% | 51.0%","0153911","201415"
"Arts Access ","N/A ","60% ",0,0,0,"45.7%","0153911","201415"
"Accountability Index ","","",393.4,800,49.2,"","0153911","201415"
"ELA Performance index: All Students ","45.2 ","75 ",30.1,50,60.2,"67.7","0153911","201516"
"ELA Performance index: High Needs Students ","45.2 ","75 ",30.1,50,60.2,"56.7","0153911","201516"
"Math Performance index: All Students ","36.8 ","75 ",24.5,50,49,"61.4","0153911","201516"
"Math Performance index: High Needs Students ","36.8 ","75 ",24.5,50,49,"49.9","0153911","201516"
"Science Performance index: All Students ","33.8 ","75 ",22.5,50,45,"57.5","0153911","201516"
"Science Performance index: High Needs Students ","33.8 ","75 ",22.5,50,45,"47.0","0153911","201516"
"ELA Academic growth: ELA Performance index: All Students ","34.9% ","100% ",34.9,100,34.9,"63.8%","0153911","201516"
"ELA Academic growth: ELA Performance index: High Needs Students ","34.9% ","100% ",34.9,100,34.9,"58.3%","0153911","201516"
"Math Academic growth: Math Performance index: All Students ","36.2% ","100% ",36.2,100,36.2,"65.0%","0153911","201516"
"Math Academic growth: Math Performance index: High Needs Students ","36.2% ","100% ",36.2,100,36.2,"57.4%","0153911","201516"
"Chronic absenteeism: Science Performance index: All Students ","30.4% ","<=5% ",0,50,0,"9.6%","0153911","201516"
"Chronic absenteeism: Science Performance index: High Needs Students ","30.4% ","<=5% ",0,50,0,"15.6%","0153911","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: All Students ","N/A ","75% ",0,0,0,"67.6%","0153911","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: High Needs Students ","N/A ","75% ",0,0,0,"40.7%","0153911","201516"
"On-track to High School Graduation ","69.4% ","94% ",36.9,50,73.8,"85.1%","0153911","201516"
"4-year Graduation All Students (2015 Cohort) ","N/A ","94% ",0,0,0,"87.2%","0153911","201516"
"6-year Graduation - High Needs Students (2013 Cohort) ","N/A ","94% ",0,0,0,"78.6%","0153911","201516"
"Postsecondary Entrance (Class of 2015) ","N/A ","75% ",0,0,0,"71.9%","0153911","201516"
"Physical Fitness (estimated part rate) and (fitness rate) ","90.2% | 42.4% ","75% ",28.3,50,56.5,"89.2% | 50.5%","0153911","201516"
"Arts Access ","N/A ","60% ",0,0,0,"47.5%","0153911","201516"
"ELA: All Students ","51.9 ","75 ",69.2,100,69.2,"67.9","0154011","201415"
"ELA: High Needs Students ","51.9 ","75 ",69.2,100,69.2,"56.7","0154011","201415"
"Math: All Students ","40.0 ","75 ",53.3,100,53.3,"59.3","0154011","201415"
"Math: High Needs Students ","40.0 ","75 ",53.3,100,53.3,"47.8","0154011","201415"
"Science: All Students ","41.3 ","75 ",55,100,55,"56.5","0154011","201415"
"Science: High Needs Students ","41.3 ","75 ",55,100,55,"45.9","0154011","201415"
"Chronic absenteeism: All Students ","13.9% ","<=5% ",32.1,50,64.3,"10.6%","0154011","201415"
"Chronic absenteeism: High Needs Students ","13.9% ","<=5% ",32.1,50,64.3,"17.3%","0154011","201415"
"Prep for CCR: % Taking Courses ","N/A ","75% ",0,0,0,"66.1%","0154011","201415"
"Prep for CCR: % Passing Exams ","N/A ","75% ",0,0,0,"37.3%","0154011","201415"
"Physical Fitness (estimated part rate) and (fitness rate) ","88.2% | 17.3% ","75% ",5.8,50,11.5,"87.6% | 51.0%","0154011","201415"
"Arts Access ","N/A ","60% ",0,0,0,"45.7%","0154011","201415"
