"category","ela.count","ela.spi","math.count","math.spi","sci.count","sci.spi","school_code","year"
"Eligible for Free or Reduced-Price Meals ","10 ","* ","10 ","* ","9 ","*","0126111","201415"
"Not Eligible for Free or Reduced-Price Meals ","72 ","81.0 ","72 ","65.9 ","58 ","69.2","0126111","201415"
"Students with Disabilities ","* ","* ","* ","* ","* ","*","0126111","201415"
"Students without Disabilities ","* ","* ","* ","* ","* ","*","0126111","201415"
"High Needs ","14 ","* ","14 ","* ","10 ","*","0126111","201415"
"Non-High Needs ","68 ","82.7 ","68 ","67.6 ","57 ","69.8","0126111","201415"
"School ","82 ","79.1 ","82 ","63.8 ","67 ","65.4","0126111","201415"
"Asian ","0 ","N/A ","0 ","N/A ","* ","*","0126111","201516"
"Black or African American ","* ","* ","* ","* ","7 ","*","0126111","201516"
"Hispanic or Latino ","* ","* ","* ","* ","* ","*","0126111","201516"
"Native Hawaiian or Other Pacific Islander ","0 ","N/A ","0 ","N/A ","0 ","N/A","0126111","201516"
"Two or More Races ","* ","* ","* ","* ","0 ","N/A","0126111","201516"
"White ","58 ","68.7 ","58 ","61.9 ","68 ","64.2","0126111","201516"
"English Language Learners ","0 ","N/A ","0 ","N/A ","0 ","N/A","0126111","201516"
"Non-English Language Learners ","67 ","65.2 ","67 ","57.9 ","78 ","62.5","0126111","201516"
"Eligible for Free or Reduced-Price Meals ","9 ","* ","9 ","* ","16 ","*","0126111","201516"
"Not Eligible for Free or Reduced-Price Meals ","58 ","68.7 ","58 ","62.1 ","62 ","65.8","0126111","201516"
"Students with Disabilities ","* ","* ","* ","* ","9 ","*","0126111","201516"
"Students without Disabilities ","* ","* ","* ","* ","69 ","65.6","0126111","201516"
"High Needs ","10 ","* ","10 ","* ","19 ","*","0126111","201516"
"Non-High Needs ","57 ","69.3 ","57 ","62.8 ","59 ","66.7","0126111","201516"
"School ","67 ","65.2 ","67 ","57.9 ","78 ","62.5","0126111","201516"
"American Indian or Alaska Native ","0 ","N/A ","0 ","N/A ","0 ","N/A","0130111","201415"
"Asian ","* ","* ","* ","* ","* ","*","0130111","201415"
"Black or African American ","9 ","* ","9 ","* ","* ","*","0130111","201415"
"Hispanic or Latino ","* ","* ","* ","* ","0 ","*","0130111","201415"
"Native Hawaiian or Other Pacific Islander ","0 ","N/A ","0 ","N/A ","0 ","N/A","0130111","201415"
"Two or More Races ","0 ","N/A ","0 ","N/A ","0 ","N/A","0130111","201415"
"White ","112 ","68.2 ","112 ","59.1 ","34 ","69.0","0130111","201415"
"English Language Learners ","* ","* ","* ","* ","0 ","*","0130111","201415"
"Non-English Language Learners ","* ","* ","* ","* ","40 ","68.1","0130111","201415"
"Eligible for Free or Reduced-Price Meals ","23 ","59.6 ","23 ","54.6 ","8 ","*","0130111","201415"
"Not Eligible for Free or Reduced-Price Meals ","106 ","68.9 ","106 ","59.2 ","32 ","69.0","0130111","201415"
"Students with Disabilities ","20 ","46.5 ","20 ","33.0 ","* ","*","0130111","201415"
"Students without Disabilities ","109 ","71.0 ","109 ","63.1 ","* ","*","0130111","201415"
"High Needs ","41 ","54.1 ","41 ","45.7 ","11 ","*","0130111","201415"
"Non-High Needs ","88 ","73.4 ","88 ","64.3 ","29 ","71.1","0130111","201415"
"School ","129 ","67.2 ","129 ","58.4 ","40 ","68.1","0130111","201415"
"Asian ","* ","* ","* ","* ","* ","*","0130111","201516"
"Black or African American ","8 ","* ","8 ","* ","* ","*","0130111","201516"
"Hispanic or Latino ","* ","* ","* ","* ","* ","*","0130111","201516"
"Native Hawaiian or Other Pacific Islander ","0 ","N/A ","0 ","N/A ","0 ","N/A","0130111","201516"
"Two or More Races ","0 ","N/A ","0 ","N/A ","0 ","N/A","0130111","201516"
"White ","114 ","64.4 ","114 ","59.6 ","42 ","65.6","0130111","201516"
"English Language Learners ","* ","* ","* ","* ","0 ","N/A","0130111","201516"
"Non-English Language Learners ","* ","* ","* ","* ","49 ","64.6","0130111","201516"
"Eligible for Free or Reduced-Price Meals ","28 ","63.0 ","28 ","60.3 ","9 ","*","0130111","201516"
"Not Eligible for Free or Reduced-Price Meals ","101 ","64.5 ","101 ","59.0 ","40 ","64.2","0130111","201516"
"Students with Disabilities ","23 ","39.8 ","23 ","36.6 ","9 ","*","0130111","201516"
"Students without Disabilities ","106 ","69.5 ","106 ","64.2 ","40 ","66.7","0130111","201516"
"High Needs ","48 ","53.5 ","48 ","50.6 ","18 ","*","0130111","201516"
"Non-High Needs ","81 ","70.5 ","81 ","64.4 ","31 ","66.9","0130111","201516"
"School ","129 ","64.2 ","129 ","59.3 ","49 ","64.6","0130111","201516"
"American Indian or Alaska Native ","0 ","N/A ","0 ","N/A ","0","N/A","0141411","201415"
"Asian ","23 ","78.8 ","23 ","80.0 ","0","*","0141411","201415"
"Black or African American ","* ","* ","* ","* ","0","*","0141411","201415"
"Hispanic or Latino ","14 ","* ","14 ","* ","0","*","0141411","201415"
"Native Hawaiian or Other Pacific Islander ","0 ","N/A ","0 ","N/A ","0","N/A","0141411","201415"
"Two or More Races ","* ","* ","* ","* ","0","*","0141411","201415"
"White ","106 ","74.4 ","106 ","68.0 ","0","*","0141411","201415"
"English Language Learners ","15 ","* ","15 ","* ","0","*","0141411","201415"
"Non-English Language Learners ","136 ","74.9 ","136 ","69.3 ","0","*","0141411","201415"
"Eligible for Free or Reduced-Price Meals ","51 ","70.2 ","51 ","64.7 ","0","*","0141411","201415"
"Not Eligible for Free or Reduced-Price Meals ","100 ","76.4 ","100 ","71.3 ","0","*","0141411","201415"
"Students with Disabilities ","23 ","57.0 ","23 ","48.0 ","0","*","0141411","201415"
"Students without Disabilities ","128 ","77.4 ","128 ","72.8 ","0","*","0141411","201415"
"High Needs ","74 ","68.4 ","74 ","63.7 ","0","*","0141411","201415"
"Non-High Needs ","77 ","80.0 ","77 ","74.2 ","0","*","0141411","201415"
"School ","151 ","74.3 ","151 ","69.0 ","0","*","0141411","201415"
"Asian ","23 ","80.3 ","23 ","81.7 ","0","N/A","0141411","201516"
"Black or African American ","* ","* ","* ","* ","0","N/A","0141411","201516"
"Hispanic or Latino ","15 ","* ","15 ","* ","0","N/A","0141411","201516"
"Native Hawaiian or Other Pacific Islander ","0 ","N/A ","0 ","N/A ","0","N/A","0141411","201516"
"Two or More Races ","* ","* ","* ","* ","0","N/A","0141411","201516"
"White ","108 ","72.3 ","108 ","68.0 ","0","N/A","0141411","201516"
"English Language Learners ","15 ","* ","15 ","* ","0","N/A","0141411","201516"
"Non-English Language Learners ","144 ","72.1 ","144 ","68.6 ","0","N/A","0141411","201516"
"Eligible for Free or Reduced-Price Meals ","56 ","70.2 ","56 ","66.5 ","0","N/A","0141411","201516"
"Not Eligible for Free or Reduced-Price Meals ","103 ","73.1 ","103 ","70.3 ","0","N/A","0141411","201516"
"Students with Disabilities ","18 ","* ","18 ","* ","0","N/A","0141411","201516"
"Students without Disabilities ","141 ","74.3 ","141 ","70.9 ","0","N/A","0141411","201516"
"High Needs ","71 ","68.8 ","71 ","66.1 ","0","N/A","0141411","201516"
"Non-High Needs ","88 ","74.8 ","88 ","71.3 ","0","N/A","0141411","201516"
"School ","159 ","72.1 ","159 ","69.0 ","0","N/A","0141411","201516"
"American Indian or Alaska Native ","0 ","N/A ","0 ","N/A ","0","N/A","0141511","201415"
"Asian ","8 ","* ","8 ","* ","0","*","0141511","201415"
"Black or African American ","* ","* ","* ","* ","0","*","0141511","201415"
"Hispanic or Latino ","11 ","* ","11 ","* ","0","*","0141511","201415"
"Native Hawaiian or Other Pacific Islander ","0 ","N/A ","0 ","N/A ","0","N/A","0141511","201415"
"Two or More Races ","* ","* ","* ","* ","0","*","0141511","201415"
"White ","140 ","78.0 ","140 ","70.3 ","0","*","0141511","201415"
"English Language Learners ","7 ","* ","7 ","* ","0","*","0141511","201415"
"Non-English Language Learners ","156 ","77.8 ","156 ","70.7 ","0","*","0141511","201415"
"Eligible for Free or Reduced-Price Meals ","25 ","63.2 ","25 ","57.2 ","0","*","0141511","201415"
"Not Eligible for Free or Reduced-Price Meals ","138 ","79.6 ","138 ","72.3 ","0","*","0141511","201415"
"Students with Disabilities ","27 ","60.1 ","27 ","51.5 ","0","*","0141511","201415"
"Students without Disabilities ","136 ","80.5 ","136 ","73.7 ","0","*","0141511","201415"
"High Needs ","45 ","65.2 ","45 ","57.6 ","0","*","0141511","201415"
"Non-High Needs ","118 ","81.6 ","118 ","74.7 ","0","*","0141511","201415"
"School ","163 ","77.1 ","163 ","70.0 ","0","*","0141511","201415"
"Asian ","11 ","* ","11 ","* ","0","N/A","0141511","201516"
"Black or African American ","* ","* ","* ","* ","0","N/A","0141511","201516"
"Hispanic or Latino ","9 ","* ","9 ","* ","0","N/A","0141511","201516"
"Native Hawaiian or Other Pacific Islander ","0 ","N/A ","0 ","N/A ","0","N/A","0141511","201516"
"Two or More Races ","* ","* ","* ","* ","0","N/A","0141511","201516"
"White ","123 ","78.2 ","123 ","71.6 ","0","N/A","0141511","201516"
"English Language Learners ","6 ","* ","6 ","* ","0","N/A","0141511","201516"
"Non-English Language Learners ","142 ","78.5 ","142 ","72.1 ","0","N/A","0141511","201516"
"Eligible for Free or Reduced-Price Meals ","18 ","* ","18 ","* ","0","N/A","0141511","201516"
"Not Eligible for Free or Reduced-Price Meals ","130 ","80.3 ","130 ","73.7 ","0","N/A","0141511","201516"
"Students with Disabilities ","20 ","52.8 ","20 ","46.4 ","0","N/A","0141511","201516"
"Students without Disabilities ","128 ","82.1 ","128 ","75.8 ","0","N/A","0141511","201516"
"High Needs ","34 ","61.6 ","34 ","55.9 ","0","N/A","0141511","201516"
"Non-High Needs ","114 ","83.0 ","114 ","76.6 ","0","N/A","0141511","201516"
"School ","148 ","78.1 ","148 ","71.8 ","0","N/A","0141511","201516"
"American Indian or Alaska Native ","* ","* ","* ","* ","0","*","0141611","201415"
"Asian ","* ","* ","* ","* ","0","*","0141611","201415"
"Black or African American ","* ","* ","* ","* ","0","*","0141611","201415"
"Hispanic or Latino ","27 ","71.3 ","27 ","69.2 ","0","*","0141611","201415"
"Native Hawaiian or Other Pacific Islander ","0 ","N/A ","0 ","N/A ","0","N/A","0141611","201415"
"Two or More Races ","* ","* ","* ","* ","0","*","0141611","201415"
"White ","92 ","77.0 ","92 ","72.2 ","0","*","0141611","201415"
"English Language Learners ","17 ","* ","17 ","* ","0","*","0141611","201415"
"Non-English Language Learners ","116 ","76.2 ","116 ","71.6 ","0","*","0141611","201415"
"Eligible for Free or Reduced-Price Meals ","42 ","70.2 ","42 ","65.4 ","0","*","0141611","201415"
"Not Eligible for Free or Reduced-Price Meals ","91 ","77.0 ","91 ","72.9 ","0","*","0141611","201415"
"Students with Disabilities ","18 ","* ","18 ","* ","0","*","0141611","201415"
"Students without Disabilities ","115 ","76.3 ","115 ","72.1 ","0","*","0141611","201415"
"High Needs ","54 ","70.5 ","54 ","65.5 ","0","*","0141611","201415"
"Non-High Needs ","79 ","77.8 ","79 ","74.0 ","0","*","0141611","201415"
"School ","133 ","74.9 ","133 ","70.5 ","0","*","0141611","201415"
"Asian ","7 ","* ","7 ","* ","0","N/A","0141611","201516"
"Black or African American ","6 ","* ","6 ","* ","0","N/A","0141611","201516"
"Hispanic or Latino ","16 ","* ","16 ","* ","0","N/A","0141611","201516"
"Native Hawaiian or Other Pacific Islander ","0 ","N/A ","0 ","N/A ","0","N/A","0141611","201516"
"Two or More Races ","* ","* ","* ","* ","0","N/A","0141611","201516"
"White ","100 ","78.6 ","100 ","73.9 ","0","N/A","0141611","201516"
"English Language Learners ","11 ","* ","11 ","* ","0","N/A","0141611","201516"
"Non-English Language Learners ","125 ","77.9 ","125 ","73.5 ","0","N/A","0141611","201516"
"Eligible for Free or Reduced-Price Meals ","42 ","69.2 ","42 ","65.7 ","0","N/A","0141611","201516"
"Not Eligible for Free or Reduced-Price Meals ","94 ","80.2 ","94 ","76.1 ","0","N/A","0141611","201516"
"Students with Disabilities ","9 ","* ","9 ","* ","0","N/A","0141611","201516"
"Students without Disabilities ","127 ","78.0 ","127 ","74.1 ","0","N/A","0141611","201516"
"High Needs ","49 ","68.7 ","49 ","65.8 ","0","N/A","0141611","201516"
"Non-High Needs ","87 ","81.4 ","87 ","76.9 ","0","N/A","0141611","201516"
"School ","136 ","76.8 ","136 ","72.9 ","0","N/A","0141611","201516"
"American Indian or Alaska Native ","0","* ","0","* ","* ","*","0145111","201415"
"Asian ","70","78.2 ","70","71.8 ","35 ","57.0","0145111","201415"
"Black or African American ","34","60.3 ","34","50.5 ","16 ","*","0145111","201415"
"Hispanic or Latino ","71","65.0 ","70","56.7 ","41 ","52.7","0145111","201415"
"Native Hawaiian or Other Pacific Islander ","0","N/A ","0","N/A ","0 ","N/A","0145111","201415"
"Two or More Races ","14","* ","14","* ","* ","*","0145111","201415"
"White ","700","71.6 ","697","63.3 ","356 ","58.4","0145111","201415"
"English Language Learners ","28","58.0 ","28","56.5 ","17 ","*","0145111","201415"
"Non-English Language Learners ","861","71.5 ","857","63.1 ","437 ","58.0","0145111","201415"
"Eligible for Free or Reduced-Price Meals ","224","62.9 ","222","54.9 ","124 ","52.4","0145111","201415"
"Not Eligible for Free or Reduced-Price Meals ","665","73.8 ","663","65.5 ","330 ","59.5","0145111","201415"
"Students with Disabilities ","149","53.6 ","149","44.7 ","85 ","50.5","0145111","201415"
"Students without Disabilities ","740","74.6 ","736","66.5 ","369 ","59.2","0145111","201415"
"High Needs ","327","60.8 ","325","52.5 ","178 ","52.5","0145111","201415"
"Non-High Needs ","562","77.0 ","560","68.9 ","276 ","60.8","0145111","201415"
"School ","889","71.0 ","885","62.8 ","454 ","57.6","0145111","201415"
"Asian ","63","75.7 ","63","74.9 ","28","66.1","0145111","201516"
"Black or African American ","32","59.1 ","31","52.9 ","13","*","0145111","201516"
"Hispanic or Latino ","88","65.3 ","88","58.9 ","48","55.0","0145111","201516"
"Native Hawaiian or Other Pacific Islander ","0","N/A ","0","N/A ","0","N/A","0145111","201516"
"Two or More Races ","14","* ","14","* ","8","*","0145111","201516"
"White ","679","72.7 ","676","65.4 ","359","60.9","0145111","201516"
"English Language Learners ","35","57.7 ","35","56.7 ","17","*","0145111","201516"
"Non-English Language Learners ","841","72.1 ","837","65.2 ","439","60.8","0145111","201516"
"Eligible for Free or Reduced-Price Meals ","221","64.3 ","220","56.4 ","109","54.3","0145111","201516"
"Not Eligible for Free or Reduced-Price Meals ","655","74.0 ","652","67.7 ","347","62.0","0145111","201516"
"Students with Disabilities ","140","54.2 ","140","46.1 ","62","47.0","0145111","201516"
"Students without Disabilities ","736","74.8 ","732","68.4 ","394","62.2","0145111","201516"
"High Needs ","319","61.6 ","318","54.2 ","162","52.2","0145111","201516"
"Non-High Needs ","557","77.2 ","554","71.0 ","294","64.6","0145111","201516"
"School ","876","71.5 ","872","64.8 ","456","60.2","0145111","201516"
"American Indian or Alaska Native ","* ","* ","* ","* ","0 ","*","0146111","201415"
"Asian ","20 ","63.7 ","20 ","56.7 ","23 ","61.4","0146111","201415"
"Black or African American ","6 ","* ","6 ","* ","* ","*","0146111","201415"
"Hispanic or Latino ","21 ","44.2 ","20 ","35.3 ","19 ","*","0146111","201415"
"Native Hawaiian or Other Pacific Islander ","0 ","N/A ","0 ","N/A ","0 ","N/A","0146111","201415"
"Two or More Races ","* ","* ","* ","* ","6 ","*","0146111","201415"
"White ","177 ","55.0 ","176 ","42.9 ","197 ","62.6","0146111","201415"
"English Language Learners ","* ","* ","* ","* ","6 ","*","0146111","201415"
"Non-English Language Learners ","* ","* ","* ","* ","244 ","61.3","0146111","201415"
"Eligible for Free or Reduced-Price Meals ","43 ","49.5 ","41 ","35.8 ","60 ","51.8","0146111","201415"
"Not Eligible for Free or Reduced-Price Meals ","185 ","55.1 ","185 ","44.4 ","190 ","64.1","0146111","201415"
"Students with Disabilities ","29 ","38.3 ","29 ","28.5 ","44 ","45.9","0146111","201415"
"Students without Disabilities ","199 ","56.4 ","197 ","44.9 ","206 ","64.5","0146111","201415"
"High Needs ","63 ","44.5 ","61 ","33.3 ","86 ","50.7","0146111","201415"
"Non-High Needs ","165 ","57.7 ","165 ","46.4 ","164 ","66.7","0146111","201415"
"School ","228 ","54.1 ","226 ","42.8 ","250 ","61.2","0146111","201415"
"Asian ","19 ","* ","19 ","* ","11 ","*","0146111","201516"
"Black or African American ","6 ","* ","6 ","* ","* ","*","0146111","201516"
"Hispanic or Latino ","18 ","* ","18 ","* ","13 ","*","0146111","201516"
"Native Hawaiian or Other Pacific Islander ","0 ","N/A ","0 ","N/A ","0 ","N/A","0146111","201516"
"Two or More Races ","6 ","* ","6 ","* ","6 ","*","0146111","201516"
"White ","180 ","61.3 ","180 ","56.2 ","165 ","62.8","0146111","201516"
"English Language Learners ","* ","* ","* ","* ","* ","*","0146111","201516"
"Non-English Language Learners ","* ","* ","* ","* ","* ","*","0146111","201516"
"Eligible for Free or Reduced-Price Meals ","52 ","51.2 ","52 ","47.6 ","48 ","57.8","0146111","201516"
"Not Eligible for Free or Reduced-Price Meals ","177 ","62.4 ","177 ","58.4 ","153 ","63.4","0146111","201516"
"Students with Disabilities ","35 ","41.8 ","35 ","38.6 ","37 ","45.3","0146111","201516"
"Students without Disabilities ","194 ","63.1 ","194 ","59.1 ","164 ","65.8","0146111","201516"
"High Needs ","73 ","49.1 ","73 ","46.0 ","74 ","53.6","0146111","201516"
"Non-High Needs ","156 ","64.9 ","156 ","60.7 ","127 ","66.9","0146111","201516"
"School ","229 ","59.9 ","229 ","56.0 ","201 ","62.0","0146111","201516"
"American Indian or Alaska Native ","0 ","N/A ","0 ","N/A ","0 ","N/A","0150111","201415"
"Asian ","0 ","N/A ","0 ","N/A ","0 ","N/A","0150111","201415"
"Black or African American ","105 ","48.6 ","105 ","39.7 ","29 ","38.4","0150111","201415"
"Hispanic or Latino ","208 ","50.8 ","208 ","41.4 ","61 ","39.5","0150111","201415"
"Native Hawaiian or Other Pacific Islander ","0 ","N/A ","0 ","N/A ","0 ","N/A","0150111","201415"
"Two or More Races ","* ","* ","* ","* ","0 ","*","0150111","201415"
"White ","* ","* ","* ","* ","* ","*","0150111","201415"
"English Language Learners ","50 ","44.4 ","50 ","35.7 ","12 ","*","0150111","201415"
"Non-English Language Learners ","276 ","51.0 ","276 ","41.6 ","83 ","39.5","0150111","201415"
"Eligible for Free or Reduced-Price Meals ","326 ","50.0 ","326 ","40.7 ","95 ","39.1","0150111","201415"
"Not Eligible for Free or Reduced-Price Meals ","0 ","N/A ","0 ","N/A ","0 ","N/A","0150111","201415"
"Students with Disabilities ","84 ","41.4 ","84 ","32.7 ","14 ","*","0150111","201415"
"Students without Disabilities ","242 ","53.0 ","242 ","43.4 ","81 ","39.3","0150111","201415"
"High Needs ","326 ","50.0 ","326 ","40.7 ","95 ","39.1","0150111","201415"
"Non-High Needs ","0 ","N/A ","0 ","N/A ","0 ","N/A","0150111","201415"
"School ","326 ","50.0 ","326 ","40.7 ","95 ","39.1","0150111","201415"
"Asian ","0 ","N/A ","0 ","N/A ","0 ","N/A","0150111","201516"
"Black or African American ","86 ","44.1 ","86 ","35.4 ","33 ","35.9","0150111","201516"
"Hispanic or Latino ","207 ","50.6 ","207 ","41.9 ","69 ","38.7","0150111","201516"
"Native Hawaiian or Other Pacific Islander ","0 ","N/A ","0 ","N/A ","0 ","N/A","0150111","201516"
"Two or More Races ","* ","* ","* ","* ","* ","*","0150111","201516"
"White ","* ","* ","* ","* ","* ","*","0150111","201516"
"English Language Learners ","42 ","43.5 ","42 ","37.9 ","16 ","*","0150111","201516"
"Non-English Language Learners ","267 ","49.5 ","267 ","40.5 ","92 ","39.3","0150111","201516"
"Eligible for Free or Reduced-Price Meals ","309 ","48.7 ","309 ","40.1 ","108 ","38.0","0150111","201516"
"Not Eligible for Free or Reduced-Price Meals ","0 ","N/A ","0 ","N/A ","0 ","N/A","0150111","201516"
"Students with Disabilities ","94 ","39.0 ","94 ","33.5 ","34 ","32.0","0150111","201516"
"Students without Disabilities ","215 ","52.9 ","215 ","43.0 ","74 ","40.7","0150111","201516"
"High Needs ","309 ","48.7 ","309 ","40.1 ","108 ","38.0","0150111","201516"
"Non-High Needs ","0 ","N/A ","0 ","N/A ","0 ","N/A","0150111","201516"
"School ","309 ","48.7 ","309 ","40.1 ","108 ","38.0","0150111","201516"
"American Indian or Alaska Native ","* ","* ","* ","* ","0 ","*","0150211","201415"
"Asian ","* ","* ","* ","* ","0 ","*","0150211","201415"
"Black or African American ","67 ","52.5 ","67 ","41.4 ","19 ","*","0150211","201415"
"Hispanic or Latino ","71 ","59.7 ","71 ","45.8 ","16 ","*","0150211","201415"
"Native Hawaiian or Other Pacific Islander ","0 ","N/A ","0 ","N/A ","0 ","N/A","0150211","201415"
"Two or More Races ","0 ","* ","0 ","* ","0 ","*","0150211","201415"
"White ","7 ","* ","7 ","* ","0 ","*","0150211","201415"
"English Language Learners ","18 ","* ","18 ","* ","* ","*","0150211","201415"
"Non-English Language Learners ","130 ","57.1 ","130 ","45.0 ","* ","*","0150211","201415"
"Eligible for Free or Reduced-Price Meals ","148 ","56.5 ","148 ","44.4 ","35 ","39.0","0150211","201415"
"Not Eligible for Free or Reduced-Price Meals ","0 ","N/A ","0 ","N/A ","0 ","N/A","0150211","201415"
"Students with Disabilities ","23 ","40.8 ","23 ","32.7 ","* ","*","0150211","201415"
"Students without Disabilities ","125 ","59.4 ","125 ","46.5 ","* ","*","0150211","201415"
"High Needs ","148 ","56.5 ","148 ","44.4 ","35 ","39.0","0150211","201415"
"Non-High Needs ","0 ","N/A ","0 ","N/A ","0 ","N/A","0150211","201415"
"School ","148 ","56.5 ","148 ","44.4 ","35 ","39.0","0150211","201415"
"Asian ","* ","* ","* ","* ","* ","*","0150211","201516"
"Black or African American ","72 ","53.7 ","72 ","41.9 ","14 ","*","0150211","201516"
"Hispanic or Latino ","78 ","54.6 ","78 ","46.7 ","21 ","41.5","0150211","201516"
"Native Hawaiian or Other Pacific Islander ","0 ","N/A ","0 ","N/A ","0 ","N/A","0150211","201516"
"Two or More Races ","0 ","N/A ","0 ","N/A ","0 ","N/A","0150211","201516"
"White ","* ","* ","* ","* ","* ","*","0150211","201516"
"English Language Learners ","14 ","* ","14 ","* ","* ","*","0150211","201516"
"Non-English Language Learners ","145 ","54.8 ","145 ","44.6 ","* ","*","0150211","201516"
"Eligible for Free or Reduced-Price Meals ","159 ","54.8 ","159 ","45.1 ","39 ","40.7","0150211","201516"
"Not Eligible for Free or Reduced-Price Meals ","0 ","N/A ","0 ","N/A ","0 ","N/A","0150211","201516"
"Students with Disabilities ","25 ","38.6 ","25 ","29.2 ","* ","*","0150211","201516"
"Students without Disabilities ","134 ","57.8 ","134 ","48.1 ","* ","*","0150211","201516"
"High Needs ","159 ","54.8 ","159 ","45.1 ","39 ","40.7","0150211","201516"
"Non-High Needs ","0 ","N/A ","0 ","N/A ","0 ","N/A","0150211","201516"
"School ","159 ","54.8 ","159 ","45.1 ","39 ","40.7","0150211","201516"
"American Indian or Alaska Native ","0 ","N/A ","0 ","N/A ","0","N/A","0150311","201415"
"Asian ","* ","* ","* ","* ","0","*","0150311","201415"
"Black or African American ","43 ","56.6 ","43 ","41.1 ","15","*","0150311","201415"
"Hispanic or Latino ","106 ","58.3 ","106 ","45.1 ","32","40.6","0150311","201415"
"Native Hawaiian or Other Pacific Islander ","0 ","N/A ","0 ","N/A ","0","N/A","0150311","201415"
"Two or More Races ","* ","* ","* ","* ","0","*","0150311","201415"
"White ","73 ","67.0 ","73 ","51.6 ","10","*","0150311","201415"
"English Language Learners ","49 ","53.2 ","49 ","40.3 ","7","*","0150311","201415"
"Non-English Language Learners ","176 ","63.3 ","176 ","48.4 ","50","42.0","0150311","201415"
"Eligible for Free or Reduced-Price Meals ","225 ","61.1 ","225 ","46.7 ","57","41.1","0150311","201415"
"Not Eligible for Free or Reduced-Price Meals ","0 ","N/A ","0 ","N/A ","0","N/A","0150311","201415"
"Students with Disabilities ","36 ","40.8 ","36 ","26.4 ","13","*","0150311","201415"
"Students without Disabilities ","189 ","65.0 ","189 ","50.5 ","44","44.6","0150311","201415"
"High Needs ","225 ","61.1 ","225 ","46.7 ","57","41.1","0150311","201415"
"Non-High Needs ","0 ","N/A ","0 ","N/A ","0","N/A","0150311","201415"
"School ","225 ","61.1 ","225 ","46.7 ","57","41.1","0150311","201415"
"Asian ","* ","* ","* ","* ","0","N/A","0150311","201516"
"Black or African American ","37 ","59.6 ","37 ","43.8 ","13","*","0150311","201516"
"Hispanic or Latino ","126 ","55.7 ","126 ","45.9 ","45","41.6","0150311","201516"
"Native Hawaiian or Other Pacific Islander ","0 ","N/A ","0 ","N/A ","0","N/A","0150311","201516"
"Two or More Races ","* ","* ","* ","* ","0","N/A","0150311","201516"
"White ","78 ","67.3 ","78 ","56.6 ","28","59.8","0150311","201516"
"English Language Learners ","62 ","50.8 ","62 ","42.5 ","18","*","0150311","201516"
"Non-English Language Learners ","182 ","63.4 ","182 ","51.3 ","68","51.4","0150311","201516"
"Eligible for Free or Reduced-Price Meals ","244 ","60.2 ","244 ","49.1 ","86","48.3","0150311","201516"
"Not Eligible for Free or Reduced-Price Meals ","0 ","N/A ","0 ","N/A ","0","N/A","0150311","201516"
"Students with Disabilities ","40 ","40.8 ","40 ","29.2 ","13","*","0150311","201516"
"Students without Disabilities ","204 ","64.0 ","204 ","53.0 ","73","51.4","0150311","201516"
"High Needs ","244 ","60.2 ","244 ","49.1 ","86","48.3","0150311","201516"
"Non-High Needs ","0 ","N/A ","0 ","N/A ","0","N/A","0150311","201516"
"School ","244 ","60.2 ","244 ","49.1 ","86","48.3","0150311","201516"
"American Indian or Alaska Native ","* ","* ","* ","* ","0 ","*","0150411","201415"
"Asian ","15 ","* ","15 ","* ","* ","*","0150411","201415"
"Black or African American ","62 ","45.3 ","61 ","37.0 ","12 ","*","0150411","201415"
"Hispanic or Latino ","87 ","49.2 ","85 ","39.1 ","23 ","34.6","0150411","201415"
"Native Hawaiian or Other Pacific Islander ","0 ","N/A ","0 ","N/A ","0 ","N/A","0150411","201415"
"Two or More Races ","* ","* ","* ","* ","0 ","*","0150411","201415"
"White ","11 ","* ","11 ","* ","* ","*","0150411","201415"
"English Language Learners ","45 ","48.6 ","45 ","40.1 ","9 ","*","0150411","201415"
"Non-English Language Learners ","133 ","49.5 ","130 ","40.2 ","31 ","32.6","0150411","201415"
"Eligible for Free or Reduced-Price Meals ","178 ","49.3 ","175 ","40.1 ","40 ","32.2","0150411","201415"
"Not Eligible for Free or Reduced-Price Meals ","0 ","N/A ","0 ","N/A ","0 ","N/A","0150411","201415"
"Students with Disabilities ","25 ","34.8 ","24 ","23.6 ","9 ","*","0150411","201415"
"Students without Disabilities ","153 ","51.6 ","151 ","42.8 ","31 ","34.7","0150411","201415"
"High Needs ","178 ","49.3 ","175 ","40.1 ","40 ","32.2","0150411","201415"
"Non-High Needs ","0 ","N/A ","0 ","N/A ","0 ","N/A","0150411","201415"
"School ","178 ","49.3 ","175 ","40.1 ","40 ","32.2","0150411","201415"
"Asian ","14 ","* ","14 ","* ","* ","*","0150411","201516"
"Black or African American ","60 ","49.0 ","60 ","38.8 ","22 ","33.9","0150411","201516"
"Hispanic or Latino ","87 ","52.2 ","87 ","43.6 ","19 ","*","0150411","201516"
"Native Hawaiian or Other Pacific Islander ","0 ","N/A ","0 ","N/A ","0 ","N/A","0150411","201516"
"Two or More Races ","* ","* ","* ","* ","0 ","N/A","0150411","201516"
"White ","9 ","* ","9 ","* ","* ","*","0150411","201516"
"English Language Learners ","40 ","52.9 ","40 ","43.3 ","10 ","*","0150411","201516"
"Non-English Language Learners ","134 ","52.9 ","134 ","43.1 ","37 ","39.2","0150411","201516"
