"District","District Code","School","School Code","Special Education Status","Count","%"
"East Hartford School District","=""0430011""","Governor William Pitkin School","=""0432011""","Students with Disabilities","*","*"
"East Hartford School District","=""0430011""","Hockanum School","=""0430511""","Students with Disabilities",6,14.0
"East Hartford School District","=""0430011""","Joseph O. Goodwin School","=""0430411""","Students with Disabilities","*","*"
"East Hartford School District","=""0430011""","Robert J. O'Brien School","=""0431811""","Students with Disabilities",16,18.6
"East Hartford School District","=""0430011""","Silver Lane School","=""0431211""","Students with Disabilities","*","*"
"East Hartford School District","=""0430011""","Stevens Alternate High school","=""0436411""","Students with Disabilities",25,53.2
"East Hartford School District","=""0430011""","Sunset Ridge School Elementary Academy for Arts and World Languages","=""0432411""","Students with Disabilities",14,46.7
"East Hartford School District","=""0430011""","Willowbrook Early Childhood","=""0438011""","Students with Disabilities","N/A","N/A"
"East Hartford School District","=""0430011""","Woodland School","=""0439011""","Students with Disabilities","N/A","N/A"
"Guilford School District","=""0600011""","A. Baldwin Middle School","=""0600711""","Students with Disabilities","*","*"
"Guilford School District","=""0600011""","A. W. Cox School","=""0600611""","Students with Disabilities","N/A","N/A"
"Guilford School District","=""0600011""","Calvin Leete School","=""0600411""","Students with Disabilities","N/A","N/A"
"Guilford School District","=""0600011""","E. C. Adams Middle School","=""0605111""","Students with Disabilities",9,11.1
"Guilford School District","=""0600011""","Guilford High School","=""0606111""","Students with Disabilities",17,15.2
"Guilford School District","=""0600011""","Guilford Lakes School","=""0600211""","Students with Disabilities","N/A","N/A"
"Guilford School District","=""0600011""","Melissa Jones School","=""0600311""","Students with Disabilities","N/A","N/A"
"Manchester School District","=""0770011""","Bowers School","=""0770111""","Students with Disabilities","*","*"
"Manchester School District","=""0770011""","Buckley School","=""0770311""","Students with Disabilities",10,11.0
"Manchester School District","=""0770011""","Elisabeth M. Bennet Academy","=""0771711""","Students with Disabilities",7,10.9
"Manchester School District","=""0770011""","Highland Park School","=""0770411""","Students with Disabilities","*","*"
"Manchester School District","=""0770011""","Illing Middle School","=""0775311""","Students with Disabilities",44,33.8
"Manchester School District","=""0770011""","Keeney School","=""0770611""","Students with Disabilities","*","*"
"Manchester School District","=""0770011""","Manchester High School","=""0776111""","Students with Disabilities",47,22.5
"Manchester School District","=""0770011""","Manchester Preschool Center","=""0778011""","Students with Disabilities","N/A","N/A"
"Manchester School District","=""0770011""","Manchester Regional Academy","=""0779011""","Students with Disabilities",47,63.5
"Manchester School District","=""0770011""","Manchester Transition Center","=""0779111""","Students with Disabilities","N/A","*"
"Manchester School District","=""0770011""","Martin School","=""0771611""","Students with Disabilities","*","*"
"Manchester School District","=""0770011""","Robertson School","=""0771011""","Students with Disabilities","*","*"
"Manchester School District","=""0770011""","Verplanck School","=""0771211""","Students with Disabilities",8,17.0
"Manchester School District","=""0770011""","Waddell School","=""0771311""","Students with Disabilities","*","*"
"Manchester School District","=""0770011""","Washington School","=""0771411""","Students with Disabilities",6,12.8
"Marlborough School District","=""0790011""","Elmer Thienes-Mary Hall Elementary School","=""0790111""","Students with Disabilities","*","*"
"Mansfield School District","=""0780011""","Annie E. Vinton School","=""0780411""","Students with Disabilities","N/A","N/A"
"Mansfield School District","=""0780011""","Dorothy C. Goodwin School","=""0780211""","Students with Disabilities","N/A","N/A"
"Mansfield School District","=""0780011""","Mansfield Middle School School","=""0785111""","Students with Disabilities",6,6.7
"Mansfield School District","=""0780011""","Southeast Elementary School","=""0780511""","Students with Disabilities","*","*"
"Plainfield School District","=""1090011""","Early Childhood Center","=""1098011""","Students with Disabilities","N/A","*"
"Plainfield School District","=""1090011""","Moosup Elementary School","=""1090111""","Students with Disabilities","N/A","N/A"
"Plainfield School District","=""1090011""","Plainfield Central School","=""1095111""","Students with Disabilities",8,14.0
"Plainfield School District","=""1090011""","Plainfield High School","=""1096111""","Students with Disabilities",46,37.7
"Plainfield School District","=""1090011""","Plainfield Memorial School","=""1090311""","Students with Disabilities","*","*"
"Plainfield School District","=""1090011""","Shepard Hill Elementary School","=""1090411""","Students with Disabilities","N/A","N/A"
"Plainville School District","=""1100011""","Frank T. Wheeler School","=""1100411""","Students with Disabilities","N/A","N/A"
"Plainville School District","=""1100011""","Linden Street School","=""1100211""","Students with Disabilities","*","*"
"Plainville School District","=""1100011""","Louis Toffolon School","=""1100511""","Students with Disabilities","*","*"
"Plainville School District","=""1100011""","Middle School of Plainville","=""1105211""","Students with Disabilities",12,14.5
"Plainville School District","=""1100011""","Plainville High School","=""1106111""","Students with Disabilities",17,19.8
"Plainville School District","=""1100011""","Prekindergarten Program","=""1108011""","Students with Disabilities","N/A","N/A"
"Plymouth School District","=""1110011""","Eli Terry Jr. Middle School","=""1115111""","Students with Disabilities",7,10.4
"Plymouth School District","=""1110011""","Harry S. Fisher Elementary School","=""1110411""","Students with Disabilities","N/A","N/A"
"Plymouth School District","=""1110011""","Plymouth Center School","=""1110211""","Students with Disabilities","N/A","N/A"
"Plymouth School District","=""1110011""","Terryville High School","=""1116111""","Students with Disabilities",11,15.9
"Stonington School District","=""1370011""","Deans Mill School","=""1370511""","Students with Disabilities","*","*"
"Stonington School District","=""1370011""","Mystic Middle School","=""1375211""","Students with Disabilities",11,18.3
"Stonington School District","=""1370011""","Pawcatuck Middle School","=""1375111""","Students with Disabilities",6,9.8
"Stonington School District","=""1370011""","Stonington High School","=""1376111""","Students with Disabilities",20,24.1
"Stonington School District","=""1370011""","West Broad Street School","=""1370411""","Students with Disabilities","*","*"
"Stonington School District","=""1370011""","West Vine Street School","=""1370611""","Students with Disabilities","*","*"
"Waterford School District","=""1520011""","Clark Lane Middle School","=""1525111""","Students with Disabilities",12,12.6
"Waterford School District","=""1520011""","Great Neck Elementary School","=""1520211""","Students with Disabilities","*","*"
"Waterford School District","=""1520011""","Oswegatchie Elementary School","=""1520611""","Students with Disabilities","*","*"
"Waterford School District","=""1520011""","Quaker Hill Elementary School","=""1520711""","Students with Disabilities","*","*"
"Waterford School District","=""1520011""","Waterford High School","=""1526111""","Students with Disabilities",26,22.4
"Watertown School District","=""1530011""","Fletcher W. Judson School","=""1530311""","Students with Disabilities",6,15.4
"Watertown School District","=""1530011""","John Trumbull Primary School","=""1530211""","Students with Disabilities","N/A","N/A"
"Watertown School District","=""1530011""","Polk School","=""1530411""","Students with Disabilities",8,14.5
"Watertown School District","=""1530011""","Swift Middle School","=""1535111""","Students with Disabilities",19,21.3
"Watertown School District","=""1530011""","Watertown High School","=""1536111""","Students with Disabilities",31,27.9
"Deep River School District","=""0360011""","Deep River Elementary School","=""0360111""","Students with Disabilities","*","*"
"Derby School District","=""0370011""","Bradley School","=""0370611""","Students with Disabilities","*","*"
"Derby School District","=""0370011""","Derby High School","=""0376111""","Students with Disabilities",20,39.2
"Derby School District","=""0370011""","Derby Middle School","=""0375011""","Students with Disabilities",8,20.5
"Derby School District","=""0370011""","Irving School","=""0370411""","Students with Disabilities",6,9.1
"East Granby School District","=""0400011""","Allgrove School","=""0400111""","Students with Disabilities","*","*"
"East Granby School District","=""0400011""","East Granby High School","=""0406111""","Students with Disabilities","*","*"
"East Granby School District","=""0400011""","East Granby Middle School","=""0405111""","Students with Disabilities","*","*"
"East Granby School District","=""0400011""","R. Dudley Seymour School","=""0400211""","Students with Disabilities","*","*"
"Eastford School District","=""0390011""","Eastford Elementary School","=""0390111""","Students with Disabilities","*","*"
"East Haddam School District","=""0410011""","East Haddam Elementary School","=""0410111""","Students with Disabilities","N/A","N/A"
"East Haddam School District","=""0410011""","Nathan Hale-Ray High School","=""0416111""","Students with Disabilities","N/A","N/A"
"East Haddam School District","=""0410011""","Nathan Hale-Ray Middle School","=""0415111""","Students with Disabilities","N/A","N/A"
"Groton School District","=""0590011""","Carl C. Cutler Middle School","=""0595311""","Students with Disabilities",10,14.9
"Groton School District","=""0590011""","Catherine Kolnaski Magnet School","=""0590311""","Students with Disabilities","*","*"
"Groton School District","=""0590011""","Catherine Kolnaski Magnet School","=""0592011""","Students with Disabilities",10,14.5
"Groton School District","=""0590011""","Charles Barnum School","=""0591811""","Students with Disabilities","*","*"
"Groton School District","=""0590011""","Mary Morrisson School","=""0591711""","Students with Disabilities","*","*"
"Groton School District","=""0590011""","Northeast Academy Elementary School","=""0591911""","Students with Disabilities","*","*"
"Groton School District","=""0590011""","Pleasant Valley School","=""0591211""","Students with Disabilities","*","*"
"Groton School District","=""0590011""","Robert E. Fitch High School","=""0596111""","Students with Disabilities",57,34.8
"Groton School District","=""0590011""","S. B. Butler School","=""0590111""","Students with Disabilities","*","*"
"Groton School District","=""0590011""","West Side Middle School","=""0595211""","Students with Disabilities",25,28.7
"Griswold School District","=""0580011""","Griswold Elementary School","=""0580311""","Students with Disabilities","*","*"
"Griswold School District","=""0580011""","Griswold High School","=""0586211""","Students with Disabilities",26,29.2
"Griswold School District","=""0580011""","Griswold Middle School","=""0585111""","Students with Disabilities",13,15.7
"Madison School District","=""0760011""","Daniel Hand High School","=""0766111""","Students with Disabilities",22,15.9
"Madison School District","=""0760011""","Dr. Robert H. Brown Middle School","=""0760611""","Students with Disabilities","*","*"
"Madison School District","=""0760011""","Island Avenue Elementary School","=""0760211""","Students with Disabilities","N/A","N/A"
"Madison School District","=""0760011""","J. Milton Jeffrey Elementary School","=""0760111""","Students with Disabilities","N/A","N/A"
"Madison School District","=""0760011""","Kathleen H. Ryerson Elementary School","=""0760311""","Students with Disabilities","N/A","N/A"
"Madison School District","=""0760011""","Town Campus Learning Center","=""0769011""","Students with Disabilities","N/A","N/A"
"Madison School District","=""0760011""","Walter C. Polson Upper Middle School","=""0765211""","Students with Disabilities","*","*"
"New Hartford School District","=""0920011""","Ann Antolini School","=""0920311""","Students with Disabilities","N/A","N/A"
"New Hartford School District","=""0920011""","Bakerville Consolidated School","=""0920111""","Students with Disabilities","N/A","*"
"New Hartford School District","=""0920011""","New Hartford Elementary School","=""0920211""","Students with Disabilities","N/A","*"
"Norwich School District","=""1040011""","Bishop School Early Learning Center","=""1040111""","Students with Disabilities","N/A","*"
"Norwich School District","=""1040011""","Deborah-Tennant Zinewicz  School","=""1049111""","Students with Disabilities",16,44.4
"Norwich School District","=""1040011""","Hickory Street School","=""1049011""","Students with Disabilities","N/A","N/A"
"Norwich School District","=""1040011""","John B. Stanton Network School","=""1041411""","Students with Disabilities",6,12.5
"Norwich School District","=""1040011""","Kelly Middle School","=""1045111""","Students with Disabilities",39,34.8
"Norwich School District","=""1040011""","Moriarty Magnet School","=""1042011""","Students with Disabilities","*","*"
"Norwich School District","=""1040011""","Samuel Huntington School","=""1040811""","Students with Disabilities","*","*"
"Norwich School District","=""1040011""","Teachers' Memorial Middle School","=""1045211""","Students with Disabilities",18,23.7
"Norwich School District","=""1040011""","Thomas W. Mahan School","=""1041711""","Students with Disabilities","N/A","N/A"
"Norwich School District","=""1040011""","Uncas Network School","=""1041911""","Students with Disabilities",10,22.2
"Norwich School District","=""1040011""","Veterans' Memorial School","=""1041811""","Students with Disabilities","*","*"
"Norwich School District","=""1040011""","Virtual Learning Academy","=""1049211""","Students with Disabilities","N/A","*"
"Norwich School District","=""1040011""","Wequonnoc Magnet School","=""1041511""","Students with Disabilities",9,19.1
"Orange School District","=""1070011""","Mary L. Tracy School","=""1070211""","Students with Disabilities","N/A","*"
"Orange School District","=""1070011""","Peck Place School","=""1070511""","Students with Disabilities","N/A","N/A"
"Orange School District","=""1070011""","Race Brook School","=""1070311""","Students with Disabilities","N/A","N/A"
"Orange School District","=""1070011""","Turkey Hill School","=""1070411""","Students with Disabilities","N/A","N/A"
"Old Saybrook School District","=""1060011""","Kathleen E. Goodwin School","=""1060211""","Students with Disabilities","N/A","N/A"
"Old Saybrook School District","=""1060011""","Old Saybrook Middle School","=""1065211""","Students with Disabilities",7,7.4
"Old Saybrook School District","=""1060011""","Old Saybrook Senior High School","=""1066111""","Students with Disabilities",16,30.2
"Oxford School District","=""1080011""","Great Oak School","=""1085111""","Students with Disabilities","*","*"
"Oxford School District","=""1080011""","Oxford Center School","=""1080111""","Students with Disabilities","N/A","N/A"
"Oxford School District","=""1080011""","Oxford High School","=""1086011""","Students with Disabilities","*","*"
"Oxford School District","=""1080011""","Quaker Farms School","=""1080311""","Students with Disabilities","N/A","N/A"
"Stamford School District","=""1350011""","Cloonan School","=""1355611""","Students with Disabilities",7,7.4
"Stamford School District","=""1350011""","Davenport Ridge School","=""1352011""","Students with Disabilities","*","*"
"Stamford School District","=""1350011""","Dolan School","=""1355311""","Students with Disabilities",9,12.3
"Stamford School District","=""1350011""","Hart School","=""1352211""","Students with Disabilities","N/A","N/A"
"Stamford School District","=""1350011""","Julia A. Stark School","=""1351211""","Students with Disabilities","N/A","N/A"
"Stamford School District","=""1350011""","K. T. Murphy School","=""1350511""","Students with Disabilities","*","*"
"Stamford School District","=""1350011""","Newfield School","=""1350611""","Students with Disabilities","*","*"
"Stamford School District","=""1350011""","Northeast School","=""1351811""","Students with Disabilities","N/A","N/A"
"Stamford School District","=""1350011""","Preschool Team","=""1358011""","Students with Disabilities","N/A","N/A"
"Stamford School District","=""1350011""","Rippowam Middle School","=""1355811""","Students with Disabilities",20,24.7
"Stamford School District","=""1350011""","Rogers International School","=""1350811""","Students with Disabilities","*","*"
"Stamford School District","=""1350011""","Roxbury School","=""1350911""","Students with Disabilities","N/A","N/A"
"Stamford School District","=""1350011""","Scofield Middle School","=""1355711""","Students with Disabilities","N/A","N/A"
"Stamford School District","=""1350011""","Springdale School","=""1351111""","Students with Disabilities","*","*"
"Stamford School District","=""1350011""","Stamford High School","=""1356111""","Students with Disabilities",31,12.2
"Stamford School District","=""1350011""","Stillmeadow School","=""1352111""","Students with Disabilities","*","*"
"Stamford School District","=""1350011""","The Academy of Information Technology","=""1356411""","Students with Disabilities","N/A","N/A"
"Stamford School District","=""1350011""","Toquam Magnet School","=""1351911""","Students with Disabilities","N/A","N/A"
"Stamford School District","=""1350011""","Turn of River School","=""1355511""","Students with Disabilities","*","*"
"Stamford School District","=""1350011""","Westhill High School","=""1356311""","Students with Disabilities",23,9.7
"Stamford School District","=""1350011""","Westover School","=""1351411""","Students with Disabilities","N/A","N/A"
"Sterling School District","=""1360011""","Sterling Community School","=""1360311""","Students with Disabilities","N/A","N/A"
"Waterbury School District","=""1510011""","B. W. Tinker School","=""1512111""","Students with Disabilities",12,16.0
"Waterbury School District","=""1510011""","Bucks Hill School","=""1510511""","Students with Disabilities",16,16.0
"Waterbury School District","=""1510011""","Bunker Hill School","=""1510611""","Students with Disabilities",17,16.5
"Waterbury School District","=""1510011""","Carrington School","=""1512711""","Students with Disabilities","*","*"
"Waterbury School District","=""1510011""","Crosby High School","=""1516211""","Students with Disabilities",129,53.1
"Waterbury School District","=""1510011""","Driggs School","=""1510911""","Students with Disabilities","*","*"
"Waterbury School District","=""1510011""","Duggan School","=""1511611""","Students with Disabilities",13,12.3
"Waterbury School District","=""1510011""","Enlightenment School","=""1519111""","Students with Disabilities",34,61.8
"Waterbury School District","=""1510011""","F. J. Kingsbury School","=""1511411""","Students with Disabilities",17,22.4
"Waterbury School District","=""1510011""","Gilmartin School","=""1512611""","Students with Disabilities",12,12.2
"Waterbury School District","=""1510011""","H. S. Chase School","=""1510711""","Students with Disabilities",17,12.6
"Waterbury School District","=""1510011""","Hopeville School","=""1511311""","Students with Disabilities","*","*"
"Waterbury School District","=""1510011""","John F. Kennedy High School","=""1516411""","Students with Disabilities",121,54.8
"Waterbury School District","=""1510011""","Maloney Interdistrict Magnet School","=""1513111""","Students with Disabilities","*","*"
"Waterbury School District","=""1510011""","Margaret M. Generali Elementary School","=""1511111""","Students with Disabilities",11,10.6
"Waterbury School District","=""1510011""","Michael F. Wallace Middle School","=""1515111""","Students with Disabilities",94,39.0
"Waterbury School District","=""1510011""","North End Middle School","=""1515311""","Students with Disabilities",100,38.0
"Waterbury School District","=""1510011""","Reed School","=""1513411""","Students with Disabilities",10,13.0
"Waterbury School District","=""1510011""","Regan School","=""1512811""","Students with Disabilities","*","*"
"Waterbury School District","=""1510011""","Rotella Interdistrict Magnet School","=""1513311""","Students with Disabilities","*","*"
"Waterbury School District","=""1510011""","Special Education Preschool","=""1518011""","Students with Disabilities","N/A","N/A"
"Waterbury School District","=""1510011""","Sprague School","=""1512011""","Students with Disabilities",8,10.7
"Waterbury School District","=""1510011""","State Street School","=""1519011""","Students with Disabilities",76,74.5
"Waterbury School District","=""1510011""","Walsh School","=""1512211""","Students with Disabilities",13,14.9
"Waterbury School District","=""1510011""","Washington School","=""1512311""","Students with Disabilities",9,19.1
"Waterbury School District","=""1510011""","Waterbury Arts Magnet School (High)","=""1516011""","Students with Disabilities",7,18.4
"Waterbury School District","=""1510011""","Waterbury Arts Magnet School (Middle)","=""1515011""","Students with Disabilities",12,44.4
"Waterbury School District","=""1510011""","Wendell L. Cross School","=""1510811""","Students with Disabilities","*","*"
"Waterbury School District","=""1510011""","West Side Middle School","=""1515211""","Students with Disabilities",121,51.1
"Waterbury School District","=""1510011""","Wilby High School","=""1516311""","Students with Disabilities",139,48.6
"Waterbury School District","=""1510011""","Woodrow Wilson School","=""1513211""","Students with Disabilities",14,14.0
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Students with Disabilities",21,29.2
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""","Students with Disabilities",7,23.3
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""","Students with Disabilities",10,25.0
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","Students with Disabilities","*","*"
"Bloomfield School District","=""0110011""","Laurel School","=""0110611""","Students with Disabilities","*","*"
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""","Students with Disabilities","N/A","*"
"Bloomfield School District","=""0110011""","Metacomet School","=""0110511""","Students with Disabilities","*","*"
"Bloomfield School District","=""0110011""","Wintonbury Early Childhood Magnet School","=""0110811""","Students with Disabilities","N/A","N/A"
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""","Students with Disabilities","*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","Students with Disabilities","*","*"
"Branford School District","=""0140011""","Branford High School","=""0146111""","Students with Disabilities",31,24.4
"Branford School District","=""0140011""","Francis Walsh Intermediate School","=""0145111""","Students with Disabilities",19,12.1
"Branford School District","=""0140011""","Indian Neck School","=""0148011""","Students with Disabilities","N/A","N/A"
"Branford School District","=""0140011""","John B. Sliney School","=""0141611""","Students with Disabilities","N/A","N/A"
"Branford School District","=""0140011""","Mary R. Tisko School","=""0141511""","Students with Disabilities","N/A","N/A"
"Branford School District","=""0140011""","Mary T. Murphy School","=""0141411""","Students with Disabilities","N/A","N/A"
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""","Students with Disabilities","*","*"
"Danbury School District","=""0340011""","Alternative Center For Excellence","=""0346211""","Students with Disabilities",7,33.3
"Danbury School District","=""0340011""","Broadview Middle School","=""0345111""","Students with Disabilities",21,11.8
"Danbury School District","=""0340011""","Danbury High School","=""0346111""","Students with Disabilities",112,35.9
"Danbury School District","=""0340011""","Ellsworth Avenue School","=""0341411""","Students with Disabilities","N/A","N/A"
"Danbury School District","=""0340011""","Great Plain School","=""0341111""","Students with Disabilities","*","*"
"Danbury School District","=""0340011""","Hayestown Avenue School","=""0340211""","Students with Disabilities","N/A","N/A"
"Danbury School District","=""0340011""","King Street Intermediate School","=""0341711""","Students with Disabilities","N/A","N/A"
"Danbury School District","=""0340011""","King Street Primary School","=""0341311""","Students with Disabilities","N/A","N/A"
"Danbury School District","=""0340011""","Mill Ridge Educational Center","=""0341811""","Students with Disabilities","N/A","N/A"
"Danbury School District","=""0340011""","Mill Ridge Primary School","=""0340511""","Students with Disabilities","N/A","N/A"
"Danbury School District","=""0340011""","Morris Street School","=""0340611""","Students with Disabilities","N/A","N/A"
"Danbury School District","=""0340011""","Park Avenue School","=""0340811""","Students with Disabilities","N/A","N/A"
"Danbury School District","=""0340011""","Pembroke School","=""0341511""","Students with Disabilities","N/A","N/A"
"Danbury School District","=""0340011""","Rogers Park Middle School","=""0345211""","Students with Disabilities",44,31.4
"Danbury School District","=""0340011""","Shelter Rock School","=""0341211""","Students with Disabilities","*","*"
"Danbury School District","=""0340011""","South Street School","=""0341011""","Students with Disabilities","N/A","N/A"
"Danbury School District","=""0340011""","Stadley Rough School","=""0341611""","Students with Disabilities","N/A","N/A"
"Danbury School District","=""0340011""","Western CT Academy of International Studies Elementary Magnet School","=""0341911""","Students with Disabilities","N/A","N/A"
"Darien School District","=""0350011""","Darien High School","=""0356111""","Students with Disabilities",8,4.9
"Darien School District","=""0350011""","Hindley Elementary School","=""0350211""","Students with Disabilities","*","*"
"Darien School District","=""0350011""","Holmes Elementary School","=""0350711""","Students with Disabilities","N/A","N/A"
"Darien School District","=""0350011""","Middlesex Middle School","=""0355111""","Students with Disabilities","*","*"
"Darien School District","=""0350011""","Ox Ridge Elementary School","=""0351311""","Students with Disabilities","*","*"
"Darien School District","=""0350011""","Royle Elementary School","=""0350511""","Students with Disabilities","N/A","N/A"
"Darien School District","=""0350011""","Tokeneke Elementary School","=""0350611""","Students with Disabilities","N/A","N/A"
"Granby School District","=""0560011""","Frank M. Kearns Primary School","=""0560111""","Students with Disabilities","N/A","N/A"
"Granby School District","=""0560011""","Granby Memorial High School","=""0566111""","Students with Disabilities","*","*"
"Granby School District","=""0560011""","Granby Memorial Middle School","=""0565111""","Students with Disabilities","*","*"
"Granby School District","=""0560011""","Kelly Lane Intermediate School","=""0560411""","Students with Disabilities","*","*"
"Granby School District","=""0560011""","Wells Road Intermediate School","=""0560311""","Students with Disabilities","N/A","N/A"
"Greenwich School District","=""0570011""","Central Middle School","=""0575111""","Students with Disabilities",6,8.2
"Greenwich School District","=""0570011""","Cos Cob School","=""0570211""","Students with Disabilities","N/A","*"
"Greenwich School District","=""0570011""","Eastern Middle School","=""0575211""","Students with Disabilities","*","*"
"Greenwich School District","=""0570011""","Glenville School","=""0570411""","Students with Disabilities","N/A","N/A"
"Greenwich School District","=""0570011""","Greenwich High School","=""0576111""","Students with Disabilities",39,11.5
"Greenwich School District","=""0570011""","Hamilton Avenue School","=""0570511""","Students with Disabilities","*","*"
"Greenwich School District","=""0570011""","International School At Dundee","=""0571311""","Students with Disabilities","N/A","N/A"
"Greenwich School District","=""0570011""","Julian Curtiss School","=""0570311""","Students with Disabilities","*","*"
"Greenwich School District","=""0570011""","New Lebanon School","=""0570611""","Students with Disabilities","N/A","N/A"
"Greenwich School District","=""0570011""","North Mianus School","=""0570711""","Students with Disabilities","N/A","N/A"
"Greenwich School District","=""0570011""","North Street School","=""0570811""","Students with Disabilities","N/A","N/A"
"Greenwich School District","=""0570011""","Old Greenwich School","=""0570911""","Students with Disabilities","N/A","N/A"
"Greenwich School District","=""0570011""","Parkway School","=""0571111""","Students with Disabilities","N/A","N/A"
"Greenwich School District","=""0570011""","Riverside School","=""0571011""","Students with Disabilities","N/A","*"
"Greenwich School District","=""0570011""","Western Middle School","=""0575311""","Students with Disabilities",8,10.5
"Ledyard School District","=""0720011""","Gales Ferry School","=""0720211""","Students with Disabilities","N/A","N/A"
"Ledyard School District","=""0720011""","Gallup Hill School","=""0720411""","Students with Disabilities","*","*"
"Ledyard School District","=""0720011""","Juliet W. Long School","=""0720311""","Students with Disabilities","*","*"
"Ledyard School District","=""0720011""","Ledyard Center School","=""0720111""","Students with Disabilities","N/A","N/A"
"Ledyard School District","=""0720011""","Ledyard High School","=""0726111""","Students with Disabilities",19,12.9
"Ledyard School District","=""0720011""","Ledyard Middle School","=""0725111""","Students with Disabilities","*","*"
"Lisbon School District","=""0730011""","Community Connection - The Big Picture High School","=""0736011""","Students with Disabilities","*","*"
"Lisbon School District","=""0730011""","Lisbon Central School","=""0730111""","Students with Disabilities","*","*"
"Litchfield School District","=""0740011""","Center School","=""0740211""","Students with Disabilities","N/A","N/A"
"Litchfield School District","=""0740011""","Litchfield High School","=""0746111""","Students with Disabilities",12,27.3
"Litchfield School District","=""0740011""","Litchfield Intermediate School","=""0740311""","Students with Disabilities","*","*"
"New Britain School District","=""0890011""","Alternative Center School","=""0899111""","Students with Disabilities",12,41.4
"New Britain School District","=""0890011""","CLIMB","=""0899411""","Students with Disabilities","N/A","N/A"
"New Britain School District","=""0890011""","Chamberlain  Elementary School","=""0890311""","Students with Disabilities",14,12.2
"New Britain School District","=""0890011""","Frank J. DiLoreto School","=""0891111""","Students with Disabilities",17,20.5
"New Britain School District","=""0890011""","Gaffney School","=""0890511""","Students with Disabilities",8,3.5
"New Britain School District","=""0890011""","Holmes School","=""0890611""","Students with Disabilities",8,12.9
"New Britain School District","=""0890011""","Jefferson School","=""0890711""","Students with Disabilities","N/A","N/A"
"New Britain School District","=""0890011""","Lincoln School","=""0890811""","Students with Disabilities",9,10.1
"New Britain School District","=""0890011""","New Britain High School","=""0896111""","Students with Disabilities",170,48.2
"New Britain School District","=""0890011""","New Britain Transition Center","=""0899011""","Students with Disabilities","N/A","N/A"
"New Britain School District","=""0890011""","Northend School","=""0890911""","Students with Disabilities","N/A","*"
"New Britain School District","=""0890011""","Pulaski Middle School","=""0895311""","Students with Disabilities",48,42.1
"New Britain School District","=""0890011""","Roosevelt Middle School","=""0895111""","Students with Disabilities",26,36.6
"New Britain School District","=""0890011""","Slade Middle School","=""0895211""","Students with Disabilities",47,34.3
"New Britain School District","=""0890011""","Smalley Academy","=""0891211""","Students with Disabilities",32,29.9
"New Britain School District","=""0890011""","Smith School","=""0891311""","Students with Disabilities",6,3.9
"New Britain School District","=""0890011""","Vance School","=""0891511""","Students with Disabilities",15,17.0
"New Canaan School District","=""0900011""","East School","=""0900411""","Students with Disabilities","N/A","N/A"
"New Canaan School District","=""0900011""","New Canaan High School","=""0906111""","Students with Disabilities","N/A","N/A"
"New Canaan School District","=""0900011""","Saxe Middle School","=""0905111""","Students with Disabilities","N/A","N/A"
"New Canaan School District","=""0900011""","South School","=""0900211""","Students with Disabilities","N/A","N/A"
"New Canaan School District","=""0900011""","West School","=""0900311""","Students with Disabilities","N/A","N/A"
"New Fairfield School District","=""0910011""","Consolidated School","=""0910111""","Students with Disabilities","*","*"
"New Fairfield School District","=""0910011""","Meeting House Hill School","=""0910211""","Students with Disabilities","N/A","N/A"
"New Fairfield School District","=""0910011""","New Fairfield High School","=""0916111""","Students with Disabilities",24,27.0
"New Fairfield School District","=""0910011""","New Fairfield Middle School","=""0915211""","Students with Disabilities","*","*"
"Norwalk School District","=""1030011""","Brien McMahon High School","=""1036211""","Students with Disabilities",47,30.3
"Norwalk School District","=""1030011""","Brookside Elementary School","=""1030211""","Students with Disabilities","*","*"
"Norwalk School District","=""1030011""","Columbus Magnet School","=""1030311""","Students with Disabilities","*","*"
"Norwalk School District","=""1030011""","Cranbury Elementary School","=""1030411""","Students with Disabilities","*","*"
"Norwalk School District","=""1030011""","Fox Run Elementary School","=""1032011""","Students with Disabilities","*","*"
"Norwalk School District","=""1030011""","Jefferson Magnet School","=""1030711""","Students with Disabilities","*","*"
"Norwalk School District","=""1030011""","Kendall Elementary School","=""1030811""","Students with Disabilities","*","*"
"Norwalk School District","=""1030011""","Marvin Elementary School","=""1032211""","Students with Disabilities","*","*"
"Norwalk School District","=""1030011""","Naramake Elementary School","=""1032111""","Students with Disabilities","N/A","N/A"
"Norwalk School District","=""1030011""","Nathan Hale Middle School","=""1035211""","Students with Disabilities",19,22.4
"Norwalk School District","=""1030011""","Norwalk High School","=""1036111""","Students with Disabilities",59,35.8
"Norwalk School District","=""1030011""","Norwalk Pathways Academy at Briggs","=""1036311""","Students with Disabilities",12,57.1
"Norwalk School District","=""1030011""","Ponus Ridge Middle School","=""1035311""","Students with Disabilities",19,26.0
