district,school,free_reduced_price_meal_eligibility,2011_12,2012_13,2013_14,2014_15,2015_16,school_code,check_sch_col,check_dist_col
New Milford School District,New Milford High School,Eligible For Reduced Lunch,*,83.3,*,*,100.0,0966111,New Milford High School,New Milford School District
New Milford School District,New Milford High School,Not Eligible For Lunch,93.5,91.2,94.1,95.5,95.9,0966111,New Milford High School,New Milford School District
Newington School District,Newington High School,Eligible For Free Lunch,77.8,*,84.7,86.1,83.9,0946111,Newington High School,Newington School District
Newington School District,Newington High School,Eligible For Reduced Lunch,82.8,*,82.6,89.3,81.5,0946111,Newington High School,Newington School District
Newington School District,Newington High School,Not Eligible For Lunch,92.9,92.5,95.7,95.2,96.8,0946111,Newington High School,Newington School District
Newtown School District,Newtown High School,Eligible For Free Lunch,*,*,*,*,*,0976111,Newtown High School,Newtown School District
Newtown School District,Newtown High School,Eligible For Reduced Lunch,*,*,*,*,*,0976111,Newtown High School,Newtown School District
Newtown School District,Newtown High School,Not Eligible For Lunch,95.5,94.5,97.9,97.5,97.6,0976111,Newtown High School,Newtown School District
North Branford School District,North Branford High School,Eligible For Free Lunch,*,85.0,*,*,*,0996111,North Branford High School,North Branford School District
North Branford School District,North Branford High School,Eligible For Reduced Lunch,*,*,*,*,*,0996111,North Branford High School,North Branford School District
North Branford School District,North Branford High School,Not Eligible For Lunch,95.7,*,94.8,*,97.3,0996111,North Branford High School,North Branford School District
North Haven School District,North Haven High School,Eligible For Free Lunch,71.4,64.0,81.1,*,*,1016111,North Haven High School,North Haven School District
North Haven School District,North Haven High School,Eligible For Reduced Lunch,*,*,*,*,*,1016111,North Haven High School,North Haven School District
North Haven School District,North Haven High School,Not Eligible For Lunch,*,92.6,94.5,97.0,97.3,1016111,North Haven High School,North Haven School District
North Stonington School District,Wheeler High School,Eligible For Free Lunch,*,*,*,*,*,1026111,Wheeler High School,North Stonington School District
North Stonington School District,Wheeler High School,Eligible For Reduced Lunch,*,*,*,*,*,1026111,Wheeler High School,North Stonington School District
North Stonington School District,Wheeler High School,Not Eligible For Lunch,88.9,*,*,*,93.9,1026111,Wheeler High School,North Stonington School District
Norwalk School District,Brien McMahon High School,Eligible For Free Lunch,84.5,80.9,80.8,92.5,93.5,1036211,Brien McMahon High School,Norwalk School District
Norwalk School District,Brien McMahon High School,Eligible For Reduced Lunch,87.3,95.2,92.5,93.8,*,1036211,Brien McMahon High School,Norwalk School District
Norwalk School District,Brien McMahon High School,Not Eligible For Lunch,91.6,*,*,*,*,1036211,Brien McMahon High School,Norwalk School District
Norwalk School District,Norwalk High School,Eligible For Free Lunch,74.3,*,85.0,85.1,79.3,1036111,Norwalk High School,Norwalk School District
Norwalk School District,Norwalk High School,Eligible For Reduced Lunch,*,*,*,*,95.7,1036111,Norwalk High School,Norwalk School District
Norwalk School District,Norwalk High School,Not Eligible For Lunch,*,93.2,95.4,94.5,95.6,1036111,Norwalk High School,Norwalk School District
Norwalk School District,Norwalk Pathways Academy at Briggs,Eligible For Free Lunch,33.3,*,0.0,39.4,56.7,1036311,Norwalk Pathways Academy at Briggs,Norwalk School District
Norwalk School District,Norwalk Pathways Academy at Briggs,Eligible For Reduced Lunch,*,*,*,*,*,1036311,Norwalk Pathways Academy at Briggs,Norwalk School District
Norwalk School District,Norwalk Pathways Academy at Briggs,Not Eligible For Lunch,*,*,*,*,*,1036311,Norwalk Pathways Academy at Briggs,Norwalk School District
Norwich Free Academy District,Norwich Free Academy,Eligible For Free Lunch,*,70.6,76.6,*,75.7,9016122,Norwich Free Academy,Norwich Free Academy District
Norwich Free Academy District,Norwich Free Academy,Eligible For Reduced Lunch,*,87.8,84.2,*,85.7,9016122,Norwich Free Academy,Norwich Free Academy District
Norwich Free Academy District,Norwich Free Academy,Not Eligible For Lunch,89.8,92.3,93.7,96.7,93.8,9016122,Norwich Free Academy,Norwich Free Academy District
Norwich School District,Thames River Academy,Eligible For Free Lunch,*,,,,,1046111,Thames River Academy,Norwich School District
Norwich School District,Thames River Academy,Eligible For Reduced Lunch,*,,,,,1046111,Thames River Academy,Norwich School District
Norwich School District,Thames River Academy,Not Eligible For Lunch,*,,,,,1046111,Thames River Academy,Norwich School District
Old Saybrook School District,Old Saybrook Senior High School,Eligible For Free Lunch,*,*,81.8,*,81.0,1066111,Old Saybrook Senior High School,Old Saybrook School District
Old Saybrook School District,Old Saybrook Senior High School,Eligible For Reduced Lunch,*,*,*,*,*,1066111,Old Saybrook Senior High School,Old Saybrook School District
Old Saybrook School District,Old Saybrook Senior High School,Not Eligible For Lunch,97.7,*,96.2,*,95.2,1066111,Old Saybrook Senior High School,Old Saybrook School District
Oxford School District,Oxford High School,Eligible For Free Lunch,*,*,*,*,*,1086011,Oxford High School,Oxford School District
Oxford School District,Oxford High School,Eligible For Reduced Lunch,*,*,*,*,*,1086011,Oxford High School,Oxford School District
Oxford School District,Oxford High School,Not Eligible For Lunch,95.4,*,97.6,*,95.1,1086011,Oxford High School,Oxford School District
Path Academy District,Path Academy,Eligible For Free Lunch,,,,,*,2930113,Path Academy,Path Academy District
Path Academy District,Path Academy,Eligible For Reduced Lunch,,,,,*,2930113,Path Academy,Path Academy District
Path Academy District,Path Academy,Not Eligible For Lunch,,,,,*,2930113,Path Academy,Path Academy District
Plainfield School District,Plainfield High School,Eligible For Free Lunch,*,*,76.7,69.6,*,1096111,Plainfield High School,Plainfield School District
Plainfield School District,Plainfield High School,Eligible For Reduced Lunch,*,*,*,*,*,1096111,Plainfield High School,Plainfield School District
Plainfield School District,Plainfield High School,Not Eligible For Lunch,89.9,89.0,90.2,93.8,91.0,1096111,Plainfield High School,Plainfield School District
Plainville School District,Plainville High School,Eligible For Free Lunch,*,*,81.6,76.6,*,1106111,Plainville High School,Plainville School District
Plainville School District,Plainville High School,Eligible For Reduced Lunch,*,*,85.7,*,*,1106111,Plainville High School,Plainville School District
Plainville School District,Plainville High School,Not Eligible For Lunch,95.8,92.3,96.2,*,97.2,1106111,Plainville High School,Plainville School District
Plymouth School District,Terryville High School,Eligible For Free Lunch,72.4,*,*,83.3,*,1116111,Terryville High School,Plymouth School District
Plymouth School District,Terryville High School,Eligible For Reduced Lunch,*,*,*,*,*,1116111,Terryville High School,Plymouth School District
Plymouth School District,Terryville High School,Not Eligible For Lunch,87.4,90.8,92.6,93.3,91.7,1116111,Terryville High School,Plymouth School District
Portland School District,Portland High School,Eligible For Free Lunch,*,*,*,*,*,1136111,Portland High School,Portland School District
Portland School District,Portland High School,Eligible For Reduced Lunch,*,*,*,*,*,1136111,Portland High School,Portland School District
Portland School District,Portland High School,Not Eligible For Lunch,*,*,96.8,95.5,100.0,1136111,Portland High School,Portland School District
Putnam School District,Putnam High School,Eligible For Free Lunch,*,*,80.0,*,94.3,1166111,Putnam High School,Putnam School District
Putnam School District,Putnam High School,Eligible For Reduced Lunch,*,*,*,*,*,1166111,Putnam High School,Putnam School District
Putnam School District,Putnam High School,Not Eligible For Lunch,*,91.1,91.7,*,100.0,1166111,Putnam High School,Putnam School District
Regional School District 01,Housatonic Valley Regional High School,Eligible For Free Lunch,*,*,*,*,*,2016112,Housatonic Valley Regional High School,Regional School District 01
Regional School District 01,Housatonic Valley Regional High School,Eligible For Reduced Lunch,*,*,*,*,*,2016112,Housatonic Valley Regional High School,Regional School District 01
Regional School District 01,Housatonic Valley Regional High School,Not Eligible For Lunch,*,92.4,91.8,96.8,*,2016112,Housatonic Valley Regional High School,Regional School District 01
Regional School District 04,Valley Regional High School,Eligible For Free Lunch,*,*,*,*,*,2046112,Valley Regional High School,Regional School District 04
Regional School District 04,Valley Regional High School,Eligible For Reduced Lunch,*,*,*,*,*,2046112,Valley Regional High School,Regional School District 04
Regional School District 04,Valley Regional High School,Not Eligible For Lunch,93.7,*,98.3,*,100.0,2046112,Valley Regional High School,Regional School District 04
Regional School District 05,Amity Regional High School,Eligible For Free Lunch,*,*,*,*,70.0,2056112,Amity Regional High School,Regional School District 05
Regional School District 05,Amity Regional High School,Eligible For Reduced Lunch,*,*,*,*,*,2056112,Amity Regional High School,Regional School District 05
Regional School District 05,Amity Regional High School,Not Eligible For Lunch,97.3,96.8,97.5,97.4,97.7,2056112,Amity Regional High School,Regional School District 05
Regional School District 06,Wamogo Regional High School,Eligible For Free Lunch,*,*,*,*,*,2066112,Wamogo Regional High School,Regional School District 06
Regional School District 06,Wamogo Regional High School,Eligible For Reduced Lunch,*,*,*,*,*,2066112,Wamogo Regional High School,Regional School District 06
Regional School District 06,Wamogo Regional High School,Not Eligible For Lunch,*,*,92.1,97.4,*,2066112,Wamogo Regional High School,Regional School District 06
Regional School District 07,Northwestern Regional High School,Eligible For Free Lunch,*,*,*,*,*,2076112,Northwestern Regional High School,Regional School District 07
Regional School District 07,Northwestern Regional High School,Eligible For Reduced Lunch,*,*,*,*,*,2076112,Northwestern Regional High School,Regional School District 07
Regional School District 07,Northwestern Regional High School,Not Eligible For Lunch,*,*,*,100.0,*,2076112,Northwestern Regional High School,Regional School District 07
Regional School District 08,RHAM High School,Eligible For Free Lunch,*,*,*,*,*,2086112,RHAM High School,Regional School District 08
Regional School District 08,RHAM High School,Eligible For Reduced Lunch,*,*,*,*,*,2086112,RHAM High School,Regional School District 08
Regional School District 08,RHAM High School,Not Eligible For Lunch,92.4,*,95.7,94.1,95.6,2086112,RHAM High School,Regional School District 08
Regional School District 08,Region Alternative High School,Eligible For Free Lunch,,*,,,,2086212,Region Alternative High School,Regional School District 08
Regional School District 08,Region Alternative High School,Eligible For Reduced Lunch,,*,,,,2086212,Region Alternative High School,Regional School District 08
Regional School District 08,Region Alternative High School,Not Eligible For Lunch,,*,,,,2086212,Region Alternative High School,Regional School District 08
Regional School District 09,Joel Barlow High School,Eligible For Free Lunch,*,*,*,*,*,2096112,Joel Barlow High School,Regional School District 09
Regional School District 09,Joel Barlow High School,Eligible For Reduced Lunch,*,*,*,*,*,2096112,Joel Barlow High School,Regional School District 09
Regional School District 09,Joel Barlow High School,Not Eligible For Lunch,*,95.6,96.6,97.9,97.4,2096112,Joel Barlow High School,Regional School District 09
Regional School District 10,Lewis S. Mills High School,Eligible For Free Lunch,*,*,*,*,*,2106112,Lewis S. Mills High School,Regional School District 10
Regional School District 10,Lewis S. Mills High School,Eligible For Reduced Lunch,*,*,*,,*,2106112,Lewis S. Mills High School,Regional School District 10
Regional School District 10,Lewis S. Mills High School,Not Eligible For Lunch,96.8,93.8,95.5,*,97.6,2106112,Lewis S. Mills High School,Regional School District 10
Regional School District 11,Parish Hill High School,Eligible For Free Lunch,*,*,*,*,*,2116112,Parish Hill High School,Regional School District 11
Regional School District 11,Parish Hill High School,Eligible For Reduced Lunch,*,*,*,*,*,2116112,Parish Hill High School,Regional School District 11
Regional School District 11,Parish Hill High School,Not Eligible For Lunch,*,*,*,100.0,*,2116112,Parish Hill High School,Regional School District 11
Regional School District 12,Shepaug Valley High School,Eligible For Free Lunch,*,*,,,,2126112,Shepaug Valley High School,Regional School District 12
Regional School District 12,Shepaug Valley High School,Eligible For Reduced Lunch,*,*,,,,2126112,Shepaug Valley High School,Regional School District 12
Regional School District 12,Shepaug Valley High School,Not Eligible For Lunch,85.5,*,,,,2126112,Shepaug Valley High School,Regional School District 12
Regional School District 12,Shepaug Valley School,Eligible For Free Lunch,,,*,*,*,2120312,Shepaug Valley School,Regional School District 12
Regional School District 12,Shepaug Valley School,Eligible For Reduced Lunch,,,*,*,*,2120312,Shepaug Valley School,Regional School District 12
Regional School District 12,Shepaug Valley School,Not Eligible For Lunch,,,100.0,100.0,100.0,2120312,Shepaug Valley School,Regional School District 12
Regional School District 13,Coginchaug Regional High School,Eligible For Free Lunch,*,*,*,*,*,2136112,Coginchaug Regional High School,Regional School District 13
Regional School District 13,Coginchaug Regional High School,Eligible For Reduced Lunch,*,*,*,*,*,2136112,Coginchaug Regional High School,Regional School District 13
Regional School District 13,Coginchaug Regional High School,Not Eligible For Lunch,*,*,95.9,100.0,*,2136112,Coginchaug Regional High School,Regional School District 13
Regional School District 14,Nonnewaug High School,Eligible For Free Lunch,*,*,*,*,*,2146112,Nonnewaug High School,Regional School District 14
Regional School District 14,Nonnewaug High School,Eligible For Reduced Lunch,*,*,*,*,*,2146112,Nonnewaug High School,Regional School District 14
Regional School District 14,Nonnewaug High School,Not Eligible For Lunch,*,94.8,98.4,*,98.8,2146112,Nonnewaug High School,Regional School District 14
Regional School District 15,Pomperaug Regional High School,Eligible For Free Lunch,*,*,*,*,*,2156212,Pomperaug Regional High School,Regional School District 15
Regional School District 15,Pomperaug Regional High School,Eligible For Reduced Lunch,*,*,*,*,*,2156212,Pomperaug Regional High School,Regional School District 15
Regional School District 15,Pomperaug Regional High School,Not Eligible For Lunch,94.5,95.7,97.4,97.0,98.0,2156212,Pomperaug Regional High School,Regional School District 15
Regional School District 16,Woodland Regional High School,Eligible For Free Lunch,*,69.2,*,*,100.0,2166012,Woodland Regional High School,Regional School District 16
Regional School District 16,Woodland Regional High School,Eligible For Reduced Lunch,*,*,*,*,*,2166012,Woodland Regional High School,Regional School District 16
Regional School District 16,Woodland Regional High School,Not Eligible For Lunch,94.3,95.1,95.8,96.4,*,2166012,Woodland Regional High School,Regional School District 16
Regional School District 17,Haddam-Killingworth High School,Eligible For Free Lunch,*,*,*,*,*,2176112,Haddam-Killingworth High School,Regional School District 17
Regional School District 17,Haddam-Killingworth High School,Eligible For Reduced Lunch,*,*,*,*,*,2176112,Haddam-Killingworth High School,Regional School District 17
Regional School District 17,Haddam-Killingworth High School,Not Eligible For Lunch,95.9,96.7,*,97.3,96.2,2176112,Haddam-Killingworth High School,Regional School District 17
Regional School District 18,Lyme-Old Lyme High School,Eligible For Free Lunch,*,*,*,*,*,2186112,Lyme-Old Lyme High School,Regional School District 18
Regional School District 18,Lyme-Old Lyme High School,Eligible For Reduced Lunch,*,*,*,*,*,2186112,Lyme-Old Lyme High School,Regional School District 18
Regional School District 18,Lyme-Old Lyme High School,Not Eligible For Lunch,*,98.0,97.1,97.4,*,2186112,Lyme-Old Lyme High School,Regional School District 18
Regional School District 19,E. O. Smith High School,Eligible For Free Lunch,65.5,84.8,*,89.3,*,2196112,E. O. Smith High School,Regional School District 19
Regional School District 19,E. O. Smith High School,Eligible For Reduced Lunch,*,*,*,*,*,2196112,E. O. Smith High School,Regional School District 19
Regional School District 19,E. O. Smith High School,Not Eligible For Lunch,91.6,89.6,95.8,96.3,97.6,2196112,E. O. Smith High School,Regional School District 19
Ridgefield School District,Ridgefield High School,Eligible For Free Lunch,*,*,*,*,*,1186111,Ridgefield High School,Ridgefield School District
Ridgefield School District,Ridgefield High School,Eligible For Reduced Lunch,*,*,*,*,*,1186111,Ridgefield High School,Ridgefield School District
Ridgefield School District,Ridgefield High School,Not Eligible For Lunch,98.3,97.5,98.1,98.0,98.0,1186111,Ridgefield High School,Ridgefield School District
Rocky Hill School District,Rocky Hill High School,Eligible For Free Lunch,*,*,*,88.0,*,1196111,Rocky Hill High School,Rocky Hill School District
Rocky Hill School District,Rocky Hill High School,Eligible For Reduced Lunch,*,*,*,*,*,1196111,Rocky Hill High School,Rocky Hill School District
Rocky Hill School District,Rocky Hill High School,Not Eligible For Lunch,94.0,94.8,92.9,95.9,98.5,1196111,Rocky Hill High School,Rocky Hill School District
Seymour School District,Seymour High School,Eligible For Free Lunch,67.9,72.2,*,83.8,*,1246111,Seymour High School,Seymour School District
Seymour School District,Seymour High School,Eligible For Reduced Lunch,*,*,*,*,*,1246111,Seymour High School,Seymour School District
Seymour School District,Seymour High School,Not Eligible For Lunch,93.6,95.1,92.6,95.7,94.0,1246111,Seymour High School,Seymour School District
Shelton School District,Shelton High School,Eligible For Free Lunch,76.5,74.3,81.4,*,*,1266111,Shelton High School,Shelton School District
Shelton School District,Shelton High School,Eligible For Reduced Lunch,77.8,81.3,79.3,*,*,1266111,Shelton High School,Shelton School District
Shelton School District,Shelton High School,Not Eligible For Lunch,95.4,96.2,95.7,98.0,96.4,1266111,Shelton High School,Shelton School District
Simsbury School District,Simsbury High School,Eligible For Free Lunch,*,81.8,83.3,94.1,*,1286111,Simsbury High School,Simsbury School District
Simsbury School District,Simsbury High School,Eligible For Reduced Lunch,*,*,*,*,*,1286111,Simsbury High School,Simsbury School District
Simsbury School District,Simsbury High School,Not Eligible For Lunch,98.4,98.9,97.7,97.8,98.4,1286111,Simsbury High School,Simsbury School District
Somers School District,Somers High School,Eligible For Free Lunch,*,*,*,*,*,1296111,Somers High School,Somers School District
Somers School District,Somers High School,Eligible For Reduced Lunch,*,*,*,*,*,1296111,Somers High School,Somers School District
Somers School District,Somers High School,Not Eligible For Lunch,98.4,*,*,96.6,*,1296111,Somers High School,Somers School District
South Windsor School District,South Windsor High School,Eligible For Free Lunch,*,*,*,88.2,76.7,1326211,South Windsor High School,South Windsor School District
South Windsor School District,South Windsor High School,Eligible For Reduced Lunch,*,*,*,*,*,1326211,South Windsor High School,South Windsor School District
South Windsor School District,South Windsor High School,Not Eligible For Lunch,97.1,97.0,97.7,96.3,96.7,1326211,South Windsor High School,South Windsor School District
Southington School District,Southington High School,Eligible For Free Lunch,78.6,66.7,85.2,83.3,*,1316211,Southington High School,Southington School District
Southington School District,Southington High School,Eligible For Reduced Lunch,88.5,76.2,80.0,100.0,*,1316211,Southington High School,Southington School District
Southington School District,Southington High School,Not Eligible For Lunch,94.6,94.4,96.3,97.8,98.7,1316211,Southington High School,Southington School District
Stafford School District,Stafford High School,Eligible For Free Lunch,*,*,80.8,*,*,1346111,Stafford High School,Stafford School District
Stafford School District,Stafford High School,Eligible For Reduced Lunch,*,*,*,*,*,1346111,Stafford High School,Stafford School District
Stafford School District,Stafford High School,Not Eligible For Lunch,90.6,93.3,*,95.3,96.0,1346111,Stafford High School,Stafford School District
Stamford Academy District,Stamford Academy,Eligible For Free Lunch,37.5,*,26.9,*,*,2826013,Stamford Academy,Stamford Academy District
Stamford Academy District,Stamford Academy,Eligible For Reduced Lunch,*,*,*,*,*,2826013,Stamford Academy,Stamford Academy District
Stamford Academy District,Stamford Academy,Not Eligible For Lunch,*,*,*,,,2826013,Stamford Academy,Stamford Academy District
Stamford School District,Stamford High School,Eligible For Free Lunch,76.6,82.2,85.9,85.2,86.9,1356111,Stamford High School,Stamford School District
Stamford School District,Stamford High School,Eligible For Reduced Lunch,84.3,84.9,98.0,90.8,87.5,1356111,Stamford High School,Stamford School District
Stamford School District,Stamford High School,Not Eligible For Lunch,91.0,96.5,95.4,93.5,93.9,1356111,Stamford High School,Stamford School District
Stamford School District,The Academy of Information Technology,Eligible For Free Lunch,97.8,100.0,97.2,97.6,97.6,1356411,The Academy of Information Technology,Stamford School District
Stamford School District,The Academy of Information Technology,Eligible For Reduced Lunch,*,*,*,*,*,1356411,The Academy of Information Technology,Stamford School District
Stamford School District,The Academy of Information Technology,Not Eligible For Lunch,99.0,99.2,99.1,99.1,98.2,1356411,The Academy of Information Technology,Stamford School District
Stamford School District,Westhill High School,Eligible For Free Lunch,71.8,80.3,82.6,81.1,82.6,1356311,Westhill High School,Stamford School District
Stamford School District,Westhill High School,Eligible For Reduced Lunch,89.8,84.6,92.6,85.7,93.6,1356311,Westhill High School,Stamford School District
Stamford School District,Westhill High School,Not Eligible For Lunch,91.1,90.9,92.9,95.5,94.8,1356311,Westhill High School,Stamford School District
Stonington School District,Stonington High School,Eligible For Free Lunch,*,*,*,80.6,81.8,1376111,Stonington High School,Stonington School District
Stonington School District,Stonington High School,Eligible For Reduced Lunch,*,*,*,*,*,1376111,Stonington High School,Stonington School District
Stonington School District,Stonington High School,Not Eligible For Lunch,95.3,96.5,95.6,*,*,1376111,Stonington High School,Stonington School District
Stratford School District,Bunnell High School,Eligible For Free Lunch,71.0,86.3,96.6,91.4,92.5,1386211,Bunnell High School,Stratford School District
Stratford School District,Bunnell High School,Eligible For Reduced Lunch,79.5,97.2,95.6,97.2,95.1,1386211,Bunnell High School,Stratford School District
Stratford School District,Bunnell High School,Not Eligible For Lunch,94.2,96.6,99.0,97.9,98.7,1386211,Bunnell High School,Stratford School District
Stratford School District,Stratford High School,Eligible For Free Lunch,85.1,87.8,85.7,86.1,89.3,1386111,Stratford High School,Stratford School District
Stratford School District,Stratford High School,Eligible For Reduced Lunch,87.2,87.2,94.3,91.8,90.9,1386111,Stratford High School,Stratford School District
Stratford School District,Stratford High School,Not Eligible For Lunch,94.9,94.0,96.4,99.0,95.2,1386111,Stratford High School,Stratford School District
Suffield School District,Suffield High School,Eligible For Free Lunch,*,*,*,*,*,1396111,Suffield High School,Suffield School District
Suffield School District,Suffield High School,Eligible For Reduced Lunch,*,*,*,*,*,1396111,Suffield High School,Suffield School District
Suffield School District,Suffield High School,Not Eligible For Lunch,95.0,97.3,96.4,97.2,95.6,1396111,Suffield High School,Suffield School District
The Bridge Academy District,The Bridge Academy,Eligible For Free Lunch,73.3,100.0,80.0,92.3,81.8,2696113,The Bridge Academy,The Bridge Academy District
The Bridge Academy District,The Bridge Academy,Eligible For Reduced Lunch,*,*,*,*,*,2696113,The Bridge Academy,The Bridge Academy District
The Bridge Academy District,The Bridge Academy,Not Eligible For Lunch,*,*,*,*,*,2696113,The Bridge Academy,The Bridge Academy District
The Gilbert School District,The Gilbert School,Eligible For Free Lunch,83.3,72.7,*,*,65.7,9026122,The Gilbert School,The Gilbert School District
The Gilbert School District,The Gilbert School,Eligible For Reduced Lunch,*,*,*,*,*,9026122,The Gilbert School,The Gilbert School District
The Gilbert School District,The Gilbert School,Not Eligible For Lunch,*,88.0,91.1,93.5,*,9026122,The Gilbert School,The Gilbert School District
Thomaston School District,Thomaston High School,Eligible For Free Lunch,*,*,*,*,*,1406211,Thomaston High School,Thomaston School District
Thomaston School District,Thomaston High School,Eligible For Reduced Lunch,*,*,*,*,*,1406211,Thomaston High School,Thomaston School District
Thomaston School District,Thomaston High School,Not Eligible For Lunch,95.5,*,*,100.0,100.0,1406211,Thomaston High School,Thomaston School District
Thompson School District,Tourtellotte Memorial High School,Eligible For Free Lunch,70.0,*,*,*,*,1416111,Tourtellotte Memorial High School,Thompson School District
Thompson School District,Tourtellotte Memorial High School,Eligible For Reduced Lunch,*,*,*,*,*,1416111,Tourtellotte Memorial High School,Thompson School District
Thompson School District,Tourtellotte Memorial High School,Not Eligible For Lunch,*,96.6,*,*,*,1416111,Tourtellotte Memorial High School,Thompson School District
Tolland School District,Tolland High School,Eligible For Free Lunch,*,*,*,*,*,1426111,Tolland High School,Tolland School District
Tolland School District,Tolland High School,Eligible For Reduced Lunch,*,*,*,*,*,1426111,Tolland High School,Tolland School District
Tolland School District,Tolland High School,Not Eligible For Lunch,97.7,95.5,91.9,98.3,*,1426111,Tolland High School,Tolland School District
Torrington School District,Torrington High School,Eligible For Free Lunch,59.1,76.8,78.8,*,68.2,1436111,Torrington High School,Torrington School District
Torrington School District,Torrington High School,Eligible For Reduced Lunch,73.5,81.8,85.2,*,93.5,1436111,Torrington High School,Torrington School District
Torrington School District,Torrington High School,Not Eligible For Lunch,91.8,92.8,95.2,95.8,93.4,1436111,Torrington High School,Torrington School District
Trumbull School District,Trumbull High School,Eligible For Free Lunch,*,*,90.9,*,95.1,1446111,Trumbull High School,Trumbull School District
Trumbull School District,Trumbull High School,Eligible For Reduced Lunch,*,*,92.0,*,*,1446111,Trumbull High School,Trumbull School District
Trumbull School District,Trumbull High School,Not Eligible For Lunch,98.4,99.0,98.1,99.4,99.4,1446111,Trumbull High School,Trumbull School District
Vernon School District,Rockville High School,Eligible For Free Lunch,71.4,*,65.9,78.7,55.9,1466111,Rockville High School,Vernon School District
Vernon School District,Rockville High School,Eligible For Reduced Lunch,*,*,70.8,*,*,1466111,Rockville High School,Vernon School District
Vernon School District,Rockville High School,Not Eligible For Lunch,88.1,90.0,93.0,91.5,94.5,1466111,Rockville High School,Vernon School District
Wallingford School District,Lyman Hall High School,Eligible For Free Lunch,81.6,86.8,72.5,82.4,83.9,1486111,Lyman Hall High School,Wallingford School District
Wallingford School District,Lyman Hall High School,Eligible For Reduced Lunch,*,*,*,*,100.0,1486111,Lyman Hall High School,Wallingford School District
Wallingford School District,Lyman Hall High School,Not Eligible For Lunch,95.4,93.0,94.5,96.5,97.2,1486111,Lyman Hall High School,Wallingford School District
Wallingford School District,Mark T. Sheehan High School,Eligible For Free Lunch,*,*,83.3,79.5,82.9,1486211,Mark T. Sheehan High School,Wallingford School District
Wallingford School District,Mark T. Sheehan High School,Eligible For Reduced Lunch,*,*,*,*,*,1486211,Mark T. Sheehan High School,Wallingford School District
Wallingford School District,Mark T. Sheehan High School,Not Eligible For Lunch,96.3,94.7,97.5,98.8,96.8,1486211,Mark T. Sheehan High School,Wallingford School District
Waterbury School District,Crosby High School,Eligible For Free Lunch,58.3,59.9,71.0,67.0,70.0,1516211,Crosby High School,Waterbury School District
Waterbury School District,Crosby High School,Eligible For Reduced Lunch,69.8,89.8,76.5,75.6,85.0,1516211,Crosby High School,Waterbury School District
Waterbury School District,Crosby High School,Not Eligible For Lunch,59.1,71.1,75.0,92.6,86.7,1516211,Crosby High School,Waterbury School District
Waterbury School District,John F. Kennedy High School,Eligible For Free Lunch,61.4,63.6,63.1,66.9,72.1,1516411,John F. Kennedy High School,Waterbury School District
Waterbury School District,John F. Kennedy High School,Eligible For Reduced Lunch,79.6,88.2,81.1,74.2,81.3,1516411,John F. Kennedy High School,Waterbury School District
Waterbury School District,John F. Kennedy High School,Not Eligible For Lunch,67.7,81.0,78.6,83.6,84.1,1516411,John F. Kennedy High School,Waterbury School District
Waterbury School District,Waterbury Arts Magnet School (High),Eligible For Free Lunch,94.7,84.9,94.4,91.8,92.0,1516011,Waterbury Arts Magnet School (High),Waterbury School District
Waterbury School District,Waterbury Arts Magnet School (High),Eligible For Reduced Lunch,100.0,*,*,*,*,1516011,Waterbury Arts Magnet School (High),Waterbury School District
Waterbury School District,Waterbury Arts Magnet School (High),Not Eligible For Lunch,93.9,89.5,100.0,96.4,94.0,1516011,Waterbury Arts Magnet School (High),Waterbury School District
Waterbury School District,Wilby High School,Eligible For Free Lunch,59.9,67.9,65.7,69.1,75.1,1516311,Wilby High School,Waterbury School District
Waterbury School District,Wilby High School,Eligible For Reduced Lunch,80.5,88.1,75.0,85.0,87.9,1516311,Wilby High School,Waterbury School District
Waterbury School District,Wilby High School,Not Eligible For Lunch,66.7,85.4,60.0,71.9,87.5,1516311,Wilby High School,Waterbury School District
Waterford School District,Waterford High School,Eligible For Free Lunch,*,77.4,*,*,*,1526111,Waterford High School,Waterford School District
Waterford School District,Waterford High School,Eligible For Reduced Lunch,*,*,*,*,*,1526111,Waterford High School,Waterford School District
Waterford School District,Waterford High School,Not Eligible For Lunch,93.9,95.3,*,95.6,96.6,1526111,Waterford High School,Waterford School District
Watertown School District,Watertown High School,Eligible For Free Lunch,*,68.4,*,*,*,1536111,Watertown High School,Watertown School District
Watertown School District,Watertown High School,Eligible For Reduced Lunch,*,73.1,*,*,*,1536111,Watertown High School,Watertown School District
Watertown School District,Watertown High School,Not Eligible For Lunch,94.3,92.3,94.8,94.1,*,1536111,Watertown High School,Watertown School District
West Hartford School District,Conard High School,Eligible For Free Lunch,75.7,83.5,90.6,88.4,86.7,1556111,Conard High School,West Hartford School District
West Hartford School District,Conard High School,Eligible For Reduced Lunch,95.2,91.7,*,100.0,93.1,1556111,Conard High School,West Hartford School District
West Hartford School District,Conard High School,Not Eligible For Lunch,97.6,98.3,97.9,96.9,98.2,1556111,Conard High School,West Hartford School District
West Hartford School District,Hall High School,Eligible For Free Lunch,81.4,81.4,97.7,91.4,100.0,1556211,Hall High School,West Hartford School District
West Hartford School District,Hall High School,Eligible For Reduced Lunch,*,96.6,*,*,*,1556211,Hall High School,West Hartford School District
