school_code,district_code,school,type,district,street,city,state,zip,phone,fax,website,education_program,program_type,inter_district_magnet,pre_kindergarten,kindergarten,grade_1,grade_2,grade_3,grade_4,grade_5,grade_6,grade_7,grade_8,grade_9,grade_10,grade_11,grade_12
2900113,2900013,Brass City Charter School,Public Charter Schools,Brass City Charter School District,212 Chestnut Ave.,Waterbury,CT,06710,203-527-5942,,www.brasscitycharter.org,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2900013,2900013,Brass City Charter School District,Public Charter School Districts,Brass City Charter School District,212 Chestnut Ave,Waterbury,CT,06710,203-527-5942,,www.brasscitycharter.org,,,,,,,,,,,,,,,,,
2850113,2850013,Achievement First Bridgeport Academy,Public Charter Schools,Bridgeport Achievement First District,655 Stillman St.,Bridgeport,CT,06608-1331,203-338-0593,203-338-0714,www.achievementfirst.org/schools/connecticut-schools/achievement-first-bridgeport-academy-elementary-school/about/,,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2850013,2850013,Bridgeport Achievement First District,Public Charter School Districts,Bridgeport Achievement First District,655 Stillman St.,Bridgeport,CT,06608-1331,203-333-9128,,www.achievementfirst.org/schools/connecticut-schools/achievement-first-bridgeport-academy-elementary-school/about/,,,,,,,,,,,,,,,,,
150811,0150011,"Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus",Public Schools,Bridgeport School District,840 Old Town Road,Bridgeport,CT,06606,203-275-3300,,bridgeportedu.com,,,Yes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
150111,0150011,Barnum School,Public Schools,Bridgeport School District,495 Waterview Avenue,Bridgeport,CT,06608,203-275-2300,,bridgeport.ct.schoolwebpages.com/education/school/school.php?sectionid183,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
156111,0150011,Bassick High School,Public Schools,Bridgeport School District,1181 Fairfield Ave.,Bridgeport,CT,06605-1119,203-576-7350,,bridgeport.ct.schoolwebpages.com/education/school/school.php?sectionid350,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
150211,0150011,Beardsley School,Public Schools,Bridgeport School District,500 Huntington Rd.,Bridgeport,CT,06610-1709,203-576-7184,,bridgeport.ct.schoolwebpages.com/education/school/school.php?sectionid339,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
150611,0150011,"Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus",Public Schools,Bridgeport School District,840 Old Town Road,Bridgeport,CT,06606,203-275-3300,,bridgeportedu.com,,,Yes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
150311,0150011,Black Rock School,Public Schools,Bridgeport School District,545 Brewster St.,Bridgeport,CT,06605-3409,203-576-7500,,bridgeport.ct.schoolwebpages.com/education/school/school.php?sectionid190,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
154011,0150011,Blackham School,Public Schools,Bridgeport School District,425 Thorme St.,Bridgeport,CT,06606-3418,203-576-7951,,bridgeport.ct.schoolwebpages.com/education/school/school.php?sectionid2,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
150117,0150011,Bridgeport Adult Education,Adult Education Providers,Bridgeport School District,Central High School 1 Lincoln Boulevard,Bridgeport,CT,06606,203-275-1508,203-337-0197,www.bridgeportedu.com/adultedu,,,,,,,,,,,,,,,,,
159011,0150011,Bridgeport Learning Center,Program,Bridgeport School District,280 Tesiny Ave.,Bridgeport,CT,06606,203-576-8465,,bridgeport.ct.schoolwebpages.com/education/staff/staff.php?sectionid5960,,Other,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
151611,0150011,Bridgeport Military Academy,Public Schools,Bridgeport School District,160 Iranistan Avenue,Bridgeport,CT,06605,203-275-3961,,www.bridgeportmilitaryacademy.org/,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
156400,0150011,Bridgeport Regional Vocational Aquaculture School,Program,Bridgeport School District,60 St Stephens Rd,Bridgeport,CT,06605,203-275-2926,,bridgeport.ct.schoolwebpages.com/education/components/layout/default.php?sectionid349&url_redirect1,,Agricultural Science & Technology Education,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
150011,0150011,Bridgeport School District,Public School Districts,Bridgeport School District,"45 Lyon Terrace, Rm 303",Bridgeport,CT,06604,203-576-7302,,www.bridgeportedu.com/,,,,,,,,,,,,,,,,,
150411,0150011,Bryant School,Public Schools,Bridgeport School District,230 Poplar St.,Bridgeport,CT,06605-1634,203-576-7303,,bridgeport.ct.schoolwebpages.com/education/school/school.php?sectionid191,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
152711,0150011,Career and Craftsmanship,Program,Bridgeport School District,418 Kossuth St.,Bridgeport,CT,06610,203-275-1087,,bridgeportedu.com,,Alternative,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
156211,0150011,Central High School,Public Schools,Bridgeport School District,1 Lincoln Blvd.,Bridgeport,CT,06606-5502,203-576-7377,,bridgeport.ct.schoolwebpages.com/education/school/school.php?sectionid351,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
151411,0150011,Cesar Batalla School,Public Schools,Bridgeport School District,606 Howard Ave.,Bridgeport,CT,06605,203-579-8501,,bridgeport.ct.schoolwebpages.com/education/school/school.php?sectionid344,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
152111,0150011,Classical Studies Academy,Public Schools,Bridgeport School District,240 Linwood Ave.,Bridgeport,CT,06604-2408,203-576-7188,,bridgeport.ct.schoolwebpages.com/education/school/school.php?sectionid345,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
150511,0150011,Columbus School,Public Schools,Bridgeport School District,300 University Avenue,Bridgeport,CT,06604-3320,203-275-2100,,bridgeport.ct.schoolwebpages.com/education/school/school.php?sectiondetailid1493,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
153911,0150011,Cross School,Public Schools,Bridgeport School District,1775 Reservoir Ave.,Bridgeport,CT,06606-1434,203-275-2100,,bridgeport.ct.schoolwebpages.com/education/school/school.php?sectionid11,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
154211,0150011,Curiale School,Public Schools,Bridgeport School District,300 Laurel Ave.,Bridgeport,CT,06604-1103,203-576-8437,,bridgeport.ct.schoolwebpages.com/education/school/school.php?sectionid340,,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
154111,0150011,Dunbar School,Public Schools,Bridgeport School District,445 Union Ave.,Bridgeport,CT,06607-1823,203-576-7194,,bridgeport.ct.schoolwebpages.com/education/school/school.php?sectionid341,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
150711,0150011,Edison School,Public Schools,Bridgeport School District,115 Boston Terrace,Bridgeport,CT,06610-2505,203-576-7183,,bridgeport.ct.schoolwebpages.com/education/school/school.php?sectionid184,,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
150217,0150011,FSW d.b.a. BRIDGEPORT LV,Adult Education Providers,Bridgeport School District,475 Clinton Avenue,Bridgeport,CT,06604,203-368-4291,203-332-7637,www.fswinc.org,,,,,,,,,,,,,,,,,
153111,0150011,Geraldine Claytor Magnet Academy,Public Schools,Bridgeport School District,240 Ocean Terrace,Bridgeport,CT,06605,203-275-1285,,www.bridgeportedu.com,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
153211,0150011,Geraldine Johnson School,Public Schools,Bridgeport School District,475 Lexington Avenue,Bridgeport,CT,06604-2675,203-275-2500,,bridgeport.ct.schoolwebpages.com/education/school/school.php?sectionid348,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
151111,0150011,Hall School,Public Schools,Bridgeport School District,290 Clermont Ave.,Bridgeport,CT,06610-2902,203-576-7560,,bridgeport.ct.schoolwebpages.com/education/school/school.php?sectionid3,,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
151211,0150011,Hallen School,Public Schools,Bridgeport School District,68 Omega Ave.,Bridgeport,CT,06606-3099,203-576-8216,,bridgeport.ct.schoolwebpages.com/education/school/school.php?sectionid342,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
156311,0150011,Harding High School,Public Schools,Bridgeport School District,1734 Central Ave.,Bridgeport,CT,06610-2763,203-576-7330,,bridgeport.ct.schoolwebpages.com/education/school/school.php?sectionid352,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
154511,0150011,High Horizons Magnet School,Public Schools,Bridgeport School District,700 Palisade Ave.,Bridgeport,CT,06610-3457,203-576-7807,,bridgeport.ct.schoolwebpages.com/education/school/school.php?sectionid188,,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
151311,0150011,Hooker School,Public Schools,Bridgeport School District,138 Roger Williams Rd.,Bridgeport,CT,06610-1398,203-576-7185,,bridgeport.ct.schoolwebpages.com/education/school/school.php?sectionid343,,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
151511,0150011,Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus,Public Schools,Bridgeport School District,840 Old Town Road,Bridgeport,CT,06606,203-275-3300,,bridgeportedu.com,,,Yes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
153711,0150011,Interdistrict Discovery Magnet School,Public Schools,Bridgeport School District,4510 Park Avenue,Bridgeport,CT,06606,203-275-1801,,,,,Yes,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
152211,0150011,Jettie S. Tisdale School,Public Schools,Bridgeport School District,250 Hollister Avenue,Bridgeport,CT,06607,203-576-8037,,bridgeport.ct.schoolwebpages.com/education/school/school.php?sectionid6,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
151011,0150011,Luis Munoz Marin School,Public Schools,Bridgeport School District,479 Helen St.,Bridgeport,CT,06608-1321,203-576-8202,,bridgeport.ct.schoolwebpages.com/education/school/school.php?sectionid186,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
152011,0150011,Madison School,Public Schools,Bridgeport School District,376 Wayne St.,Bridgeport,CT,06606,203-576-7186,,bridgeport.ct.schoolwebpages.com/education/school/school.php?sectionid5,,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
154611,0150011,Multicultural Magnet School,Public Schools,Bridgeport School District,700 Palisade Ave.,Bridgeport,CT,06610-3457,203-576-7505,,bridgeport.ct.schoolwebpages.com/education/school/school.php?sectionid7,,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
152811,0150011,Opportunities for Self-Discovery Community Partnership,Program,Bridgeport School District,2414 Fairfield Avenue,Bridgeport,CT,06605,203-275-1285,,www.bridgeportedu.com,,Transition Community-Based,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
151711,0150011,Park City Magnet School,Public Schools,Bridgeport School District,1526 Chopsey Hill Rd.,Bridgeport,CT,06606-2422,203-576-7547,,bridgeport.ct.schoolwebpages.com/education/school/school.php?sectionid9,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
152511,0150011,Read School,Public Schools,Bridgeport School District,130 Ezra St.,Bridgeport,CT,06606-5061,203-576-8030,,bridgeport.ct.schoolwebpages.com/education/school/school.php?sectionid347,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
152611,0150011,Roosevelt School,Public Schools,Bridgeport School District,680 Park Ave.,Bridgeport,CT,06604-4610,203-576-8032,,bridgeport.ct.schoolwebpages.com/education/school/school.php?sectionid192,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
154411,0150011,Skane Center,Public Schools,Bridgeport School District,2977 North Madison Ave.,Bridgeport,CT,06606-2060,203-576-7181,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
153011,0150011,Waltersville School,Public Schools,Bridgeport School District,150 Hallett Street,Bridgeport,CT,06608-2618,203-275-2400,,bridgeport.ct.schoolwebpages.com/education/school/school.php?sectionid10,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
153611,0150011,Winthrop School,Public Schools,Bridgeport School District,85 Eckart St.,Bridgeport,CT,06606-1199,203-576-7769,,bridgeport.ct.schoolwebpages.com/education/school/school.php?sectionid187,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
170211,0170011,ACCESS,Program,Bristol School District,Redstone Hill Road,Bristol,CT,06010,860-584-7052,,bristol.k12.org,,Alternative,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
179011,0170011,Alternative Special Education Program (ASEP),Program,Bristol School District,632 King St.,Bristol,CT,06010-4477,860-584-7058,,,,Special Education,,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
170117,0170011,Bristol Adult Education,Adult Education Providers,Bristol School District,210 Redstone HillRd,Bristol,CT,06010,860-584-7865,860-584-4898,www.bristol.k12.us/adulted,,,,,,,,,,,,,,,,,
176111,0170011,Bristol Central High School,Public Schools,Bristol School District,480 Wolcott St.,Bristol,CT,06010-6480,860-584-7735,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
170411,0170011,Bristol Early Childhood Center-BECC,Public Schools,Bristol School District,240 Stafford Avenue,Bristol,CT,06010,860-584-7072,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176211,0170011,Bristol Eastern High School,Public Schools,Bristol School District,632 King St.,Bristol,CT,06010-4477,860-584-7876,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
170011,0170011,Bristol School District,Public School Districts,Bristol School District,"129 Church Street, Box 450",Bristol,CT,06011,860-584-7000,,www.bristol.k12.ct.us/,,,,,,,,,,,,,,,,,
175111,0170011,Chippens Hill Middle School,Public Schools,Bristol School District,551 Peacedale St.,Bristol,CT,06010-8939,860-584-3881,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
171011,0170011,Chippens Hill Middle School Functional Program,Program,Bristol School District,551 Peacedale Street,Bristol,CT,06010,860-584-3881,860-584-4833,,,Special Education,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
173411,0170011,Chms Goal,Program,Bristol School District,551 Peacedale Street,Bristol,CT,06010,860-584-3881,,,,Special Education,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
179211,0170011,Community/Vocational Program,Program,Bristol School District,"129 Church Street, P.O. Box 450",Bristol,CT,06011-0450,860-584-7088,,,,Public School-Based Transition Program,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
170311,0170011,Edgewood School,Public Schools,Bristol School District,345 Mix St.,Bristol,CT,06010-2785,860-584-7827,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171411,0170011,Ellen P. Hubbell School,Public Schools,Bristol School District,90 West Washington St.,Bristol,CT,06010-5444,860-584-7842,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
173611,0170011,Extended Resource Self-Contained,Program,Bristol School District,500 Clark Avenue,Bristol,CT,06010,860-584-7815,,www.bristol.k12.ct.us/page.cfm?p9151,,Special Education,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
170911,0170011,Greene-Hills GOAL,Program,Bristol School District,718 Pine Street,Bristol,CT,06010,860-584-7822,860-314-4632,,,Special Education,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
170511,0170011,Greene-Hills School,Public Schools,Bristol School District,718 Pine St.,Bristol,CT,06010-6923,860-584-7822,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
173711,0170011,Hubbell Autism Program,Program,Bristol School District,W. Washington St,Bristol,CT,06010,860-584-7842,,www.bristolk12.org,,Special Education,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172111,0170011,Hubbell/Extended Resource,Program,Bristol School District,90 W. Washington Street,Bristol,CT,06010,860-584-7842,860-584-3886,,,Special Education,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172211,0170011,Ivy Drive Extended Resource,Program,Bristol School District,160 Ivy Drive,Bristol,CT,06010,860-584-7844,860-584-3876,,,Special Education,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172611,0170011,Ivy Drive GOAL,Program,Bristol School District,160 Ivy Drive,Bristol,CT,06010,860-584-7844,860-584-3876,www.bristol.k12.ct.us/page.cfm?p9009,,Special Education,,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172311,0170011,Ivy Drive Medically Fragile,Program,Bristol School District,160 Ivy Drive,Bristol,CT,06010,860-584-7844,860-584-3876,www.bristol.k12.ct.us/page.cfm?p9009,,Special Education,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171911,0170011,Ivy Drive School,Public Schools,Bristol School District,160 Ivy Dr.,Bristol,CT,06010-3303,860-584-7844,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171711,0170011,Mountain View School,Public Schools,Bristol School District,71 Vera Rd.,Bristol,CT,06010-4857,860-584-7726,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172411,0170011,Mt. View Extended Resource,Program,Bristol School District,71 Vera Road,Bristol,CT,06010,860-584-7726,860-314-4629,,,Special Education,,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172511,0170011,Mt. View GOAL,Program,Bristol School District,71 Vera Road,Bristol,CT,06010,860-584-7726,,,,Special Education,,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172711,0170011,Northeast MS/Extended Resource,Program,Bristol School District,530 Stevens Street,Bristol,CT,06010,860-584-7839,860-584-7837,,,Special Education,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
172811,0170011,Northeast MS/GOAL,Program,Bristol School District,530 Stevens Street,Bristol,CT,06010,860-584-7839,860-584-7837,,,Special Education,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
175211,0170011,Northeast Middle School,Public Schools,Bristol School District,530 Stevens St.,Bristol,CT,06010-2587,860-584-7839,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
172911,0170011,PreK Autism,Program,Bristol School District,240 Stafford Avenue,Bristol,CT,06010,860-584-3335,860-585-4307,,,Special Education,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
173011,0170011,South Side Extended Resource,Program,Bristol School District,21 Tuttle Road,Bristol,CT,06010,860-584-7812,860-584-7810,,,Special Education,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
173111,0170011,South Side GOAL,Program,Bristol School District,21 Tuttle Road,Bristol,CT,06010,860-584-7812,860-584-7810,www.bristol.k12.ct.us/page.cfm?p8888,,Special Education,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171111,0170011,South Side School,Public Schools,Bristol School District,21 Tuttle Rd.,Bristol,CT,06010-7147,860-584-7812,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
173211,0170011,Stafford Autism,Program,Bristol School District,212 Louisiana Ave,Bristol,CT,06010,860-584-7826,860-314-4631,,,Special Education,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171211,0170011,Stafford School,Public Schools,Bristol School District,212 Louisiana Ave.,Bristol,CT,06010-4456,860-584-7824,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172011,0170011,West Bristol School,Public Schools,Bristol School District,500 Clark Avenue,Bristol,CT,06010,860-584-7815,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
186111,0180011,Brookfield High School,Public Schools,Brookfield School District,45 Long Meadow Hill Rd.,Brookfield,CT,06804-1311,203-775-7725,,www.brookfield.k12.ct.us/brookfield-high-school,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
180011,0180011,Brookfield School District,Public School Districts,Brookfield School District,100 Pocono Road,Brookfield,CT,06804,203-775-7700,,brookfield.k12.ct.us/,,,,,,,,,,,,,,,,,
180311,0180011,Center Elementary School,Public Schools,Brookfield School District,8 Obtuse Hill Road,Brookfield,CT,06804,203-775-7650,203-775-7672,www.brookfield.k12.ct.us/center-elementary-school,,,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180411,0180011,Huckleberry Hill Elementary School,Public Schools,Brookfield School District,100 Candlewood Lake Rd.,Brookfield,CT,06804-2228,203-775-7675,203-775-7684,www.brookfield.k12.ct.us/huckleberry-hill-elementary,,,,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
185311,0180011,Whisconier Middle School,Public Schools,Brookfield School District,17 West Whisconier Rd.,Brookfield,CT,06804,203-775-7710,203-775-7615,www.brookfield.k12.ct.us/whisconier-middle-school,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
190111,0190011,Brooklyn Elementary School,Public Schools,Brooklyn School District,119 Gorman Rd.,Brooklyn,CT,06234-1805,860-774-7577,,www.brooklyn.ctschool.net/beshp.htm,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
195111,0190011,Brooklyn Middle School,Public Schools,Brooklyn School District,119 Gorman Rd.,Brooklyn,CT,06234-1805,860-774-9153,,www.brooklyn.ctschool.net/middle/mainpage/bmsindex.htm,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
190011,0190011,Brooklyn School District,Public School Districts,Brooklyn School District,119 Gorman Road,Brooklyn,CT,06234,860-774-9153,,www.brooklynschools.org,,,,,,,,,,,,,,,,,
210011,0210011,Canaan School District,Public School Districts,Canaan School District,246 Warren Turnpike Road,Falls Village,CT,06031,860-824-7791,,www.kelloggschool.org,,,,,,,,,,,,,,,,,
210111,0210011,Lee H. Kellogg School,Public Schools,Canaan School District,47 Main St.,Falls Village,CT,06031,860-824-7791,860-824-7892,www.kelloggschool.org,,,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
220211,0220011,Canterbury Elementary School,Public Schools,Canterbury School District,67 Kitt Rd.,Canterbury,CT,06331-1122,860-546-6744,,www.canterburypublicschools.org,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220011,0220011,Canterbury School District,Public School Districts,Canterbury School District,"Box 28, 45 Westminster Ro",Canterbury,CT,06331,860-546-6950,,www.canterburypublicschools.org,,,,,,,,,,,,,,,,,
225111,0220011,Dr. Helen Baldwin Middle School,Public Schools,Canterbury School District,45 Westminster Rd.,Canterbury,CT,06331-1538,860-546-9421,,www.canterburypublicschools.org,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
230411,0230011,Canton Academy,Program,Canton School District,76 Simonds Avenue,Canton,CT,06019,860-693-7707,,www.cantonschools.org,,Alternative,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
236111,0230011,Canton High School,Public Schools,Canton School District,76 Simonds Avenue,Canton,CT,06019-1207,860-693-7707,,www.cantonschools.org/chs,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
230311,0230011,Canton Intermediate School,Public Schools,Canton School District,39 Dyer Ave.,Canton,CT,06019,860-693-7717,,www.cantonschools.org/cis,,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
235111,0230011,Canton Middle School,Public Schools,Canton School District,76 Simonds Avenue,Canton,CT,06019-1207,860-693-7712,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
230011,0230011,Canton School District,Public School Districts,Canton School District,4 Market Street,Collinsville,CT,06022,860-693-7704,,www.cantonschools.org,,,,,,,,,,,,,,,,,
