"indicator","index.rate","target","points","max","percent.points","state.avg","school_id","year"
"Arts Access ","N/A ","60% ",0,0,0,"45.7%","0350211","201415"
"Accountability Index ","","",702.7,750,93.7,"","0350211","201415"
"ELA Performance index: All Students ","85.8 ","75 ",50,50,100,"67.7","0350211","201516"
"ELA Performance index: High Needs Students ","73.9 ","75 ",49.3,50,98.6,"56.7","0350211","201516"
"Math Performance index: All Students ","80.2 ","75 ",50,50,100,"61.4","0350211","201516"
"Math Performance index: High Needs Students ","67.1 ","75 ",44.7,50,89.4,"49.9","0350211","201516"
"Science Performance index: All Students ","71.5 ","75 ",47.7,50,95.3,"57.5","0350211","201516"
"Science Performance index: High Needs Students ","N/A ","75 ",0,0,0,"47.0","0350211","201516"
"ELA Academic growth: ELA Performance index: All Students ","77.5% ","100% ",77.5,100,77.5,"63.8%","0350211","201516"
"ELA Academic growth: ELA Performance index: High Needs Students ","62.3% ","100% ",62.3,100,62.3,"58.3%","0350211","201516"
"Math Academic growth: Math Performance index: All Students ","82.1% ","100% ",82.1,100,82.1,"65.0%","0350211","201516"
"Math Academic growth: Math Performance index: High Needs Students ","65.1% ","100% ",65.1,100,65.1,"57.4%","0350211","201516"
"Chronic absenteeism: Science Performance index: All Students ","2.0% ","<=5% ",50,50,100,"9.6%","0350211","201516"
"Chronic absenteeism: Science Performance index: High Needs Students ","3.1% ","<=5% ",50,50,100,"15.6%","0350211","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: All Students ","N/A ","75% ",0,0,0,"67.6%","0350211","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: High Needs Students ","N/A ","75% ",0,0,0,"40.7%","0350211","201516"
"On-track to High School Graduation ","N/A ","94% ",0,0,0,"85.1%","0350211","201516"
"4-year Graduation All Students (2015 Cohort) ","N/A ","94% ",0,0,0,"87.2%","0350211","201516"
"6-year Graduation - High Needs Students (2013 Cohort) ","N/A ","94% ",0,0,0,"78.6%","0350211","201516"
"Postsecondary Entrance (Class of 2015) ","N/A ","75% ",0,0,0,"71.9%","0350211","201516"
"Physical Fitness (estimated part rate) and (fitness rate) ","90.0% | 85.2% ","75% ",50,50,100,"89.2% | 50.5%","0350211","201516"
"Arts Access ","N/A ","60% ",0,0,0,"47.5%","0350211","201516"
"ELA: All Students ","80.1 ","75 ",100,100,100,"67.9","0350511","201415"
"ELA: High Needs Students ","65.9 ","75 ",87.9,100,87.9,"56.7","0350511","201415"
"Math: All Students ","74.9 ","75 ",99.9,100,99.9,"59.3","0350511","201415"
"Math: High Needs Students ","62.1 ","75 ",82.9,100,82.9,"47.8","0350511","201415"
"Science: All Students ","60.0 ","75 ",80,100,80,"56.5","0350511","201415"
"Science: High Needs Students ","N/A ","75 ",0,0,0,"45.9","0350511","201415"
"Chronic absenteeism: All Students ","4.7% ","<=5% ",50,50,100,"10.6%","0350511","201415"
"Chronic absenteeism: High Needs Students ","10.9% ","<=5% ",38.2,50,76.4,"17.3%","0350511","201415"
"Prep for CCR: % Taking Courses ","N/A ","75% ",0,0,0,"66.1%","0350511","201415"
"Prep for CCR: % Passing Exams ","N/A ","75% ",0,0,0,"37.3%","0350511","201415"
"Physical Fitness (estimated part rate) and (fitness rate) ","100.0% | 78.8% ","75% ",50,50,100,"87.6% | 51.0%","0350511","201415"
"Arts Access ","N/A ","60% ",0,0,0,"45.7%","0350511","201415"
"Accountability Index ","","",588.8,650,90.6,"","0350511","201415"
"ELA Performance index: All Students ","84.7 ","75 ",50,50,100,"67.7","0350511","201516"
"ELA Performance index: High Needs Students ","76.3 ","75 ",50,50,100,"56.7","0350511","201516"
"Math Performance index: All Students ","79.1 ","75 ",50,50,100,"61.4","0350511","201516"
"Math Performance index: High Needs Students ","71.4 ","75 ",47.6,50,95.2,"49.9","0350511","201516"
"Science Performance index: All Students ","65.1 ","75 ",43.4,50,86.8,"57.5","0350511","201516"
"Science Performance index: High Needs Students ","N/A ","75 ",0,0,0,"47.0","0350511","201516"
"ELA Academic growth: ELA Performance index: All Students ","86.2% ","100% ",86.2,100,86.2,"63.8%","0350511","201516"
"ELA Academic growth: ELA Performance index: High Needs Students ","90.7% ","100% ",90.7,100,90.7,"58.3%","0350511","201516"
"Math Academic growth: Math Performance index: All Students ","87.3% ","100% ",87.3,100,87.3,"65.0%","0350511","201516"
"Math Academic growth: Math Performance index: High Needs Students ","86.7% ","100% ",86.7,100,86.7,"57.4%","0350511","201516"
"Chronic absenteeism: Science Performance index: All Students ","2.7% ","<=5% ",50,50,100,"9.6%","0350511","201516"
"Chronic absenteeism: Science Performance index: High Needs Students ","1.4% ","<=5% ",50,50,100,"15.6%","0350511","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: All Students ","N/A ","75% ",0,0,0,"67.6%","0350511","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: High Needs Students ","N/A ","75% ",0,0,0,"40.7%","0350511","201516"
"On-track to High School Graduation ","N/A ","94% ",0,0,0,"85.1%","0350511","201516"
"4-year Graduation All Students (2015 Cohort) ","N/A ","94% ",0,0,0,"87.2%","0350511","201516"
"6-year Graduation - High Needs Students (2013 Cohort) ","N/A ","94% ",0,0,0,"78.6%","0350511","201516"
"Postsecondary Entrance (Class of 2015) ","N/A ","75% ",0,0,0,"71.9%","0350511","201516"
"Physical Fitness (estimated part rate) and (fitness rate) ","98.6% | 79.4% ","75% ",50,50,100,"89.2% | 50.5%","0350511","201516"
"Arts Access ","N/A ","60% ",0,0,0,"47.5%","0350511","201516"
"ELA: All Students ","87.0 ","75 ",100,100,100,"67.9","0350611","201415"
"ELA: High Needs Students ","75.2 ","75 ",100,100,100,"56.7","0350611","201415"
"Math: All Students ","78.7 ","75 ",100,100,100,"59.3","0350611","201415"
"Math: High Needs Students ","64.0 ","75 ",85.4,100,85.4,"47.8","0350611","201415"
"Science: All Students ","65.2 ","75 ",86.9,100,86.9,"56.5","0350611","201415"
"Science: High Needs Students ","N/A ","75 ",0,0,0,"45.9","0350611","201415"
"Chronic absenteeism: All Students ","1.6% ","<=5% ",50,50,100,"10.6%","0350611","201415"
"Chronic absenteeism: High Needs Students ","2.0% ","<=5% ",50,50,100,"17.3%","0350611","201415"
"Prep for CCR: % Taking Courses ","N/A ","75% ",0,0,0,"66.1%","0350611","201415"
"Prep for CCR: % Passing Exams ","N/A ","75% ",0,0,0,"37.3%","0350611","201415"
"Physical Fitness (estimated part rate) and (fitness rate) ","87.7% | 54.4% ","75% ",18.1,50,36.3,"87.6% | 51.0%","0350611","201415"
"Arts Access ","N/A ","60% ",0,0,0,"45.7%","0350611","201415"
"Accountability Index ","","",590.4,650,90.8,"","0350611","201415"
"ELA Performance index: All Students ","87.6 ","75 ",50,50,100,"67.7","0350611","201516"
"ELA Performance index: High Needs Students ","69.0 ","75 ",46,50,92,"56.7","0350611","201516"
"Math Performance index: All Students ","82.6 ","75 ",50,50,100,"61.4","0350611","201516"
"Math Performance index: High Needs Students ","63.6 ","75 ",42.4,50,84.8,"49.9","0350611","201516"
"Science Performance index: All Students ","69.5 ","75 ",46.4,50,92.7,"57.5","0350611","201516"
"Science Performance index: High Needs Students ","N/A ","75 ",0,0,0,"47.0","0350611","201516"
"ELA Academic growth: ELA Performance index: All Students ","87.2% ","100% ",87.2,100,87.2,"63.8%","0350611","201516"
"ELA Academic growth: ELA Performance index: High Needs Students ","N/A ","100% ",0,0,0,"58.3%","0350611","201516"
"Math Academic growth: Math Performance index: All Students ","87.6% ","100% ",87.6,100,87.6,"65.0%","0350611","201516"
"Math Academic growth: Math Performance index: High Needs Students ","N/A ","100% ",0,0,0,"57.4%","0350611","201516"
"Chronic absenteeism: Science Performance index: All Students ","1.8% ","<=5% ",50,50,100,"9.6%","0350611","201516"
"Chronic absenteeism: Science Performance index: High Needs Students ","0.0% ","<=5% ",50,50,100,"15.6%","0350611","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: All Students ","N/A ","75% ",0,0,0,"67.6%","0350611","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: High Needs Students ","N/A ","75% ",0,0,0,"40.7%","0350611","201516"
"On-track to High School Graduation ","N/A ","94% ",0,0,0,"85.1%","0350611","201516"
"4-year Graduation All Students (2015 Cohort) ","N/A ","94% ",0,0,0,"87.2%","0350611","201516"
"6-year Graduation - High Needs Students (2013 Cohort) ","N/A ","94% ",0,0,0,"78.6%","0350611","201516"
"Postsecondary Entrance (Class of 2015) ","N/A ","75% ",0,0,0,"71.9%","0350611","201516"
"Physical Fitness (estimated part rate) and (fitness rate) ","100.0% | 89.5% ","75% ",50,50,100,"89.2% | 50.5%","0350611","201516"
"Arts Access ","N/A ","60% ",0,0,0,"47.5%","0350611","201516"
"ELA: All Students ","83.0 ","75 ",100,100,100,"67.9","0350711","201415"
"ELA: High Needs Students ","65.7 ","75 ",87.6,100,87.6,"56.7","0350711","201415"
"Math: All Students ","75.8 ","75 ",100,100,100,"59.3","0350711","201415"
"Math: High Needs Students ","60.1 ","75 ",80.2,100,80.2,"47.8","0350711","201415"
"Science: All Students ","62.5 ","75 ",83.3,100,83.3,"56.5","0350711","201415"
"Science: High Needs Students ","N/A ","75 ",0,0,0,"45.9","0350711","201415"
"Chronic absenteeism: All Students ","0.4% ","<=5% ",50,50,100,"10.6%","0350711","201415"
"Chronic absenteeism: High Needs Students ","1.8% ","<=5% ",50,50,100,"17.3%","0350711","201415"
"Prep for CCR: % Taking Courses ","N/A ","75% ",0,0,0,"66.1%","0350711","201415"
"Prep for CCR: % Passing Exams ","N/A ","75% ",0,0,0,"37.3%","0350711","201415"
"Physical Fitness (estimated part rate) and (fitness rate) ","100.0% | 86.6% ","75% ",50,50,100,"87.6% | 51.0%","0350711","201415"
"Arts Access ","N/A ","60% ",0,0,0,"45.7%","0350711","201415"
"Accountability Index ","","",601.1,650,92.5,"","0350711","201415"
"ELA Performance index: All Students ","86.2 ","75 ",50,50,100,"67.7","0350711","201516"
"ELA Performance index: High Needs Students ","68.7 ","75 ",45.8,50,91.6,"56.7","0350711","201516"
"Math Performance index: All Students ","79.8 ","75 ",50,50,100,"61.4","0350711","201516"
"Math Performance index: High Needs Students ","66.1 ","75 ",44.1,50,88.2,"49.9","0350711","201516"
"Science Performance index: All Students ","68.4 ","75 ",45.6,50,91.2,"57.5","0350711","201516"
"Science Performance index: High Needs Students ","N/A ","75 ",0,0,0,"47.0","0350711","201516"
"ELA Academic growth: ELA Performance index: All Students ","80.6% ","100% ",80.6,100,80.6,"63.8%","0350711","201516"
"ELA Academic growth: ELA Performance index: High Needs Students ","66.3% ","100% ",66.3,100,66.3,"58.3%","0350711","201516"
"Math Academic growth: Math Performance index: All Students ","81.9% ","100% ",81.9,100,81.9,"65.0%","0350711","201516"
"Math Academic growth: Math Performance index: High Needs Students ","69.0% ","100% ",69,100,69,"57.4%","0350711","201516"
"Chronic absenteeism: Science Performance index: All Students ","0.7% ","<=5% ",50,50,100,"9.6%","0350711","201516"
"Chronic absenteeism: Science Performance index: High Needs Students ","1.8% ","<=5% ",50,50,100,"15.6%","0350711","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: All Students ","N/A ","75% ",0,0,0,"67.6%","0350711","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: High Needs Students ","N/A ","75% ",0,0,0,"40.7%","0350711","201516"
"On-track to High School Graduation ","N/A ","94% ",0,0,0,"85.1%","0350711","201516"
"4-year Graduation All Students (2015 Cohort) ","N/A ","94% ",0,0,0,"87.2%","0350711","201516"
"6-year Graduation - High Needs Students (2013 Cohort) ","N/A ","94% ",0,0,0,"78.6%","0350711","201516"
"Postsecondary Entrance (Class of 2015) ","N/A ","75% ",0,0,0,"71.9%","0350711","201516"
"Physical Fitness (estimated part rate) and (fitness rate) ","98.6% | 81.2% ","75% ",50,50,100,"89.2% | 50.5%","0350711","201516"
"Arts Access ","N/A ","60% ",0,0,0,"47.5%","0350711","201516"
"ELA: All Students ","81.5 ","75 ",100,100,100,"67.9","0351311","201415"
"ELA: High Needs Students ","63.4 ","75 ",84.6,100,84.6,"56.7","0351311","201415"
"Math: All Students ","75.3 ","75 ",100,100,100,"59.3","0351311","201415"
"Math: High Needs Students ","60.7 ","75 ",81,100,81,"47.8","0351311","201415"
"Science: All Students ","64.8 ","75 ",86.4,100,86.4,"56.5","0351311","201415"
"Science: High Needs Students ","49.3 ","75 ",65.7,100,65.7,"45.9","0351311","201415"
"Chronic absenteeism: All Students ","2.9% ","<=5% ",50,50,100,"10.6%","0351311","201415"
"Chronic absenteeism: High Needs Students ","2.9% ","<=5% ",50,50,100,"17.3%","0351311","201415"
"Prep for CCR: % Taking Courses ","N/A ","75% ",0,0,0,"66.1%","0351311","201415"
"Prep for CCR: % Passing Exams ","N/A ","75% ",0,0,0,"37.3%","0351311","201415"
"Physical Fitness (estimated part rate) and (fitness rate) ","97.3% | 59.2% ","75% ",39.4,50,78.9,"87.6% | 51.0%","0351311","201415"
"Arts Access ","N/A ","60% ",0,0,0,"45.7%","0351311","201415"
"Accountability Index ","","",657,750,87.6,"","0351311","201415"
"ELA Performance index: All Students ","84.4 ","75 ",50,50,100,"67.7","0351311","201516"
"ELA Performance index: High Needs Students ","69.4 ","75 ",46.3,50,92.5,"56.7","0351311","201516"
"Math Performance index: All Students ","78.0 ","75 ",50,50,100,"61.4","0351311","201516"
"Math Performance index: High Needs Students ","62.8 ","75 ",41.8,50,83.7,"49.9","0351311","201516"
"Science Performance index: All Students ","65.6 ","75 ",43.8,50,87.5,"57.5","0351311","201516"
"Science Performance index: High Needs Students ","N/A ","75 ",0,0,0,"47.0","0351311","201516"
"ELA Academic growth: ELA Performance index: All Students ","82.3% ","100% ",82.3,100,82.3,"63.8%","0351311","201516"
"ELA Academic growth: ELA Performance index: High Needs Students ","85.2% ","100% ",85.2,100,85.2,"58.3%","0351311","201516"
"Math Academic growth: Math Performance index: All Students ","81.3% ","100% ",81.3,100,81.3,"65.0%","0351311","201516"
"Math Academic growth: Math Performance index: High Needs Students ","81.5% ","100% ",81.5,100,81.5,"57.4%","0351311","201516"
"Chronic absenteeism: Science Performance index: All Students ","2.3% ","<=5% ",50,50,100,"9.6%","0351311","201516"
"Chronic absenteeism: Science Performance index: High Needs Students ","4.5% ","<=5% ",50,50,100,"15.6%","0351311","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: All Students ","N/A ","75% ",0,0,0,"67.6%","0351311","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: High Needs Students ","N/A ","75% ",0,0,0,"40.7%","0351311","201516"
"On-track to High School Graduation ","N/A ","94% ",0,0,0,"85.1%","0351311","201516"
"4-year Graduation All Students (2015 Cohort) ","N/A ","94% ",0,0,0,"87.2%","0351311","201516"
"6-year Graduation - High Needs Students (2013 Cohort) ","N/A ","94% ",0,0,0,"78.6%","0351311","201516"
"Postsecondary Entrance (Class of 2015) ","N/A ","75% ",0,0,0,"71.9%","0351311","201516"
"Physical Fitness (estimated part rate) and (fitness rate) ","100.0% | 55.8% ","75% ",37.2,50,74.5,"89.2% | 50.5%","0351311","201516"
"Arts Access ","N/A ","60% ",0,0,0,"47.5%","0351311","201516"
"ELA: All Students ","84.4 ","75 ",100,100,100,"67.9","0355111","201415"
"ELA: High Needs Students ","70.9 ","75 ",94.6,100,94.6,"56.7","0355111","201415"
"Math: All Students ","80.9 ","75 ",100,100,100,"59.3","0355111","201415"
"Math: High Needs Students ","65.9 ","75 ",87.9,100,87.9,"47.8","0355111","201415"
"Science: All Students ","68.4 ","75 ",91.2,100,91.2,"56.5","0355111","201415"
"Science: High Needs Students ","59.7 ","75 ",79.6,100,79.6,"45.9","0355111","201415"
"Chronic absenteeism: All Students ","5.0% ","<=5% ",50,50,100,"10.6%","0355111","201415"
"Chronic absenteeism: High Needs Students ","5.0% ","<=5% ",50,50,100,"17.3%","0355111","201415"
"Prep for CCR: % Taking Courses ","N/A ","75% ",0,0,0,"66.1%","0355111","201415"
"Prep for CCR: % Passing Exams ","N/A ","75% ",0,0,0,"37.3%","0355111","201415"
"Physical Fitness (estimated part rate) and (fitness rate) ","95.5% | 75.2% ","75% ",50,50,100,"87.6% | 51.0%","0355111","201415"
"Arts Access ","N/A ","60% ",0,0,0,"45.7%","0355111","201415"
"Accountability Index ","","",753.3,800,94.2,"","0355111","201415"
"ELA Performance index: All Students ","85.1 ","75 ",50,50,100,"67.7","0355111","201516"
"ELA Performance index: High Needs Students ","70.0 ","75 ",46.7,50,93.4,"56.7","0355111","201516"
"Math Performance index: All Students ","83.0 ","75 ",50,50,100,"61.4","0355111","201516"
"Math Performance index: High Needs Students ","65.5 ","75 ",43.7,50,87.3,"49.9","0355111","201516"
"Science Performance index: All Students ","70.7 ","75 ",47.1,50,94.2,"57.5","0355111","201516"
"Science Performance index: High Needs Students ","57.7 ","75 ",38.5,50,76.9,"47.0","0355111","201516"
"ELA Academic growth: ELA Performance index: All Students ","72.4% ","100% ",72.4,100,72.4,"63.8%","0355111","201516"
"ELA Academic growth: ELA Performance index: High Needs Students ","63.0% ","100% ",63,100,63,"58.3%","0355111","201516"
"Math Academic growth: Math Performance index: All Students ","87.5% ","100% ",87.5,100,87.5,"65.0%","0355111","201516"
"Math Academic growth: Math Performance index: High Needs Students ","75.0% ","100% ",75,100,75,"57.4%","0355111","201516"
"Chronic absenteeism: Science Performance index: All Students ","3.0% ","<=5% ",50,50,100,"9.6%","0355111","201516"
"Chronic absenteeism: Science Performance index: High Needs Students ","4.8% ","<=5% ",50,50,100,"15.6%","0355111","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: All Students ","N/A ","75% ",0,0,0,"67.6%","0355111","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: High Needs Students ","N/A ","75% ",0,0,0,"40.7%","0355111","201516"
"On-track to High School Graduation ","98.5% ","94% ",50,50,100,"85.1%","0355111","201516"
"4-year Graduation All Students (2015 Cohort) ","N/A ","94% ",0,0,0,"87.2%","0355111","201516"
"6-year Graduation - High Needs Students (2013 Cohort) ","N/A ","94% ",0,0,0,"78.6%","0355111","201516"
"Postsecondary Entrance (Class of 2015) ","N/A ","75% ",0,0,0,"71.9%","0355111","201516"
"Physical Fitness (estimated part rate) and (fitness rate) ","94.7% | 77.1% ","75% ",50,50,100,"89.2% | 50.5%","0355111","201516"
"Arts Access ","N/A ","60% ",0,0,0,"47.5%","0355111","201516"
"ELA: All Students ","72.9 ","75 ",97.2,100,97.2,"67.9","0356111","201415"
"ELA: High Needs Students ","57.6 ","75 ",76.8,100,76.8,"56.7","0356111","201415"
"Math: All Students ","63.2 ","75 ",84.3,100,84.3,"59.3","0356111","201415"
"Math: High Needs Students ","44.9 ","75 ",59.8,100,59.8,"47.8","0356111","201415"
"Science: All Students ","69.9 ","75 ",93.1,100,93.1,"56.5","0356111","201415"
"Science: High Needs Students ","50.9 ","75 ",67.9,100,67.9,"45.9","0356111","201415"
"Chronic absenteeism: All Students ","6.0% ","<=5% ",48,50,96,"10.6%","0356111","201415"
"Chronic absenteeism: High Needs Students ","12.9% ","<=5% ",34.2,50,68.5,"17.3%","0356111","201415"
"Prep for CCR: % Taking Courses ","52.8% ","75% ",35.2,50,70.4,"66.1%","0356111","201415"
"Prep for CCR: % Passing Exams ","82.9% ","75% ",50,50,100,"37.3%","0356111","201415"
"Postsecondary Entrance (Class of 2014) ","90.2% ","75% ",100,100,100,"72.8%","0356111","201415"
"Physical Fitness (estimated part rate) and (fitness rate) ","83.7% | 68.1% ","75% ",22.7,50,45.4,"87.6% | 51.0%","0356111","201415"
"Arts Access ","63.5% ","60% ",50,50,100,"45.7%","0356111","201415"
"Accountability Index ","","",1069.2,1250,85.5,"","0356111","201415"
"ELA: High Needs Students ","59.9 ","75 ",79.8,100,79.8,"56.7","0356111","201516"
"ELA: All Students ","78.1 ","75 ",100,100,100,"61.4","0356111","201516"
"Math: High Needs Students ","56.8 ","75 ",75.7,100,75.7,"49.9","0356111","201516"
"Math: All Students ","71.9 ","75 ",95.8,100,95.8,"57.5","0356111","201516"
"Science: High Needs Students ","55.8 ","75 ",74.5,100,74.5,"47.0","0356111","201516"
"Science: All Students ","N/A ","100% ",0,0,0,"63.8%","0356111","201516"
"Chronic absenteeism: High Needs Students ","N/A ","100% ",0,0,0,"58.3%","0356111","201516"
"Chronic absenteeism: All Students ","N/A ","100% ",0,0,0,"65.0%","0356111","201516"
"Prep for CCR: High Needs Students ","N/A ","100% ",0,0,0,"57.4%","0356111","201516"
"Prep for CCR: All Students ","4.4% ","<=5% ",50,50,100,"9.6%","0356111","201516"
"On-track to High School Graduation ","98.5% ","94% ",50,50,100,"85.1%","0356111","201516"
"4-year Graduation All Students (2015 Cohort) ","97.3% ","94% ",100,100,100,"87.2%","0356111","201516"
"6-year Graduation - High Needs Students (2013 Cohort) ","95.0% ","94% ",100,100,100,"78.6%","0356111","201516"
"Postsecondary Entrance (Class of 2015) ","88.2% ","75% ",100,100,100,"71.9%","0356111","201516"
"Physical Fitness (estimated part rate) and (fitness rate) ","87.6% | 77.0% ","75% ",25,50,50,"89.2% | 50.5%","0356111","201516"
"ELA: All Students ","76.1 ","75 ",100,100,100,"67.9","0360111","201415"
"ELA: High Needs Students ","66.7 ","75 ",88.9,100,88.9,"56.7","0360111","201415"
"Math: All Students ","67.3 ","75 ",89.7,100,89.7,"59.3","0360111","201415"
"Math: High Needs Students ","57.0 ","75 ",75.9,100,75.9,"47.8","0360111","201415"
"Science: All Students ","62.9 ","75 ",83.9,100,83.9,"56.5","0360111","201415"
"Science: High Needs Students ","N/A ","75 ",0,0,0,"45.9","0360111","201415"
"Chronic absenteeism: All Students ","1.6% ","<=5% ",50,50,100,"10.6%","0360111","201415"
"Chronic absenteeism: High Needs Students ","1.0% ","<=5% ",50,50,100,"17.3%","0360111","201415"
"Prep for CCR: % Taking Courses ","N/A ","75% ",0,0,0,"66.1%","0360111","201415"
"Prep for CCR: % Passing Exams ","N/A ","75% ",0,0,0,"37.3%","0360111","201415"
"Physical Fitness (estimated part rate) and (fitness rate) ","97.7% | 82.6% ","75% ",50,50,100,"87.6% | 51.0%","0360111","201415"
"Arts Access ","N/A ","60% ",0,0,0,"45.7%","0360111","201415"
"Accountability Index ","","",588.5,650,90.5,"","0360111","201415"
"ELA Performance index: All Students ","75.3 ","75 ",50,50,100,"67.7","0360111","201516"
"ELA Performance index: High Needs Students ","65.7 ","75 ",43.8,50,87.5,"56.7","0360111","201516"
"Math Performance index: All Students ","70.0 ","75 ",46.7,50,93.3,"61.4","0360111","201516"
"Math Performance index: High Needs Students ","59.8 ","75 ",39.8,50,79.7,"49.9","0360111","201516"
"Science Performance index: All Students ","67.0 ","75 ",44.7,50,89.3,"57.5","0360111","201516"
"Science Performance index: High Needs Students ","N/A ","75 ",0,0,0,"47.0","0360111","201516"
"ELA Academic growth: ELA Performance index: All Students ","67.9% ","100% ",67.9,100,67.9,"63.8%","0360111","201516"
"ELA Academic growth: ELA Performance index: High Needs Students ","58.1% ","100% ",58.1,100,58.1,"58.3%","0360111","201516"
"Math Academic growth: Math Performance index: All Students ","73.0% ","100% ",73,100,73,"65.0%","0360111","201516"
"Math Academic growth: Math Performance index: High Needs Students ","64.5% ","100% ",64.5,100,64.5,"57.4%","0360111","201516"
"Chronic absenteeism: Science Performance index: All Students ","1.6% ","<=5% ",50,50,100,"9.6%","0360111","201516"
"Chronic absenteeism: Science Performance index: High Needs Students ","5.2% ","<=5% ",49.7,50,99.4,"15.6%","0360111","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: All Students ","N/A ","75% ",0,0,0,"67.6%","0360111","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: High Needs Students ","N/A ","75% ",0,0,0,"40.7%","0360111","201516"
"On-track to High School Graduation ","N/A ","94% ",0,0,0,"85.1%","0360111","201516"
"4-year Graduation All Students (2015 Cohort) ","N/A ","94% ",0,0,0,"87.2%","0360111","201516"
"6-year Graduation - High Needs Students (2013 Cohort) ","N/A ","94% ",0,0,0,"78.6%","0360111","201516"
"Postsecondary Entrance (Class of 2015) ","N/A ","75% ",0,0,0,"71.9%","0360111","201516"
"Physical Fitness (estimated part rate) and (fitness rate) ","96.4% | 80.2% ","75% ",50,50,100,"89.2% | 50.5%","0360111","201516"
"Arts Access ","N/A ","60% ",0,0,0,"47.5%","0360111","201516"
"ELA Performance index: All Students ","N/A ","75 ",0,0,0,"67.7","0370111","201516"
"ELA Performance index: High Needs Students ","N/A ","75 ",0,0,0,"56.7","0370111","201516"
"Math Performance index: All Students ","N/A ","75 ",0,0,0,"61.4","0370111","201516"
"Math Performance index: High Needs Students ","N/A ","75 ",0,0,0,"49.9","0370111","201516"
"Science Performance index: All Students ","N/A ","75 ",0,0,0,"57.5","0370111","201516"
"Science Performance index: High Needs Students ","N/A ","75 ",0,0,0,"47.0","0370111","201516"
"ELA Academic growth: ELA Performance index: All Students ","N/A ","100% ",0,0,0,"63.8%","0370111","201516"
"ELA Academic growth: ELA Performance index: High Needs Students ","N/A ","100% ",0,0,0,"58.3%","0370111","201516"
"Math Academic growth: Math Performance index: All Students ","N/A ","100% ",0,0,0,"65.0%","0370111","201516"
"Math Academic growth: Math Performance index: High Needs Students ","N/A ","100% ",0,0,0,"57.4%","0370111","201516"
"Chronic absenteeism: Science Performance index: All Students ","N/A ","<=5% ",0,0,0,"9.6%","0370111","201516"
"Chronic absenteeism: Science Performance index: High Needs Students ","N/A ","<=5% ",0,0,0,"15.6%","0370111","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: All Students ","N/A ","75% ",0,0,0,"67.6%","0370111","201516"
"Prep for CCR: ELA Academic growth: ELA Performance index: High Needs Students ","N/A ","75% ",0,0,0,"40.7%","0370111","201516"
"On-track to High School Graduation ","N/A ","94% ",0,0,0,"85.1%","0370111","201516"
"4-year Graduation All Students (2015 Cohort) ","N/A ","94% ",0,0,0,"87.2%","0370111","201516"
"6-year Graduation - High Needs Students (2013 Cohort) ","N/A ","94% ",0,0,0,"78.6%","0370111","201516"
"Postsecondary Entrance (Class of 2015) ","N/A ","75% ",0,0,0,"71.9%","0370111","201516"
"Physical Fitness (estimated part rate) and (fitness rate) ","N/A | N/A ","75% ",0,0,0,"89.2% | 50.5%","0370111","201516"
"Arts Access ","N/A ","60% ",0,0,0,"47.5%","0370111","201516"
"ELA: All Students ","63.9 ","75 ",85.3,100,85.3,"67.9","0370411","201415"
"ELA: High Needs Students ","61.6 ","75 ",82.1,100,82.1,"56.7","0370411","201415"
"Math: All Students ","55.7 ","75 ",74.2,100,74.2,"59.3","0370411","201415"
"Math: High Needs Students ","53.7 ","75 ",71.6,100,71.6,"47.8","0370411","201415"
"Science: All Students ","53.3 ","75 ",71.1,100,71.1,"56.5","0370411","201415"
"Science: High Needs Students ","51.2 ","75 ",68.2,100,68.2,"45.9","0370411","201415"
"Chronic absenteeism: All Students ","19.9% ","<=5% ",20.1,50,40.2,"10.6%","0370411","201415"
"Chronic absenteeism: High Needs Students ","21.5% ","<=5% ",17,50,34.1,"17.3%","0370411","201415"
"Prep for CCR: % Taking Courses ","N/A ","75% ",0,0,0,"66.1%","0370411","201415"
"Prep for CCR: % Passing Exams ","N/A ","75% ",0,0,0,"37.3%","0370411","201415"
"Physical Fitness (estimated part rate) and (fitness rate) ","90.7% | 36.7% ","75% ",24.5,50,49,"87.6% | 51.0%","0370411","201415"
"Arts Access ","N/A ","60% ",0,0,0,"45.7%","0370411","201415"
"Accountability Index ","","",514.1,750,68.6,"","0370411","201415"
"ELA Performance index: All Students ","61.1 ","75 ",40.7,50,81.5,"67.7","0370411","201516"
"ELA Performance index: High Needs Students ","58.8 ","75 ",39.2,50,78.4,"56.7","0370411","201516"
"Math Performance index: All Students ","50.8 ","75 ",33.9,50,67.7,"61.4","0370411","201516"
