"category","chron_abs_count","chron_abs_rate","susp_exp_count","susp_exp_rate","school_id","year"
"Female ","27 ","6.2 ","9 ","2.0","0455111","201314"
"Male ","36 ","8.0 ","30 ","6.6","0455111","201314"
"Black or African American ","* ","* ","0 ","0.0","0455111","201314"
"Hispanic or Latino ","* ","* ","* ","*","0455111","201314"
"White ","52 ","7.2 ","35 ","4.8","0455111","201314"
"English Language Learners ","0 ","* ","* ","*","0455111","201314"
"Eligible for Free or Reduced-Price Meals ","19 ","15.2 ","11 ","8.5","0455111","201314"
"Students with Disabilities ","21 ","16.0 ","11 ","7.9","0455111","201314"
"School ","63 ","7.1 ","39 ","4.3","0455111","201314"
"District ","","5.2 ","","2.7","0455111","201314"
"Female ","27 ","6.6 ","14 ","3.4","0455111","201415"
"Male ","32 ","7.2 ","45 ","10.0","0455111","201415"
"Black or African American ","* ","* ","0 ","0.0","0455111","201415"
"Hispanic or Latino ","8 ","15.7 ","6 ","11.5","0455111","201415"
"White ","44 ","6.5 ","47 ","6.9","0455111","201415"
"English Language Learners ","* ","* ","* ","*","0455111","201415"
"Eligible for Free or Reduced-Price Meals ","25 ","18.4 ","24 ","17.2","0455111","201415"
"Students with Disabilities ","16 ","13.6 ","19 ","15.2","0455111","201415"
"School ","59 ","6.9 ","59 ","6.8","0455111","201415"
"District ","","5.7 ","","3.3","0455111","201415"
"Male 24 ","5.5 ",NA,"* ","*","0455111","201516"
"Black or African American 0 ","* ",NA,"0 ","*","0455111","201516"
"Hispanic or Latino * ","* ",NA,"* ","*","0455111","201516"
"White 32 ","4.9 ",NA,"31 ","4.7","0455111","201516"
"English Language Learners 0 ","* ",NA,"* ","*","0455111","201516"
"Eligible for Free or Reduced-Price Meals 15 ","11.2 ",NA,"17 ","11.6","0455111","201516"
"Students with Disabilities 12 ","11.2 ",NA,"12 ","10.7","0455111","201516"
"School 39 ","4.6 ",NA,"40 ","4.7","0455111","201516"
"District ","4.7 ",NA,"","3.1","0455111","201516"
"Number of students in 2014-15 qualified as truant under state statute:  0","",NA,"","","0455111","201516"
"Female ","14 ","2.6 ","11 ","2.0","0456111","201314"
"Male ","35 ","6.7 ","24 ","4.6","0456111","201314"
"Black or African American ","0 ","0.0 ","0 ","0.0","0456111","201314"
"Hispanic or Latino ","* ","* ","* ","*","0456111","201314"
"White ","45 ","5.1 ","32 ","3.6","0456111","201314"
"English Language Learners ","0 ","* ","0 ","*","0456111","201314"
"Eligible for Free or Reduced-Price Meals ","15 ","13.5 ","7 ","6.1","0456111","201314"
"Students with Disabilities ","15 ","11.5 ","10 ","7.3","0456111","201314"
"School ","49 ","4.7 ","35 ","3.3","0456111","201314"
"District ","","5.2 ","","2.7","0456111","201314"
"Female ","19 ","3.7 ","7 ","1.3","0456111","201415"
"Male ","32 ","6.0 ","23 ","4.3","0456111","201415"
"Black or African American ","* ","* ","0 ","0.0","0456111","201415"
"Hispanic or Latino ","* ","* ","* ","*","0456111","201415"
"White ","47 ","5.3 ","24 ","2.7","0456111","201415"
"English Language Learners ","0 ","* ","0 ","*","0456111","201415"
"Eligible for Free or Reduced-Price Meals ","19 ","13.1 ","15 ","10.2","0456111","201415"
"Students with Disabilities ","23 ","18.9 ","10 ","8.1","0456111","201415"
"School ","51 ","4.9 ","30 ","2.8","0456111","201415"
"District ","","5.7 ","","3.3","0456111","201415"
"Male 22 ","4.3 ",NA,"30 ","5.8","0456111","201516"
"Black or African American 0 ","0.0 ",NA,"0 ","0.0","0456111","201516"
"Hispanic or Latino * ","* ",NA,"* ","*","0456111","201516"
"White 37 ","4.4 ",NA,"35 ","4.1","0456111","201516"
"English Language Learners 0 ","* ",NA,"0 ","*","0456111","201516"
"Eligible for Free or Reduced-Price Meals 15 ","12.4 ",NA,"14 ","9.7","0456111","201516"
"Students with Disabilities 15 ","13.4 ",NA,"13 ","11.5","0456111","201516"
"School 44 ","4.3 ",NA,"39 ","3.8","0456111","201516"
"District ","4.7 ",NA,"","3.1","0456111","201516"
"Number of students in 2014-15 qualified as truant under state statute:  45","",NA,"","","0456111","201516"
"Female ","8 ","2.7 ","0 ","0.0","0460111","201314"
"Male ","6 ","2.0 ","* ","*","0460111","201314"
"Black or African American ","0 ","* ","0 ","*","0460111","201314"
"Hispanic or Latino ","* ","* ","0 ","0.0","0460111","201314"
"White ","12 ","2.4 ","* ","*","0460111","201314"
"English Language Learners ","* ","* ","0 ","*","0460111","201314"
"Eligible for Free or Reduced-Price Meals ","* ","* ","0 ","0.0","0460111","201314"
"Students with Disabilities ","* ","* ","0 ","0.0","0460111","201314"
"School ","14 ","2.4 ","* ","*","0460111","201314"
"District ","","2.3 ","","2.1","0460111","201314"
"Female ","6 ","2.0 ","0 ","0.0","0460111","201415"
"Male ","7 ","2.3 ","* ","*","0460111","201415"
"Black or African American ","0 ","* ","0 ","*","0460111","201415"
"Hispanic or Latino ","0 ","0.0 ","0 ","0.0","0460111","201415"
"White ","* ","* ","* ","*","0460111","201415"
"English Language Learners ","* ","* ","0 ","*","0460111","201415"
"Eligible for Free or Reduced-Price Meals ","* ","* ","0 ","0.0","0460111","201415"
"Students with Disabilities ","* ","* ","* ","*","0460111","201415"
"School ","13 ","2.2 ","* ","*","0460111","201415"
"District ","","2.5 ","","0.9","0460111","201415"
"Male * ","* ",NA,"* ","*","0460111","201516"
"Black or African American 0 ","* ",NA,"0 ","*","0460111","201516"
"Hispanic or Latino 0 ","0.0 ",NA,"0 ","0.0","0460111","201516"
"White 8 ","1.6 ",NA,"* ","*","0460111","201516"
"English Language Learners 0 ","* ",NA,"0 ","*","0460111","201516"
"Eligible for Free or Reduced-Price Meals * ","* ",NA,"0 ","0.0","0460111","201516"
"Students with Disabilities 0 ","0.0 ",NA,"* ","*","0460111","201516"
"School 8 ","1.4 ",NA,"* ","*","0460111","201516"
"District ","1.7 ",NA,"","1.3","0460111","201516"
"Number of students in 2014-15 qualified as truant under state statute:  0","",NA,"","","0460111","201516"
"Female ","* ","* ","0 ","0.0","0465111","201314"
"Male ","* ","* ","18 ","8.9","0465111","201314"
"Black or African American ","0 ","* ","0 ","*","0465111","201314"
"Hispanic or Latino ","* ","* ","0 ","*","0465111","201314"
"White ","* ","* ","18 ","5.7","0465111","201314"
"English Language Learners ","0 ","* ","0 ","*","0465111","201314"
"Eligible for Free or Reduced-Price Meals ","0 ","* ","* ","*","0465111","201314"
"Students with Disabilities ","0 ","0.0 ","* ","*","0465111","201314"
"School ","8 ","2.3 ","18 ","5.1","0465111","201314"
"District ","","2.3 ","","2.1","0465111","201314"
"Female ","* ","* ","0 ","0.0","0465111","201415"
"Male ","* ","* ","* ","*","0465111","201415"
"Black or African American ","0 ","* ","0 ","*","0465111","201415"
"Hispanic or Latino ","0 ","* ","0 ","*","0465111","201415"
"White ","9 ","3.1 ","* ","*","0465111","201415"
"English Language Learners ","* ","* ","0 ","*","0465111","201415"
"Eligible for Free or Reduced-Price Meals ","0 ","* ","0 ","*","0465111","201415"
"Students with Disabilities ","0 ","0.0 ","0 ","0.0","0465111","201415"
"School ","9 ","2.8 ","* ","*","0465111","201415"
"District ","","2.5 ","","0.9","0465111","201415"
"Male * ","* ",NA,"* ","*","0465111","201516"
"Black or African American 0 ","* ",NA,"0 ","*","0465111","201516"
"Hispanic or Latino 0 ","* ",NA,"* ","*","0465111","201516"
"White 7 ","2.6 ",NA,"* ","*","0465111","201516"
"English Language Learners 0 ","* ",NA,"0 ","*","0465111","201516"
"Eligible for Free or Reduced-Price Meals 0 ","* ",NA,"* ","*","0465111","201516"
"Students with Disabilities * ","* ",NA,"* ","*","0465111","201516"
"School 7 ","2.3 ",NA,"10 ","3.3","0465111","201516"
"District ","1.7 ",NA,"","1.3","0465111","201516"
"Number of students in 2014-15 qualified as truant under state statute:  0","",NA,"","","0465111","201516"
"Female ","33 ","15.1 ","* ","*","0470111","201314"
"Male ","21 ","9.2 ","* ","*","0470111","201314"
"Black or African American ","9 ","20.5 ","* ","*","0470111","201314"
"Hispanic or Latino ","17 ","23.0 ","* ","*","0470111","201314"
"White ","20 ","7.3 ","6 ","1.8","0470111","201314"
"English Language Learners ","* ","* ","0 ","0.0","0470111","201314"
"Eligible for Free or Reduced-Price Meals ","37 ","18.8 ","10 ","4.3","0470111","201314"
"Students with Disabilities ","13 ","18.3 ","* ","*","0470111","201314"
"School ","54 ","12.1 ","16 ","3.1","0470111","201314"
"District ","","10.9 ","","10.9","0470111","201314"
"Female ","18 ","8.7 ","0 ","0.0","0470111","201415"
"Male ","16 ","7.5 ","* ","*","0470111","201415"
"Black or African American ","* ","* ","* ","*","0470111","201415"
"Hispanic or Latino ","11 ","14.7 ","* ","*","0470111","201415"
"White ","15 ","6.0 ","* ","*","0470111","201415"
"English Language Learners ","0 ","0.0 ","0 ","0.0","0470111","201415"
"Eligible for Free or Reduced-Price Meals ","27 ","14.1 ","* ","*","0470111","201415"
"Students with Disabilities ","11 ","15.7 ","* ","*","0470111","201415"
"School ","34 ","8.1 ","* ","*","0470111","201415"
"District ","","10.4 ","","8.1","0470111","201415"
"Male 14 ","8.4 ",NA,"* ","*","0470111","201516"
"Black or African American * ","* ",NA,"0 ","0.0","0470111","201516"
"Hispanic or Latino 13 ","18.3 ",NA,"* ","*","0470111","201516"
"White 10 ","5.2 ",NA,"* ","*","0470111","201516"
"English Language Learners * ","* ",NA,"0 ","*","0470111","201516"
"Eligible for Free or Reduced-Price Meals 22 ","14.7 ",NA,"* ","*","0470111","201516"
"Students with Disabilities * ","* ",NA,"* ","*","0470111","201516"
"School 29 ","9.0 ",NA,"6 ","1.6","0470111","201516"
"District ","12.2 ",NA,"","7.6","0470111","201516"
"Number of students in 2014-15 qualified as truant under state statute:  49","",NA,"","","0470111","201516"
"Female ","20 ","11.2 ","8 ","4.4","0475411","201314"
"Male ","14 ","8.2 ","39 ","22.8","0475411","201314"
"Black or African American ","7 ","16.7 ","9 ","20.9","0475411","201314"
"Hispanic or Latino ","* ","* ","* ","*","0475411","201314"
"White ","21 ","8.7 ","31 ","12.7","0475411","201314"
"English Language Learners ","0 ","* ","0 ","*","0475411","201314"
"Eligible for Free or Reduced-Price Meals ","21 ","15.3 ","24 ","16.9","0475411","201314"
"Students with Disabilities ","6 ","9.7 ","8 ","12.6","0475411","201314"
"School ","34 ","9.7 ","47 ","13.4","0475411","201314"
"District ","","10.9 ","","10.9","0475411","201314"
"Female ","19 ","13.2 ","7","4.8","0475411","201415"
"Male ","12 ","7.2 ","38","22.0","0475411","201415"
"Black or African American ","* ","* ","13","30.2","0475411","201415"
"Hispanic or Latino ","* ","* ","8","17.7","0475411","201415"
"White ","21 ","10.4 ","19","9.4","0475411","201415"
"English Language Learners ","0 ","* ","0","*","0475411","201415"
"Eligible for Free or Reduced-Price Meals ","19 ","14.5 ","25","18.7","0475411","201415"
"Students with Disabilities ","7 ","12.5 ","16","25.0","0475411","201415"
"School ","31 ","10.0 ","45","14.2","0475411","201415"
"District ","","10.4 ",NA,"8.1","0475411","201415"
"Male 20 ","10.0 ",NA,"37 ","18.1","0475411","201516"
"Black or African American * ","* ",NA,"18 ","36.0","0475411","201516"
"Hispanic or Latino 13 ","19.1 ",NA,"* ","*","0475411","201516"
"White 14 ","5.9 ",NA,"19 ","7.9","0475411","201516"
"English Language Learners 0 ","* ",NA,"0 ","*","0475411","201516"
"Eligible for Free or Reduced-Price Meals 33 ","18.1 ",NA,"36 ","19.4","0475411","201516"
"Students with Disabilities 14 ","20.9 ",NA,"9 ","12.5","0475411","201516"
"School 42 ","11.0 ",NA,"48 ","12.4","0475411","201516"
"District ","12.2 ",NA,"","7.6","0475411","201516"
"Number of students in 2014-15 qualified as truant under state statute:  0","",NA,"","","0475411","201516"
"Female ","11 ","6.7 ","33","20.0","0476111","201314"
"Male ","22 ","12.6 ","37","21.0","0476111","201314"
"Black or African American ","* ","* ","19","40.4","0476111","201314"
"Hispanic or Latino ","* ","* ","7","17.0","0476111","201314"
"White ","22 ","9.7 ","40","17.4","0476111","201314"
"English Language Learners ","0 ","* ","0","*","0476111","201314"
"Eligible for Free or Reduced-Price Meals ","23 ","18.3 ","40","27.5","0476111","201314"
"Students with Disabilities ","15 ","23.8 ","19","30.1","0476111","201314"
"School ","33 ","9.7 ","70","20.5","0476111","201314"
"District ","","10.9 ",NA,"10.9","0476111","201314"
"Female ","24 ","15.7 ","16 ","10.4","0476111","201415"
"Male ","20 ","11.6 ","27 ","15.5","0476111","201415"
"Black or African American ","6 ","12.5 ","11 ","22.9","0476111","201415"
"Hispanic or Latino ","* ","* ","* ","*","0476111","201415"
"White ","31 ","14.9 ","24 ","11.5","0476111","201415"
"English Language Learners ","0 ","* ","0 ","*","0476111","201415"
"Eligible for Free or Reduced-Price Meals ","27 ","19.7 ","24 ","17.2","0476111","201415"
"Students with Disabilities ","13 ","22.4 ","9 ","14.7","0476111","201415"
"School ","44 ","13.5 ","43 ","13.1","0476111","201415"
"District ","","10.4 ","","8.1","0476111","201415"
"Male 26 ","15.5 ",NA,"17 ","10.1","0476111","201516"
"Black or African American * ","* ",NA,"10 ","27.8","0476111","201516"
"Hispanic or Latino 11 ","20.0 ",NA,"* ","*","0476111","201516"
"White 31 ","15.3 ",NA,"12 ","5.9","0476111","201516"
"English Language Learners 0 ","* ",NA,"* ","*","0476111","201516"
"Eligible for Free or Reduced-Price Meals 31 ","23.8 ",NA,"23 ","17.2","0476111","201516"
"Students with Disabilities 13 ","21.7 ",NA,"11 ","18.0","0476111","201516"
"School 51 ","16.0 ",NA,"30 ","9.4","0476111","201516"
"District ","12.2 ",NA,"","7.6","0476111","201516"
"Number of students in 2014-15 qualified as truant under state statute:  59","",NA,"","","0476111","201516"
"Female ","* ","* ","* ","*","0480111","201314"
"Male ","* ","* ","* ","*","0480111","201314"
"Black or African American ","* ","* ","0 ","*","0480111","201314"
"Hispanic or Latino ","* ","* ","0 ","*","0480111","201314"
"White ","7 ","2.3 ","* ","*","0480111","201314"
"English Language Learners ","N/A ","N/A ","N/A ","N/A","0480111","201314"
"Eligible for Free or Reduced-Price Meals ","* ","* ","* ","*","0480111","201314"
"Students with Disabilities ","* ","* ","* ","*","0480111","201314"
"School ","10 ","2.9 ","* ","*","0480111","201314"
"District ","","3.8 ","","4.4","0480111","201314"
"Female ","7 ","4.1 ","0 ","0.0","0480111","201415"
"Male ","6 ","3.7 ","9 ","4.5","0480111","201415"
"Black or African American ","0 ","* ","* ","*","0480111","201415"
"Hispanic or Latino ","* ","* ","* ","*","0480111","201415"
"White ","* ","* ","* ","*","0480111","201415"
"English Language Learners ","0 ","* ","0 ","*","0480111","201415"
"Eligible for Free or Reduced-Price Meals ","* ","* ","* ","*","0480111","201415"
"Students with Disabilities ","* ","* ","* ","*","0480111","201415"
"School ","13 ","3.9 ","9 ","2.2","0480111","201415"
"District ","","4.5 ","","4.2","0480111","201415"
"Male * ","* ","* ",NA,"*","0480111","201516"
"Black or African American * ","* ","* ",NA,"*","0480111","201516"
"Hispanic or Latino * ","* ","0 ",NA,"*","0480111","201516"
"White * ","* ","* ",NA,"*","0480111","201516"
"English Language Learners 0 ","* ","0 ",NA,"*","0480111","201516"
"Eligible for Free or Reduced-Price Meals * ","* ","* ",NA,"*","0480111","201516"
"Students with Disabilities * ","* ","* ",NA,"*","0480111","201516"
"School * ","* ","8 ",NA,"2.2","0480111","201516"
"District ","4.3 ","",NA,"5.2","0480111","201516"
"Number of students in 2014-15 qualified as truant under state statute:  Fewer than 6","","",NA,"","0480111","201516"
"Female ","* ","* ","0 ","0.0","0480211","201314"
"Male ","* ","* ","* ","*","0480211","201314"
"Black or African American ","0 ","* ","0 ","*","0480211","201314"
"Hispanic or Latino ","* ","* ","0 ","*","0480211","201314"
"White ","* ","* ","* ","*","0480211","201314"
"English Language Learners ","0 ","* ","0 ","*","0480211","201314"
"Eligible for Free or Reduced-Price Meals ","* ","* ","* ","*","0480211","201314"
"Students with Disabilities ","0 ","0.0 ","* ","*","0480211","201314"
"School ","* ","* ","* ","*","0480211","201314"
"District ","","3.8 ","","4.4","0480211","201314"
"Female ","* ","* ","0 ","0.0","0480211","201415"
"Male ","* ","* ","* ","*","0480211","201415"
"Black or African American ","0 ","* ","0 ","*","0480211","201415"
"Hispanic or Latino ","* ","* ","0 ","*","0480211","201415"
"White ","* ","* ","* ","*","0480211","201415"
"English Language Learners ","* ","* ","0 ","*","0480211","201415"
"Eligible for Free or Reduced-Price Meals ","* ","* ","* ","*","0480211","201415"
"Students with Disabilities ","0 ","* ","* ","*","0480211","201415"
"School ","* ","* ","* ","*","0480211","201415"
"District ","","4.5 ","","4.2","0480211","201415"
"Male * ","* ","* ",NA,"*","0480211","201516"
"Black or African American 0 ","* ","0 ",NA,"*","0480211","201516"
"Hispanic or Latino * ","* ","0 ",NA,"*","0480211","201516"
"White * ","* ","* ",NA,"*","0480211","201516"
"English Language Learners * ","* ","0 ",NA,"*","0480211","201516"
"Eligible for Free or Reduced-Price Meals * ","* ","* ",NA,"*","0480211","201516"
"Students with Disabilities * ","* ","0 ",NA,"0.0","0480211","201516"
"School * ","* ","* ",NA,"*","0480211","201516"
"District ","4.3 ","",NA,"5.2","0480211","201516"
"Number of students in 2014-15 qualified as truant under state statute:  Fewer than 6","","",NA,"","0480211","201516"
"Female ","7 ","3.0 ","* ","*","0480611","201314"
"Male ","11 ","4.9 ","* ","*","0480611","201314"
"Black or African American ","* ","* ","* ","*","0480611","201314"
"Hispanic or Latino ","* ","* ","* ","*","0480611","201314"
"White ","11 ","3.4 ","* ","*","0480611","201314"
"English Language Learners ","* ","* ","* ","*","0480611","201314"
"Eligible for Free or Reduced-Price Meals ","* ","* ","* ","*","0480611","201314"
"Students with Disabilities ","* ","* ","0 ","0.0","0480611","201314"
"School ","18 ","3.9 ","8 ","1.7","0480611","201314"
"District ","","3.8 ","","4.4","0480611","201314"
"Female ","14 ","6.2 ","* ","*","0480611","201415"
"Male ","11 ","4.9 ","* ","*","0480611","201415"
"Black or African American ","* ","* ","* ","*","0480611","201415"
"Hispanic or Latino ","* ","* ","* ","*","0480611","201415"
"White ","11 ","3.7 ","6 ","2.0","0480611","201415"
"English Language Learners ","7 ","25.9 ","0 ","0.0","0480611","201415"
"Eligible for Free or Reduced-Price Meals ","6 ","10.7 ","9 ","15.2","0480611","201415"
"Students with Disabilities ","9 ","14.8 ","8 ","12.6","0480611","201415"
"School ","25 ","5.5 ","17 ","3.7","0480611","201415"
"District ","","4.5 ","","4.2","0480611","201415"
"Male 16 ","7.2 ",NA,"* ","*","0480611","201516"
"Black or African American * ","* ",NA,"* ","*","0480611","201516"
"Hispanic or Latino * ","* ",NA,"* ","*","0480611","201516"
"White 8 ","2.8 ",NA,"13 ","4.5","0480611","201516"
"English Language Learners * ","* ",NA,"* ","*","0480611","201516"
"Eligible for Free or Reduced-Price Meals 6 ","12.0 ",NA,"8 ","15.7","0480611","201516"
"Students with Disabilities 8 ","12.7 ",NA,"7 ","10.4","0480611","201516"
"School 23 ","5.2 ",NA,"19 ","4.3","0480611","201516"
"District ","4.3 ",NA,"","5.2","0480611","201516"
"Number of students in 2014-15 qualified as truant under state statute:  8","",NA,"","","0480611","201516"
"Female ","6 ","3.2 ","* ","*","0480711","201314"
"Male ","8 ","3.5 ","* ","*","0480711","201314"
"Black or African American ","* ","* ","* ","*","0480711","201314"
"Hispanic or Latino ","* ","* ","* ","*","0480711","201314"
"White ","11 ","3.2 ","13 ","3.7","0480711","201314"
"English Language Learners ","0 ","* ","* ","*","0480711","201314"
"Eligible for Free or Reduced-Price Meals ","6 ","15.0 ","8 ","16.6","0480711","201314"
"Students with Disabilities ","* ","* ","* ","*","0480711","201314"
"School ","14 ","3.4 ","18 ","4.3","0480711","201314"
"District ","","3.8 ","","4.4","0480711","201314"
"Female ","8 ","3.8 ","* ","*","0480711","201415"
"Male ","6 ","2.7 ","* ","*","0480711","201415"
"Black or African American ","0 ","* ","* ","*","0480711","201415"
"Hispanic or Latino ","* ","* ","* ","*","0480711","201415"
"White ","* ","* ","8 ","2.2","0480711","201415"
"English Language Learners ","0 ","* ","* ","*","0480711","201415"
"Eligible for Free or Reduced-Price Meals ","* ","* ","* ","*","0480711","201415"
"Students with Disabilities ","* ","* ","* ","*","0480711","201415"
"School ","14 ","3.2 ","11 ","2.5","0480711","201415"
"District ","","4.5 ","","4.2","0480711","201415"
"Male 9 ","4.1 ",NA,"* ","*","0480711","201516"
"Black or African American * ","* ",NA,"* ","*","0480711","201516"
"Hispanic or Latino * ","* ",NA,"* ","*","0480711","201516"
"White 15 ","4.1 ",NA,"9 ","2.4","0480711","201516"
"English Language Learners 0 ","* ",NA,"0 ","*","0480711","201516"
"Eligible for Free or Reduced-Price Meals * ","* ",NA,"7 ","14.6","0480711","201516"
"Students with Disabilities * ","* ",NA,"6 ","11.5","0480711","201516"
"School 18 ","4.0 ",NA,"14 ","3.1","0480711","201516"
"District ","4.3 ",NA,"","5.2","0480711","201516"
"Number of students in 2014-15 qualified as truant under state statute:  7","",NA,"","","0480711","201516"
"Female ","11 ","5.6 ","* ","*","0485111","201314"
"Male ","11 ","5.2 ","* ","*","0485111","201314"
"Black or African American ","* ","* ","* ","*","0485111","201314"
"Hispanic or Latino ","* ","* ","* ","*","0485111","201314"
"White ","16 ","4.7 ","8 ","2.3","0485111","201314"
"English Language Learners ","0 ","* ","0 ","*","0485111","201314"
"Eligible for Free or Reduced-Price Meals ","* ","* ","6 ","11.3","0485111","201314"
"Students with Disabilities ","9 ","18.0 ","* ","*","0485111","201314"
"School ","22 ","5.4 ","11 ","2.6","0485111","201314"
"District ","","3.8 ","","4.4","0485111","201314"
"Female ","18 ","8.5 ","* ","*","0485111","201415"
"Male ","21 ","9.5 ","* ","*","0485111","201415"
"Black or African American ","* ","* ","* ","*","0485111","201415"
"Hispanic or Latino ","* ","* ","0 ","*","0485111","201415"
"White ","31 ","8.5 ","11 ","3.0","0485111","201415"
"English Language Learners ","0 ","* ","0 ","*","0485111","201415"
"Eligible for Free or Reduced-Price Meals ","14 ","29.2 ","10 ","19.6","0485111","201415"
"Students with Disabilities ","14 ","26.4 ","6 ","10.3","0485111","201415"
"School ","39 ","9.0 ","17 ","3.9","0485111","201415"
"District ","","4.5 ","","4.2","0485111","201415"
"Male 13 ","5.7 ","* ",NA,"*","0485111","201516"
"Black or African American * ","* ","* ",NA,"*","0485111","201516"
"Hispanic or Latino 0 ","* ","* ",NA,"*","0485111","201516"
"White 18 ","5.1 ","17 ",NA,"4.8","0485111","201516"
"English Language Learners 0 ","* ","0 ",NA,"*","0485111","201516"
"Eligible for Free or Reduced-Price Meals 7 ","17.5 ","7 ",NA,"16.3","0485111","201516"
"Students with Disabilities 8 ","17.4 ","* ",NA,"*","0485111","201516"
"School 22 ","5.2 ","22 ",NA,"5.2","0485111","201516"
"District ","4.3 ","",NA,"5.2","0485111","201516"
"Number of students in 2014-15 qualified as truant under state statute:  Fewer than 6","","",NA,"","0485111","201516"
"Female ","15 ","3.8 ","20 ","4.9","0486111","201314"
"Male ","17 ","4.3 ","52 ","13.2","0486111","201314"
"Black or African American ","* ","* ","8 ","29.6","0486111","201314"
"Hispanic or Latino ","* ","* ","* ","*","0486111","201314"
"White ","25 ","3.7 ","52 ","7.7","0486111","201314"
"English Language Learners ","* ","* ","* ","*","0486111","201314"
"Eligible for Free or Reduced-Price Meals ","12 ","17.9 ","20 ","25.0","0486111","201314"
"Students with Disabilities ","15 ","16.3 ","16 ","16.8","0486111","201314"
"School ","32 ","4.0 ","72 ","9.0","0486111","201314"
"District ","","3.8 ","","4.4","0486111","201314"
"Female ","12 ","3.1 ","15 ","3.8","0486111","201415"
"Male ","13 ","3.4 ","41 ","10.6","0486111","201415"
"Black or African American ","0 ","0.0 ","8 ","26.6","0486111","201415"
"Hispanic or Latino ","* ","* ","9 ","23.6","0486111","201415"
"White ","22 ","3.4 ","31 ","4.7","0486111","201415"
"English Language Learners ","* ","* ","* ","*","0486111","201415"
"Eligible for Free or Reduced-Price Meals ","* ","* ","14 ","21.2","0486111","201415"
"Students with Disabilities ","9 ","10.6 ","16 ","18.6","0486111","201415"
"School ","25 ","3.2 ","56 ","7.2","0486111","201415"
"District ","","4.5 ","","4.2","0486111","201415"
"Male 22 ","5.9 ",NA,"50","13.4","0486111","201516"
"Black or African American * ","* ",NA,"8","25.0","0486111","201516"
"Hispanic or Latino * ","* ",NA,"7","19.4","0486111","201516"
"White 32 ","5.0 ",NA,"55","8.5","0486111","201516"
"English Language Learners 0 ","* ",NA,"0","*","0486111","201516"
"Eligible for Free or Reduced-Price Meals 10 ","14.7 ",NA,"16","23.2","0486111","201516"
"Students with Disabilities 21 ","23.3 ",NA,"26","28.3","0486111","201516"
"School 39 ","5.1 ",NA,"74","9.6","0486111","201516"
"District ","4.3 ",NA,NA,"5.2","0486111","201516"
"Number of students in 2014-15 qualified as truant under state statute:  10","",NA,NA,"","0486111","201516"
"Female ","15 ","10.3 ","* ","*","0490211","201314"
"Male ","23 ","16.2 ","* ","*","0490211","201314"
"Black or African American ","0 ","* ","* ","*","0490211","201314"
"Hispanic or Latino ","8 ","17.8 ","* ","*","0490211","201314"
"White ","26 ","12.5 ","* ","*","0490211","201314"
"English Language Learners ","* ","* ","* ","*","0490211","201314"
"Eligible for Free or Reduced-Price Meals ","28 ","21.9 ","10 ","7.6","0490211","201314"
"Students with Disabilities ","9 ","32.1 ","* ","*","0490211","201314"
"School ","38 ","13.2 ","13 ","4.4","0490211","201314"
"District ","","12.0 ","","8.6","0490211","201314"
"Female ","8 ","5.7 ","0 ","0.0","0490211","201415"
"Male ","22 ","14.7 ","* ","*","0490211","201415"
"Black or African American ","* ","* ","0 ","*","0490211","201415"
"Hispanic or Latino ","8 ","14.3 ","0 ","0.0","0490211","201415"
"White ","15 ","7.7 ","* ","*","0490211","201415"
"English Language Learners ","* ","* ","0 ","*","0490211","201415"
"Eligible for Free or Reduced-Price Meals ","21 ","16.3 ","* ","*","0490211","201415"
"Students with Disabilities ","* ","* ","* ","*","0490211","201415"
"School ","30 ","10.3 ","* ","*","0490211","201415"
"District ","","12.0 ","","8.1","0490211","201415"
"Male 12 ","8.6 ",NA,"* ","*","0490211","201516"
"Black or African American 0 ","* ",NA,"0 ","*","0490211","201516"
"Hispanic or Latino * ","* ",NA,"0 ","0.0","0490211","201516"
"White 12 ","6.4 ",NA,"* ","*","0490211","201516"
"English Language Learners * ","* ",NA,"0 ","*","0490211","201516"
"Eligible for Free or Reduced-Price Meals 15 ","12.6 ",NA,"0 ","0.0","0490211","201516"
"Students with Disabilities * ","* ",NA,"0 ","0.0","0490211","201516"
"School 18 ","6.4 ",NA,"* ","*","0490211","201516"
"District ","11.9 ",NA,"","8.0","0490211","201516"
"Number of students in 2014-15 qualified as truant under state statute:  0","",NA,"","","0490211","201516"
"Female ","12 ","9.4 ","0 ","0.0","0490411","201314"
"Male ","15 ","10.3 ","* ","*","0490411","201314"
"Black or African American ","* ","* ","0 ","*","0490411","201314"
"Hispanic or Latino ","11 ","20.4 ","0 ","0.0","0490411","201314"
"White ","13 ","7.2 ","* ","*","0490411","201314"
"English Language Learners ","* ","* ","0 ","0.0","0490411","201314"
"Eligible for Free or Reduced-Price Meals ","21 ","15.1 ","* ","*","0490411","201314"
"Students with Disabilities ","* ","* ","* ","*","0490411","201314"
"School ","27 ","9.9 ","* ","*","0490411","201314"
"District ","","12.0 ","","8.6","0490411","201314"
"Female ","8 ","5.9 ","0 ","0.0","0490411","201415"
"Male ","13 ","9.2 ","* ","*","0490411","201415"
"Black or African American ","* ","* ","0 ","0.0","0490411","201415"
"Hispanic or Latino ","* ","* ","* ","*","0490411","201415"
"White ","12 ","6.3 ","* ","*","0490411","201415"
"English Language Learners ","* ","* ","0 ","0.0","0490411","201415"
