"","category","count","rate","school_id","year"
"1537","Speech/Language Impairment ","17 ","62.9","0145111","201415"
"1538","School ","75 ","55.9","0145111","201415"
"1539","District ","","64.8","0145111","201415"
"1540","Autism "," ","","0145111","201415"
"1541","Emotional Disturbance "," ","","0145111","201415"
"1542","Intellectual Disability ","0 ","0.0","0145111","201415"
"1543","Learning Disability ","27 ","67.5","0145111","201415"
"1544","Other Health Impairment ","19 ","57.5","0145111","201415"
"1545","Other Disabilities "," ","","0145111","201415"
"1546","Speech/Language Impairment ","17 ","62.9","0145111","201415"
"1547","School ","75 ","55.9","0145111","201415"
"1548","District ","","64.8","0145111","201415"
"1549","Autism "," ","","0145111","201516"
"1550","Emotional Disturbance "," ","","0145111","201516"
"1551","Intellectual Disability ","0 ","0.0","0145111","201516"
"1552","Learning Disability ","27 ","56.3","0145111","201516"
"1553","Other Health Impairment ","22 ","64.7","0145111","201516"
"1554","Other Disabilities ","0 ","0.0","0145111","201516"
"1555","Speech/Language Impairment ","10 ","50.0","0145111","201516"
"1556","School ","69 ","54.8","0145111","201516"
"1557","District ","","64.9","0145111","201516"
"1558","Autism "," ","","0145111","201516"
"1559","Emotional Disturbance "," ","","0145111","201516"
"1560","Intellectual Disability ","0 ","0.0","0145111","201516"
"1561","Learning Disability ","27 ","56.3","0145111","201516"
"1562","Other Health Impairment ","22 ","64.7","0145111","201516"
"1563","Other Disabilities ","0 ","0.0","0145111","201516"
"1564","Speech/Language Impairment ","10 ","50.0","0145111","201516"
"1565","School ","69 ","54.8","0145111","201516"
"1566","District ","","64.9","0145111","201516"
"1567","Autism "," ","","0146111","201314"
"1568","Emotional Disturbance "," ","","0146111","201314"
"1569","Intellectual Disability "," ","","0146111","201314"
"1570","Learning Disability ","36 ","87.8","0146111","201314"
"1571","Other Health Impairment ","37 ","80.4","0146111","201314"
"1572","Other Disabilities "," ","","0146111","201314"
"1573","Speech/Language Impairment ","6 ","","0146111","201314"
"1574","School ","93 ","73.2","0146111","201314"
"1575","District ","","66.3","0146111","201314"
"1576","Autism ","6 ","","0146111","201415"
"1577","Emotional Disturbance ","7 ","","0146111","201415"
"1578","Intellectual Disability "," ","","0146111","201415"
"1579","Learning Disability ","33 ","80.4","0146111","201415"
"1580","Other Health Impairment ","39 ","81.2","0146111","201415"
"1581","Other Disabilities "," ","","0146111","201415"
"1582","Speech/Language Impairment ","8 ","","0146111","201415"
"1583","School ","98 ","74.2","0146111","201415"
"1584","District ","","64.8","0146111","201415"
"1585","Autism ","6 ","","0146111","201516"
"1586","Emotional Disturbance ","8 ","","0146111","201516"
"1587","Intellectual Disability "," ","","0146111","201516"
"1588","Learning Disability ","34 ","85.0","0146111","201516"
"1589","Other Health Impairment ","34 ","75.6","0146111","201516"
"1590","Other Disabilities "," ","","0146111","201516"
"1591","Speech/Language Impairment ","13 ","65.0","0146111","201516"
"1592","School ","99 ","70.2","0146111","201516"
"1593","District ","","64.9","0146111","201516"
"1594","Autism ","0 ","0.0","0150111","201314"
"1595","Emotional Disturbance "," ","","0150111","201314"
"1596","Intellectual Disability ","0 ","0.0","0150111","201314"
"1597","Learning Disability ","13 ","31.7","0150111","201314"
"1598","Other Health Impairment ","14 ","58.3","0150111","201314"
"1599","Other Disabilities "," ","","0150111","201314"
"1600","Speech/Language Impairment ","6 ","","0150111","201314"
"1601","School ","36 ","36.3","0150111","201314"
"1602","District ","","38.2","0150111","201314"
"1603","Autism ","9 ","","0150111","201415"
"1604","Emotional Disturbance ","0 ","0.0","0150111","201415"
"1605","Intellectual Disability "," ","","0150111","201415"
"1606","Learning Disability ","46 ","93.8","0150111","201415"
"1607","Other Health Impairment ","21 ","84.0","0150111","201415"
"1608","Other Disabilities "," ","","0150111","201415"
"1609","Speech/Language Impairment ","9 ","","0150111","201415"
"1610","School ","89 ","80.9","0150111","201415"
"1611","District ","","71.7","0150111","201415"
"1612","Autism ","9 ","","0150111","201415"
"1613","Emotional Disturbance ","0 ","0.0","0150111","201415"
"1614","Intellectual Disability "," ","","0150111","201415"
"1615","Learning Disability ","46 ","93.8","0150111","201415"
"1616","Other Health Impairment ","21 ","84.0","0150111","201415"
"1617","Other Disabilities "," ","","0150111","201415"
"1618","Speech/Language Impairment ","9 ","","0150111","201415"
"1619","School ","89 ","80.9","0150111","201415"
"1620","District ","","71.7","0150111","201415"
"1621","Autism "," ","","0150111","201516"
"1622","Emotional Disturbance ","0 ","0.0","0150111","201516"
"1623","Intellectual Disability "," ","","0150111","201516"
"1624","Learning Disability ","35 ","71.4","0150111","201516"
"1625","Other Health Impairment ","14 ","50.0","0150111","201516"
"1626","Other Disabilities "," ","","0150111","201516"
"1627","Speech/Language Impairment ","10 ","","0150111","201516"
"1628","School ","66 ","53.7","0150111","201516"
"1629","District ","","52.7","0150111","201516"
"1630","Autism "," ","","0150111","201516"
"1631","Emotional Disturbance ","0 ","0.0","0150111","201516"
"1632","Intellectual Disability "," ","","0150111","201516"
"1633","Learning Disability ","35 ","71.4","0150111","201516"
"1634","Other Health Impairment ","14 ","50.0","0150111","201516"
"1635","Other Disabilities "," ","","0150111","201516"
"1636","Speech/Language Impairment ","10 ","","0150111","201516"
"1637","School ","66 ","53.7","0150111","201516"
"1638","District ","","52.7","0150111","201516"
"1639","Autism "," ","","0150211","201314"
"1640","Emotional Disturbance "," ","","0150211","201314"
"1641","Intellectual Disability ","0 ","0.0","0150211","201314"
"1642","Learning Disability ","9 ","","0150211","201314"
"1643","Other Health Impairment "," ","","0150211","201314"
"1644","Other Disabilities ","0 ","0.0","0150211","201314"
"1645","Speech/Language Impairment "," ","","0150211","201314"
"1646","School ","16 ","41.0","0150211","201314"
"1647","District ","","38.2","0150211","201314"
"1648","Autism "," ","","0150211","201415"
"1649","Emotional Disturbance "," ","","0150211","201415"
"1650","Intellectual Disability "," ","","0150211","201415"
"1651","Learning Disability ","17 ","","0150211","201415"
"1652","Other Health Impairment "," ","","0150211","201415"
"1653","Other Disabilities "," ","","0150211","201415"
"1654","Speech/Language Impairment ","6 ","","0150211","201415"
"1655","School ","30 ","96.7","0150211","201415"
"1656","District ","","71.7","0150211","201415"
"1657","Autism "," ","","0150211","201415"
"1658","Emotional Disturbance "," ","","0150211","201415"
"1659","Intellectual Disability "," ","","0150211","201415"
"1660","Learning Disability ","17 ","","0150211","201415"
"1661","Other Health Impairment "," ","","0150211","201415"
"1662","Other Disabilities "," ","","0150211","201415"
"1663","Speech/Language Impairment ","6 ","","0150211","201415"
"1664","School ","30 ","96.7","0150211","201415"
"1665","District ","","71.7","0150211","201415"
"1666","Autism "," ","","0150211","201516"
"1667","Emotional Disturbance "," ","","0150211","201516"
"1668","Intellectual Disability "," ","","0150211","201516"
"1669","Learning Disability ","8 ","","0150211","201516"
"1670","Other Health Impairment "," ","","0150211","201516"
"1671","Other Disabilities "," ","","0150211","201516"
"1672","Speech/Language Impairment ","0 ","0.0","0150211","201516"
"1673","School ","15 ","46.9","0150211","201516"
"1674","District ","","52.7","0150211","201516"
"1675","Autism "," ","","0150211","201516"
"1676","Emotional Disturbance "," ","","0150211","201516"
"1677","Intellectual Disability "," ","","0150211","201516"
"1678","Learning Disability ","8 ","","0150211","201516"
"1679","Other Health Impairment "," ","","0150211","201516"
"1680","Other Disabilities "," ","","0150211","201516"
"1681","Speech/Language Impairment ","0 ","0.0","0150211","201516"
"1682","School ","15 ","46.9","0150211","201516"
"1683","District ","","52.7","0150211","201516"
"1684","Autism ","0 ","0.0","0150311","201314"
"1685","Emotional Disturbance ","0 ","0.0","0150311","201314"
"1686","Intellectual Disability ","0 ","0.0","0150311","201314"
"1687","Learning Disability ","15 ","53.5","0150311","201314"
"1688","Other Health Impairment "," ","","0150311","201314"
"1689","Other Disabilities "," ","","0150311","201314"
"1690","Speech/Language Impairment "," ","","0150311","201314"
"1691","School ","25 ","51.0","0150311","201314"
"1692","District ","","38.2","0150311","201314"
"1693","Autism ","0 ","0.0","0150311","201415"
"1694","Emotional Disturbance "," ","","0150311","201415"
"1695","Intellectual Disability "," ","","0150311","201415"
"1696","Learning Disability ","23 ","92.0","0150311","201415"
"1697","Other Health Impairment ","7 ","","0150311","201415"
"1698","Other Disabilities "," ","","0150311","201415"
"1699","Speech/Language Impairment ","9 ","","0150311","201415"
"1700","School ","41 ","89.1","0150311","201415"
"1701","District ","","71.7","0150311","201415"
"1702","Autism ","0 ","0.0","0150311","201415"
"1703","Emotional Disturbance "," ","","0150311","201415"
"1704","Intellectual Disability "," ","","0150311","201415"
"1705","Learning Disability ","23 ","92.0","0150311","201415"
"1706","Other Health Impairment ","7 ","","0150311","201415"
"1707","Other Disabilities "," ","","0150311","201415"
"1708","Speech/Language Impairment ","9 ","","0150311","201415"
"1709","School ","41 ","89.1","0150311","201415"
"1710","District ","","71.7","0150311","201415"
"1711","Autism ","0 ","0.0","0150311","201516"
"1712","Emotional Disturbance ","0 ","0.0","0150311","201516"
"1713","Intellectual Disability ","0 ","0.0","0150311","201516"
"1714","Learning Disability ","7 ","33.3","0150311","201516"
"1715","Other Health Impairment "," ","","0150311","201516"
"1716","Other Disabilities "," ","","0150311","201516"
"1717","Speech/Language Impairment ","0 ","0.0","0150311","201516"
"1718","School ","10 ","25.6","0150311","201516"
"1719","District ","","52.7","0150311","201516"
"1720","Autism ","0 ","0.0","0150311","201516"
"1721","Emotional Disturbance ","0 ","0.0","0150311","201516"
"1722","Intellectual Disability ","0 ","0.0","0150311","201516"
"1723","Learning Disability ","7 ","33.3","0150311","201516"
"1724","Other Health Impairment "," ","","0150311","201516"
"1725","Other Disabilities "," ","","0150311","201516"
"1726","Speech/Language Impairment ","0 ","0.0","0150311","201516"
"1727","School ","10 ","25.6","0150311","201516"
"1728","District ","","52.7","0150311","201516"
"1729","Autism ","0 ","0.0","0150411","201314"
"1730","Emotional Disturbance ","0 ","0.0","0150411","201314"
"1731","Intellectual Disability "," ","","0150411","201314"
"1732","Learning Disability "," ","","0150411","201314"
"1733","Other Health Impairment "," ","","0150411","201314"
"1734","Other Disabilities "," ","","0150411","201314"
"1735","Speech/Language Impairment "," ","","0150411","201314"
"1736","School ","9 ","32.1","0150411","201314"
"1737","District ","","38.2","0150411","201314"
"1738","Autism "," ","","0150411","201415"
"1739","Emotional Disturbance "," ","","0150411","201415"
"1740","Intellectual Disability "," ","","0150411","201415"
"1741","Learning Disability ","10 ","","0150411","201415"
"1742","Other Health Impairment ","6 ","","0150411","201415"
"1743","Other Disabilities "," ","","0150411","201415"
"1744","Speech/Language Impairment "," ","","0150411","201415"
"1745","School ","22 ","64.7","0150411","201415"
"1746","District ","","71.7","0150411","201415"
"1747","Autism "," ","","0150411","201415"
"1748","Emotional Disturbance "," ","","0150411","201415"
"1749","Intellectual Disability "," ","","0150411","201415"
"1750","Learning Disability ","10 ","","0150411","201415"
"1751","Other Health Impairment ","6 ","","0150411","201415"
"1752","Other Disabilities "," ","","0150411","201415"
"1753","Speech/Language Impairment "," ","","0150411","201415"
"1754","School ","22 ","64.7","0150411","201415"
"1755","District ","","71.7","0150411","201415"
"1756","Autism "," ","","0150411","201516"
"1757","Emotional Disturbance "," ","","0150411","201516"
"1758","Intellectual Disability "," ","","0150411","201516"
"1759","Learning Disability ","7 ","","0150411","201516"
"1760","Other Health Impairment "," ","","0150411","201516"
"1761","Other Disabilities "," ","","0150411","201516"
"1762","Speech/Language Impairment "," ","","0150411","201516"
"1763","School ","15 ","46.9","0150411","201516"
"1764","District ","","52.7","0150411","201516"
"1765","Autism "," ","","0150411","201516"
"1766","Emotional Disturbance "," ","","0150411","201516"
"1767","Intellectual Disability "," ","","0150411","201516"
"1768","Learning Disability ","7 ","","0150411","201516"
"1769","Other Health Impairment "," ","","0150411","201516"
"1770","Other Disabilities "," ","","0150411","201516"
"1771","Speech/Language Impairment "," ","","0150411","201516"
"1772","School ","15 ","46.9","0150411","201516"
"1773","District ","","52.7","0150411","201516"
"1774","Autism "," ","","0150511","201314"
"1775","Emotional Disturbance "," ","","0150511","201314"
"1776","Intellectual Disability ","0 ","0.0","0150511","201314"
"1777","Learning Disability ","16 ","50.0","0150511","201314"
"1778","Other Health Impairment "," ","","0150511","201314"
"1779","Other Disabilities "," ","","0150511","201314"
"1780","Speech/Language Impairment ","8 ","","0150511","201314"
"1781","School ","32 ","46.3","0150511","201314"
"1782","District ","","38.2","0150511","201314"
"1783","Autism "," ","","0150511","201415"
"1784","Emotional Disturbance "," ","","0150511","201415"
"1785","Intellectual Disability "," ","","0150511","201415"
"1786","Learning Disability ","28 ","87.5","0150511","201415"
"1787","Other Health Impairment ","12 ","","0150511","201415"
"1788","Other Disabilities "," ","","0150511","201415"
"1789","Speech/Language Impairment ","11 ","","0150511","201415"
"1790","School ","57 ","82.6","0150511","201415"
"1791","District ","","71.7","0150511","201415"
"1792","Autism "," ","","0150511","201415"
"1793","Emotional Disturbance "," ","","0150511","201415"
"1794","Intellectual Disability "," ","","0150511","201415"
"1795","Learning Disability ","28 ","87.5","0150511","201415"
"1796","Other Health Impairment ","12 ","","0150511","201415"
"1797","Other Disabilities "," ","","0150511","201415"
"1798","Speech/Language Impairment ","11 ","","0150511","201415"
"1799","School ","57 ","82.6","0150511","201415"
"1800","District ","","71.7","0150511","201415"
"1801","Autism "," ","","0150511","201516"
"1802","Emotional Disturbance "," ","","0150511","201516"
"1803","Intellectual Disability "," ","","0150511","201516"
"1804","Learning Disability ","15 ","62.5","0150511","201516"
"1805","Other Health Impairment ","12 ","","0150511","201516"
"1806","Other Disabilities "," ","","0150511","201516"
"1807","Speech/Language Impairment ","14 ","","0150511","201516"
"1808","School ","44 ","73.3","0150511","201516"
"1809","District ","","52.7","0150511","201516"
"1810","Autism "," ","","0150511","201516"
"1811","Emotional Disturbance "," ","","0150511","201516"
"1812","Intellectual Disability "," ","","0150511","201516"
"1813","Learning Disability ","15 ","62.5","0150511","201516"
"1814","Other Health Impairment ","12 ","","0150511","201516"
"1815","Other Disabilities "," ","","0150511","201516"
"1816","Speech/Language Impairment ","14 ","","0150511","201516"
"1817","School ","44 ","73.3","0150511","201516"
"1818","District ","","52.7","0150511","201516"
"1819","Autism "," ","","0150611","201314"
"1820","Emotional Disturbance "," ","","0150611","201314"
"1821","Intellectual Disability "," ","","0150611","201314"
"1822","Learning Disability ","6 ","","0150611","201314"
"1823","Other Health Impairment ","0 ","0.0","0150611","201314"
"1824","Other Disabilities "," ","","0150611","201314"
"1825","Speech/Language Impairment "," ","","0150611","201314"
"1826","School ","8 ","","0150611","201314"
"1827","District ","","38.2","0150611","201314"
"1828","⁴Ages 6-21","","","0150611","201314"
"1829","Emotional Disturbance "," ","","0150611","201415"
"1830","Intellectual Disability "," ","","0150611","201415"
"1831","Learning Disability ","13 ","","0150611","201415"
"1832","Other Health Impairment ","6 ","","0150611","201415"
"1833","Other Disabilities ","0 ","0.0","0150611","201415"
"1834","Speech/Language Impairment "," ","","0150611","201415"
"1835","School ","23 ","82.1","0150611","201415"
"1836","District ","","71.7","0150611","201415"
"1837","Emotional Disturbance "," ","","0150611","201516"
"1838","Intellectual Disability "," ","","0150611","201516"
"1839","Learning Disability ","18 ","90.0","0150611","201516"
"1840","Other Health Impairment ","6 ","","0150611","201516"
"1841","Other Disabilities "," ","","0150611","201516"
"1842","Speech/Language Impairment "," ","","0150611","201516"
"1843","School ","26 ","78.8","0150611","201516"
"1844","District ","","52.7","0150611","201516"
"1845","Autism "," ","","0150711","201314"
"1846","Emotional Disturbance "," ","","0150711","201314"
"1847","Intellectual Disability "," ","","0150711","201314"
"1848","Learning Disability "," ","","0150711","201314"
"1849","Other Health Impairment "," ","","0150711","201314"
"1850","Other Disabilities ","0 ","0.0","0150711","201314"
"1851","Speech/Language Impairment ","0 ","0.0","0150711","201314"
"1852","School "," ","","0150711","201314"
"1853","District ","","38.2","0150711","201314"
"1854","Autism "," ","","0150711","201415"
"1855","Emotional Disturbance "," ","","0150711","201415"
"1856","Intellectual Disability "," ","","0150711","201415"
"1857","Learning Disability ","11 ","","0150711","201415"
"1858","Other Health Impairment ","6 ","","0150711","201415"
"1859","Other Disabilities "," ","","0150711","201415"
"1860","Speech/Language Impairment "," ","","0150711","201415"
"1861","School ","25 ","69.4","0150711","201415"
"1862","District ","","71.7","0150711","201415"
"1863","Autism "," ","","0150711","201415"
"1864","Emotional Disturbance "," ","","0150711","201415"
"1865","Intellectual Disability "," ","","0150711","201415"
"1866","Learning Disability ","11 ","","0150711","201415"
"1867","Other Health Impairment ","6 ","","0150711","201415"
"1868","Other Disabilities "," ","","0150711","201415"
"1869","Speech/Language Impairment "," ","","0150711","201415"
"1870","School ","25 ","69.4","0150711","201415"
"1871","District ","","71.7","0150711","201415"
"1872","Autism "," ","","0150711","201516"
"1873","Emotional Disturbance "," ","","0150711","201516"
"1874","Intellectual Disability "," ","","0150711","201516"
"1875","Learning Disability ","9 ","42.9","0150711","201516"
"1876","Other Health Impairment "," ","","0150711","201516"
"1877","Other Disabilities "," ","","0150711","201516"
"1878","Speech/Language Impairment "," ","","0150711","201516"
"1879","School ","19 ","43.2","0150711","201516"
"1880","District ","","52.7","0150711","201516"
"1881","Autism "," ","","0150711","201516"
"1882","Emotional Disturbance "," ","","0150711","201516"
"1883","Intellectual Disability "," ","","0150711","201516"
"1884","Learning Disability ","9 ","42.9","0150711","201516"
"1885","Other Health Impairment "," ","","0150711","201516"
"1886","Other Disabilities "," ","","0150711","201516"
"1887","Speech/Language Impairment "," ","","0150711","201516"
"1888","School ","19 ","43.2","0150711","201516"
"1889","District ","","52.7","0150711","201516"
"1890","Autism "," ","","0150811","201314"
"1891","Emotional Disturbance "," ","","0150811","201314"
"1892","Intellectual Disability "," ","","0150811","201314"
"1893","Learning Disability "," ","","0150811","201314"
"1894","Other Health Impairment "," ","","0150811","201314"
"1895","Other Disabilities "," ","","0150811","201314"
"1896","Speech/Language Impairment "," ","","0150811","201314"
"1897","School ","8 ","","0150811","201314"
"1898","District ","","38.2","0150811","201314"
"1899","⁴Ages 6-21","","","0150811","201314"
"1900","Emotional Disturbance "," ","","0150811","201415"
"1901","Intellectual Disability "," ","","0150811","201415"
"1902","Learning Disability ","9 ","","0150811","201415"
"1903","Other Health Impairment ","10 ","","0150811","201415"
"1904","Other Disabilities "," ","","0150811","201415"
"1905","Speech/Language Impairment "," ","","0150811","201415"
"1906","School ","26 ","81.2","0150811","201415"
"1907","District ","","71.7","0150811","201415"
"1908","Emotional Disturbance ","0 ","0.0","0150811","201516"
"1909","Intellectual Disability "," ","","0150811","201516"
"1910","Learning Disability ","10 ","","0150811","201516"
"1911","Other Health Impairment ","7 ","","0150811","201516"
"1912","Other Disabilities "," ","","0150811","201516"
"1913","Speech/Language Impairment "," ","","0150811","201516"
"1914","School ","29 ","69.0","0150811","201516"
"1915","District ","","52.7","0150811","201516"
"1916","Autism "," ","","0151011","201314"
"1917","Emotional Disturbance "," ","","0151011","201314"
"1918","Intellectual Disability ","0 ","0.0","0151011","201314"
"1919","Learning Disability ","37 ","60.6","0151011","201314"
"1920","Other Health Impairment ","22 ","68.7","0151011","201314"
"1921","Other Disabilities ","0 ","0.0","0151011","201314"
"1922","Speech/Language Impairment "," ","","0151011","201314"
"1923","School ","72 ","61.0","0151011","201314"
"1924","District ","","38.2","0151011","201314"
"1925","Autism ","0 ","0.0","0151011","201415"
"1926","Emotional Disturbance "," ","","0151011","201415"
"1927","Intellectual Disability "," ","","0151011","201415"
"1928","Learning Disability ","47 ","85.4","0151011","201415"
"1929","Other Health Impairment ","25 ","92.5","0151011","201415"
"1930","Other Disabilities "," ","","0151011","201415"
"1931","Speech/Language Impairment ","17 ","","0151011","201415"
"1932","School ","98 ","89.9","0151011","201415"
"1933","District ","","71.7","0151011","201415"
"1934","Autism ","0 ","0.0","0151011","201415"
"1935","Emotional Disturbance "," ","","0151011","201415"
"1936","Intellectual Disability "," ","","0151011","201415"
"1937","Learning Disability ","47 ","85.4","0151011","201415"
"1938","Other Health Impairment ","25 ","92.5","0151011","201415"
"1939","Other Disabilities "," ","","0151011","201415"
"1940","Speech/Language Impairment ","17 ","","0151011","201415"
"1941","School ","98 ","89.9","0151011","201415"
"1942","District ","","71.7","0151011","201415"
"1943","Autism "," ","","0151011","201516"
"1944","Emotional Disturbance "," ","","0151011","201516"
"1945","Intellectual Disability "," ","","0151011","201516"
"1946","Learning Disability ","42 ","82.4","0151011","201516"
"1947","Other Health Impairment ","23 ","88.5","0151011","201516"
"1948","Other Disabilities "," ","","0151011","201516"
"1949","Speech/Language Impairment ","14 ","","0151011","201516"
"1950","School ","85 ","84.2","0151011","201516"
"1951","District ","","52.7","0151011","201516"
"1952","Autism "," ","","0151011","201516"
"1953","Emotional Disturbance "," ","","0151011","201516"
"1954","Intellectual Disability "," ","","0151011","201516"
"1955","Learning Disability ","42 ","82.4","0151011","201516"
"1956","Other Health Impairment ","23 ","88.5","0151011","201516"
"1957","Other Disabilities "," ","","0151011","201516"
"1958","Speech/Language Impairment ","14 ","","0151011","201516"
"1959","School ","85 ","84.2","0151011","201516"
"1960","District ","","52.7","0151011","201516"
"1961","Autism ","0 ","0.0","0151111","201314"
"1962","Emotional Disturbance "," ","","0151111","201314"
"1963","Intellectual Disability ","0 ","0.0","0151111","201314"
"1964","Learning Disability "," ","","0151111","201314"
"1965","Other Health Impairment "," ","","0151111","201314"
"1966","Other Disabilities "," ","","0151111","201314"
"1967","Speech/Language Impairment "," ","","0151111","201314"
"1968","School ","9 ","","0151111","201314"
"1969","District ","","38.2","0151111","201314"
"1970","Autism "," ","","0151111","201415"
"1971","Emotional Disturbance ","0 ","0.0","0151111","201415"
"1972","Intellectual Disability "," ","","0151111","201415"
"1973","Learning Disability "," ","","0151111","201415"
"1974","Other Health Impairment "," ","","0151111","201415"
"1975","Other Disabilities "," ","","0151111","201415"
"1976","Speech/Language Impairment ","7 ","","0151111","201415"
"1977","School ","15 ","","0151111","201415"
"1978","District ","","71.7","0151111","201415"
"1979","Autism "," ","","0151111","201415"
"1980","Emotional Disturbance ","0 ","0.0","0151111","201415"
"1981","Intellectual Disability "," ","","0151111","201415"
"1982","Learning Disability "," ","","0151111","201415"
"1983","Other Health Impairment "," ","","0151111","201415"
"1984","Other Disabilities "," ","","0151111","201415"
"1985","Speech/Language Impairment ","7 ","","0151111","201415"
"1986","School ","15 ","","0151111","201415"
"1987","District ","","71.7","0151111","201415"
"1988","Autism "," ","","0151111","201516"
"1989","Emotional Disturbance "," ","","0151111","201516"
"1990","Intellectual Disability "," ","","0151111","201516"
"1991","Learning Disability ","12 ","","0151111","201516"
"1992","Other Health Impairment "," ","","0151111","201516"
"1993","Other Disabilities "," ","","0151111","201516"
"1994","Speech/Language Impairment "," ","","0151111","201516"
"1995","School ","24 ","88.9","0151111","201516"
"1996","District ","","52.7","0151111","201516"
"1997","Autism "," ","","0151111","201516"
"1998","Emotional Disturbance "," ","","0151111","201516"
"1999","Intellectual Disability "," ","","0151111","201516"
"2000","Learning Disability ","12 ","","0151111","201516"
"2001","Other Health Impairment "," ","","0151111","201516"
"2002","Other Disabilities "," ","","0151111","201516"
"2003","Speech/Language Impairment "," ","","0151111","201516"
"2004","School ","24 ","88.9","0151111","201516"
"2005","District ","","52.7","0151111","201516"
"2006","Autism "," ","","0151211","201314"
"2007","Emotional Disturbance "," ","","0151211","201314"
"2008","Intellectual Disability ","0 ","0.0","0151211","201314"
"2009","Learning Disability "," ","","0151211","201314"
"2010","Other Health Impairment "," ","","0151211","201314"
"2011","Other Disabilities "," ","","0151211","201314"
"2012","Speech/Language Impairment "," ","","0151211","201314"
"2013","School ","12 ","42.8","0151211","201314"
"2014","District ","","38.2","0151211","201314"
"2015","Autism "," ","","0151211","201415"
"2016","Emotional Disturbance "," ","","0151211","201415"
"2017","Intellectual Disability ","0 ","0.0","0151211","201415"
"2018","Learning Disability "," ","","0151211","201415"
"2019","Other Health Impairment "," ","","0151211","201415"
"2020","Other Disabilities "," ","","0151211","201415"
"2021","Speech/Language Impairment "," ","","0151211","201415"
"2022","School ","24 ","72.7","0151211","201415"
"2023","District ","","71.7","0151211","201415"
"2024","Autism "," ","","0151211","201415"
"2025","Emotional Disturbance "," ","","0151211","201415"
"2026","Intellectual Disability ","0 ","0.0","0151211","201415"
"2027","Learning Disability "," ","","0151211","201415"
"2028","Other Health Impairment "," ","","0151211","201415"
"2029","Other Disabilities "," ","","0151211","201415"
"2030","Speech/Language Impairment "," ","","0151211","201415"
"2031","School ","24 ","72.7","0151211","201415"
"2032","District ","","71.7","0151211","201415"
"2033","Autism "," ","","0151211","201516"
"2034","Emotional Disturbance ","0 ","0.0","0151211","201516"
"2035","Intellectual Disability ","0 ","0.0","0151211","201516"
"2036","Learning Disability ","9 ","42.9","0151211","201516"
"2037","Other Health Impairment ","0 ","0.0","0151211","201516"
"2038","Other Disabilities ","0 ","0.0","0151211","201516"
"2039","Speech/Language Impairment "," ","","0151211","201516"
"2040","School ","13 ","26.0","0151211","201516"
"2041","District ","","52.7","0151211","201516"
"2042","Autism "," ","","0151211","201516"
"2043","Emotional Disturbance ","0 ","0.0","0151211","201516"
"2044","Intellectual Disability ","0 ","0.0","0151211","201516"
"2045","Learning Disability ","9 ","42.9","0151211","201516"
"2046","Other Health Impairment ","0 ","0.0","0151211","201516"
"2047","Other Disabilities ","0 ","0.0","0151211","201516"
"2048","Speech/Language Impairment "," ","","0151211","201516"
"2049","School ","13 ","26.0","0151211","201516"
"2050","District ","","52.7","0151211","201516"
"2051","Autism "," ","","0151311","201314"
"2052","Emotional Disturbance ","0 ","0.0","0151311","201314"
"2053","Intellectual Disability ","0 ","0.0","0151311","201314"
"2054","Learning Disability ","7 ","35.0","0151311","201314"
"2055","Other Health Impairment "," ","","0151311","201314"
"2056","Other Disabilities "," ","","0151311","201314"
"2057","Speech/Language Impairment "," ","","0151311","201314"
"2058","School ","13 ","29.5","0151311","201314"
"2059","District ","","38.2","0151311","201314"
"2060","Autism "," ","","0151311","201415"
"2061","Emotional Disturbance "," ","","0151311","201415"
"2062","Intellectual Disability "," ","","0151311","201415"
"2063","Learning Disability ","23 ","92.0","0151311","201415"
"2064","Other Health Impairment ","8 ","","0151311","201415"
"2065","Other Disabilities "," ","","0151311","201415"
"2066","Speech/Language Impairment "," ","","0151311","201415"
"2067","School ","39 ","84.7","0151311","201415"
"2068","District ","","71.7","0151311","201415"
"2069","Autism "," ","","0151311","201415"
"2070","Emotional Disturbance "," ","","0151311","201415"
"2071","Intellectual Disability "," ","","0151311","201415"
"2072","Learning Disability ","23 ","92.0","0151311","201415"
"2073","Other Health Impairment ","8 ","","0151311","201415"
"2074","Other Disabilities "," ","","0151311","201415"
"2075","Speech/Language Impairment "," ","","0151311","201415"
"2076","School ","39 ","84.7","0151311","201415"
"2077","District ","","71.7","0151311","201415"
"2078","Autism "," ","","0151311","201516"
"2079","Emotional Disturbance "," ","","0151311","201516"
"2080","Intellectual Disability "," ","","0151311","201516"
"2081","Learning Disability ","13 ","52.0","0151311","201516"
"2082","Other Health Impairment "," ","","0151311","201516"
"2083","Other Disabilities "," ","","0151311","201516"
"2084","Speech/Language Impairment ","7 ","","0151311","201516"
"2085","School ","26 ","53.1","0151311","201516"
"2086","District ","","52.7","0151311","201516"
"2087","Autism "," ","","0151311","201516"
"2088","Emotional Disturbance "," ","","0151311","201516"
"2089","Intellectual Disability "," ","","0151311","201516"
"2090","Learning Disability ","13 ","52.0","0151311","201516"
"2091","Other Health Impairment "," ","","0151311","201516"
"2092","Other Disabilities "," ","","0151311","201516"
"2093","Speech/Language Impairment ","7 ","","0151311","201516"
"2094","School ","26 ","53.1","0151311","201516"
"2095","District ","","52.7","0151311","201516"
"2096","Autism "," ","","0151411","201314"
"2097","Emotional Disturbance "," ","","0151411","201314"
