"category","ela.count","ela.spi","math.count","math.spi","sci.count","sci.spi","school_id","year"
"School ","271 ","72.7 ","271 ","69.4 ","129 ","62.1","0420311","201516"
"American Indian or Alaska Native ","* ","* ","* ","* ","* ","*","0425111","201415"
"Asian ","12 ","* ","12 ","* ","6 ","*","0425111","201415"
"Black or African American ","* ","* ","* ","* ","* ","*","0425111","201415"
"Hispanic or Latino ","18 ","* ","18 ","* ","7 ","*","0425111","201415"
"Native Hawaiian or Other Pacific Islander ","0 ","N/A ","0 ","N/A ","0 ","N/A","0425111","201415"
"Two or More Races ","* ","* ","* ","* ","0 ","*","0425111","201415"
"White ","376 ","69.8 ","376 ","59.9 ","139 ","62.9","0425111","201415"
"English Language Learners ","* ","* ","* ","* ","* ","*","0425111","201415"
"Non-English Language Learners ","* ","* ","* ","* ","* ","*","0425111","201415"
"Eligible for Free or Reduced-Price Meals ","53 ","58.6 ","53 ","51.4 ","15 ","*","0425111","201415"
"Not Eligible for Free or Reduced-Price Meals ","361 ","71.3 ","361 ","60.9 ","140 ","64.2","0425111","201415"
"Students with Disabilities ","36 ","45.3 ","36 ","36.2 ","10 ","*","0425111","201415"
"Students without Disabilities ","378 ","72.0 ","378 ","61.9 ","145 ","64.0","0425111","201415"
"High Needs ","79 ","55.7 ","79 ","47.7 ","22 ","50.8","0425111","201415"
"Non-High Needs ","335 ","73.0 ","335 ","62.5 ","133 ","64.9","0425111","201415"
"School ","414 ","69.7 ","414 ","59.7 ","155 ","62.9","0425111","201415"
"Asian ","7 ","* ","7 ","* ","* ","*","0425111","201516"
"Black or African American ","* ","* ","* ","* ","* ","*","0425111","201516"
"Hispanic or Latino ","20 ","67.8 ","20 ","50.5 ","* ","*","0425111","201516"
"Native Hawaiian or Other Pacific Islander ","0 ","N/A ","0 ","N/A ","0 ","N/A","0425111","201516"
"Two or More Races ","* ","* ","* ","* ","0 ","N/A","0425111","201516"
"White ","353 ","69.1 ","352 ","59.8 ","134 ","63.3","0425111","201516"
"English Language Learners ","* ","* ","* ","* ","0 ","N/A","0425111","201516"
"Non-English Language Learners ","* ","* ","* ","* ","143 ","63.0","0425111","201516"
"Eligible for Free or Reduced-Price Meals ","57 ","56.8 ","57 ","49.5 ","19 ","*","0425111","201516"
"Not Eligible for Free or Reduced-Price Meals ","333 ","71.1 ","332 ","60.9 ","124 ","63.7","0425111","201516"
"Students with Disabilities ","45 ","50.2 ","45 ","37.8 ","18 ","*","0425111","201516"
"Students without Disabilities ","345 ","71.5 ","344 ","62.1 ","125 ","65.3","0425111","201516"
"High Needs ","88 ","55.7 ","88 ","45.9 ","32 ","54.3","0425111","201516"
"Non-High Needs ","302 ","72.9 ","301 ","63.2 ","111 ","65.5","0425111","201516"
"School ","390 ","69.0 ","389 ","59.3 ","143 ","63.0","0425111","201516"
"American Indian or Alaska Native ","0 ","N/A ","0 ","N/A ","0 ","N/A","0426111","201415"
"Asian ","* ","* ","* ","* ","7 ","*","0426111","201415"
"Black or African American ","* ","* ","* ","* ","* ","*","0426111","201415"
"Hispanic or Latino ","* ","* ","* ","* ","9 ","*","0426111","201415"
"Native Hawaiian or Other Pacific Islander ","* ","* ","* ","* ","0 ","*","0426111","201415"
"Two or More Races ","* ","* ","* ","* ","0 ","*","0426111","201415"
"White ","127 ","72.0 ","127 ","58.9 ","111 ","64.3","0426111","201415"
"English Language Learners ","0 ","* ","0 ","* ","* ","*","0426111","201415"
"Non-English Language Learners ","137 ","72.2 ","137 ","58.8 ","* ","*","0426111","201415"
"Eligible for Free or Reduced-Price Meals ","15 ","* ","15 ","* ","21 ","59.5","0426111","201415"
"Not Eligible for Free or Reduced-Price Meals ","122 ","73.5 ","122 ","60.4 ","109 ","64.6","0426111","201415"
"Students with Disabilities ","7 ","* ","7 ","* ","12 ","*","0426111","201415"
"Students without Disabilities ","130 ","74.0 ","130 ","60.9 ","118 ","66.1","0426111","201415"
"High Needs ","20 ","56.3 ","20 ","40.1 ","29 ","54.0","0426111","201415"
"Non-High Needs ","117 ","74.9 ","117 ","62.0 ","101 ","66.6","0426111","201415"
"School ","137 ","72.2 ","137 ","58.8 ","130 ","63.8","0426111","201415"
"Asian ","* ","* ","* ","* ","* ","*","0426111","201516"
"Black or African American ","* ","* ","* ","* ","* ","*","0426111","201516"
"Hispanic or Latino ","8 ","* ","8 ","* ","6 ","*","0426111","201516"
"Native Hawaiian or Other Pacific Islander ","0 ","N/A ","0 ","N/A ","0 ","N/A","0426111","201516"
"Two or More Races ","0 ","N/A ","0 ","N/A ","* ","*","0426111","201516"
"White ","108 ","64.4 ","108 ","56.9 ","94 ","68.0","0426111","201516"
"English Language Learners ","* ","* ","* ","* ","0 ","N/A","0426111","201516"
"Non-English Language Learners ","* ","* ","* ","* ","103 ","66.0","0426111","201516"
"Eligible for Free or Reduced-Price Meals ","20 ","58.0 ","20 ","51.4 ","19 ","*","0426111","201516"
"Not Eligible for Free or Reduced-Price Meals ","105 ","65.7 ","105 ","58.0 ","84 ","68.8","0426111","201516"
"Students with Disabilities ","10 ","* ","10 ","* ","7 ","*","0426111","201516"
"Students without Disabilities ","115 ","66.6 ","115 ","59.0 ","96 ","67.2","0426111","201516"
"High Needs ","26 ","53.2 ","26 ","46.5 ","23 ","51.6","0426111","201516"
"Non-High Needs ","99 ","67.4 ","99 ","59.6 ","80 ","70.2","0426111","201516"
"School ","125 ","64.5 ","125 ","56.9 ","103 ","66.0","0426111","201516"
"American Indian or Alaska Native ","0 ","N/A ","0 ","N/A ","0 ","N/A","0430411","201415"
"Asian ","* ","* ","* ","* ","* ","*","0430411","201415"
"Black or African American ","* ","* ","* ","* ","12 ","*","0430411","201415"
"Hispanic or Latino ","47 ","58.3 ","47 ","54.5 ","12 ","*","0430411","201415"
"Native Hawaiian or Other Pacific Islander ","0 ","N/A ","0 ","N/A ","0 ","N/A","0430411","201415"
"Two or More Races ","0 ","N/A ","0 ","N/A ","0 ","N/A","0430411","201415"
"White ","48 ","66.4 ","48 ","61.3 ","11 ","*","0430411","201415"
"English Language Learners ","13 ","* ","13 ","* ","* ","*","0430411","201415"
"Non-English Language Learners ","132 ","63.5 ","132 ","57.4 ","* ","*","0430411","201415"
"Eligible for Free or Reduced-Price Meals ","87 ","60.2 ","87 ","55.0 ","24 ","42.9","0430411","201415"
"Not Eligible for Free or Reduced-Price Meals ","58 ","66.7 ","58 ","60.2 ","14 ","*","0430411","201415"
"Students with Disabilities ","35 ","47.2 ","35 ","46.6 ","10 ","*","0430411","201415"
"Students without Disabilities ","110 ","67.8 ","110 ","60.4 ","28 ","47.3","0430411","201415"
"High Needs ","105 ","59.5 ","105 ","54.9 ","27 ","44.8","0430411","201415"
"Non-High Needs ","40 ","71.5 ","40 ","62.9 ","11 ","*","0430411","201415"
"School ","145 ","62.8 ","145 ","57.1 ","38 ","46.0","0430411","201415"
"Asian ","6","* ","6","* ","* ","*","0430411","201516"
"Black or African American ","42","60.1 ","39","56.1 ","15 ","*","0430411","201516"
"Hispanic or Latino ","53","62.8 ","51","58.0 ","18 ","*","0430411","201516"
"Native Hawaiian or Other Pacific Islander ","0","N/A ","0","N/A ","0 ","N/A","0430411","201516"
"Two or More Races ","0","N/A ","0","N/A ","0 ","N/A","0430411","201516"
"White ","37","76.0 ","37","70.3 ","16 ","*","0430411","201516"
"English Language Learners ","10","* ","10","* ","6 ","*","0430411","201516"
"Non-English Language Learners ","128","66.6 ","123","62.1 ","46 ","50.8","0430411","201516"
"Eligible for Free or Reduced-Price Meals ","82","63.2 ","79","60.0 ","25 ","47.9","0430411","201516"
"Not Eligible for Free or Reduced-Price Meals ","56","70.0 ","54","63.4 ","27 ","52.2","0430411","201516"
"Students with Disabilities ","28","43.5 ","27","44.0 ","10 ","*","0430411","201516"
"Students without Disabilities ","110","71.7 ","106","65.8 ","42 ","53.5","0430411","201516"
"High Needs ","98","61.4 ","95","58.1 ","32 ","45.5","0430411","201516"
"Non-High Needs ","40","77.3 ","38","69.6 ","20 ","57.5","0430411","201516"
"School ","138","66.0 ","133","61.4 ","52 ","50.2","0430411","201516"
"American Indian or Alaska Native ","0 ","N/A ","0 ","N/A ","0 ","N/A","0430511","201415"
"Asian ","* ","* ","* ","* ","* ","*","0430511","201415"
"Black or African American ","29 ","63.0 ","29 ","56.9 ","12 ","*","0430511","201415"
"Hispanic or Latino ","51 ","58.1 ","51 ","53.8 ","13 ","*","0430511","201415"
"Native Hawaiian or Other Pacific Islander ","0 ","N/A ","0 ","N/A ","0 ","N/A","0430511","201415"
"Two or More Races ","* ","* ","* ","* ","0 ","*","0430511","201415"
"White ","19 ","* ","19 ","* ","8 ","*","0430511","201415"
"English Language Learners ","14 ","* ","14 ","* ","* ","*","0430511","201415"
"Non-English Language Learners ","92 ","62.5 ","92 ","57.1 ","* ","*","0430511","201415"
"Eligible for Free or Reduced-Price Meals ","80 ","60.7 ","80 ","57.0 ","22 ","43.6","0430511","201415"
"Not Eligible for Free or Reduced-Price Meals ","26 ","67.1 ","26 ","57.4 ","12 ","*","0430511","201415"
"Students with Disabilities ","17 ","* ","17 ","* ","6 ","*","0430511","201415"
"Students without Disabilities ","89 ","64.0 ","89 ","59.5 ","28 ","48.9","0430511","201415"
"High Needs ","85 ","60.9 ","85 ","56.0 ","24 ","42.3","0430511","201415"
"Non-High Needs ","21 ","68.0 ","21 ","61.4 ","10 ","*","0430511","201415"
"School ","106 ","62.3 ","106 ","57.1 ","34 ","45.2","0430511","201415"
"Asian ","6","* ","6","* ","* ","*","0430511","201516"
"Black or African American ","27","70.4 ","27","63.7 ","10 ","*","0430511","201516"
"Hispanic or Latino ","54","60.9 ","54","55.1 ","21 ","47.9","0430511","201516"
"Native Hawaiian or Other Pacific Islander ","0","N/A ","0","N/A ","0 ","N/A","0430511","201516"
"Two or More Races ","0","N/A ","0","N/A ","0 ","N/A","0430511","201516"
"White ","17","* ","17","* ","* ","*","0430511","201516"
"English Language Learners ","10","* ","10","* ","* ","*","0430511","201516"
"Non-English Language Learners ","94","65.3 ","94","59.8 ","* ","*","0430511","201516"
"Eligible for Free or Reduced-Price Meals ","86","64.3 ","86","58.8 ","27 ","46.6","0430511","201516"
"Not Eligible for Free or Reduced-Price Meals ","18","* ","18","* ","9 ","*","0430511","201516"
"Students with Disabilities ","15","* ","15","* ","6 ","*","0430511","201516"
"Students without Disabilities ","89","67.6 ","89","62.2 ","30 ","53.0","0430511","201516"
"High Needs ","88","64.0 ","88","58.4 ","27 ","46.6","0430511","201516"
"Non-High Needs ","16","* ","16","* ","9 ","*","0430511","201516"
"School ","104","64.8 ","104","59.6 ","36 ","48.6","0430511","201516"
"American Indian or Alaska Native ","0","N/A ","0","N/A ","0 ","N/A","0430611","201415"
"Asian ","8","* ","8","* ","* ","*","0430611","201415"
"Black or African American ","48","54.9 ","47","49.6 ","10 ","*","0430611","201415"
"Hispanic or Latino ","71","57.5 ","70","50.1 ","25 ","46.4","0430611","201415"
"Native Hawaiian or Other Pacific Islander ","0","N/A ","0","N/A ","0 ","N/A","0430611","201415"
"Two or More Races ","0","N/A ","0","N/A ","0 ","N/A","0430611","201415"
"White ","19","* ","19","* ","* ","*","0430611","201415"
"English Language Learners ","28","49.8 ","28","46.3 ","8 ","*","0430611","201415"
"Non-English Language Learners ","118","60.3 ","116","52.6 ","33 ","52.1","0430611","201415"
"Eligible for Free or Reduced-Price Meals ","99","56.1 ","98","50.1 ","27 ","46.4","0430611","201415"
"Not Eligible for Free or Reduced-Price Meals ","47","62.8 ","46","54.2 ","14 ","*","0430611","201415"
"Students with Disabilities ","27","45.9 ","25","37.8 ","7 ","*","0430611","201415"
"Students without Disabilities ","119","61.1 ","119","54.2 ","34 ","51.4","0430611","201415"
"High Needs ","109","56.0 ","107","49.9 ","30 ","45.2","0430611","201415"
"Non-High Needs ","37","64.9 ","37","55.7 ","11 ","*","0430611","201415"
"School ","146","58.3 ","144","51.4 ","41 ","48.8","0430611","201415"
"Asian ","7 ","* ","7 ","* ","* ","*","0430611","201516"
"Black or African American ","60 ","53.4 ","60 ","46.8 ","23 ","44.0","0430611","201516"
"Hispanic or Latino ","77 ","52.3 ","75 ","50.5 ","23 ","48.0","0430611","201516"
"Native Hawaiian or Other Pacific Islander ","0 ","N/A ","0 ","N/A ","0 ","N/A","0430611","201516"
"Two or More Races ","* ","* ","* ","* ","0 ","N/A","0430611","201516"
"White ","22 ","66.4 ","22 ","54.6 ","* ","*","0430611","201516"
"English Language Learners ","29 ","49.5 ","29 ","46.2 ","* ","*","0430611","201516"
"Non-English Language Learners ","139 ","56.2 ","137 ","51.1 ","* ","*","0430611","201516"
"Eligible for Free or Reduced-Price Meals ","111 ","52.8 ","109 ","50.0 ","34 ","47.7","0430611","201516"
"Not Eligible for Free or Reduced-Price Meals ","57 ","59.5 ","57 ","50.8 ","22 ","46.1","0430611","201516"
"Students with Disabilities ","29 ","47.0 ","27 ","39.6 ","9 ","*","0430611","201516"
"Students without Disabilities ","139 ","56.7 ","139 ","52.3 ","47 ","49.7","0430611","201516"
"High Needs ","131 ","52.6 ","129 ","49.0 ","40 ","46.1","0430611","201516"
"Non-High Needs ","37 ","63.5 ","37 ","54.7 ","16 ","*","0430611","201516"
"School ","168 ","55.0 ","166 ","50.3 ","56 ","47.1","0430611","201516"
"American Indian or Alaska Native ","0","N/A ","0","N/A ","0 ","N/A","0430911","201415"
"Asian ","8","* ","8","* ","* ","*","0430911","201415"
"Black or African American ","40","54.3 ","40","47.8 ","10 ","*","0430911","201415"
"Hispanic or Latino ","63","54.2 ","63","47.1 ","22 ","41.5","0430911","201415"
"Native Hawaiian or Other Pacific Islander ","0","N/A ","0","N/A ","0 ","N/A","0430911","201415"
"Two or More Races ","0","N/A ","0","N/A ","0 ","N/A","0430911","201415"
"White ","8","* ","8","* ","* ","*","0430911","201415"
"English Language Learners ","27","50.7 ","27","48.3 ","9 ","*","0430911","201415"
"Non-English Language Learners ","92","55.8 ","92","48.7 ","28 ","46.1","0430911","201415"
"Eligible for Free or Reduced-Price Meals ","96","54.3 ","96","48.6 ","29 ","44.1","0430911","201415"
"Not Eligible for Free or Reduced-Price Meals ","23","56.0 ","23","48.6 ","8 ","*","0430911","201415"
"Students with Disabilities ","17","* ","17","* ","* ","*","0430911","201415"
"Students without Disabilities ","102","56.5 ","102","50.8 ","* ","*","0430911","201415"
"High Needs ","101","54.3 ","101","48.7 ","31 ","43.1","0430911","201415"
"Non-High Needs ","18","* ","18","* ","6 ","*","0430911","201415"
"School ","119","54.6 ","119","48.6 ","37 ","43.9","0430911","201415"
"Asian ","* ","* ","* ","* ","* ","*","0430911","201516"
"Black or African American ","53 ","52.1 ","53 ","40.3 ","15 ","*","0430911","201516"
"Hispanic or Latino ","80 ","52.6 ","80 ","43.6 ","18 ","*","0430911","201516"
"Native Hawaiian or Other Pacific Islander ","0 ","N/A ","0 ","N/A ","0 ","N/A","0430911","201516"
"Two or More Races ","* ","* ","* ","* ","* ","*","0430911","201516"
"White ","12 ","* ","12 ","* ","* ","*","0430911","201516"
"English Language Learners ","30 ","54.8 ","30 ","49.7 ","10 ","*","0430911","201516"
"Non-English Language Learners ","121 ","53.1 ","121 ","42.2 ","29 ","40.3","0430911","201516"
"Eligible for Free or Reduced-Price Meals ","108 ","52.7 ","108 ","43.1 ","28 ","40.4","0430911","201516"
"Not Eligible for Free or Reduced-Price Meals ","43 ","55.4 ","43 ","45.1 ","11 ","*","0430911","201516"
"Students with Disabilities ","41 ","41.8 ","41 ","32.2 ","13 ","*","0430911","201516"
"Students without Disabilities ","110 ","57.8 ","110 ","48.0 ","26 ","47.1","0430911","201516"
"High Needs ","122 ","52.2 ","122 ","42.0 ","32 ","39.6","0430911","201516"
"Non-High Needs ","29 ","58.8 ","29 ","50.9 ","7 ","*","0430911","201516"
"School ","151 ","53.4 ","151 ","43.7 ","39 ","41.7","0430911","201516"
"American Indian or Alaska Native ","* ","* ","* ","* ","* ","*","0431011","201415"
"Asian ","8 ","* ","8 ","* ","* ","*","0431011","201415"
"Black or African American ","96 ","58.1 ","95 ","50.4 ","19 ","*","0431011","201415"
"Hispanic or Latino ","110 ","62.2 ","110 ","54.2 ","20 ","49.3","0431011","201415"
"Native Hawaiian or Other Pacific Islander ","0 ","N/A ","0 ","N/A ","0 ","N/A","0431011","201415"
"Two or More Races ","* ","* ","* ","* ","* ","*","0431011","201415"
"White ","89 ","66.9 ","88 ","62.2 ","26 ","49.7","0431011","201415"
"English Language Learners ","21 ","52.5 ","21 ","51.3 ","7 ","*","0431011","201415"
"Non-English Language Learners ","286 ","63.2 ","284 ","56.1 ","62 ","49.0","0431011","201415"
"Eligible for Free or Reduced-Price Meals ","160 ","57.6 ","159 ","50.1 ","33 ","43.4","0431011","201415"
"Not Eligible for Free or Reduced-Price Meals ","147 ","67.8 ","146 ","61.9 ","36 ","52.8","0431011","201415"
"Students with Disabilities ","49 ","46.0 ","49 ","40.5 ","15 ","*","0431011","201415"
"Students without Disabilities ","258 ","65.6 ","256 ","58.7 ","54 ","51.3","0431011","201415"
"High Needs ","175 ","57.3 ","174 ","50.1 ","38 ","43.7","0431011","201415"
"Non-High Needs ","132 ","69.4 ","131 ","63.2 ","31 ","54.0","0431011","201415"
"School ","307 ","62.5 ","305 ","55.7 ","69 ","48.3","0431011","201415"
"Asian ","* ","* ","* ","* ","* ","*","0431011","201516"
"Black or African American ","81 ","58.5 ","81 ","55.1 ","24 ","41.5","0431011","201516"
"Hispanic or Latino ","100 ","61.5 ","100 ","54.2 ","36 ","48.3","0431011","201516"
"Native Hawaiian or Other Pacific Islander ","0 ","N/A ","0 ","N/A ","0 ","N/A","0431011","201516"
"Two or More Races ","0 ","N/A ","0 ","N/A ","0 ","N/A","0431011","201516"
"White ","70 ","68.9 ","68 ","62.8 ","29 ","55.9","0431011","201516"
"English Language Learners ","15 ","* ","15 ","* ","8 ","*","0431011","201516"
"Non-English Language Learners ","247 ","63.3 ","245 ","57.8 ","85 ","50.6","0431011","201516"
"Eligible for Free or Reduced-Price Meals ","146 ","60.9 ","146 ","53.3 ","51 ","46.5","0431011","201516"
"Not Eligible for Free or Reduced-Price Meals ","116 ","65.2 ","114 ","62.2 ","42 ","53.7","0431011","201516"
"Students with Disabilities ","42 ","47.4 ","42 ","44.9 ","16 ","*","0431011","201516"
"Students without Disabilities ","220 ","65.7 ","218 ","59.6 ","77 ","51.5","0431011","201516"
"High Needs ","163 ","59.6 ","163 ","53.0 ","58 ","46.8","0431011","201516"
"Non-High Needs ","99 ","68.0 ","97 ","64.3 ","35 ","54.7","0431011","201516"
"School ","262 ","62.8 ","260 ","57.2 ","93 ","49.7","0431011","201516"
"American Indian or Alaska Native ","* ","* ","* ","* ","0 ","*","0431211","201415"
"Asian ","0 ","N/A ","0 ","N/A ","0 ","N/A","0431211","201415"
"Black or African American ","48 ","52.5 ","48 ","46.8 ","20 ","38.8","0431211","201415"
"Hispanic or Latino ","66 ","53.2 ","64 ","44.1 ","19 ","*","0431211","201415"
"Native Hawaiian or Other Pacific Islander ","0 ","N/A ","0 ","N/A ","0 ","N/A","0431211","201415"
"Two or More Races ","0 ","N/A ","0 ","N/A ","0 ","N/A","0431211","201415"
"White ","* ","* ","* ","* ","* ","*","0431211","201415"
"English Language Learners ","13 ","* ","13 ","* ","* ","*","0431211","201415"
"Non-English Language Learners ","113 ","54.8 ","110 ","46.8 ","* ","*","0431211","201415"
"Eligible for Free or Reduced-Price Meals ","106 ","53.9 ","103 ","44.9 ","33 ","37.7","0431211","201415"
"Not Eligible for Free or Reduced-Price Meals ","20 ","54.4 ","20 ","54.1 ","11 ","*","0431211","201415"
"Students with Disabilities ","30 ","40.2 ","30 ","32.9 ","10 ","*","0431211","201415"
"Students without Disabilities ","96 ","58.3 ","93 ","50.8 ","34 ","43.1","0431211","201415"
"High Needs ","113 ","53.8 ","110 ","45.4 ","36 ","37.7","0431211","201415"
"Non-High Needs ","13 ","* ","13 ","* ","8 ","*","0431211","201415"
"School ","126 ","54.0 ","123 ","46.4 ","44 ","39.6","0431211","201415"
"Asian ","0 ","N/A ","0 ","N/A ","0 ","N/A","0431211","201516"
"Black or African American ","43 ","55.1 ","42 ","49.8 ","12 ","*","0431211","201516"
"Hispanic or Latino ","62 ","58.2 ","62 ","51.8 ","21 ","43.1","0431211","201516"
"Native Hawaiian or Other Pacific Islander ","0 ","N/A ","0 ","N/A ","0 ","N/A","0431211","201516"
"Two or More Races ","* ","* ","* ","* ","0 ","N/A","0431211","201516"
"White ","9 ","* ","8 ","* ","* ","*","0431211","201516"
"English Language Learners ","15 ","* ","15 ","* ","* ","*","0431211","201516"
"Non-English Language Learners ","101 ","58.4 ","99 ","52.6 ","* ","*","0431211","201516"
"Eligible for Free or Reduced-Price Meals ","89 ","57.7 ","87 ","51.7 ","28 ","40.0","0431211","201516"
"Not Eligible for Free or Reduced-Price Meals ","27 ","58.2 ","27 ","53.1 ","7 ","*","0431211","201516"
"Students with Disabilities ","30 ","46.4 ","28 ","41.5 ","10 ","*","0431211","201516"
"Students without Disabilities ","86 ","61.8 ","86 ","55.4 ","25 ","44.6","0431211","201516"
"High Needs ","98 ","56.9 ","96 ","51.0 ","* ","*","0431211","201516"
"Non-High Needs ","18 ","* ","18 ","* ","* ","*","0431211","201516"
"School ","116 ","57.8 ","114 ","52.0 ","35 ","41.1","0431211","201516"
"American Indian or Alaska Native ","* ","* ","* ","* ","* ","*","0431811","201415"
"Asian ","14 ","* ","13 ","* ","7 ","*","0431811","201415"
"Black or African American ","97 ","57.9 ","96 ","45.5 ","25 ","42.4","0431811","201415"
"Hispanic or Latino ","112 ","53.0 ","109 ","45.4 ","21 ","45.7","0431811","201415"
"Native Hawaiian or Other Pacific Islander ","0 ","N/A ","0 ","N/A ","0 ","N/A","0431811","201415"
"Two or More Races ","* ","* ","* ","* ","* ","*","0431811","201415"
"White ","30 ","56.9 ","30 ","49.0 ","9 ","*","0431811","201415"
"English Language Learners ","44 ","48.7 ","43 ","41.1 ","13 ","*","0431811","201415"
"Non-English Language Learners ","214 ","57.6 ","210 ","47.8 ","51 ","46.1","0431811","201415"
"Eligible for Free or Reduced-Price Meals ","210 ","54.9 ","207 ","44.9 ","55 ","44.7","0431811","201415"
"Not Eligible for Free or Reduced-Price Meals ","48 ","61.4 ","46 ","54.8 ","9 ","*","0431811","201415"
"Students with Disabilities ","52 ","37.2 ","50 ","30.6 ","15 ","*","0431811","201415"
"Students without Disabilities ","206 ","60.8 ","203 ","50.6 ","49 ","49.1","0431811","201415"
"High Needs ","219 ","54.4 ","215 ","44.4 ","57 ","44.2","0431811","201415"
"Non-High Needs ","39 ","65.4 ","38 ","59.8 ","7 ","*","0431811","201415"
"School ","258 ","56.1 ","253 ","46.7 ","64 ","44.6","0431811","201415"
"Asian ","10 ","* ","10 ","* ","* ","*","0431811","201516"
"Black or African American ","101 ","57.9 ","101 ","46.9 ","27 ","45.2","0431811","201516"
"Hispanic or Latino ","111 ","52.6 ","111 ","42.1 ","31 ","41.3","0431811","201516"
"Native Hawaiian or Other Pacific Islander ","0 ","N/A ","0 ","N/A ","0 ","N/A","0431811","201516"
"Two or More Races ","* ","* ","* ","* ","* ","*","0431811","201516"
"White ","29 ","62.5 ","29 ","48.6 ","12 ","*","0431811","201516"
"English Language Learners ","44 ","50.8 ","44 ","42.6 ","12 ","*","0431811","201516"
"Non-English Language Learners ","209 ","57.2 ","209 ","45.5 ","61 ","46.4","0431811","201516"
"Eligible for Free or Reduced-Price Meals ","158 ","53.6 ","158 ","44.4 ","42 ","41.2","0431811","201516"
"Not Eligible for Free or Reduced-Price Meals ","95 ","60.2 ","95 ","46.0 ","31 ","48.6","0431811","201516"
"Students with Disabilities ","53 ","42.1 ","53 ","32.6 ","16 ","*","0431811","201516"
"Students without Disabilities ","200 ","59.8 ","200 ","48.3 ","57 ","46.9","0431811","201516"
"High Needs ","183 ","52.7 ","183 ","42.9 ","48 ","40.3","0431811","201516"
"Non-High Needs ","70 ","64.9 ","70 ","50.5 ","25 ","52.2","0431811","201516"
"School ","253 ","56.1 ","253 ","45.0 ","73 ","44.4","0431811","201516"
"American Indian or Alaska Native ","* ","* ","* ","* ","0 ","*","0432011","201415"
"Asian ","15 ","* ","15 ","* ","0 ","*","0432011","201415"
"Black or African American ","44 ","70.4 ","44 ","60.8 ","12 ","*","0432011","201415"
"Hispanic or Latino ","49 ","66.3 ","49 ","59.8 ","13 ","*","0432011","201415"
"Native Hawaiian or Other Pacific Islander ","0 ","N/A ","0 ","N/A ","0 ","N/A","0432011","201415"
"Two or More Races ","* ","* ","* ","* ","* ","*","0432011","201415"
"White ","34 ","68.4 ","34 ","61.0 ","11 ","*","0432011","201415"
"English Language Learners ","11 ","* ","11 ","* ","* ","*","0432011","201415"
"Non-English Language Learners ","134 ","70.1 ","134 ","62.8 ","* ","*","0432011","201415"
"Eligible for Free or Reduced-Price Meals ","69 ","63.9 ","69 ","56.9 ","14 ","*","0432011","201415"
"Not Eligible for Free or Reduced-Price Meals ","76 ","73.3 ","76 ","65.8 ","23 ","51.1","0432011","201415"
"Students with Disabilities ","11 ","* ","11 ","* ","* ","*","0432011","201415"
"Students without Disabilities ","134 ","70.3 ","134 ","63.4 ","* ","*","0432011","201415"
"High Needs ","72 ","63.6 ","72 ","56.4 ","15 ","*","0432011","201415"
"Non-High Needs ","73 ","73.9 ","73 ","66.7 ","22 ","51.8","0432011","201415"
"School ","145 ","68.8 ","145 ","61.6 ","37 ","48.7","0432011","201415"
"Asian ","21 ","80.3 ","21 ","71.4 ","6 ","*","0432011","201516"
"Black or African American ","48 ","70.2 ","48 ","57.4 ","17 ","*","0432011","201516"
"Hispanic or Latino ","56 ","70.5 ","56 ","60.7 ","23 ","56.4","0432011","201516"
"Native Hawaiian or Other Pacific Islander ","0 ","N/A ","0 ","N/A ","0 ","N/A","0432011","201516"
"Two or More Races ","* ","* ","* ","* ","* ","*","0432011","201516"
"White ","39 ","71.4 ","39 ","61.2 ","13 ","*","0432011","201516"
"English Language Learners ","17 ","* ","17 ","* ","6 ","*","0432011","201516"
"Non-English Language Learners ","150 ","72.9 ","150 ","62.4 ","55 ","62.7","0432011","201516"
"Eligible for Free or Reduced-Price Meals ","82 ","66.4 ","82 ","54.7 ","27 ","54.9","0432011","201516"
"Not Eligible for Free or Reduced-Price Meals ","85 ","76.7 ","85 ","67.5 ","34 ","65.5","0432011","201516"
"Students with Disabilities ","15 ","* ","15 ","* ","6 ","*","0432011","201516"
"Students without Disabilities ","152 ","73.9 ","152 ","63.4 ","55 ","63.9","0432011","201516"
"High Needs ","88 ","65.3 ","88 ","53.9 ","30 ","53.5","0432011","201516"
"Non-High Needs ","79 ","78.6 ","79 ","69.3 ","31 ","67.9","0432011","201516"
"School ","167 ","71.6 ","167 ","61.2 ","61 ","60.8","0432011","201516"
"American Indian or Alaska Native ","* ","* ","* ","* ","* ","*","0432211","201415"
"Asian ","7 ","* ","7 ","* ","* ","*","0432211","201415"
"Black or African American ","78 ","58.5 ","76 ","51.2 ","15 ","*","0432211","201415"
"Hispanic or Latino ","90 ","54.3 ","89 ","49.2 ","20 ","36.5","0432211","201415"
"Native Hawaiian or Other Pacific Islander ","0 ","N/A ","0 ","N/A ","0 ","N/A","0432211","201415"
"Two or More Races ","* ","* ","* ","* ","0 ","*","0432211","201415"
"White ","14 ","* ","14 ","* ","* ","*","0432211","201415"
"English Language Learners ","31 ","50.3 ","31 ","44.6 ","6 ","*","0432211","201415"
"Non-English Language Learners ","161 ","58.6 ","158 ","52.2 ","35 ","43.6","0432211","201415"
"Eligible for Free or Reduced-Price Meals ","149 ","56.9 ","146 ","50.4 ","33 ","41.9","0432211","201415"
