"District","District Code","School","School Code","Special Education Status","Count","%"
"Danbury School District","=""0340011""","Alternative Center For Excellence","=""0346211""","Students with Disabilities","*","*"
"Danbury School District","=""0340011""","Broadview Middle School","=""0345111""","Students with Disabilities",18,10.3
"Danbury School District","=""0340011""","DPS Early Childhood Center","=""0340111""","Students with Disabilities","N/A","N/A"
"Danbury School District","=""0340011""","Danbury High School","=""0346111""","Students with Disabilities",138,36.7
"Danbury School District","=""0340011""","Ellsworth Avenue School","=""0341411""","Students with Disabilities","N/A","N/A"
"Danbury School District","=""0340011""","Great Plain School","=""0341111""","Students with Disabilities","*","*"
"Danbury School District","=""0340011""","Hayestown Avenue School","=""0340211""","Students with Disabilities","*","*"
"Danbury School District","=""0340011""","King Street Intermediate School","=""0341711""","Students with Disabilities","*","*"
"Danbury School District","=""0340011""","King Street Primary School","=""0341311""","Students with Disabilities","*","*"
"Danbury School District","=""0340011""","Mill Ridge Primary School","=""0340511""","Students with Disabilities","N/A","N/A"
"Danbury School District","=""0340011""","Morris Street School","=""0340611""","Students with Disabilities","N/A","N/A"
"Danbury School District","=""0340011""","Park Avenue School","=""0340811""","Students with Disabilities","*","*"
"Danbury School District","=""0340011""","Pembroke School","=""0341511""","Students with Disabilities","N/A","N/A"
"Danbury School District","=""0340011""","Rogers Park Middle School","=""0345211""","Students with Disabilities",38,27.9
"Danbury School District","=""0340011""","Shelter Rock School","=""0341211""","Students with Disabilities","N/A","N/A"
"Danbury School District","=""0340011""","South Street School","=""0341011""","Students with Disabilities","*","*"
"Danbury School District","=""0340011""","Stadley Rough School","=""0341611""","Students with Disabilities","*","*"
"Danbury School District","=""0340011""","Western CT Academy of International Studies Elementary Magnet School","=""0341911""","Students with Disabilities","N/A","N/A"
"Danbury School District","=""0340011""","Westside Middle School Academy","=""0340311""","Students with Disabilities",7,29.2
"Darien School District","=""0350011""","Darien High School","=""0356111""","Students with Disabilities",11,6.8
"Darien School District","=""0350011""","Hindley Elementary School","=""0350211""","Students with Disabilities","N/A","N/A"
"Darien School District","=""0350011""","Holmes Elementary School","=""0350711""","Students with Disabilities","*","*"
"Darien School District","=""0350011""","Middlesex Middle School","=""0355111""","Students with Disabilities","*","*"
"Darien School District","=""0350011""","Ox Ridge Elementary School","=""0351311""","Students with Disabilities","*","*"
"Darien School District","=""0350011""","Royle Elementary School","=""0350511""","Students with Disabilities","N/A","N/A"
"Darien School District","=""0350011""","Tokeneke Elementary School","=""0350611""","Students with Disabilities","N/A","N/A"
"Deep River School District","=""0360011""","Deep River Elementary School","=""0360111""","Students with Disabilities","*","*"
"Granby School District","=""0560011""","Frank M. Kearns Primary School","=""0560111""","Students with Disabilities","N/A","N/A"
"Granby School District","=""0560011""","Granby Memorial High School","=""0566111""","Students with Disabilities",13,23.2
"Granby School District","=""0560011""","Granby Memorial Middle School","=""0565111""","Students with Disabilities",6,16.2
"Granby School District","=""0560011""","Kelly Lane Intermediate School","=""0560411""","Students with Disabilities","*","*"
"Granby School District","=""0560011""","Wells Road Intermediate School","=""0560311""","Students with Disabilities","*","*"
"Hebron School District","=""0670011""","Gilead Hill School","=""0670211""","Students with Disabilities","*","*"
"Hebron School District","=""0670011""","Hebron Elementary School","=""0670111""","Students with Disabilities","N/A","N/A"
"Kent School District","=""0680011""","Kent Center School","=""0680111""","Students with Disabilities","N/A","N/A"
"Kent School District","=""0680011""","LEAPSS","=""0680211""","Students with Disabilities","N/A","*"
"Killingly School District","=""0690011""","Goodyear Early Childhood Center","=""0698011""","Students with Disabilities","N/A","N/A"
"Killingly School District","=""0690011""","Killingly Alternative Learning Program","=""0690611""","Students with Disabilities","N/A","*"
"Killingly School District","=""0690011""","Killingly Central School","=""0690111""","Students with Disabilities","*","*"
"Killingly School District","=""0690011""","Killingly High School","=""0696111""","Students with Disabilities",33,29.5
"Killingly School District","=""0690011""","Killingly Intermediate School","=""0695211""","Students with Disabilities",12,13.3
"Killingly School District","=""0690011""","Killingly Memorial School","=""0690311""","Students with Disabilities","N/A","N/A"
"Lebanon School District","=""0710011""","Lebanon Elementary School","=""0710111""","Students with Disabilities","N/A","N/A"
"Lebanon School District","=""0710011""","Lebanon Middle School","=""0715111""","Students with Disabilities","N/A","N/A"
"Lebanon School District","=""0710011""","Lyman Memorial High School","=""0716211""","Students with Disabilities","*","*"
"Naugatuck School District","=""0880011""","Andrew Avenue School","=""0880811""","Students with Disabilities","*","*"
"Naugatuck School District","=""0880011""","Central Avenue Preschool","=""0888211""","Students with Disabilities","N/A","N/A"
"Naugatuck School District","=""0880011""","City Hill Middle School","=""0885111""","Students with Disabilities",18,15.5
"Naugatuck School District","=""0880011""","Cross Street Intermediate School","=""0880211""","Students with Disabilities",6,8.8
"Naugatuck School District","=""0880011""","Head Start","=""0888111""","Students with Disabilities","N/A","N/A"
"Naugatuck School District","=""0880011""","Hillside Intermediate School","=""0880411""","Students with Disabilities",7,11.3
"Naugatuck School District","=""0880011""","Hop Brook Elementary School","=""0880511""","Students with Disabilities","*","*"
"Naugatuck School District","=""0880011""","Maple Hill School","=""0880311""","Students with Disabilities","*","*"
"Naugatuck School District","=""0880011""","Naugatuck High School","=""0886111""","Students with Disabilities",64,27.9
"Naugatuck School District","=""0880011""","Salem School","=""0880611""","Students with Disabilities","*","*"
"Naugatuck School District","=""0880011""","Western School","=""0880711""","Students with Disabilities","N/A","N/A"
"Bloomfield School District","=""0110011""","Bloomfield High School","=""0116111""","Students with Disabilities",29,33.3
"Bloomfield School District","=""0110011""","Carmen Arace Intermediate School","=""0110711""","Students with Disabilities",7,17.1
"Bloomfield School District","=""0110011""","Carmen Arace Middle School","=""0115211""","Students with Disabilities",8,25.0
"Bloomfield School District","=""0110011""","Global Experience Magnet School","=""0116311""","Students with Disabilities",6,30.0
"Bloomfield School District","=""0110011""","Laurel School","=""0110611""","Students with Disabilities","N/A","N/A"
"Bloomfield School District","=""0110011""","Learning Academy at Bloomfield","=""0116411""","Students with Disabilities","N/A","*"
"Bloomfield School District","=""0110011""","Metacomet School","=""0110511""","Students with Disabilities","*","*"
"Bloomfield School District","=""0110011""","Wintonbury Early Childhood Magnet School","=""0110811""","Students with Disabilities","N/A","N/A"
"Bolton School District","=""0120011""","Bolton Center School","=""0120111""","Students with Disabilities","*","*"
"Bolton School District","=""0120011""","Bolton High School","=""0126111""","Students with Disabilities",9,25.7
"Bozrah School District","=""0130011""","Fields Memorial School","=""0130111""","Students with Disabilities","N/A","N/A"
"Farmington School District","=""0520011""","East Farms School","=""0520411""","Students with Disabilities","*","*"
"Farmington School District","=""0520011""","Farmington Alternative High School","=""0520611""","Students with Disabilities","*","*"
"Farmington School District","=""0520011""","Farmington Collaborative PK","=""0528011""","Students with Disabilities","N/A","N/A"
"Farmington School District","=""0520011""","Farmington High School","=""0526111""","Students with Disabilities",9,5.7
"Farmington School District","=""0520011""","Irving A. Robbins Middle School","=""0525111""","Students with Disabilities","*","*"
"Farmington School District","=""0520011""","Noah Wallace School","=""0520211""","Students with Disabilities","*","*"
"Farmington School District","=""0520011""","Union School","=""0520111""","Students with Disabilities","*","*"
"Farmington School District","=""0520011""","West District School","=""0520311""","Students with Disabilities","N/A","N/A"
"Farmington School District","=""0520011""","West Woods Upper Elementary School","=""0520511""","Students with Disabilities","*","*"
"Franklin School District","=""0530011""","Franklin Elementary School","=""0530111""","Students with Disabilities","*","*"
"Glastonbury School District","=""0540011""","Alternate Program","=""0541311""","Students with Disabilities","N/A","*"
"Glastonbury School District","=""0540011""","Buttonball Lane School","=""0540211""","Students with Disabilities","N/A","N/A"
"Glastonbury School District","=""0540011""","Eastbury School","=""0540311""","Students with Disabilities","N/A","N/A"
"Glastonbury School District","=""0540011""","Gideon Welles School","=""0540811""","Students with Disabilities","*","*"
"Glastonbury School District","=""0540011""","Glastonbury High School","=""0546111""","Students with Disabilities",29,15.1
"Glastonbury School District","=""0540011""","Hebron Avenue School","=""0540411""","Students with Disabilities","N/A","N/A"
"Glastonbury School District","=""0540011""","Hopewell School","=""0540611""","Students with Disabilities","*","*"
"Glastonbury School District","=""0540011""","LINKS Transition","=""0541411""","Students with Disabilities","N/A","*"
"Glastonbury School District","=""0540011""","Links Academy","=""0540111""","Students with Disabilities","*","*"
"Glastonbury School District","=""0540011""","Naubuc School","=""0540711""","Students with Disabilities","*","*"
"Glastonbury School District","=""0540011""","Nayaug Elementary School","=""0540911""","Students with Disabilities","N/A","N/A"
"Glastonbury School District","=""0540011""","PRIDE-Hebron Avenue","=""0541111""","Students with Disabilities","N/A","*"
"Glastonbury School District","=""0540011""","PRIDE-Nayaug","=""0541211""","Students with Disabilities","N/A","*"
"Glastonbury School District","=""0540011""","PreK-Eastbury","=""0540511""","Students with Disabilities","N/A","N/A"
"Glastonbury School District","=""0540011""","PreK-Nayaug","=""0541011""","Students with Disabilities","N/A","*"
"Glastonbury School District","=""0540011""","Smith Middle School","=""0545211""","Students with Disabilities","*","*"
"Hartford School District","=""0640011""","Asian Studies Academy at Bellizzi School","=""0640711""","Students with Disabilities",13,13.1
"Hartford School District","=""0640011""","Autism Program - Clark School","=""0644511""","Students with Disabilities","N/A","*"
"Hartford School District","=""0640011""","Autism Program - Environmental Sciences Magnet School at Mary M Hooker","=""0644311""","Students with Disabilities","N/A","*"
"Hartford School District","=""0640011""","Autism Program - Fred D. Wish Museum School","=""0644211""","Students with Disabilities","N/A","N/A"
"Hartford School District","=""0640011""","Autism Program - Naylor School","=""0645711""","Students with Disabilities","N/A","N/A"
"Hartford School District","=""0640011""","Autism Program - Sarah J. Rawson Elementary School","=""0644411""","Students with Disabilities","N/A","*"
"Hartford School District","=""0640011""","Batchelder School","=""0640411""","Students with Disabilities",14,16.5
"Hartford School District","=""0640011""","Betances Early Reading Lab Magnet School","=""0642811""","Students with Disabilities","*","*"
"Hartford School District","=""0640011""","Breakthrough II Magnet School","=""0643511""","Students with Disabilities","*","*"
"Hartford School District","=""0640011""","Breakthrough Magnet School","=""0643311""","Students with Disabilities","*","*"
"Hartford School District","=""0640011""","Bulkeley High School Lower School","=""0646111""","Students with Disabilities",8,10.7
"Hartford School District","=""0640011""","Bulkeley High School Upper School","=""0647111""","Students with Disabilities",6,13.3
"Hartford School District","=""0640011""","Burns Latino Studies Academy","=""0640611""","Students with Disabilities",40,43.0
"Hartford School District","=""0640011""","Burr School","=""0642311""","Students with Disabilities",35,27.1
"Hartford School District","=""0640011""","Capital Community College Magnet Academy","=""0643911""","Students with Disabilities","*","*"
"Hartford School District","=""0640011""","Capital Preparatory Magnet School","=""0646911""","Students with Disabilities",18,23.1
"Hartford School District","=""0640011""","Clark School","=""0642411""","Students with Disabilities",13,23.2
"Hartford School District","=""0640011""","Classical Magnet School","=""0646411""","Students with Disabilities",25,33.3
"Hartford School District","=""0640011""","Culinary Arts Academy","=""0646011""","Students with Disabilities",21,36.8
"Hartford School District","=""0640011""","Dr. James H Naylor/CCSU Leadership Academy","=""0641411""","Students with Disabilities",13,13.0
"Hartford School District","=""0640011""","EDP - Betances Early Reading Lab","=""0645811""","Students with Disabilities",6,"*"
"Hartford School District","=""0640011""","EDP - Bulkeley High School","=""0648311""","Students with Disabilities","*","*"
"Hartford School District","=""0640011""","EDP - HPHS Academy of Engineering and Green Technology","=""0648211""","Students with Disabilities",15,60.0
"Hartford School District","=""0640011""","EDP - M.D. Fox","=""0645911""","Students with Disabilities",25,75.8
"Hartford School District","=""0640011""","EDP - McDonough Expeditionary Learning School","=""0648111""","Students with Disabilities","*","*"
"Hartford School District","=""0640011""","Early Childhood Development Center (ECDC)","=""0644111""","Students with Disabilities","N/A","N/A"
"Hartford School District","=""0640011""","Environmental Sciences Magnet School at Mary M Hooker","=""0640911""","Students with Disabilities","*","*"
"Hartford School District","=""0640011""","Expeditionary Learning Academy at Moylan School","=""0643211""","Students with Disabilities","*","*"
"Hartford School District","=""0640011""","Fred D. Wish Museum School","=""0642211""","Students with Disabilities",14,24.6
"Hartford School District","=""0640011""","Global Communications Academy","=""0643611""","Students with Disabilities",32,36.8
"Hartford School District","=""0640011""","Great Path Academy at MCC","=""0647911""","Students with Disabilities",7,"*"
"Hartford School District","=""0640011""","HPHS Academy of Engineering and Green Technology","=""0647211""","Students with Disabilities",39,43.8
"Hartford School District","=""0640011""","HPHS Academy of Nursing and Health Science","=""0647511""","Students with Disabilities",43,50.0
"Hartford School District","=""0640011""","HPHS Law and Government Academy","=""0647411""","Students with Disabilities",31,43.1
"Hartford School District","=""0640011""","Hartford Magnet Trinity College Academy","=""0645411""","Students with Disabilities",35,29.4
"Hartford School District","=""0640011""","Hartford PreKindergarten Magnet School","=""0641311""","Students with Disabilities","N/A","*"
"Hartford School District","=""0640011""","High School Inc.","=""0647611""","Students with Disabilities",20,48.8
"Hartford School District","=""0640011""","High Step Transition","=""0648411""","Students with Disabilities","N/A","*"
"Hartford School District","=""0640011""","Journalism and Media Academy Magnet School","=""0647711""","Students with Disabilities",9,32.1
"Hartford School District","=""0640011""","Kennelly School","=""0641011""","Students with Disabilities",24,24.2
"Hartford School District","=""0640011""","M. D. Fox Elementary School","=""0640811""","Students with Disabilities",31,29.2
"Hartford School District","=""0640011""","M. L. King School","=""0641611""","Students with Disabilities",24,28.9
"Hartford School District","=""0640011""","MDP - Batchelder School","=""0644811""","Students with Disabilities","N/A","*"
"Hartford School District","=""0640011""","MDP - Bulkeley High School","=""0645011""","Students with Disabilities","N/A","*"
"Hartford School District","=""0640011""","MDP - HPHS Law and Government Academy","=""0644911""","Students with Disabilities","*","*"
"Hartford School District","=""0640011""","MDP - Moylan School","=""0648511""","Students with Disabilities","N/A","*"
"Hartford School District","=""0640011""","McDonough Expeditionary Learning School","=""0641211""","Students with Disabilities",20,35.1
"Hartford School District","=""0640011""","Milner Elementary School","=""0641911""","Students with Disabilities",15,23.8
"Hartford School District","=""0640011""","Montessori Magnet School at Annie Fisher","=""0643711""","Students with Disabilities",8,33.3
"Hartford School District","=""0640011""","Montessori Magnet at Moylan School","=""0640511""","Students with Disabilities","N/A","*"
"Hartford School District","=""0640011""","New Visions Program","=""0642711""","Students with Disabilities","*","*"
"Hartford School District","=""0640011""","Noah Webster Micro Society School","=""0642011""","Students with Disabilities",10,11.0
"Hartford School District","=""0640011""","OPPortunity High School","=""0647811""","Students with Disabilities",6,"*"
"Hartford School District","=""0640011""","Parkville Community School","=""0641511""","Students with Disabilities",22,23.4
"Hartford School District","=""0640011""","Pathways Academy of Technology and Design","=""0646611""","Students with Disabilities",16,21.9
"Hartford School District","=""0640011""","R.J. Kinsella Magnet School of Performing Arts","=""0641111""","Students with Disabilities","*","*"
"Hartford School District","=""0640011""","Renzulli Academy","=""0644011""","Students with Disabilities","N/A","*"
"Hartford School District","=""0640011""","SAND School","=""0640111""","Students with Disabilities",41,39.4
"Hartford School District","=""0640011""","STEM Magnet School at Annie Fisher","=""0642511""","Students with Disabilities",10,21.7
"Hartford School District","=""0640011""","STEM Magnet School at Dwight","=""0643811""","Students with Disabilities",9,27.3
"Hartford School District","=""0640011""","Sanchez School","=""0643011""","Students with Disabilities",9,13.4
"Hartford School District","=""0640011""","Sarah J. Rawson Elementary School","=""0641711""","Students with Disabilities",11,16.4
"Hartford School District","=""0640011""","Simpson-Waverly School","=""0642611""","Students with Disabilities",13,16.5
"Hartford School District","=""0640011""","Sports and Medical Sciences Academy","=""0646511""","Students with Disabilities",21,34.4
"Hartford School District","=""0640011""","University High School of Science and Engineering","=""0646711""","Students with Disabilities","*","*"
"Hartford School District","=""0640011""","West Middle School","=""0642111""","Students with Disabilities",9,13.4
"Hartland School District","=""0650011""","Hartland School","=""0650111""","Students with Disabilities","N/A","N/A"
"Monroe School District","=""0850011""","Fawn Hollow Elementary School","=""0850511""","Students with Disabilities","N/A","N/A"
"Monroe School District","=""0850011""","Jockey Hollow School","=""0855211""","Students with Disabilities","*","*"
"Monroe School District","=""0850011""","Masuk Alternative Program","=""0850211""","Students with Disabilities","*","*"
"Monroe School District","=""0850011""","Masuk High School","=""0856111""","Students with Disabilities",11,11.2
"Monroe School District","=""0850011""","Monroe Elementary School","=""0850111""","Students with Disabilities","N/A","N/A"
"Monroe School District","=""0850011""","REAL","=""0850411""","Students with Disabilities","*","*"
"Monroe School District","=""0850011""","Stepney Elementary School","=""0850311""","Students with Disabilities","*","*"
"Montville School District","=""0860011""","Dr. Charles E. Murphy School","=""0860711""","Students with Disabilities","*","*"
"Montville School District","=""0860011""","Leonard J. Tyl Middle School","=""0865111""","Students with Disabilities",10,12.8
"Montville School District","=""0860011""","Mohegan School","=""0860111""","Students with Disabilities","*","*"
"Montville School District","=""0860011""","Montville High School","=""0866111""","Students with Disabilities",12,16.2
"Montville School District","=""0860011""","Oakdale School","=""0860511""","Students with Disabilities","*","*"
"Montville School District","=""0860011""","Palmer Academy","=""0869011""","Students with Disabilities","*","*"
"Montville School District","=""0860011""","Pre School Program","=""0860311""","Students with Disabilities","N/A","N/A"
"Avon School District","=""0040011""","Avon High School","=""0046111""","Students with Disabilities",6,5.7
"Avon School District","=""0040011""","Avon Middle School","=""0045111""","Students with Disabilities","*","*"
"Avon School District","=""0040011""","Avon Public Schools Pre-K","=""0040111""","Students with Disabilities","N/A","N/A"
"Avon School District","=""0040011""","Pine Grove School","=""0040411""","Students with Disabilities","N/A","N/A"
"Avon School District","=""0040011""","Roaring Brook School","=""0040311""","Students with Disabilities","*","*"
"Avon School District","=""0040011""","Thompson Brook School","=""0040511""","Students with Disabilities","*","*"
"Barkhamsted School District","=""0050011""","Barkhamsted Elementary School","=""0050111""","Students with Disabilities","*","*"
"Barkhamsted School District","=""0050011""","Shared Services Integrated Preschool","=""0058011""","Students with Disabilities","N/A","N/A"
"Berlin School District","=""0070011""","Berlin High School","=""0076111""","Students with Disabilities",17,14.4
"Berlin School District","=""0070011""","Catherine M. McGee Middle School","=""0075111""","Students with Disabilities",10,13.3
"Berlin School District","=""0070011""","Emma Hart Willard School","=""0070411""","Students with Disabilities","N/A","N/A"
"Berlin School District","=""0070011""","Mary E. Griswold School","=""0070511""","Students with Disabilities","N/A","N/A"
"Berlin School District","=""0070011""","Richard D. Hubbard School","=""0070111""","Students with Disabilities","*","*"
"Bethel School District","=""0090011""","Anna H. Rockwell School","=""0090411""","Students with Disabilities","N/A","N/A"
"Bethel School District","=""0090011""","Bethel High School","=""0096111""","Students with Disabilities",29,24.8
"Bethel School District","=""0090011""","Bethel Middle School","=""0095111""","Students with Disabilities",23,25.8
"Bethel School District","=""0090011""","Frank A. Berry School","=""0090111""","Students with Disabilities","N/A","N/A"
"Bethel School District","=""0090011""","Ralph M. T. Johnson School","=""0090511""","Students with Disabilities","*","*"
"Bethany School District","=""0080011""","Bethany Community School","=""0080111""","Students with Disabilities","*","*"
"Colchester School District","=""0280011""","Bacon Academy","=""0286111""","Students with Disabilities",27,23.7
"Colchester School District","=""0280011""","Bacon Academy Alternative Education","=""0280511""","Students with Disabilities","N/A","*"
"Colchester School District","=""0280011""","Colchester Elementary School","=""0280411""","Students with Disabilities","N/A","N/A"
"Colchester School District","=""0280011""","Jack Jackter Intermediate School","=""0280211""","Students with Disabilities",6,6.7
"Colchester School District","=""0280011""","William J. Johnston Middle School","=""0285111""","Students with Disabilities",14,16.5
"Colebrook School District","=""0290011""","Colebrook Consolidated School","=""0290111""","Students with Disabilities","*","*"
"Columbia School District","=""0300011""","Horace W. Porter School","=""0300111""","Students with Disabilities",6,9.1
"Cornwall School District","=""0310011""","Cornwall Consolidated School","=""0310111""","Students with Disabilities","*","*"
"Coventry School District","=""0320011""","Capt. Nathan Hale School","=""0325111""","Students with Disabilities",9,21.4
"Coventry School District","=""0320011""","Coventry Academy","=""0320111""","Students with Disabilities","*","*"
"Coventry School District","=""0320011""","Coventry Early Intervention Services","=""0328011""","Students with Disabilities","N/A","N/A"
"Coventry School District","=""0320011""","Coventry Grammar School","=""0320211""","Students with Disabilities","*","*"
"Coventry School District","=""0320011""","Coventry High School","=""0326111""","Students with Disabilities",7,9.7
"Coventry School District","=""0320011""","George Hersey Robertson School","=""0320411""","Students with Disabilities","*","*"
"Cromwell School District","=""0330011""","Cromwell High School","=""0336111""","Students with Disabilities",19,26.8
"Cromwell School District","=""0330011""","Cromwell Middle School","=""0335111""","Students with Disabilities",15,28.3
"Cromwell School District","=""0330011""","Edna C. Stevens School","=""0330211""","Students with Disabilities","*","*"
"Cromwell School District","=""0330011""","Woodside Intermediate School","=""0330311""","Students with Disabilities",9,15.0
"Fairfield School District","=""0510011""","Burr Elementary School","=""0510211""","Students with Disabilities","N/A","N/A"
"Fairfield School District","=""0510011""","Dwight Elementary School","=""0510111""","Students with Disabilities","N/A","N/A"
"Fairfield School District","=""0510011""","Early Childhood Center","=""0518011""","Students with Disabilities","N/A","N/A"
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","=""0516011""","Students with Disabilities",16,8.9
"Fairfield School District","=""0510011""","Fairfield Warde High School","=""0516211""","Students with Disabilities",18,11.1
"Fairfield School District","=""0510011""","Fairfield Woods Middle School","=""0515211""","Students with Disabilities","*","*"
"Fairfield School District","=""0510011""","Holland Hill School","=""0510411""","Students with Disabilities","N/A","N/A"
"Fairfield School District","=""0510011""","Jennings School","=""0511711""","Students with Disabilities","N/A","N/A"
"Fairfield School District","=""0510011""","McKinley School","=""0510611""","Students with Disabilities","N/A","N/A"
"Fairfield School District","=""0510011""","Mill Hill School","=""0510711""","Students with Disabilities","N/A","N/A"
"Fairfield School District","=""0510011""","North Stratfield School","=""0511611""","Students with Disabilities","N/A","N/A"
"Fairfield School District","=""0510011""","Osborn Hill School","=""0511811""","Students with Disabilities","N/A","N/A"
"Fairfield School District","=""0510011""","Riverfield School","=""0511211""","Students with Disabilities","N/A","N/A"
"Fairfield School District","=""0510011""","Roger Ludlowe Middle School","=""0515311""","Students with Disabilities","*","*"
"Fairfield School District","=""0510011""","Sherman School","=""0511311""","Students with Disabilities","N/A","N/A"
"Fairfield School District","=""0510011""","Stratfield School","=""0511411""","Students with Disabilities","*","*"
"Fairfield School District","=""0510011""","Tomlinson Middle School","=""0515111""","Students with Disabilities",8,8.7
"Fairfield School District","=""0510011""","Walter Fitzgerald Campus","=""0510311""","Students with Disabilities","N/A","N/A"
"Milford School District","=""0840011""","Calf Pen Meadow School","=""0840111""","Students with Disabilities","N/A","N/A"
"Milford School District","=""0840011""","East Shore Middle School","=""0845111""","Students with Disabilities",7,9.0
"Milford School District","=""0840011""","Harborside Middle School","=""0845211""","Students with Disabilities","*","*"
"Milford School District","=""0840011""","J. F. Kennedy School","=""0841911""","Students with Disabilities","*","*"
"Milford School District","=""0840011""","Jonathan Law High School","=""0846211""","Students with Disabilities",33,26.6
"Milford School District","=""0840011""","Joseph A. Foran High School","=""0846311""","Students with Disabilities",25,20.2
"Milford School District","=""0840011""","Live Oaks School","=""0841611""","Students with Disabilities","*","*"
"Milford School District","=""0840011""","Mathewson School","=""0841711""","Students with Disabilities","N/A","N/A"
"Milford School District","=""0840011""","Meadowside School","=""0840711""","Students with Disabilities","N/A","N/A"
"Milford School District","=""0840011""","Orange Avenue School","=""0840811""","Students with Disabilities","N/A","N/A"
"Milford School District","=""0840011""","Orchard Hills School","=""0841811""","Students with Disabilities","*","*"
"Milford School District","=""0840011""","Pumpkin Delight School","=""0841011""","Students with Disabilities","N/A","N/A"
"Milford School District","=""0840011""","The Academy","=""0840311""","Students with Disabilities","*","*"
"Milford School District","=""0840011""","West Shore Middle School","=""0845311""","Students with Disabilities",9,14.1
"Ansonia School District","=""0020011""","Ansonia High School","=""0026111""","Students with Disabilities",15,17.4
"Ansonia School District","=""0020011""","Ansonia Middle School","=""0025111""","Students with Disabilities",17,15.3
"Ansonia School District","=""0020011""","Mead School","=""0020311""","Students with Disabilities",10,8.8
"Ansonia School District","=""0020011""","P.A.C.E. (Positive And Creative Education)","=""0020111""","Students with Disabilities","N/A","*"
"Ansonia School District","=""0020011""","Prendergast School","=""0020811""","Students with Disabilities",7,5.6
"Andover School District","=""0010011""","Andover Elementary School","=""0010111""","Students with Disabilities","*","*"
"Ashford School District","=""0030011""","Ashford School","=""0030111""","Students with Disabilities","*","*"
"Cheshire School District","=""0250011""","Chapman School","=""0250111""","Students with Disabilities","N/A","N/A"
"Cheshire School District","=""0250011""","Cheshire High School","=""0256111""","Students with Disabilities",31,17.3
"Cheshire School District","=""0250011""","Cheshire Quinnipiac University Transition Collaborative","=""0250311""","Students with Disabilities","N/A","*"
"Cheshire School District","=""0250011""","Darcey School","=""0250211""","Students with Disabilities","N/A","N/A"
"Cheshire School District","=""0250011""","Dodd Middle School","=""0255111""","Students with Disabilities",8,12.9
"Cheshire School District","=""0250011""","Doolittle School","=""0250611""","Students with Disabilities","*","*"
"Cheshire School District","=""0250011""","Highland School","=""0250411""","Students with Disabilities","*","*"
"Cheshire School District","=""0250011""","Humiston Alternative School","=""0250911""","Students with Disabilities","N/A","*"
"Cheshire School District","=""0250011""","Norton School","=""0250511""","Students with Disabilities","N/A","N/A"
"Canton School District","=""0230011""","Canton Academy","=""0230411""","Students with Disabilities","N/A","*"
"Canton School District","=""0230011""","Canton High School","=""0236111""","Students with Disabilities","*","*"
"Canton School District","=""0230011""","Canton Intermediate School","=""0230311""","Students with Disabilities","*","*"
"Canton School District","=""0230011""","Canton Middle School","=""0235111""","Students with Disabilities","*","*"
"Canton School District","=""0230011""","Cherry Brook Primary School","=""0230211""","Students with Disabilities","N/A","N/A"
"Chaplin School District","=""0240011""","Chaplin Elementary School","=""0240211""","Students with Disabilities","N/A","N/A"
"Chester School District","=""0260011""","Chester Elementary School","=""0260111""","Students with Disabilities","*","*"
"Clinton School District","=""0270011""","Abraham Pierson School","=""0270111""","Students with Disabilities","*","*"
"Clinton School District","=""0270011""","Jared Eliot School","=""0275111""","Students with Disabilities","*","*"
"Clinton School District","=""0270011""","Lewin G. Joel Jr. School","=""0270311""","Students with Disabilities","N/A","N/A"
"Clinton School District","=""0270011""","The Morgan School","=""0276111""","Students with Disabilities",19,32.2
"Enfield School District","=""0490011""","Edgar H. Parkman - Autism Spectrum Disorder (ASD)","=""0490511""","Students with Disabilities","N/A","*"
"Enfield School District","=""0490011""","Edgar H. Parkman School","=""0491311""","Students with Disabilities","*","*"
"Enfield School District","=""0490011""","Eli Whitney School","=""0491611""","Students with Disabilities","*","*"
"Enfield School District","=""0490011""","Enfield High School","=""0496111""","Students with Disabilities",24,26.4
"Enfield School District","=""0490011""","Enfield Street - Autism Spectrum Disorder (ASD)","=""0490311""","Students with Disabilities","N/A","*"
"Enfield School District","=""0490011""","Enfield Street School","=""0490211""","Students with Disabilities","*","*"
"Enfield School District","=""0490011""","Enfield Transitional Learning Academy","=""0499011""","Students with Disabilities","N/A","*"
"Enfield School District","=""0490011""","Enrico Fermi High School","=""0496211""","Students with Disabilities",39,31.7
"Enfield School District","=""0490011""","Hazardville Memorial School","=""0490411""","Students with Disabilities","*","*"
"Enfield School District","=""0490011""","Head Start Program","=""0498011""","Students with Disabilities","N/A","*"
"Enfield School District","=""0490011""","Henry Barnard - Educational Counseling Program (ECP)","=""0490611""","Students with Disabilities","*","*"
"Enfield School District","=""0490011""","Henry Barnard School","=""0491811""","Students with Disabilities","*","*"
"Enfield School District","=""0490011""","John F. Kennedy Middle School","=""0495211""","Students with Disabilities",45,27.6
"Enfield School District","=""0490011""","Nathan Hale - Primary Adaptive Learning (PAL)","=""0490811""","Students with Disabilities","N/A","*"
"Enfield School District","=""0490011""","Nathan Hale School","=""0491111""","Students with Disabilities","*","*"
"Enfield School District","=""0490011""","Prudence Crandall - Educational Counseling Program (ECP)","=""0490711""","Students with Disabilities","*","*"
"Enfield School District","=""0490011""","Prudence Crandall School","=""0491511""","Students with Disabilities","*","*"
