"FTE Staffing Report for Trend"

"",,,,"Year",,,,
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",0.0,0.0,0.0,1.0,1.0
,,="Special Education - Teachers and Instructors",="Certified",3.0,2.0,2.0,3.0,4.0
,,="Instructional Specialists Who Support Teachers",="Certified",1.0,1.0,1.0,1.0,1.0
,,="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,1.0
,="Developmental Learning Center (DLC)",="General Education - Teachers and Instructors",="Certified",.,.,.,.,1.0
,,="Special Education - Teachers and Instructors",="Certified",.,.,1.0,2.0,4.0
,,="Instructional Specialists Who Support Teachers",="Certified",.,.,1.0,1.0,3.0
,="Preschool-Primary Learning Center (PLC)",="Administrators  Coordinators and Department Chairs - School Level",="Certified",.,.,.,.,1.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",.,.,1.0,1.0,0.7
,,="General Education - Teachers and Instructors",="Certified",.,.,.,.,1.0
,,="Special Education - Teachers and Instructors",="Certified",.,.,2.0,3.0,10.0
,,="Instructional Specialists Who Support Teachers",="Certified",.,.,.,.,4.5
,="Therapeutic Day Program",="Administrators  Coordinators and Department Chairs - School Level",="Certified",.,.,1.0,1.0,1.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",.,.,3.0,4.0,6.0
,,="General Education - Teachers and Instructors",="Certified",.,.,.,1.0,3.0
,,="Special Education - Teachers and Instructors",="Certified",.,.,5.0,7.0,17.0
,,="Instructional Specialists Who Support Teachers",="Certified",.,.,1.0,1.0,.
,"RISE Transitional Program","Special Education - Teachers and Instructors","Certified",.,.,.,1.0,.
"Cornwall School District","Cornwall Consolidated School","Administrators  Coordinators and Department Chairs - School Level","Certified",1.0,1.0,1.0,1.0,1.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",0.9,0.9,0.9,0.5,0.5
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",2.2,2.2,2.5,2.5,1.7
,,="General Education - Teachers and Instructors",="Certified",14.8,15.2,15.2,15.2,15.2
,,="Library/Media - Support Staff",="Non-Certified",0.8,0.8,0.8,0.9,0.9
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",4.8,4.8,4.9,4.9,4.2
,,="School Nurses",="Non-Certified",0.8,0.8,0.8,0.8,0.8
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",3.0,2.3,2.3,2.3,2.3
,,="Special Education - Teachers and Instructors",="Certified",1.0,1.0,1.0,1.0,1.0
,,="Instructional Specialists Who Support Teachers",="Certified",0.5,0.5,0.5,0.5,0.5
="Coventry School District",="Capt. Nathan Hale School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.1,2.1,2.1,1.3,1.5
,,="Counselors  Social Workers  and School Psychologists",="Certified",3.6,3.8,3.8,3.8,3.8
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",0.0,0.6,0.6,0.6,0.6
,,="General Education - Teachers and Instructors",="Certified",31.4,30.5,32.3,29.9,29.9
,,="Library/Media - Support Staff",="Non-Certified",0.5,0.5,0.4,0.4,0.6
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",9.9,9.8,9.1,8.8,8.8
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",7.0,9.0,8.0,8.0,5.0
,,="Special Education - Teachers and Instructors",="Certified",5.5,4.5,5.5,5.0,4.4
,,="Instructional Specialists Who Support Teachers",="Certified",1.8,1.7,1.5,1.5,1.5
,,="Library/Media - Specialists (Certified)",="Certified",0.3,.,0.6,0.6,0.6
,="Coventry Early Intervention Services",="Administrators  Coordinators and Department Chairs - School Level",="Certified",.,.,.,.,0.5
,,="Special Education - Teachers and Instructors",="Certified",1.5,3.0,4.0,3.9,3.4
,,="Instructional Specialists Who Support Teachers",="Certified",1.4,1.6,0.6,0.8,1.0
,="Coventry Grammar School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0,1.0,1.0,1.3,1.2
,,="Counselors  Social Workers  and School Psychologists",="Certified",1.0,1.4,1.4,1.4,1.6
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",9.6,10.2,11.2,11.2,9.6
,,="General Education - Teachers and Instructors",="Certified",19.9,22.1,24.5,24.6,24.6
,,="Library/Media - Support Staff",="Non-Certified",0.7,1.0,1.0,0.0,0.7
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",6.8,7.2,7.4,7.3,6.9
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",4.0,4.0,4.0,4.0,7.0
,,="Special Education - Teachers and Instructors",="Certified",3.0,3.0,3.0,3.4,3.6
,,="Instructional Specialists Who Support Teachers",="Certified",0.6,0.8,1.0,2.0,2.8
,,="Library/Media - Specialists (Certified)",="Certified",0.2,.,0.2,0.2,0.2
,="Coventry High School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.3,2.3,2.3,3.0,3.1
,,="Counselors  Social Workers  and School Psychologists",="Certified",5.0,5.0,5.0,5.0,5.0
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",2.0,2.0,2.5,2.5,2.5
,,="General Education - Teachers and Instructors",="Certified",32.4,36.3,38.2,37.9,37.3
,,="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",14.1,14.1,14.1,14.7,15.1
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",9.0,8.5,8.0,10.0,10.0
,,="Special Education - Teachers and Instructors",="Certified",5.0,6.0,6.0,5.9,5.0
,,="Instructional Specialists Who Support Teachers",="Certified",1.2,0.9,0.5,0.5,0.5
,,="Library/Media - Specialists (Certified)",="Certified",0.3,1.0,1.0,1.0,1.0
,="George Hersey Robertson School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0,1.0,1.0,1.3,1.2
,,="Counselors  Social Workers  and School Psychologists",="Certified",1.6,1.6,1.6,1.6,1.6
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",2.6,3.8,3.8,1.0,1.0
,,="General Education - Teachers and Instructors",="Certified",24.6,23.8,22.8,23.6,23.6
,,="Library/Media - Support Staff",="Non-Certified",0.5,1.4,1.1,0.6,0.6
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",7.5,7.3,7.4,7.4,7.3
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",8.0,7.0,7.0,6.0,6.0
,,="Special Education - Teachers and Instructors",="Certified",4.5,4.5,4.5,4.7,4.6
,,="Instructional Specialists Who Support Teachers",="Certified",0.4,0.4,0.4,0.6,1.6
,,="Library/Media - Specialists (Certified)",="Certified",0.2,.,0.2,0.2,0.2
,="Coventry Academy",="Administrators  Coordinators and Department Chairs - School Level",="Certified",.,.,.,.,0.0
,,="General Education - Teachers and Instructors",="Certified",.,.,.,.,1.0
,,="Special Education - Teachers and Instructors",="Certified",.,.,.,.,1.0
="Cromwell School District",="Cromwell High School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0,2.0,2.3,2.5,2.4
,,="Counselors  Social Workers  and School Psychologists",="Certified",4.0,4.0,4.0,4.0,4.0
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",6.7,2.3,6.2,3.3,2.5
,,="General Education - Teachers and Instructors",="Certified",36.8,40.8,40.6,40.0,39.5
,,="Library/Media - Support Staff",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",17.0,21.0,18.5,18.5,18.5
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",5.0,5.5,3.5,6.0,7.5
,,="Special Education - Teachers and Instructors",="Certified",5.5,4.5,4.5,6.0,7.0
,,="Instructional Specialists Who Support Teachers",="Certified",1.5,2.0,2.0,1.5,0.5
,,="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,1.0
,="Cromwell Middle School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",2.0,2.0,2.3,2.5,2.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",2.0,2.0,2.0,2.4,3.0
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",3.3,3.5,5.4,2.0,1.5
,,="General Education - Teachers and Instructors",="Certified",35.3,35.5,34.7,32.7,33.2
,,="Library/Media - Support Staff",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",12.0,10.0,11.5,11.8,11.8
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",5.0,5.0,3.0,7.0,6.0
,,="Special Education - Teachers and Instructors",="Certified",7.0,6.0,6.0,6.0,6.0
,,="Instructional Specialists Who Support Teachers",="Certified",1.9,2.4,1.4,0.9,0.9
,,="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,1.0
,="Edna C. Stevens School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.5,1.5,1.3,2.0,1.5
,,="Counselors  Social Workers  and School Psychologists",="Certified",1.0,1.0,1.0,1.0,1.0
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",8.3,12.8,12.7,6.5,4.5
,,="General Education - Teachers and Instructors",="Certified",29.7,30.2,29.2,29.2,29.3
,,="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",11.0,15.2,15.5,14.8,14.8
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",11.0,7.0,6.5,11.5,12.0
,,="Special Education - Teachers and Instructors",="Certified",4.0,5.0,5.0,5.0,6.0
,,="Instructional Specialists Who Support Teachers",="Certified",0.3,1.3,1.8,2.8,2.3
,,="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,1.0
,="Woodside Intermediate School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.5,1.5,1.3,2.0,1.5
,,="Counselors  Social Workers  and School Psychologists",="Certified",1.0,1.0,1.0,1.0,1.0
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",3.2,6.1,3.0,0.5,1.5
,,="General Education - Teachers and Instructors",="Certified",26.9,26.3,26.3,29.5,26.2
,,="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",11.0,15.7,15.5,15.8,15.8
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",7.5,5.5,2.8,8.5,9.0
,,="Special Education - Teachers and Instructors",="Certified",4.0,5.0,5.0,5.0,5.0
,,="Instructional Specialists Who Support Teachers",="Certified",2.3,2.3,2.8,2.8,2.3
,,="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,1.0
="Danbury School District",="Alternative Center For Excellence",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0,1.0,1.0,1.0,1.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",1.0,1.0,1.0,1.0,1.0
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",0.0,0.0,0.0,0.0,3.0
,,="General Education - Teachers and Instructors",="Certified",7.2,7.6,8.0,8.4,8.6
,,="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",1.9,1.7,1.7,2.9,2.9
,,="School Nurses",="Non-Certified",0.2,0.2,0.2,0.4,0.4
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",0.0,0.0,0.0,0.0,0.0
,,="Special Education - Teachers and Instructors",="Certified",1.0,1.0,1.0,1.0,1.0
,="Broadview Middle School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",3.0,3.0,3.0,3.0,3.3
,,="Counselors  Social Workers  and School Psychologists",="Certified",6.0,6.0,6.0,5.2,5.2
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",4.0,3.5,3.5,2.5,2.5
,,="General Education - Teachers and Instructors",="Certified",61.3,61.0,60.0,57.6,60.7
,,="Library/Media - Support Staff",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",17.7,18.7,18.7,19.7,20.5
,,="School Nurses",="Non-Certified",1.8,1.8,1.8,2.0,2.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",20.0,20.0,23.0,27.0,24.0
,,="Special Education - Teachers and Instructors",="Certified",11.2,12.2,13.2,12.2,13.2
,,="Instructional Specialists Who Support Teachers",="Certified",1.8,2.0,2.3,2.8,4.6
,,="Library/Media - Specialists (Certified)",="Certified",2.0,2.0,2.0,2.0,2.0
,="Danbury High School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",11.2,10.6,11.6,13.4,14.6
,,="Counselors  Social Workers  and School Psychologists",="Certified",17.4,16.8,16.8,18.0,18.4
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",7.0,4.0,5.0,5.0,7.0
,,="General Education - Teachers and Instructors",="Certified",150.2,144.7,148.5,152.3,154.4
,,="Library/Media - Support Staff",="Non-Certified",0.0,0.0,0.0,0.0,0.0
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",50.0,50.0,57.0,62.5,56.5
,,="School Nurses",="Non-Certified",3.0,2.5,2.5,2.5,2.5
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",25.0,34.0,33.0,36.0,38.0
,,="Special Education - Teachers and Instructors",="Certified",19.6,20.2,21.8,21.8,24.2
,,="Instructional Specialists Who Support Teachers",="Certified",4.4,3.4,3.4,4.4,3.6
,,="Library/Media - Specialists (Certified)",="Certified",3.0,3.0,3.0,3.0,3.0
,="Ellsworth Avenue School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0,1.0,1.0,1.0,1.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",1.2,1.4,1.4,1.6,1.6
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",3.9,2.9,3.3,3.3,3.3
,,="General Education - Teachers and Instructors",="Certified",24.1,23.6,22.6,25.8,26.8
,,="Library/Media - Support Staff",="Non-Certified",0.5,0.5,0.5,0.5,0.5
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",5.0,5.0,5.0,6.0,6.9
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",7.0,6.0,6.0,6.0,6.0
,,="Special Education - Teachers and Instructors",="Certified",2.0,2.5,2.0,2.0,2.0
,,="Instructional Specialists Who Support Teachers",="Certified",1.6,1.8,1.8,2.0,1.8
,,="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,1.0
,="Great Plain School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0,1.0,1.0,1.0,1.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",1.5,1.4,1.4,1.4,1.4
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",2.3,2.9,2.4,5.9,5.9
,,="General Education - Teachers and Instructors",="Certified",17.3,16.3,17.6,18.8,19.1
,,="Library/Media - Support Staff",="Non-Certified",0.5,0.5,0.5,0.5,0.5
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",5.4,5.5,5.5,6.5,6.0
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",12.0,14.0,10.0,14.0,15.0
,,="Special Education - Teachers and Instructors",="Certified",4.5,4.0,3.0,4.0,4.0
,,="Instructional Specialists Who Support Teachers",="Certified",1.4,1.6,1.6,2.1,2.1
,,="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,1.0
,="Hayestown Avenue School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0,1.0,1.0,1.0,2.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",1.4,1.4,1.6,2.0,2.0
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",4.5,3.0,3.0,3.0,3.5
,,="General Education - Teachers and Instructors",="Certified",23.7,24.0,23.8,24.5,23.6
,,="Library/Media - Support Staff",="Non-Certified",0.5,0.5,0.5,0.5,0.5
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",6.7,6.7,5.9,6.9,6.9
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",11.6,12.0,13.0,13.0,25.0
,,="Special Education - Teachers and Instructors",="Certified",3.0,3.0,4.0,7.0,7.0
,,="Instructional Specialists Who Support Teachers",="Certified",1.6,1.6,1.6,2.2,3.1
,,="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,1.0
,="King Street Intermediate School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0,1.0,1.0,1.0,1.5
,,="Counselors  Social Workers  and School Psychologists",="Certified",1.4,1.0,1.0,1.5,2.0
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",0.0,0.0,0.0,0.0,1.8
,,="General Education - Teachers and Instructors",="Certified",20.1,19.7,19.7,19.7,20.2
,,="Library/Media - Support Staff",="Non-Certified",0.5,0.5,0.5,0.5,0.5
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",5.5,5.3,5.5,6.6,6.6
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",6.0,5.0,3.0,4.0,4.0
,,="Special Education - Teachers and Instructors",="Certified",2.6,2.6,2.0,2.0,2.0
,,="Instructional Specialists Who Support Teachers",="Certified",2.0,1.6,1.6,1.4,0.9
,,="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,1.0
,="King Street Primary School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0,1.0,1.0,1.0,1.5
,,="Counselors  Social Workers  and School Psychologists",="Certified",0.2,1.0,1.0,1.4,1.4
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",5.0,2.5,2.5,3.5,3.5
,,="General Education - Teachers and Instructors",="Certified",21.0,23.2,22.2,25.3,25.4
,,="Library/Media - Support Staff",="Non-Certified",0.5,0.5,0.5,0.5,0.5
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",4.7,5.4,6.2,7.2,7.2
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",2.0,3.0,3.0,2.0,6.0
,,="Special Education - Teachers and Instructors",="Certified",1.4,1.4,2.0,2.0,2.0
,,="Instructional Specialists Who Support Teachers",="Certified",1.5,1.5,1.5,1.5,2.5
,,="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,1.0
,="Mill Ridge Educational Center",="Administrators  Coordinators and Department Chairs - School Level",="Certified",.,1.0,.,.,.
,,"Counselors  Social Workers  and School Psychologists","Certified",1.0,1.0,1.1,.,.
,,"General Education - Teachers and Instructors","Certified",.,.,1.0,.,.
,,"Special Education - Teachers and Instructors","Certified",8.6,8.6,8.0,.,.
,,"Instructional Specialists Who Support Teachers","Certified",5.0,5.2,5.0,.,.
,"Mill Ridge Primary School","Administrators  Coordinators and Department Chairs - School Level","Certified",1.0,1.0,1.0,1.0,1.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",1.0,1.2,1.2,1.5,1.6
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",2.8,2.8,3.8,3.8,5.0
,,="General Education - Teachers and Instructors",="Certified",21.3,22.4,22.0,22.9,25.8
,,="Library/Media - Support Staff",="Non-Certified",0.5,0.5,0.5,0.5,0.0
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",5.7,5.7,5.7,6.7,8.1
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",10.0,10.0,10.0,8.0,6.0
,,="Special Education - Teachers and Instructors",="Certified",2.8,3.0,3.0,3.0,3.0
,,="Instructional Specialists Who Support Teachers",="Certified",2.0,2.0,2.0,1.0,2.0
,,="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,1.0
,="Morris Street School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0,1.0,1.0,1.0,1.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",1.2,1.2,1.0,1.0,1.5
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",5.5,5.0,6.5,7.0,6.5
,,="General Education - Teachers and Instructors",="Certified",20.0,21.3,23.2,24.7,24.5
,,="Library/Media - Support Staff",="Non-Certified",0.5,0.5,0.5,0.5,0.5
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",6.2,6.2,6.2,7.2,7.2
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",5.0,6.0,12.0,13.0,7.0
,,="Special Education - Teachers and Instructors",="Certified",2.0,2.0,3.0,4.0,4.0
,,="Instructional Specialists Who Support Teachers",="Certified",1.6,1.6,1.7,2.0,2.0
,,="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,1.0
,="Park Avenue School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0,1.0,1.0,1.0,2.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",1.2,1.2,1.4,2.0,2.0
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",4.0,4.5,6.5,6.5,7.0
,,="General Education - Teachers and Instructors",="Certified",23.3,24.3,26.5,24.5,33.6
,,="Library/Media - Support Staff",="Non-Certified",0.5,0.5,0.5,0.5,0.5
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",5.4,6.0,6.0,7.5,8.0
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",3.0,3.0,3.0,4.0,5.0
,,="Special Education - Teachers and Instructors",="Certified",2.0,2.0,1.0,2.0,2.0
,,="Instructional Specialists Who Support Teachers",="Certified",1.2,1.2,1.2,1.0,1.5
,,="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,1.0
,="Pembroke School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0,1.0,1.0,1.0,1.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",1.8,1.6,1.6,1.8,1.5
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",3.9,1.5,1.5,1.5,1.5
,,="General Education - Teachers and Instructors",="Certified",20.1,20.0,18.2,20.6,21.5
,,="Library/Media - Support Staff",="Non-Certified",0.5,0.5,0.5,0.5,0.5
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",5.1,5.1,5.1,5.1,5.1
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",18.0,19.0,21.0,22.0,27.0
,,="Special Education - Teachers and Instructors",="Certified",6.0,6.0,7.2,7.2,7.2
,,="Instructional Specialists Who Support Teachers",="Certified",2.8,3.8,3.0,3.0,3.0
,,="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,1.0
,="Rogers Park Middle School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",3.0,3.0,3.0,4.0,4.3
,,="Counselors  Social Workers  and School Psychologists",="Certified",6.0,6.0,6.0,6.2,6.2
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",0.0,1.0,1.6,1.6,1.6
,,="General Education - Teachers and Instructors",="Certified",69.6,71.1,75.1,76.3,65.1
,,="Library/Media - Support Staff",="Non-Certified",2.0,2.0,2.0,2.0,1.0
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",20.0,22.0,22.5,25.5,20.9
,,="School Nurses",="Non-Certified",1.6,1.6,1.6,2.0,2.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",28.0,27.0,29.0,31.0,28.0
,,="Special Education - Teachers and Instructors",="Certified",11.4,11.0,10.0,12.0,10.0
,,="Instructional Specialists Who Support Teachers",="Certified",1.5,1.5,2.0,3.0,1.7
,,="Library/Media - Specialists (Certified)",="Certified",2.0,2.0,1.0,2.0,2.0
,="Shelter Rock School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0,1.0,1.0,1.0,1.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",1.0,1.4,1.4,2.0,1.4
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",4.0,5.0,4.0,5.1,4.5
,,="General Education - Teachers and Instructors",="Certified",22.0,23.3,22.1,23.1,26.5
,,="Library/Media - Support Staff",="Non-Certified",0.5,0.5,0.5,0.5,0.5
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",5.6,5.1,5.1,6.1,6.6
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",4.0,4.0,3.0,3.0,6.0
,,="Special Education - Teachers and Instructors",="Certified",1.8,0.8,1.8,1.8,1.8
,,="Instructional Specialists Who Support Teachers",="Certified",1.4,1.5,2.0,2.0,2.0
,,="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,1.0
,="South Street School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0,1.0,1.0,1.0,1.0
,,="Counselors  Social Workers  and School Psychologists",="Certified",1.2,1.2,1.0,1.6,1.6
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",2.1,2.6,2.0,2.0,2.0
,,="General Education - Teachers and Instructors",="Certified",21.5,20.7,20.9,23.0,23.7
,,="Library/Media - Support Staff",="Non-Certified",0.5,0.5,0.5,0.0,0.5
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",4.4,4.7,4.2,6.2,6.2
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
,,="Special Education - Paraprofessional Instructional Assistants",="Non-Certified",6.0,6.0,4.0,5.0,8.0
,,="Special Education - Teachers and Instructors",="Certified",2.0,2.0,2.0,2.0,2.0
,,="Instructional Specialists Who Support Teachers",="Certified",1.5,1.5,2.0,2.0,2.0
,,="Library/Media - Specialists (Certified)",="Certified",1.0,1.0,1.0,1.0,1.0
,="Stadley Rough School",="Administrators  Coordinators and Department Chairs - School Level",="Certified",1.0,1.0,1.0,1.0,.
,,"Counselors  Social Workers  and School Psychologists","Certified",1.4,1.4,1.4,1.5,2.1
,,="General Education - Paraprofessional Instructional Assistants",="Non-Certified",4.5,2.5,2.5,4.3,4.3
,,="General Education - Teachers and Instructors",="Certified",26.1,26.5,28.5,27.6,28.9
,,="Library/Media - Support Staff",="Non-Certified",0.5,0.5,0.5,0.5,0.5
,,="Other Staff Providing Non-Instructional Services/Support",="Certified/Non-Certified",5.8,5.8,5.9,7.4,7.4
,,="School Nurses",="Non-Certified",1.0,1.0,1.0,1.0,1.0
