"Overall Expenditures, Trend"
"All Districts"

"",,"Year",,,,
,="Instruction and Educational Media Services",342533,357025,430851,411687,568563
,="Student Support Services",716472,716263,1309929,1673705,1740791
,="Administration and Support Services",3158560,3166092,3457231,3141031,3515430
,="Plant Operation and Maintenance",1946563,1719153,1300268,1540291,1316519
,="Transportation",1278470,1360532,1553002,1586095,1481513
,="Students Tuitioned Out",1366536,1487216,1271199,1034394,2024569
,="Other",87600,87600,92856,76608,168120
,="Total Expenditures",21419204,21413809,21380248,21823205,22921169
="Eastford School District",="Instructional Staff and Services",1752949,1639157,1647278,1663594,1689673
,="Instructional Supplies and Equipment",66844,64305,82275,67692,33545
,="Instruction and Educational Media Services",56821,58001,75479,138030,97407
,="Student Support Services",271514,283275,268769,286889,276063
,="Administration and Support Services",284129,367955,346172,371202,403327
,="Plant Operation and Maintenance",282675,261677,292687,271519,290504
,="Transportation",213740,217542,240414,247541,240434
,="Students Tuitioned Out",66779,62146,96240,54694,80638
,="Other",0,0,0,0,0
,="Total Expenditures",2995451,2954058,3049314,3101161,3111591
="Easton School District",="Instructional Staff and Services",10166330,10514505,10589402,10669578,10964816
,="Instructional Supplies and Equipment",183586,190904,209217,296105,196570
,="Instruction and Educational Media Services",356370,434395,443838,425228,377679
,="Student Support Services",190357,191157,191806,201349,190862
,="Administration and Support Services",1778355,1837848,1925782,2111928,2052088
,="Plant Operation and Maintenance",1639069,1449101,1582598,1565616,1464775
,="Transportation",1096123,1049567,1081921,1119097,1057692
,="Students Tuitioned Out",148650,353146,251891,275077,278720
,="Other",6148,354,598,30,3741
,="Total Expenditures",15564988,16020977,16277053,16664008,16586943
="Ellington School District",="Instructional Staff and Services",18459903,19089964,19087434,20595568,20267777
,="Instructional Supplies and Equipment",411695,548377,579043,857475,710186
,="Instruction and Educational Media Services",833532,899595,907449,1609598,1574661
,="Student Support Services",2374134,2423800,2680526,2611165,3743886
,="Administration and Support Services",2300665,2508906,2566018,2688934,2872119
,="Plant Operation and Maintenance",3099295,2978634,3477856,3322270,3439316
,="Transportation",1776761,1779425,1890077,1941802,1892298
,="Students Tuitioned Out",1154854,1294091,1341184,1345591,1277747
,="Other",380215,451042,449317,443393,486510
,="Total Expenditures",30791054,31973834,32978904,35415796,36264500
="Elm City College Preparatory School District",="Instructional Staff and Services",3136025,4572425,3806463,4100035,3838899
,="Instructional Supplies and Equipment",568436,198653,229268,305199,1002399
,="Instruction and Educational Media Services",1222505,323427,442915,257841,316975
,="Student Support Services",724115,494771,807229,946719,870766
,="Administration and Support Services",1607151,2273656,2406845,2247901,2967283
,="Plant Operation and Maintenance",176150,248654,356684,362384,496358
,="Transportation",21624,68836,52798,73809,127041
,="Students Tuitioned Out",N/A,N/A,N/A,N/A,N/A
,"Other",382100,391842,371155,413494,409223
,="Total Expenditures",7838106,8572264,8473357,8707382,10028944
="Elm City Montessori School District",="Instructional Staff and Services",N/A,N/A,N/A,N/A,597554
,="Instructional Supplies and Equipment",N/A,N/A,N/A,N/A,375533
,="Instruction and Educational Media Services",N/A,N/A,N/A,N/A,149475
,="Student Support Services",N/A,N/A,N/A,N/A,236285
,="Administration and Support Services",N/A,N/A,N/A,N/A,223724
,="Plant Operation and Maintenance",N/A,N/A,N/A,N/A,135376
,="Transportation",N/A,N/A,N/A,N/A,0
,="Students Tuitioned Out",N/A,N/A,N/A,N/A,N/A
,"Other",N/A,N/A,N/A,N/A,41082
,="Total Expenditures",N/A,N/A,N/A,N/A,1759029
="Enfield School District",="Instructional Staff and Services",46355322,45114872,49363612,48535866,47687462
,="Instructional Supplies and Equipment",1125894,1101873,636865,954661,953255
,="Instruction and Educational Media Services",693708,767894,826405,1134708,1368309
,="Student Support Services",5307812,5094808,1007982,1111376,1066039
,="Administration and Support Services",8471632,8562645,8993734,10089270,10525057
,="Plant Operation and Maintenance",5936314,6826929,7052631,7427724,7309869
,="Transportation",3408832,3910093,4183146,4310074,4526038
,="Students Tuitioned Out",2952723,2956354,3962132,4157838,4417519
,="Other",986747,1130658,934016,1032693,1180994
,="Total Expenditures",75238984,75466126,76960523,78754210,79034542
="Essex School District",="Instructional Staff and Services",4381720,4409416,4443475,4436382,4348646
,="Instructional Supplies and Equipment",160648,130086,141810,152833,143168
,="Instruction and Educational Media Services",113579,112302,73263,85991,73507
,="Student Support Services",825813,968109,992933,1009505,1050648
,="Administration and Support Services",954823,971311,943573,949940,948451
,="Plant Operation and Maintenance",618731,685290,672420,683001,705971
,="Transportation",304563,313315,342848,300915,310563
,="Students Tuitioned Out",47108,48926,206752,247350,276089
,="Other",1027,15436,34250,28757,92089
,="Total Expenditures",7408012,7654191,7851324,7894674,7949132
="Explorations District",="Instructional Staff and Services",598458,603634,628716,716408,810969
,="Instructional Supplies and Equipment",12783,9938,5558,9549,10604
,="Instruction and Educational Media Services",18802,14250,31794,24223,32132
,="Student Support Services",51217,55411,88504,65984,68569
,="Administration and Support Services",229807,243231,245358,204759,203042
,="Plant Operation and Maintenance",189062,182302,167960,207894,231105
,="Transportation",14112,19375,57830,63595,53568
,="Students Tuitioned Out",N/A,N/A,N/A,N/A,N/A
,"Other",10200,10107,6575,6250,5743
,="Total Expenditures",1124441,1138248,1232295,1298662,1415732
="Fairfield School District",="Instructional Staff and Services",81670230,84683263,86239551,88489633,93155073
,="Instructional Supplies and Equipment",2128695,1896735,1743386,1342890,1344439
,="Instruction and Educational Media Services",10440867,9533876,10156753,9894093,10502002
,="Student Support Services",10931039,11431087,11655239,11968582,12446649
,="Administration and Support Services",16860867,17291596,17710440,17556461,18267033
,="Plant Operation and Maintenance",15296907,16077512,16347448,16049264,15874357
,="Transportation",7973517,8035610,8323529,8368377,8750829
,="Students Tuitioned Out",4876690,4482018,5369531,6440182,6822720
,="Other",2115102,1951798,2030366,2051300,2008728
,="Total Expenditures",152293914,155383495,159576243,162160782,169171830
="Farmington School District",="Instructional Staff and Services",34947604,35971374,39240150,38791387,39531073
,="Instructional Supplies and Equipment",759668,1127528,1045435,1756146,1583372
,="Instruction and Educational Media Services",1632200,1794008,1977439,3897251,2504917
,="Student Support Services",3727233,3894138,3860385,4083724,4509279
,="Administration and Support Services",4346561,4643976,4130760,4263235,4471952
,="Plant Operation and Maintenance",5536937,6160792,4885621,5146136,8005389
,="Transportation",2730514,2959099,3113816,3052298,3206646
,="Students Tuitioned Out",2400628,2338248,2660477,2270156,2242055
,="Other",246795,246186,205094,207460,151450
,="Total Expenditures",56328140,59135349,61119177,63467793,66206133
="Franklin School District",="Instructional Staff and Services",1724489,1715226,1605307,1611243,1633990
,="Instructional Supplies and Equipment",4604,48764,24052,1746,23178
,="Instruction and Educational Media Services",4292,14122,26384,21308,134231
,="Student Support Services",157682,156563,150231,147890,170999
,="Administration and Support Services",334211,357875,355113,374995,379453
,="Plant Operation and Maintenance",324306,370395,372067,401090,337586
,="Transportation",212024,260269,260631,321364,230435
,="Students Tuitioned Out",252635,184342,228642,280490,152663
,="Other",30131,16681,0,7516,0
,="Total Expenditures",3044374,3124237,3022427,3167642,3062535
="Glastonbury School District",="Instructional Staff and Services",50267465,50792885,52056757,53450185,54028403
,="Instructional Supplies and Equipment",1828645,2710583,1576797,2591245,3227715
,="Instruction and Educational Media Services",4664781,5016491,4928649,5167883,5249586
,="Student Support Services",4989799,5156934,5428585,5635837,5809798
,="Administration and Support Services",9898202,9735726,9965197,11288970,10336850
,="Plant Operation and Maintenance",9434847,9661582,10158677,10291617,10880864
,="Transportation",4981096,5230976,5290662,5351795,5763671
,="Students Tuitioned Out",4986437,4305457,4337203,3890179,4418181
,="Other",1095580,1192999,1374944,1300308,1343737
,="Total Expenditures",92146852,93803633,95117471,98968019,101058805
="Granby School District",="Instructional Staff and Services",15819338,15910544,15769566,15776568,15852576
,="Instructional Supplies and Equipment",1077659,967293,838474,835105,987884
,="Instruction and Educational Media Services",856597,973201,970106,951397,1063566
,="Student Support Services",1676266,1817112,1971261,2021106,2201090
,="Administration and Support Services",3042913,2865233,3001208,2952726,3100786
,="Plant Operation and Maintenance",3247581,3081319,3354401,3368594,3266047
,="Transportation",1301341,1428164,1230087,1173925,1234580
,="Students Tuitioned Out",821732,1000083,1032305,1219975,1414461
,="Other",557467,553714,578892,627892,645610
,="Total Expenditures",28400894,28596663,28746300,28927288,29766600
="Great Oaks Charter School District",="Instructional Staff and Services",N/A,N/A,N/A,N/A,633266
,="Instructional Supplies and Equipment",N/A,N/A,N/A,N/A,180270
,="Instruction and Educational Media Services",N/A,N/A,N/A,N/A,455164
,="Student Support Services",N/A,N/A,N/A,N/A,37564
,="Administration and Support Services",N/A,N/A,N/A,N/A,436455
,="Plant Operation and Maintenance",N/A,N/A,N/A,N/A,137098
,="Transportation",N/A,N/A,N/A,N/A,0
,="Students Tuitioned Out",N/A,N/A,N/A,N/A,N/A
,"Other",N/A,N/A,N/A,N/A,73238
,="Total Expenditures",N/A,N/A,N/A,N/A,1953055
="Greenwich School District",="Instructional Staff and Services",107833701,105446093,108334937,123795353,130429647
,="Instructional Supplies and Equipment",3169743,3142239,3585909,3161850,3098319
,="Instruction and Educational Media Services",2641621,2834305,3435577,4062061,4181162
,="Student Support Services",10838065,10921443,10864289,12283827,12661559
,="Administration and Support Services",15203751,14569464,15010951,16574532,18243564
,="Plant Operation and Maintenance",16502998,13151568,12985005,14042393,13656932
,="Transportation",4879582,5132712,4955319,5232144,5411923
,="Students Tuitioned Out",3772468,4490011,4035698,4732224,4742011
,="Other",0,0,0,0,0
,="Total Expenditures",164841929,159687835,163207685,183884384,192425117
="Griswold School District",="Instructional Staff and Services",17118222,15449919,14899071,14955992,14709221
,="Instructional Supplies and Equipment",399161,262873,173010,160883,207975
,="Instruction and Educational Media Services",202343,364435,231285,595780,245204
,="Student Support Services",890830,975999,1051401,735770,1057836
,="Administration and Support Services",3639399,3567691,3968546,4115958,3847432
,="Plant Operation and Maintenance",2426902,2422788,2760997,2799703,4647320
,="Transportation",1577869,1685725,1565423,1691867,1548753
,="Students Tuitioned Out",718151,882343,1095576,1457925,1022921
,="Other",392823,396199,297848,352641,462697
,="Total Expenditures",27365700,26007972,26043157,26866519,27749359
="Groton School District",="Instructional Staff and Services",43937423,42536270,43425972,43728356,40873799
,="Instructional Supplies and Equipment",1739867,1370466,2270619,1154881,700759
,="Instruction and Educational Media Services",2680882,2681915,2298759,2058296,4063634
,="Student Support Services",5901122,5772305,5520000,5249761,8243814
,="Administration and Support Services",7924941,9573643,7974144,7215867,7920192
,="Plant Operation and Maintenance",8046355,8014756,7267689,7320951,7126092
,="Transportation",4200371,4323037,4870087,5218444,4679582
,="Students Tuitioned Out",2537751,3097707,3828540,4957309,5109722
,="Other",0,0,0,100000,0
,="Total Expenditures",76968712,77370099,77455810,77003865,78717594
="Guilford School District",="Instructional Staff and Services",30094247,30310482,30692634,31842450,33177744
,="Instructional Supplies and Equipment",882637,919434,917620,1026090,986891
,="Instruction and Educational Media Services",1569786,1776659,1744322,1831344,1934301
,="Student Support Services",3325368,3374407,3296924,3440345,3631027
,="Administration and Support Services",5309736,5315351,5700868,5721128,5883276
,="Plant Operation and Maintenance",4477702,4691155,5013197,5091838,5319533
,="Transportation",3108314,3044872,3264217,3357953,3333638
,="Students Tuitioned Out",2737212,3140062,3856379,3713829,3870103
,="Other",706765,718203,729111,788293,819023
,="Total Expenditures",52211767,53290625,55215272,56813270,58955536
="Hamden School District",="Instructional Staff and Services",61214976,59250839,61039934,63288405,64680783
,="Instructional Supplies and Equipment",829643,740817,941260,1369728,2424480
,="Instruction and Educational Media Services",1245919,1428837,1424898,1499809,1490911
,="Student Support Services",7282135,8082060,8248041,8104349,8423414
,="Administration and Support Services",9197442,9439062,9582151,9726732,10062741
,="Plant Operation and Maintenance",10391123,10456178,10191896,10804015,11500979
,="Transportation",6566854,6727969,7145353,7374492,7741532
,="Students Tuitioned Out",11212279,10370205,10595947,10385491,10748783
,="Other",896980,940187,1012011,987190,1038045
,="Total Expenditures",108837351,107436154,110181491,113540211,118111668
="Hampton School District",="Instructional Staff and Services",1430075,1439907,1326210,1221077,1262688
,="Instructional Supplies and Equipment",42061,33441,48811,52356,26700
,="Instruction and Educational Media Services",73476,82664,79982,60869,62648
,="Student Support Services",176543,182704,204848,240655,241497
,="Administration and Support Services",335529,364587,344790,372458,315131
,="Plant Operation and Maintenance",188479,431425,230191,216803,240254
,="Transportation",151846,148980,148037,158110,154536
,="Students Tuitioned Out",0,16567,9137,9000,19525
,="Other",27296,17798,20000,7589,15809
,="Total Expenditures",2425305,2718073,2412006,2338917,2338788
="Hartford School District",="Instructional Staff and Services",190625798,192251811,194221360,194348611,N/A
,"Instructional Supplies and Equipment",12843318,6997940,10764164,11314153,N/A
,"Instruction and Educational Media Services",7350042,6716890,7006942,9074801,N/A
,"Student Support Services",25176993,27121589,29100518,30558051,N/A
,"Administration and Support Services",44460967,48594069,48861848,53208272,N/A
,"Plant Operation and Maintenance",43040865,40439978,35200588,38940865,N/A
,"Transportation",26724310,27219201,26962976,25295126,N/A
,"Students Tuitioned Out",39320800,41748790,48034401,55532756,N/A
,"Other",288917,246188,175628,206433,N/A
,"Total Expenditures",389832010,391336456,400328425,418479068,N/A
"Hartland School District","Instructional Staff and Services",1657011,1681778,1731118,1893049,1812861
,="Instructional Supplies and Equipment",62477,69902,57570,62271,46098
,="Instruction and Educational Media Services",200978,182058,176176,221392,224069
,="Student Support Services",385327,405343,395632,391289,437905
,="Administration and Support Services",409380,407167,435311,426872,441634
,="Plant Operation and Maintenance",273956,256780,292937,299264,326015
,="Transportation",268490,248333,247395,229156,273734
,="Students Tuitioned Out",54314,87826,115648,194000,272800
,="Other",127979,129744,137721,621134,145790
,="Total Expenditures",3439912,3468931,3589508,4338427,3980906
="Hebron School District",="Instructional Staff and Services",7930217,8069502,7902526,7710621,7498877
,="Instructional Supplies and Equipment",185195,301717,118919,173960,184181
,="Instruction and Educational Media Services",453736,536223,603726,523258,745738
,="Student Support Services",912965,976959,911756,864130,982234
,="Administration and Support Services",1139336,1006794,1309563,1539505,1373787
,="Plant Operation and Maintenance",1258043,992577,996406,1029534,1190436
,="Transportation",518459,504567,548990,516403,544563
,="Students Tuitioned Out",54330,34180,151153,146268,225867
,="Other",0,0,0,0,0
,="Total Expenditures",12452281,12422519,12543039,12503679,12745683
="Highville Charter School District",="Instructional Staff and Services",1582577,1646505,2038854,2178576,2140361
,="Instructional Supplies and Equipment",59575,187179,180454,114378,72078
,="Instruction and Educational Media Services",55175,39142,74513,96447,146975
,="Student Support Services",121282,106314,113740,67075,102222
,="Administration and Support Services",596808,597422,646723,718818,1125767
,="Plant Operation and Maintenance",565249,552726,644557,753777,733512
,="Transportation",24225,52032,73313,43673,7675
,="Students Tuitioned Out",N/A,N/A,N/A,N/A,N/A
,"Other",238049,263854,285089,322689,297946
,="Total Expenditures",3242940,3445174,4057243,4295433,4626536
="Integrated Day Charter School District",="Instructional Staff and Services",1956629,1972421,1943051,2030781,2108599
,="Instructional Supplies and Equipment",42238,38343,63485,104454,145660
,="Instruction and Educational Media Services",104082,154818,141304,157502,157613
,="Student Support Services",88297,80875,105186,172711,185258
,="Administration and Support Services",556330,575961,651346,722651,811075
,="Plant Operation and Maintenance",415894,415085,373094,395607,426766
,="Transportation",5374,5731,9720,6937,11378
,="Students Tuitioned Out",N/A,N/A,N/A,N/A,N/A
,"Other",112260,113141,113581,152693,206773
,="Total Expenditures",3281104,3356375,3400767,3743336,4053122
="Interdistrict School for Arts and Comm District",="Instructional Staff and Services",1472065,1555889,1554210,1844083,1854176
,="Instructional Supplies and Equipment",34321,49462,48827,112213,57470
,="Instruction and Educational Media Services",8890,46958,157953,280453,259046
,="Student Support Services",59491,93919,67420,132315,160589
,="Administration and Support Services",379381,475596,488095,698053,665322
,="Plant Operation and Maintenance",236355,215047,233051,293991,408001
,="Transportation",7163,9472,4258,6077,9796
,="Students Tuitioned Out",N/A,N/A,N/A,N/A,N/A
,"Other",0,0,0,0,0
,="Total Expenditures",2197666,2446343,2553814,3367185,3414400
="Jumoke Academy District",="Instructional Staff and Services",2503105,2482850,3349724,3991265,4301188
,="Instructional Supplies and Equipment",112532,126796,212492,340153,472372
,="Instruction and Educational Media Services",264839,308706,457039,24675,78197
,="Student Support Services",327784,709989,1006309,883618,1168841
,="Administration and Support Services",880042,985543,1205970,1258299,1584330
,="Plant Operation and Maintenance",610671,573705,930109,941390,913359
,="Transportation",0,0,359,735,1545
,="Students Tuitioned Out",N/A,N/A,N/A,N/A,N/A
,"Other",14,4046,7180,1076,371
,="Total Expenditures",4698987,5191635,7169182,7441211,8520203
="Kent School District",="Instructional Staff and Services",2886000,2990647,3074235,3144482,3554169
,="Instructional Supplies and Equipment",135075,131063,121909,143560,157149
,="Instruction and Educational Media Services",122515,105391,100617,114317,120486
,="Student Support Services",302979,316610,335654,337134,280631
,="Administration and Support Services",486631,527968,542009,581739,578683
,="Plant Operation and Maintenance",498330,492152,595983,549053,542920
,="Transportation",346248,354233,359534,389771,410550
,="Students Tuitioned Out",71869,182227,187885,182288,0
,="Other",7500,10500,13420,29794,30547
,="Total Expenditures",4857147,5110791,5331246,5472138,5675135
="Killingly School District",="Instructional Staff and Services",20538354,20635872,20676105,21077602,20311837
,="Instructional Supplies and Equipment",614022,496663,342476,615294,420966
,="Instruction and Educational Media Services",1926642,1834937,2194989,2307317,2280771
,="Student Support Services",1834819,2156398,2328321,2146123,2157515
,="Administration and Support Services",3816830,4064204,4173176,4035883,4548733
,="Plant Operation and Maintenance",4130826,4028338,4021469,4288657,4513885
,="Transportation",2405214,2559503,2566617,2255686,3179496
,="Students Tuitioned Out",3615034,3402578,3950019,5576908,5881300
,="Other",0,0,0,0,0
,="Total Expenditures",38881741,39178493,40253172,42303470,43294503
="Lebanon School District",="Instructional Staff and Services",11399480,10045438,9381251,10482140,10376100
,="Instructional Supplies and Equipment",398336,288611,494525,502665,552134
,="Instruction and Educational Media Services",282387,400611,420976,397331,402108
,="Student Support Services",620235,1145523,1350288,591137,568008
,="Administration and Support Services",1892290,1983810,1873488,1774429,1480452
,="Plant Operation and Maintenance",1764137,1960113,2126072,2562259,2412567
,="Transportation",1244043,1226870,1214500,1299718,1303626
,="Students Tuitioned Out",1158341,1133611,1358890,1701254,1660174
,="Other",69781,237711,210694,341954,451386
,="Total Expenditures",18829030,18422298,18430684,19652887,19206555
="Ledyard School District",="Instructional Staff and Services",18988231,19205458,19749393,19963295,20976013
,="Instructional Supplies and Equipment",924021,1038420,605793,514194,922276
,="Instruction and Educational Media Services",1007038,969002,888577,952723,1145780
,="Student Support Services",1926466,2010894,2105237,2178548,2184766
,="Administration and Support Services",3904323,4239789,4204557,4354454,4896392
,="Plant Operation and Maintenance",2753921,2694463,2740408,2894074,3360855
,="Transportation",2389895,2672343,2726586,2581167,2435412
,="Students Tuitioned Out",2084989,1945783,2337478,2298052,2112350
,="Other",382167,407079,400575,419045,371866
,="Total Expenditures",34361051,35183231,35758604,36155552,38405710
="Lisbon School District",="Instructional Staff and Services",4539863,4552257,4291400,4014506,4002987
,="Instructional Supplies and Equipment",266103,85335,62679,158615,155342
,="Instruction and Educational Media Services",29424,26369,26828,46100,77428
,="Student Support Services",626990,655900,730087,572039,581861
,="Administration and Support Services",725698,722182,656139,630838,676903
,="Plant Operation and Maintenance",740936,664902,555368,564540,815418
,="Transportation",605056,681984,666181,647098,652162
,="Students Tuitioned Out",469007,576286,601638,740219,537492
,="Other",0,0,0,12156,28329
,="Total Expenditures",8003077,7965215,7590320,7386111,7527922
="Litchfield School District",="Instructional Staff and Services",9049219,8828839,9048864,9186243,9282921
,="Instructional Supplies and Equipment",246679,201568,263259,200177,322591
,="Instruction and Educational Media Services",1054012,1147141,895937,964004,1055300
,="Student Support Services",1352996,1485714,1467166,1312302,1517648
,="Administration and Support Services",1592396,1590017,1670576,1651773,1754519
,="Plant Operation and Maintenance",1879341,1902469,1863712,1896620,1836805
,="Transportation",1006267,1159040,1124925,1140301,1147286
,="Students Tuitioned Out",707957,961989,1048971,872138,809256
,="Other",344787,385341,401635,428995,479422
,="Total Expenditures",17233654,17662118,17785045,17652553,18205748
="Madison School District",="Instructional Staff and Services",27513111,27542450,27454059,28322051,28307267
,="Instructional Supplies and Equipment",1290135,1363696,1309217,1299395,1022589
,="Instruction and Educational Media Services",1945567,2053358,1924717,2124311,2570372
,="Student Support Services",4007934,4072682,4127908,4023399,4250157
,="Administration and Support Services",3957198,4002325,4263752,3894217,4027412
,="Plant Operation and Maintenance",5105348,5146508,5005566,5328809,5825125
,="Transportation",3098971,3203400,3252427,3460910,3439856
,="Students Tuitioned Out",1644766,1480668,1590409,1811137,1720777
,="Other",1289124,1368341,1297538,1326632,1491187
,="Total Expenditures",49852154,50233428,50225593,51590861,52654742
="Manchester School District",="Instructional Staff and Services",60703629,62458493,60677802,60999421,63536721
,="Instructional Supplies and Equipment",2294864,1601708,1323149,1640133,1816268
,="Instruction and Educational Media Services",3921477,3644258,4611582,5945408,8044070
,="Student Support Services",6676185,6846253,7151209,7397622,7554389
,="Administration and Support Services",10490719,10492087,10710421,11900716,12204899
,="Plant Operation and Maintenance",10813127,10659471,10499105,11221221,11145906
,="Transportation",4083129,3688610,5010022,5178471,5277222
,="Students Tuitioned Out",5725437,6299327,6512862,6724969,6451138
,="Other",1360283,1591601,1478249,1546475,1343307
,="Total Expenditures",106068850,107281808,107974401,112554436,117373920
="Mansfield School District",="Instructional Staff and Services",13564750,13154361,13510656,13515463,14166825
,="Instructional Supplies and Equipment",518051,653309,532240,816359,742792
,="Instruction and Educational Media Services",619567,590757,725332,568343,577831
,="Student Support Services",947649,1299104,1171811,1300370,1355209
,="Administration and Support Services",2840711,2851436,2881236,2789744,2896824
,="Plant Operation and Maintenance",1771397,1780962,1725370,1691488,1581540
,="Transportation",960855,1065905,948490,935870,1008862
,="Students Tuitioned Out",420014,533400,518710,479199,480637
,="Other",81451,92159,89051,81912,93093
,="Total Expenditures",21724445,22021393,22102896,22178748,22903613
="Marlborough School District",="Instructional Staff and Services",4870087,4956409,4923647,4923856,4916149
,="Instructional Supplies and Equipment",94734,156434,125294,171123,263072
,="Instruction and Educational Media Services",215596,211550,237276,281844,295986
,="Student Support Services",291371,252579,219487,132200,138220
,="Administration and Support Services",679130,673256,734103,754037,748541
,="Plant Operation and Maintenance",716876,646518,666961,727520,723765
,="Transportation",324677,331550,365578,358363,340462
,="Students Tuitioned Out",11889,1410,47300,36911,131115
,="Other",0,0,45000,0,0
,="Total Expenditures",7204360,7229706,7364646,7385854,7557310
="Meriden School District",="Instructional Staff and Services",63655208,62874044,62977922,67239127,68926265
,="Instructional Supplies and Equipment",814620,1755461,2029201,2565828,2647809
,="Instruction and Educational Media Services",1243343,1079611,929657,1016108,867472
,="Student Support Services",8391375,7909536,7935019,8141372,8535035
,="Administration and Support Services",9926811,10150603,10443745,10506948,10771398
,="Plant Operation and Maintenance",10774961,11932666,12491050,12720231,12743603
,="Transportation",5674279,5961082,6109955,6428055,6478189
,="Students Tuitioned Out",16367727,15406146,12138770,11271479,11720541
,="Other",714638,754510,854725,1002470,1043435
,="Total Expenditures",117562962,117823659,115910044,120891618,123733747
="Middletown School District",="Instructional Staff and Services",43680692,40532927,43497008,45793499,47064130
,="Instructional Supplies and Equipment",786134,773840,869218,1011165,1375902
,="Instruction and Educational Media Services",1463532,1263296,1844962,1431031,1843516
,="Student Support Services",3933656,4975001,4150298,4368191,4227024
,="Administration and Support Services",5296402,6341281,5917631,6177366,6284871
,="Plant Operation and Maintenance",8695713,8334131,8309206,8951460,8615782
,="Transportation",5871625,5984883,6294621,6653928,7281449
,="Students Tuitioned Out",5283269,5486330,5948736,6282463,7128222
,="Other",993970,1726340,1577670,1338310,1628192
,="Total Expenditures",76004993,75418029,78409350,82007413,85449088
="Milford School District",="Instructional Staff and Services",70493946,70227114,71171816,72491397,71823884
,="Instructional Supplies and Equipment",2652206,2888827,2949790,3023819,3592245
,="Instruction and Educational Media Services",1878051,1906134,1906099,2001561,2136010
,="Student Support Services",3072535,3267832,3347868,3378782,3467188
,="Administration and Support Services",8743064,9234271,10545232,11014021,11552185
,="Plant Operation and Maintenance",11360360,11740973,11171941,11143512,12265846
,="Transportation",4151459,4277828,4536962,4699076,4474450
,="Students Tuitioned Out",3478612,3519285,3869418,4418368,4638394
,="Other",935211,1037083,1115085,2025851,1289549
,="Total Expenditures",106765444,108099347,110614211,114196387,115239751
="Monroe School District",="Instructional Staff and Services",32179219,32317588,31817235,30970059,31029104
,="Instructional Supplies and Equipment",1165888,696524,577168,474964,460348
,="Instruction and Educational Media Services",2011397,1980779,2263889,2618153,2944666
,="Student Support Services",3823980,3969113,4104411,3533027,3772788
,="Administration and Support Services",4714023,4673941,4493180,5507948,5651739
,="Plant Operation and Maintenance",5918677,5609336,5913308,5428281,5262401
,="Transportation",2334930,2445811,2551718,2569418,2861481
,="Students Tuitioned Out",1292901,1433496,1795727,1847741,2180682
,="Other",312028,449780,517812,539479,546804
,="Total Expenditures",53753043,53576368,54034448,53489070,54710013
="Montville School District",="Instructional Staff and Services",22592931,22262607,21837212,21880785,22388678
,="Instructional Supplies and Equipment",1318817,1583897,856145,1058837,945535
,="Instruction and Educational Media Services",771891,769346,827766,807310,791977
,="Student Support Services",2187443,2199679,2359706,2301221,2257282
,="Administration and Support Services",3254757,3244403,3271274,3316696,3281786
,="Plant Operation and Maintenance",4120452,4118491,4096148,4177237,3881166
,="Transportation",2116210,2423854,2370697,2258996,2751946
,="Students Tuitioned Out",951500,1082700,1066828,1168182,1413777
,="Other",574118,508971,567433,576566,582625
,="Total Expenditures",37888119,38193948,37253209,37545830,38294772
="Naugatuck School District",="Instructional Staff and Services",40178982,41168301,40506733,40980395,41384538
,="Instructional Supplies and Equipment",658217,902596,870796,846342,1019535
,="Instruction and Educational Media Services",758427,821404,852224,745056,1035146
,="Student Support Services",4113506,4202897,4494449,4365822,4807363
,="Administration and Support Services",7343964,7151553,7634132,8397205,8900205
,="Plant Operation and Maintenance",5711826,6194580,5912898,6434125,7207299
,="Transportation",2949807,2938664,3315183,3371661,3450070
,="Students Tuitioned Out",1689235,1779467,1708872,1576780,1693026
,="Other",942916,774762,741680,538411,596483
,="Total Expenditures",64346880,65934224,66036967,67255797,70093665
="New Beginnings Inc., Family Academy District",="Instructional Staff and Services",2116469,1961954,2333335,3090736,N/A
,"Instructional Supplies and Equipment",125599,165426,183209,245896,N/A
,"Instruction and Educational Media Services",83448,28244,27030,4696,N/A
,"Student Support Services",194791,220207,351191,340402,N/A
,"Administration and Support Services",607535,601397,601042,897239,N/A
,"Plant Operation and Maintenance",456022,472406,504745,507239,N/A
,"Transportation",7788,44830,48748,10000,N/A
,"Students Tuitioned Out",N/A,N/A,N/A,N/A,N/A
,"Other",305894,286388,328314,359268,N/A
,"Total Expenditures",3897546,3780852,4377614,5455476,N/A
"New Britain School District","Instructional Staff and Services",88762506,83849568,88540591,94751321,96095979
,="Instructional Supplies and Equipment",3303445,1594998,1747353,2022283,1694201
,="Instruction and Educational Media Services",2790453,1308778,1307088,1219762,3349700
,="Student Support Services",4206481,4068556,4478230,4295246,2716857
,="Administration and Support Services",11742997,11959821,12302828,11934645,12113539
,="Plant Operation and Maintenance",10560551,9438158,9203945,11767913,10584755
,="Transportation",11259158,11861318,12190713,11776331,12546388
,="Students Tuitioned Out",11909855,11718475,10730286,11982747,13788279
,="Other",191979,236266,0,0,0
,="Total Expenditures",144727425,136035938,140501034,149750248,152889698
="New Canaan School District",="Instructional Staff and Services",40573726,41772531,42447174,42729911,45547782
,="Instructional Supplies and Equipment",798138,841866,812984,1140848,792219
,="Instruction and Educational Media Services",1366382,1746333,2465117,2761772,3367708
,="Student Support Services",7023570,6967716,8353051,8319839,7453072
