School Name,Organization Type,Organization Code,Location 1,Zipcode,Phone,PreKindergarten,Kindergarten,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Student Open Date,Interdistrict Magnet
Roger Ludlowe Middle School,Public Schools,0515311,"689 Unquowa Rd.
Fairfield, CT 06824
(41.149356, -73.261272)",06824,203-255-8345,0,0,0,0,0,0,0,1,1,1,0,0,0,0,01Jul1998 0:00:00.000,0
Southington Public Schools Preschool Program at Hatton School,Public Schools,1312011,"50 Spring Lake Rd
Southington, CT 06489
(41.60147, -72.854711)",06489,860-628-3377,1,0,0,0,0,0,0,0,0,0,0,0,0,0,01Jul2015 0:00:00.000,
Israel Putnam School,Public Schools,0800411,"133 Parker Ave.
Meriden, CT 06450-5925
(41.529471, -72.791864)",06450-5925,203-237-8493,0,1,1,1,1,1,1,0,0,0,0,0,0,0,01Jul1984 0:00:00.000,0
Carbone School/East Haven Academy,Public Schools,0441711,"200 Tyler St.
East Haven, CT 06512
(41.275354, -72.87612)",06512,203-468-3219,0,1,1,1,1,1,1,1,1,1,0,0,0,0,01Jul1997 0:00:00.000,0
Global Experience Magnet School,Public Schools,0116311,"44 Griffin Rd., South
Bloomfield, CT 06002
(41.869999, -72.735206)",06002,860-769-6600,0,0,0,0,0,0,0,1,1,1,1,1,1,1,01Jul2012 0:00:00.000,1
Ledyard School District,Public School Districts,0720011,"4 Blonder Boulevard
Ledyard, CT 06339
(41.438804, -72.004376)",06339,860-464-9255,1,1,1,1,1,1,1,1,1,1,1,1,1,1,01Jul1996 0:00:00.000,0
Sunset Ridge School Elementary Academy for Arts and World Languages,Public Schools,0432411,"450 Forbes St.
East Hartford, CT 06118
(41.76422, -72.600015)",06118,860-622-5800,0,0,0,0,0,0,0,1,1,1,0,0,0,0,01Jul1999 0:00:00.000,0
Bristol School District,Public School Districts,0170011,"129 Church Street, Box 450
Bristol, CT 06011
(41.669395, -72.945377)",06011,860-584-7000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,01Jul1996 0:00:00.000,0
Asian Studies Academy at Bellizzi School,Public Schools,0640711,"215 South Street
Hartford, CT 06114-1918
(41.734533, -72.6809)",06114-1918,860-695-2400,1,1,1,1,1,1,1,1,1,1,0,0,0,0,01Jul1984 0:00:00.000,0
Martin Kellogg Middle School,Public Schools,0945111,"155 Harding Ave.
Newington, CT 06111-1918
(41.709739, -72.732031)",06111-1918,860-666-5418,0,0,0,0,0,0,1,1,1,1,0,0,0,0,01Jul1984 0:00:00.000,0
Booth Hill School,Public Schools,1261011,"544 Booth Hill Rd.
Shelton, CT 06484-3426
(41.284247, -73.183694)",06484-3426,203-929-5625,0,1,1,1,1,1,0,0,0,0,0,0,0,0,01Jul1984 0:00:00.000,0
Bloomfield High School,Public Schools,0116111,"5 Huckleberry Ln.
Bloomfield, CT 06002-3190
(41.826302, -72.725834)",06002-3190,860-286-2630,0,0,0,0,0,0,0,0,0,0,1,1,1,1,01Jul1984 0:00:00.000,0
Science and Technology Magnet School of Southeastern Connecticut,Public Schools,0951311,"490 Jefferson Ave
New London, CT 06320
(41.360073, -72.121061)",06320,860-437-6496,0,0,0,0,0,0,0,1,1,1,1,1,1,1,01Sep2016 0:00:00.000,1
Long Hill School,Public Schools,1260811,"565 Long Hill Ave.
Shelton, CT 06484-4808
(41.283713, -73.098382)",06484-4808,203-929-4077,0,1,1,1,1,1,0,0,0,0,0,0,0,0,01Jul1984 0:00:00.000,0
Brookfield School District,Public School Districts,0180011,"100 Pocono Road
Brookfield, CT 06804
(41.466181, -73.397728)",06804,203-775-7700,1,1,1,1,1,1,1,1,1,1,1,1,1,1,01Jul1996 0:00:00.000,0
HPHS Nursing and Health Sciences Academy,Public Schools,0647511,"55 Forest Street
Hartford, CT 06105
(41.765472, -72.700221)",06105,860-695-1325,0,0,0,0,0,0,0,0,0,0,1,1,1,1,01Jul2009 0:00:00.000,0
Stamford School District,Public School Districts,1350011,"888 Washington Boulevard, Box 9310
Stamford, CT 06901
(41.051623, -73.542343)",06901,203-977-4543,1,1,1,1,1,1,1,1,1,1,1,1,1,1,01Jul1996 0:00:00.000,0
East Hartford School District,Public School Districts,0430011,"1110 Main Street
East Hartford, CT 06108
(41.772886, -72.641536)",06108,860-622-5101,1,1,1,1,1,1,1,1,1,1,1,1,1,1,01Jul1996 0:00:00.000,0
J. Milton Jeffrey Elementary School,Public Schools,0760111,"331 Copse Rd.
Madison, CT 06443-2372
(41.295649, -72.614871)",06443-2372,203-245-6460,0,1,1,1,1,1,0,0,0,0,0,0,0,0,01Jul1984 0:00:00.000,0
Cross School,Public Schools,0153911,"1775 Reservoir Ave.
Bridgeport, CT 06606-1434
(41.224401, -73.194417)",06606-1434,203-275-2100,1,1,1,1,1,1,1,1,1,1,0,0,0,0,01Jul1984 0:00:00.000,0
Pleasant Valley School,Public Schools,0591211,"380 Pleasant Valley Rd. South
Groton, CT 06340-2898
(41.376058, -72.075833)",06340-2898,860-449-5600,0,1,1,1,1,1,1,0,0,0,0,0,0,0,01Jul1984 0:00:00.000,0
Smith School,Public Schools,0891311,"142 Rutherford St.
New Britain, CT 06051-3299
(41.661177, -72.758475)",06051-3299,860-223-1574,1,1,1,1,1,1,1,0,0,0,0,0,0,0,01Jul1984 0:00:00.000,0
Mark T. Sheehan High School,Public Schools,1486211,"142 Hope Hill Road
Wallingford, CT 06492-2254
(41.486366, -72.83265)",06492-2254,203-294-5900,0,0,0,0,0,0,0,0,0,0,1,1,1,1,01Jul1984 0:00:00.000,0
Dr. Charles E. Murphy School,Public Schools,0860711,"500 Chesterfield Rd.
Oakdale, CT 06370-1816
(41.447808, -72.197499)",06370-1816,860-848-9241,0,1,1,1,1,1,1,0,0,0,0,0,0,0,01Jul1984 0:00:00.000,0
Regan School,Public Schools,1512811,"2780 North Main St.
Waterbury, CT 06704-1603
(41.592217, -73.027261)",06704-1603,203-574-8187,0,1,1,1,1,1,1,0,0,0,0,0,0,0,01Jul1984 0:00:00.000,0
Granby Memorial High School,Public Schools,0566111,"315 Salmon Brook St.
Granby, CT 06035-1804
(41.960616, -72.790594)",06035-1804,860-844-3014,0,0,0,0,0,0,0,0,0,0,1,1,1,1,01Jul1984 0:00:00.000,0
Webster Micro Society Magnet School,Public Schools,0642011,"5 Cone Street
Hartford, CT 06105
(41.768894, -72.712253)",06105,860-695-5380,1,1,1,1,1,1,1,1,1,1,0,0,0,0,01Jul1984 0:00:00.000,1
Torrington High School,Public Schools,1436111,"50 Major Besse Dr.
Torrington, CT 06790-3793
(41.81487, -73.111379)",06790-3793,860-489-2294,0,0,0,0,0,0,0,0,0,0,1,1,1,1,01Jul1984 0:00:00.000,0
Sherman School District,Public School Districts,1270011,"2 Route 37 East
Sherman, CT 06784
(41.579093, -73.496179)",06784,860-355-3793,1,1,1,1,1,1,1,1,1,1,0,0,0,0,01Jul1996 0:00:00.000,0
Kathleen H. Ryerson Elementary School,Public Schools,0760311,"982 Durham Rd.
Madison, CT 06443-1843
(41.339702, -72.628657)",06443-1843,203-245-6440,0,1,1,1,1,1,0,0,0,0,0,0,0,0,01Jul1984 0:00:00.000,0
Bielefield School,Public Schools,0830211,"70 Maynard St.
Middletown, CT 06457-4519
(41.542706, -72.632984)",06457-4519,860-347-4124,1,1,1,1,1,1,1,0,0,0,0,0,0,0,01Jul1984 0:00:00.000,0
Southington Public Schools Preschool Program,Public Schools,1312111,"820 Marion Ave
Plantsville, CT 06479
(41.573823, -72.918323)",06479,860-628-3314,1,0,0,0,0,0,0,0,0,0,0,0,0,0,01Jul2015 0:00:00.000,
East Hampton School District,Public School Districts,0420011,"94 Main Street
East Hampton, CT 06424
(41.574002, -72.501957)",06424,860-365-4000,1,1,1,1,1,1,1,1,1,1,1,1,1,1,01Jul1996 0:00:00.000,0
Darien School District,Public School Districts,0350011,"2 Renshaw Road, Box 1167
Darien, CT 06820
(41.065892, -73.484237)",06820,203-656-7400,1,1,1,1,1,1,1,1,1,1,1,1,1,1,01Jul1996 0:00:00.000,0
Rockville High School,Public Schools,1466111,"70 Loveland Hill
Vernon, CT 06066-2304
(41.85719, -72.482536)",06066-2304,860-870-6050,0,0,0,0,0,0,0,0,0,0,1,1,1,1,01Jul1984 0:00:00.000,0
Julian Curtiss School,Public Schools,0570311,"180 East Elm St.
Greenwich, CT 06830-5755
(41.031038, -73.619805)",06830-5755,203-869-1896,0,1,1,1,1,1,1,0,0,0,0,0,0,0,01Jul1984 0:00:00.000,0
Ellsworth Avenue School,Public Schools,0341411,"53 Ellsworth Ave
Danbury, CT 06810
(41.40389, -73.449835)",06810,203-797-4740,0,1,1,1,1,1,1,0,0,0,0,0,0,0,01Jul1984 0:00:00.000,0
Barlow Mountain Elementary School,Public Schools,1180811,"115 Barlow Mountain Rd.
Ridgefield, CT 06877
(41.32379, -73.510401)",06877,203-894-7700,1,1,1,1,1,1,1,0,0,0,0,0,0,0,01Jul2003 0:00:00.000,0
Gildersleeve School,Public Schools,1130411,"575 1/2 Main St.
Portland, CT 06480-1103
(41.591857, -72.623483)",06480-1103,860-342-0411,0,0,0,1,1,1,0,0,0,0,0,0,0,0,01Jul1984 0:00:00.000,0
East Windsor Middle School,Public Schools,0475411,"38 Main St.
Broad Brook, CT 06016-9602
(41.922483, -72.544462)",06016-9602,860-623-4488,0,0,0,0,0,0,1,1,1,1,0,0,0,0,01Jul2000 0:00:00.000,0
Mill Ridge Primary School,Public Schools,0340511,"49A High Ridge Rd.
Danbury, CT 06811-5297
(41.39083, -73.480891)",06811-5297,203-797-4781,0,1,1,1,1,0,0,0,0,0,0,0,0,0,01Jul1984 0:00:00.000,0
Silver Lane School,Public Schools,0431211,"15 Mercer Ave.
East Hartford, CT 06118-1517
(41.7608, -72.634157)",06118-1517,860-622-5500,1,1,1,1,1,1,1,0,0,0,0,0,0,0,01Jul1984 0:00:00.000,0
Charles Barnum School,Public Schools,0591811,"68 Briar Hill Rd.
Groton, CT 06340-2651
(41.384547, -72.068652)",06340-2651,860-449-5640,1,1,1,1,1,1,1,0,0,0,0,0,0,0,01Jul1984 0:00:00.000,0
Journalism and Media Academy Magnet School,Public Schools,0647711,"150 Tower Street
Hartford, CT 06120
(41.797635, -72.670349)",06120,860-695-1818,0,0,0,0,0,0,0,0,0,0,1,1,1,1,01Jul2009 0:00:00.000,1
Bolton School District,Public School Districts,0120011,"72 Brandy Street
Bolton, CT 06043
(41.759994, -72.422677)",06043,860-643-1569,1,1,1,1,1,1,1,1,1,1,1,1,1,1,01Jul1996 0:00:00.000,0
Fletcher W. Judson School,Public Schools,1530311,"124 Hamilton Lane
Watertown, CT 06795-2405
(41.600747, -73.130324)",06795-2405,860-945-4850,0,0,0,0,1,1,1,0,0,0,0,0,0,0,01Jul1984 0:00:00.000,0
West Stafford School,Public Schools,1340411,"153 West Stafford Rd.
Stafford Springs, CT 06076-1017
(41.968928, -72.346309)",06076-1017,860-684-3181,1,1,1,0,0,0,0,0,0,0,0,0,0,0,01Jul1984 0:00:00.000,0
Island Avenue Elementary School,Public Schools,0760211,"20 Island Ave.
Madison, CT 06443-3013
(41.277342, -72.600561)",06443-3013,203-245-6450,0,1,1,1,1,1,0,0,0,0,0,0,0,0,01Jul1984 0:00:00.000,0
Bethany School District,Public School Districts,0080011,"44 Peck Road
Bethany, CT 06524
(41.421884, -72.998851)",06524,203-393-1170,1,1,1,1,1,1,1,1,0,0,0,0,0,0,01Jul1996 0:00:00.000,0
Greene-Hills School,Public Schools,0170511,"718 Pine St.
Bristol, CT 06010-6923
(41.668922, -72.896401)",06010-6923,860-584-7822,1,1,1,1,1,1,1,1,1,1,0,0,0,0,01Jul1998 0:00:00.000,0
Salem School,Public Schools,0880611,"124 Meadow St.
Naugatuck, CT 06770
(41.491655, -73.056421)",06770,203-720-5242,0,1,1,1,1,1,0,0,0,0,0,0,0,0,01Jul1984 0:00:00.000,0
Tolland High School,Public Schools,1426111,"1 Eagle Hill
Tolland, CT 06084-3323
(41.869531, -72.347193)",06084-3323,860-870-6818,0,0,0,0,0,0,0,0,0,0,1,1,1,1,01Jul1984 0:00:00.000,0
Fairfield Ludlowe High School,Public Schools,0516011,"785 Unquowa Rd.
Fairfield, CT 06824
(41.150386, -73.263306)",06824,203-255-7201,0,0,0,0,0,0,0,0,0,0,1,1,1,1,01Jul2005 0:00:00.000,0
Pathways Academy of Technology and Design,Public Schools,0646611,"2 Pent Road
East Hartford, CT 06118
(41.740864, -72.634535)",06118,860-695-9450,0,0,0,0,0,0,0,0,0,0,1,1,1,1,01Jul2003 0:00:00.000,1
Leonard J. Tyl Middle School,Public Schools,0865111,"166 Chesterfield Rd.
Oakdale, CT 06370-1616
(41.456831, -72.171028)",06370-1616,860-848-2822,0,0,0,0,0,0,0,1,1,1,0,0,0,0,01Jul1992 0:00:00.000,0
Canton School District,Public School Districts,0230011,"4 Market Street
Collinsville, CT 06022
(41.810933, -72.922307)",06022,860-693-7704,1,1,1,1,1,1,1,1,1,1,1,1,1,1,01Jul1996 0:00:00.000,0
Capital Community College Magnet Academy,Public Schools,0643911,"950 Main Street
Hartford, CT 06103
(41.76836, -72.673045)",06103,860-965-8000,0,0,0,0,0,0,0,0,0,0,0,0,1,1,26Aug2014 0:00:00.000,1
Wexler/Grant Community School,Public Schools,0933211,"55 Foote St.
New Haven, CT 06511
(41.318017, -72.932583)",06511,475-220-5600,1,1,1,1,1,1,1,1,1,1,0,0,0,0,01Jul1984 0:00:00.000,0
Moosup Elementary School,Public Schools,1090111,"35 Church St.
Moosup, CT 06354-1207
(41.717437, -71.88009)",06354-1207,860-564-6430,1,1,1,1,1,0,0,0,0,0,0,0,0,0,01Jul1984 0:00:00.000,0
Stafford High School,Public Schools,1346111,"145 Orcuttville Rd.
Stafford Springs, CT 06076-3719
(41.97431, -72.309714)",06076-3719,860-684-4233,0,0,0,0,0,0,0,0,0,0,1,1,1,1,01Jul1984 0:00:00.000,0
Whisconier Middle School,Public Schools,0185311,"17 West Whisconier Rd.
Brookfield, CT 06804
(41.441699, -73.377316)",06804,203-775-7710,0,0,0,0,0,0,1,1,1,1,0,0,0,0,01Jul1997 0:00:00.000,0
West Broad Street School,Public Schools,1370411,"131 West Broad St.
Pawcatuck, CT 06379-1827
(41.376114, -71.837465)",06379-1827,860-599-5633,0,0,0,0,1,1,0,0,0,0,0,0,0,0,01Jul1984 0:00:00.000,0
Moses Y. Beach School,Public Schools,1480111,"304 North Main Street
Wallingford, CT 06492-3735
(41.458668, -72.815133)",06492-3735,203-294-3940,1,1,1,1,0,0,0,0,0,0,0,0,0,0,01Jul1984 0:00:00.000,0
Washington Middle School,Public Schools,0805411,"1225 North Broad St.
Meriden, CT 06450-2479
(41.552028, -72.780256)",06450-2479,203-235-6606,0,0,0,0,0,0,0,1,1,1,0,0,0,0,01Jul1984 0:00:00.000,0
Saxe Middle School,Public Schools,0905111,"468 South Ave.
New Canaan, CT 06840-6321
(41.129994, -73.486813)",06840-6321,203-594-4564,0,0,0,0,0,0,1,1,1,1,0,0,0,0,01Jul1984 0:00:00.000,0
Center Road School,Public Schools,1461411,"20 Center Rd.
Vernon, CT 06066-5102
(41.839077, -72.467006)",06066-5102,860-870-6300,1,1,1,1,1,1,1,0,0,0,0,0,0,0,01Jul1984 0:00:00.000,0
Easton School District,Public School Districts,0460011,"654 Morehouse Road
Monroe, CT 06612
(41.250684, -73.295676)",06612,203-261-2513,1,1,1,1,1,1,1,1,1,1,0,0,0,0,01Jul1996 0:00:00.000,0
Oxford Center School,Public Schools,1080111,"462 Oxford Rd.
Oxford, CT 06478
(41.436807, -73.119751)",06478,203-888-6492,0,0,0,0,1,1,1,0,0,0,0,0,0,0,01Jul1984 0:00:00.000,0
Long Lots School,Public Schools,1580711,"13 Hyde Ln.
Westport, CT 06880-3915
(41.143852, -73.315148)",06880-3915,203-341-1910,0,1,1,1,1,1,1,0,0,0,0,0,0,0,01Jul1997 0:00:00.000,0
Cooperative High School,Public Schools,0936411,"177 College Street
New Haven, CT 06511
(41.305732, -72.929832)",06511,475-220-2400,0,0,0,0,0,0,0,0,0,0,1,1,1,1,01Jul1987 0:00:00.000,1
Nathan Hale Arts Magnet School,Public Schools,0950911,"37 Beech Drive
New London, CT 06320-4698
(41.32205, -72.098855)",06320-4698,860-447-6060,0,1,1,1,1,1,1,0,0,0,0,0,0,0,01Jul1984 0:00:00.000,1
Southington School District,Public School Districts,1310011,"200 North Main Street
Southington, CT 06489
(41.606331, -72.878033)",06489,860-628-3202,1,1,1,1,1,1,1,1,1,1,1,1,1,1,01Jul1996 0:00:00.000,0
Fox Run Elementary School,Public Schools,1032011,"228 Fillow Street
Norwalk, CT 06850-2719
(41.115323, -73.453374)",06850-2719,203-899-2860,1,1,1,1,1,1,1,0,0,0,0,0,0,0,01Jul1984 0:00:00.000,0
Center School,Public Schools,0420311,"7 Summit St.
East Hampton, CT 06424-1298
(41.576247, -72.501745)",06424-1298,860-365-4050,0,0,0,0,0,1,1,0,0,0,0,0,0,0,01Jul1984 0:00:00.000,0
Hartford PreKindergarten Magnet School,Public Schools,0641311,"121 Cornwall Street
Hartford, CT 06112
(41.791308, -72.701776)",06112,860-695-5820,1,0,0,0,0,0,0,0,0,0,0,0,0,0,01Jul2013 0:00:00.000,1
Dorothy C. Goodwin School,Public Schools,0780211,"321 Hunting Lodge Rd.
Storrs, CT 06268-1508
(41.819167, -72.283418)",06268-1508,860-429-4630,1,1,1,1,1,1,0,0,0,0,0,0,0,0,01Jul1984 0:00:00.000,0
Head O'Meadow Elementary School,Public Schools,0970411,"94 Boggs Hill Rd.
Newtown, CT 06470-1915
(41.382274, -73.313278)",06470-1915,203-426-7670,0,1,1,1,1,1,0,0,0,0,0,0,0,0,01Jul1984 0:00:00.000,0
Harbor,Public Schools,0950611,"432 Montauk Avenue
New London, CT 06320-4698
(41.334895, -72.101717)",06320-4698,860-447-6040,1,1,1,1,1,1,0,0,0,0,0,0,0,0,25Aug2014 0:00:00.000,
Curiale School,Public Schools,0154211,"300 Laurel Ave.
Bridgeport, CT 06604-1103
(41.175452, -73.204608)",06604-1103,203-576-8437,0,1,1,1,1,1,1,1,1,1,0,0,0,0,01Jul1984 0:00:00.000,0
Groton School District,Public School Districts,0590011,"1300 Flanders Road
Mystic, CT 06355
(41.385919, -72.006083)",06355,860-572-2100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,01Jul1996 0:00:00.000,0
Westside Middle School Academy,Public Schools,0340311,"1 School Ridge Road
Danbury, CT 06811
(41.387806, -73.480446)",06811,203-797-4713,0,0,0,0,0,0,0,1,1,1,0,0,0,0,25Aug2014 0:00:00.000,
Bunker Hill School,Public Schools,1510611,"170 Bunker Hill Ave.
Waterbury, CT 06708-2226
(41.567635, -73.063141)",06708-2226,203-574-8183,1,1,1,1,1,1,1,0,0,0,0,0,0,0,01Jul1984 0:00:00.000,0
Duggan School,Public Schools,1511611,"952 Bank Street
Waterbury, CT 06708
(41.543543, -73.046342)",06708,203-574-8875,1,1,1,1,1,1,1,1,1,1,0,0,0,0,15Aug2011 0:00:00.000,0
HPHS Law and Government Academy,Public Schools,0647411,"55 Forest Street
Hartford, CT 06105
(41.765472, -72.700221)",06105,860-695-1300,0,0,0,0,0,0,0,0,0,0,1,1,1,1,01Jul2009 0:00:00.000,0
Bakerville Consolidated School,Public Schools,0920111,"51 Cedar Ln.
New Hartford, CT 06057-2909
(41.833899, -73.034736)",06057-2909,860-482-0288,0,1,1,1,0,0,0,0,0,0,0,0,0,0,01Jul1984 0:00:00.000,0
Pembroke School,Public Schools,0341511,"34 1/2 Pembroke Rd.
Danbury, CT 06811-2956
(41.43736, -73.473442)",06811-2956,203-797-4751,0,1,1,1,1,1,1,0,0,0,0,0,0,0,01Jul1984 0:00:00.000,0
Bristol Eastern High School,Public Schools,0176211,"632 King St.
Bristol, CT 06010-4477
(41.685197, -72.925016)",06010-4477,860-584-7876,0,0,0,0,0,0,0,0,0,0,1,1,1,1,01Jul1984 0:00:00.000,0
Betsy Ross Arts Magnet School,Public Schools,0935511,"150 Kimberly Ave.
New Haven, CT 06519
(41.288303, -72.934983)",06519,203-946-8974,0,0,0,0,0,0,1,1,1,1,0,0,0,0,01Jul1984 0:00:00.000,1
New Hartford Elementary School,Public Schools,0920211,"40 Wickett St.
New Hartford, CT 06057-3326
(41.87671, -72.96725)",06057-3326,860-379-8546,1,1,1,1,0,0,0,0,0,0,0,0,0,0,01Jul1984 0:00:00.000,0
Frank T. Wheeler School,Public Schools,1100411,"15 Cleverland Memorial Dr.
Plainville, CT 06062-1329
(41.684595, -72.853194)",06062-1329,860-793-3290,1,1,1,1,1,1,1,0,0,0,0,0,0,0,01Jul1984 0:00:00.000,0
Weston School District,Public School Districts,1570011,"24 School Road
Weston, CT 06883
(41.213066, -73.381102)",06883,203-291-1401,1,1,1,1,1,1,1,1,1,1,1,1,1,1,01Jul1996 0:00:00.000,0
Cook Hill School,Public Schools,1481011,"57 Hall Road
Wallingford, CT 06492
(41.457643, -72.858186)",06492,203-284-5400,1,1,1,1,0,0,0,0,0,0,0,0,0,0,01Jul1984 0:00:00.000,0
Bristol Central High School,Public Schools,0176111,"480 Wolcott St.
Bristol, CT 06010-6480
(41.660199, -72.959103)",06010-6480,860-584-7735,0,0,0,0,0,0,0,0,0,0,1,1,1,1,01Jul1984 0:00:00.000,0
Thomas W. Mahan School,Public Schools,1041711,"94 Salem Tpke.
Norwich, CT 06360-6496
(41.511497, -72.112747)",06360-6496,860-823-4205,1,1,1,1,1,1,1,0,0,0,0,0,0,0,01Jul1984 0:00:00.000,0
North End Middle School,Public Schools,1515311,"534 Bucks Hill Rd.
Waterbury, CT 06704-1270
(41.605586, -73.030357)",06704-1270,203-574-8097,0,0,0,0,0,0,0,1,1,1,0,0,0,0,01Jul1984 0:00:00.000,0
Thomas Hooker School,Public Schools,0801011,"70 Overlook Rd.
Meriden, CT 06450-6933
(41.518274, -72.778933)",06450-6933,203-237-8839,0,1,1,1,1,1,1,0,0,0,0,0,0,0,01Jul1984 0:00:00.000,0
Fairfield Woods Middle School,Public Schools,0515211,"1115 Fairfield Woods Rd.
Fairfield, CT 06824
(41.188328, -73.249462)",06824,203-255-8334,0,0,0,0,0,0,0,1,1,1,0,0,0,0,01Jul1984 0:00:00.000,0
Lake Street School,Public Schools,1460111,"201 Lake St.
Vernon, CT 06066-6245
(41.811394, -72.469261)",06066-6245,860-870-6085,1,1,1,1,1,1,1,0,0,0,0,0,0,0,01Jul1984 0:00:00.000,0
Quinnipiac Real World Math STEM School,Public Schools,0933511,"460 Lexington Avenue
New Haven, CT 06513
(41.3093, -72.882574)",06513,203-946-2548,0,1,1,1,1,1,1,0,0,0,0,0,0,0,29Aug2012 0:00:00.000,0
Darcey School,Public Schools,0250211,"1686 Waterbury Rd.
Cheshire, CT 06410-1331
(41.53681, -72.940247)",06410-1331,203-272-3577,1,1,0,0,0,0,0,0,0,0,0,0,0,0,01Jul1984 0:00:00.000,0
Pomfret Community School,Public Schools,1120111,"20 Pomfret St.
Pomfret Center, CT 06259
(41.859579, -71.959184)",06259,860-928-2718,1,1,1,1,1,1,1,1,1,1,0,0,0,0,01Jul1984 0:00:00.000,0
Bolton High School,Public Schools,0126111,"72 Brandy St.
Bolton, CT 06043-7697
(41.759994, -72.422677)",06043-7697,860-643-2768,0,0,0,0,0,0,0,0,0,0,1,1,1,1,01Jul1984 0:00:00.000,0
West School,Public Schools,0900311,"769 Ponus Ridge
New Canaan, CT 06840-3413
(41.13898, -73.527297)",06840-3413,203-594-4410,1,1,1,1,1,1,0,0,0,0,0,0,0,0,01Jul1984 0:00:00.000,0
Franklin School District,Public School Districts,0530011,"206 Pond Road
North Franklin, CT 06254
(41.629796, -72.126585)",06254,860-642-6113,1,1,1,1,1,1,1,1,1,1,0,0,0,0,01Jul1996 0:00:00.000,0
Ponus Ridge Middle School,Public Schools,1035311,"21 Hunters Lane
Norwalk, CT 06850-2499
(41.122695, -73.444001)",06850-2499,203-847-3557,0,0,0,0,0,0,0,1,1,1,0,0,0,0,01Jul1984 0:00:00.000,0
Oswegatchie Elementary School,Public Schools,1520611,"470 Boston Post Rd.
Waterford, CT 06385-1598
(41.360972, -72.177532)",06385-1598,860-442-4331,0,1,1,1,1,1,1,0,0,0,0,0,0,0,01Jul1984 0:00:00.000,0
Moriarty Magnet School,Public Schools,1042011,"20 Lawlor Ln.
Norwich, CT 06360-1750
(41.573706, -72.065748)",06360-1750,860-823-4206,0,1,1,1,1,1,1,0,0,0,0,0,0,0,01Jul1984 0:00:00.000,0
Davis 21st Century Magnet Elementary School,Public Schools,0930911,"35 Davis St.
New Haven, CT 06515
(41.328534, -72.974047)",06515,475-220-7800,1,1,1,1,1,1,1,1,1,1,0,0,0,0,01Jul1984 0:00:00.000,1
Mead School,Public Schools,0020311,"75 Ford St.
Ansonia, CT 06401-2699
(41.336759, -73.052165)",06401-2699,203-736-5090,1,1,1,1,1,1,1,1,0,0,0,0,0,0,01Jul1984 0:00:00.000,0
Noah Wallace School,Public Schools,0520211,"2 School St.
Farmington, CT 06032-2323
(41.721413, -72.829345)",06032-2323,860-677-1659,0,1,1,1,1,1,0,0,0,0,0,0,0,0,01Jul1984 0:00:00.000,0
Highland Park School,Public Schools,0770411,"397 Porter St.
Manchester, CT 06040-5575
(41.77239, -72.495014)",06040-5575,860-647-3430,0,1,1,1,1,1,1,0,0,0,0,0,0,0,30Aug2012 0:00:00.000,0
New Fairfield High School,Public Schools,0916111,"54 Gillotti Rd.
New Fairfield, CT 06812-2525
(41.458613, -73.503245)",06812-2525,203-312-5800,0,0,0,0,0,0,0,0,0,0,1,1,1,1,01Jul1984 0:00:00.000,0
Dr. Thomas S. O'Connell School,Public Schools,0431011,"301 May Rd.
East Hartford, CT 06118-3434
(41.73434, -72.596633)",06118-3434,860-622-5460,0,1,1,1,1,1,1,1,0,0,0,0,0,0,01Jul1984 0:00:00.000,0
New Fairfield School District,Public School Districts,0910011,"3 Brush Hill Road
New Fairfield, CT 06812
(41.46544, -73.486586)",06812,203-312-5755,1,1,1,1,1,1,1,1,1,1,1,1,1,1,01Jul1996 0:00:00.000,0
Claude Chester School,Public Schools,0590311,"1 Harry Day Drive
Groton, CT 06340
(41.347841, -72.026868)",06340,860-449-5636,0,1,1,1,1,1,1,0,0,0,0,0,0,0,01Jul1984 0:00:00.000,0
Sterling Community School,Public Schools,1360311,"251 Sterling Rd.
Sterling, CT 06377
(41.707732, -71.834241)",06377,860-564-2728,1,1,1,1,1,1,1,1,1,1,0,0,0,0,03Sep2007 0:00:00.000,0
Madison Middle School,Public Schools,1445111,"4630 Madison Ave.
Trumbull, CT 06611-1732
(41.254117, -73.246283)",06611-1732,203-452-4499,0,0,0,0,0,0,0,1,1,1,0,0,0,0,01Jul1984 0:00:00.000,0
Straford Academy - Victoria Soto School,Public Schools,1382211,"699 Birdseye Street
Stratford, CT 06615
(41.179789, -73.138903)",06615,203-375-2206,1,1,1,1,0,0,0,0,0,0,0,0,0,0,03Sep2015 0:00:00.000,
Cherry Brook Primary School,Public Schools,0230211,"4 Barbourtown Rd.
Canton, CT 06019-1702
(41.859139, -72.913519)",06019-1702,860-693-7721,1,1,1,1,1,0,0,0,0,0,0,0,0,0,01Jul1984 0:00:00.000,0
James H. Moran Middle School,Public Schools,1485311,"141 Hope Hill Road
Wallingford, CT 06492-2227
(41.485575, -72.833415)",06492-2227,203-741-2900,0,0,0,0,0,0,0,1,1,1,0,0,0,0,01Jul1984 0:00:00.000,0
