"Chronic Absenteeism, Trend"
"All Districts, All Schools, Free/Reduced Price Meal Eligibility"

"",,,,,"% Chronically Absent",,,,
"East Hartford School District","=""0430011""","Robert J. O'Brien School","=""0431811""","Not Eligible For Lunch","*","*","*","*","*"
"East Hartford School District","=""0430011""","Robert J. O'Brien School","=""0431811""","Eligible For Reduced Lunch","*",0.0,"*","*","*"
"East Hartford School District","=""0430011""","Silver Lane School","=""0431211""","Eligible For Free Lunch",2.9,"*",22.4,22.3,"*"
"East Hartford School District","=""0430011""","Silver Lane School","=""0431211""","Not Eligible For Lunch","*","*","*",14.3,"*"
"East Hartford School District","=""0430011""","Silver Lane School","=""0431211""","Eligible For Reduced Lunch","*","*","*","N/A","N/A"
"East Hartford School District","=""0430011""","Stevens Alternate High school","=""0436411""","Eligible For Free Lunch",12.5,48.9,66.7,93.8,87.7
"East Hartford School District","=""0430011""","Stevens Alternate High school","=""0436411""","Not Eligible For Lunch","*","*","*","*","*"
"East Hartford School District","=""0430011""","Stevens Alternate High school","=""0436411""","Eligible For Reduced Lunch","*","*","*","*","*"
"East Hartford School District","=""0430011""","Sunset Ridge School Elementary Academy for Arts and World Languages","=""0432411""","Eligible For Free Lunch","*",9.8,5.2,"*",11.3
"East Hartford School District","=""0430011""","Sunset Ridge School Elementary Academy for Arts and World Languages","=""0432411""","Not Eligible For Lunch","*","*","*","*","*"
"East Hartford School District","=""0430011""","Sunset Ridge School Elementary Academy for Arts and World Languages","=""0432411""","Eligible For Reduced Lunch",0.0,"*","*",0.0,"*"
"East Hartford School District","=""0430011""","Woodland School","=""0439011""","Eligible For Free Lunch",5.7,60.0,58.0,62.6,66.9
"East Hartford School District","=""0430011""","Woodland School","=""0439011""","Not Eligible For Lunch","*","*","*","*","*"
"East Hartford School District","=""0430011""","Woodland School","=""0439011""","Eligible For Reduced Lunch","*","*","*","*","*"
"East Haven School District","=""0440011""","Carbone School/East Haven Academy","=""0441711""","Eligible For Free Lunch","*","*","*","*","*"
"East Haven School District","=""0440011""","Carbone School/East Haven Academy","=""0441711""","Not Eligible For Lunch",6.2,8.7,16.3,14.2,"*"
"East Haven School District","=""0440011""","Carbone School/East Haven Academy","=""0441711""","Eligible For Reduced Lunch","*","*","*","*",0.0
"East Haven School District","=""0440011""","D. C. Moore School","=""0441411""","Eligible For Free Lunch","*","*","*","*","*"
"East Haven School District","=""0440011""","D. C. Moore School","=""0441411""","Not Eligible For Lunch","*","*","*","*","*"
"East Haven School District","=""0440011""","D. C. Moore School","=""0441411""","Eligible For Reduced Lunch","*","*","*","*","*"
"East Haven School District","=""0440011""","Deer Run School","=""0440111""","Eligible For Free Lunch","*",18.3,12.8,"*",17.3
"East Haven School District","=""0440011""","Deer Run School","=""0440111""","Not Eligible For Lunch",9.5,"*","*","*","*"
"East Haven School District","=""0440011""","Deer Run School","=""0440111""","Eligible For Reduced Lunch","*","*","*","*","*"
"East Haven School District","=""0440011""","Dominick H. Ferrara School","=""0441311""","Eligible For Free Lunch","*",12.8,"*","*","*"
"East Haven School District","=""0440011""","Dominick H. Ferrara School","=""0441311""","Not Eligible For Lunch",4.4,"*",6.4,"*",5.9
"East Haven School District","=""0440011""","Dominick H. Ferrara School","=""0441311""","Eligible For Reduced Lunch","*","*","*","*","*"
"East Haven School District","=""0440011""","East Haven High School","=""0446111""","Eligible For Free Lunch",41.3,33.7,33.3,28.7,25.5
"East Haven School District","=""0440011""","East Haven High School","=""0446111""","Not Eligible For Lunch",21.1,21.7,17.4,17.4,15.3
"East Haven School District","=""0440011""","East Haven High School","=""0446111""","Eligible For Reduced Lunch",31.9,29.5,19.2,10.0,19.5
"East Haven School District","=""0440011""","Grove J. Tuttle School","=""0441011""","Eligible For Free Lunch","*","*","*","*","*"
"East Haven School District","=""0440011""","Grove J. Tuttle School","=""0441011""","Not Eligible For Lunch","*","*","*","*","*"
"East Haven School District","=""0440011""","Grove J. Tuttle School","=""0441011""","Eligible For Reduced Lunch","*",0.0,0.0,"*","*"
"East Haven School District","=""0440011""","Joseph Melillo Middle School","=""0445111""","Eligible For Free Lunch",22.0,23.9,0.0,0.0,0.0
"East Haven School District","=""0440011""","Joseph Melillo Middle School","=""0445111""","Not Eligible For Lunch",14.6,12.5,0.0,0.0,0.0
"East Haven School District","=""0440011""","Joseph Melillo Middle School","=""0445111""","Eligible For Reduced Lunch",12.6,10.9,0.0,0.0,0.0
"East Haven School District","=""0440011""","Momauguin School","=""0440711""","Eligible For Free Lunch",19.0,17.3,18.6,8.8,19.2
"East Haven School District","=""0440011""","Momauguin School","=""0440711""","Not Eligible For Lunch","*","*","*","*","*"
"East Haven School District","=""0440011""","Momauguin School","=""0440711""","Eligible For Reduced Lunch","*","*","*","*","*"
"East Haven School District","=""0440011""","Overbrook Elementary School","=""0441811""","Eligible For Free Lunch",15.6,19.0,8.8,11.7,17.2
"East Haven School District","=""0440011""","Overbrook Elementary School","=""0441811""","Not Eligible For Lunch","*",7.1,"*","*","*"
"East Haven School District","=""0440011""","Overbrook Elementary School","=""0441811""","Eligible For Reduced Lunch","*",0.0,"*","*","*"
"East Haven School District","=""0440011""","Pathways","=""0449011""","Eligible For Free Lunch","*",54.5,52.4,"N/A","N/A"
"East Haven School District","=""0440011""","Pathways","=""0449011""","Not Eligible For Lunch",100.0,"*","*","N/A","N/A"
"East Haven School District","=""0440011""","Pathways","=""0449011""","Eligible For Reduced Lunch","*","*","*","N/A","N/A"
"East Lyme School District","=""0450011""","Coastal Connections","=""0450611""","Eligible For Free Lunch","N/A","N/A","N/A","*","*"
"East Lyme School District","=""0450011""","Coastal Connections","=""0450611""","Not Eligible For Lunch","N/A","N/A","N/A","*","*"
"East Lyme School District","=""0450011""","Coastal Connections","=""0450611""","Eligible For Reduced Lunch","N/A","N/A","N/A","*","*"
"East Lyme School District","=""0450011""","East Lyme High School","=""0456111""","Eligible For Free Lunch","*","*","*","*","*"
"East Lyme School District","=""0450011""","East Lyme High School","=""0456111""","Not Eligible For Lunch",7.4,3.7,3.6,3.5,3.2
"East Lyme School District","=""0450011""","East Lyme High School","=""0456111""","Eligible For Reduced Lunch","*","*","*","*","*"
"East Lyme School District","=""0450011""","East Lyme Middle School","=""0455111""","Eligible For Free Lunch","*","*","*",18.4,"*"
"East Lyme School District","=""0450011""","East Lyme Middle School","=""0455111""","Not Eligible For Lunch",3.5,4.4,5.8,4.7,3.4
"East Lyme School District","=""0450011""","East Lyme Middle School","=""0455111""","Eligible For Reduced Lunch","*","*","*",18.2,"*"
"East Lyme School District","=""0450011""","Flanders School","=""0450111""","Eligible For Free Lunch","*","*","*","*","*"
"East Lyme School District","=""0450011""","Flanders School","=""0450111""","Not Eligible For Lunch",2.5,3.2,"*",3.4,2.7
"East Lyme School District","=""0450011""","Flanders School","=""0450111""","Eligible For Reduced Lunch","*","*","*","*","*"
"East Lyme School District","=""0450011""","Lillie B. Haynes School","=""0450411""","Eligible For Free Lunch","*","*","*","*","*"
"East Lyme School District","=""0450011""","Lillie B. Haynes School","=""0450411""","Not Eligible For Lunch",4.2,5.1,4.8,5.9,"*"
"East Lyme School District","=""0450011""","Lillie B. Haynes School","=""0450411""","Eligible For Reduced Lunch","*","*","*","*","*"
"East Lyme School District","=""0450011""","Medically Fragile Program (WAVES)","=""0450711""","Eligible For Free Lunch","N/A","N/A","N/A","*","*"
"East Lyme School District","=""0450011""","Medically Fragile Program (WAVES)","=""0450711""","Not Eligible For Lunch","N/A","N/A","N/A","*","*"
"East Lyme School District","=""0450011""","Niantic Center School","=""0450211""","Eligible For Free Lunch","*","*","*","*","*"
"East Lyme School District","=""0450011""","Niantic Center School","=""0450211""","Not Eligible For Lunch","*","*","*","*","*"
"East Lyme School District","=""0450011""","Niantic Center School","=""0450211""","Eligible For Reduced Lunch","*","*","*","*","*"
"East Lyme School District","=""0450011""","Post High School Transition Program","=""0450511""","Not Eligible For Lunch","N/A","N/A","N/A","*","*"
"East Windsor School District","=""0470011""","Broad Brook Elementary School","=""0470111""","Eligible For Free Lunch",19.4,15.2,19.4,17.6,"*"
"East Windsor School District","=""0470011""","Broad Brook Elementary School","=""0470111""","Not Eligible For Lunch","*","*",6.8,3.1,4.0
"East Windsor School District","=""0470011""","Broad Brook Elementary School","=""0470111""","Eligible For Reduced Lunch","*","*",16.2,0.0,"*"
"East Windsor School District","=""0470011""","East Windsor High School","=""0476111""","Eligible For Free Lunch",26.0,16.8,"*",20.9,26.6
"East Windsor School District","=""0470011""","East Windsor High School","=""0476111""","Not Eligible For Lunch","*","*","*","*","*"
"East Windsor School District","=""0470011""","East Windsor High School","=""0476111""","Eligible For Reduced Lunch","*","*","*","*","*"
"East Windsor School District","=""0470011""","East Windsor Middle School","=""0475411""","Eligible For Free Lunch",15.7,23.7,15.5,"*",20.4
"East Windsor School District","=""0470011""","East Windsor Middle School","=""0475411""","Not Eligible For Lunch","*","*","*","*","*"
"East Windsor School District","=""0470011""","East Windsor Middle School","=""0475411""","Eligible For Reduced Lunch","*","*","*","*","*"
"East Windsor School District","=""0470011""","East Windsor Transition Program","=""0470411""","Eligible For Free Lunch","N/A","N/A","N/A","N/A","*"
"East Windsor School District","=""0470011""","East Windsor Transition Program","=""0470411""","Not Eligible For Lunch","N/A","N/A","N/A","N/A","*"
"East Windsor School District","=""0470011""","East Windsor Transition Program","=""0470411""","Eligible For Reduced Lunch","N/A","N/A","N/A","N/A","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Adolescent Principal Referred Expulsion Program","=""2539214""","Not Eligible For Lunch","N/A","*","N/A","N/A","N/A"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""","Eligible For Free Lunch","*","*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""","Not Eligible For Lunch",23.6,58.2,"*",7.5,"*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Arts at the Capitol Theater Magnet School (ACT)","=""2536014""","Eligible For Reduced Lunch","*","*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","EASTCONN Special Education","=""2539014""","Eligible For Free Lunch","*",51.7,"*","*","N/A"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","EASTCONN Special Education","=""2539014""","Not Eligible For Lunch",28.9,"*",0.0,"*","N/A"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","EASTCONN Special Education","=""2539014""","Eligible For Reduced Lunch","*","*","*","*","N/A"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","EastConn Special Education","=""2539014""","Eligible For Free Lunch","N/A","N/A","N/A","N/A",37.5
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","EastConn Special Education","=""2539014""","Not Eligible For Lunch","N/A","N/A","N/A","N/A","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","EastConn Special Education","=""2539014""","Eligible For Reduced Lunch","N/A","N/A","N/A","N/A","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Quinebaug Middle College","=""2536114""","Eligible For Free Lunch","*","*","*","*","*"
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Quinebaug Middle College","=""2536114""","Not Eligible For Lunch","*",100.0,42.6,48.0,59.1
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""","Quinebaug Middle College","=""2536114""","Eligible For Reduced Lunch","*","*","*","*","*"
"Eastford School District","=""0390011""","Eastford Elementary School","=""0390111""","Eligible For Free Lunch","*","*","*","*",0.0
"Eastford School District","=""0390011""","Eastford Elementary School","=""0390111""","Not Eligible For Lunch","*","*","*","*","*"
"Easton School District","=""0460011""","Helen Keller Middle School","=""0465111""","Eligible For Free Lunch","*","*","*","*","*"
"Easton School District","=""0460011""","Helen Keller Middle School","=""0465111""","Not Eligible For Lunch",3.7,3.2,2.3,2.9,2.4
"Easton School District","=""0460011""","Helen Keller Middle School","=""0465111""","Eligible For Reduced Lunch","*","*","*","*","*"
"Easton School District","=""0460011""","Samuel Staples Elementary School","=""0460111""","Eligible For Free Lunch","*","*","*","*","*"
"Easton School District","=""0460011""","Samuel Staples Elementary School","=""0460111""","Not Eligible For Lunch",4.2,"*","*","*","*"
"Easton School District","=""0460011""","Samuel Staples Elementary School","=""0460111""","Eligible For Reduced Lunch","*","*","*","*","*"
"Education Connection","=""2420014""","Education Connection Special Education","=""2429014""","Eligible For Free Lunch","*","*","*","*","N/A"
"Education Connection","=""2420014""","Education Connection Special Education","=""2429014""","Not Eligible For Lunch","*","*","*","*","N/A"
"Education Connection","=""2420014""","Education Connection Special Education","=""2429014""","Eligible For Reduced Lunch","*","*","*","N/A","N/A"
"Education Connection","=""2420014""","The ACCESS School at The Danuta M. Thibodeau Education Center","=""2429014""","Eligible For Free Lunch","N/A","N/A","N/A","N/A","*"
"Education Connection","=""2420014""","The ACCESS School at The Danuta M. Thibodeau Education Center","=""2429014""","Not Eligible For Lunch","N/A","N/A","N/A","N/A","*"
"Education Connection","=""2420014""","The ACCESS School at The Danuta M. Thibodeau Education Center","=""2429014""","Eligible For Reduced Lunch","N/A","N/A","N/A","N/A","*"
"Ellington School District","=""0480011""","Center School","=""0480111""","Eligible For Free Lunch",18.2,"*","*","*","*"
"Ellington School District","=""0480011""","Center School","=""0480111""","Not Eligible For Lunch",1.7,1.8,"*",3.0,"*"
"Ellington School District","=""0480011""","Center School","=""0480111""","Eligible For Reduced Lunch","*","*","*","*","*"
"Ellington School District","=""0480011""","Crystal Lake School","=""0480211""","Eligible For Free Lunch","*","*","*","*","*"
"Ellington School District","=""0480011""","Crystal Lake School","=""0480211""","Not Eligible For Lunch","*","*",0.0,0.0,"*"
"Ellington School District","=""0480011""","Crystal Lake School","=""0480211""","Eligible For Reduced Lunch","*","*","*","*","*"
"Ellington School District","=""0480011""","Ellington High School","=""0486111""","Eligible For Free Lunch","*","*","*","*","*"
"Ellington School District","=""0480011""","Ellington High School","=""0486111""","Not Eligible For Lunch",3.0,5.5,2.8,2.9,4.1
"Ellington School District","=""0480011""","Ellington High School","=""0486111""","Eligible For Reduced Lunch","*","*","*","*","*"
"Ellington School District","=""0480011""","Ellington Middle School","=""0485111""","Eligible For Free Lunch","*","*","*","*","*"
"Ellington School District","=""0480011""","Ellington Middle School","=""0485111""","Not Eligible For Lunch",6.3,4.9,"*",6.5,3.9
"Ellington School District","=""0480011""","Ellington Middle School","=""0485111""","Eligible For Reduced Lunch","*","*","*","*","*"
"Ellington School District","=""0480011""","Windermere Intermediate School","=""0480711""","Eligible For Free Lunch","*","*","*","*","*"
"Ellington School District","=""0480011""","Windermere Intermediate School","=""0480711""","Not Eligible For Lunch","*","*",2.1,2.8,"*"
"Ellington School District","=""0480011""","Windermere Intermediate School","=""0480711""","Eligible For Reduced Lunch","*","*","*","*","*"
"Ellington School District","=""0480011""","Windermere School","=""0480611""","Eligible For Free Lunch","*","*","*","*","*"
"Ellington School District","=""0480011""","Windermere School","=""0480611""","Not Eligible For Lunch","*",6.7,3.6,4.8,4.3
"Ellington School District","=""0480011""","Windermere School","=""0480611""","Eligible For Reduced Lunch","*","*","*","*","*"
"Ellington School District","=""0480011""","Windermere School Program for Alternative Learning K-4","=""0480311""","Not Eligible For Lunch","N/A","N/A","N/A","N/A","*"
"Elm City College Preparatory School District","=""2890013""","Elm City College Preparatory School","=""2890113""","Eligible For Free Lunch","*",4.9,6.0,5.6,6.1
"Elm City College Preparatory School District","=""2890013""","Elm City College Preparatory School","=""2890113""","Not Eligible For Lunch",0.0,"*","*","*","*"
"Elm City College Preparatory School District","=""2890013""","Elm City College Preparatory School","=""2890113""","Eligible For Reduced Lunch","*","*","*","*","*"
"Elm City Montessori School District","=""2910013""","Elm City Montessori School","=""2910113""","Eligible For Free Lunch","N/A","N/A","N/A","*","*"
"Elm City Montessori School District","=""2910013""","Elm City Montessori School","=""2910113""","Not Eligible For Lunch","N/A","N/A","N/A","*","*"
"Enfield School District","=""0490011""","Edgar H. Parkman - Autism Spectrum Disorder (ASD)","=""0490511""","Eligible For Free Lunch","N/A","N/A","N/A","*","*"
"Enfield School District","=""0490011""","Edgar H. Parkman - Autism Spectrum Disorder (ASD)","=""0490511""","Not Eligible For Lunch","N/A","N/A","N/A","*","*"
"Enfield School District","=""0490011""","Edgar H. Parkman - Autism Spectrum Disorder (ASD)","=""0490511""","Eligible For Reduced Lunch","N/A","N/A","N/A","*","N/A"
"Enfield School District","=""0490011""","Edgar H. Parkman School","=""0491311""","Eligible For Free Lunch",9.8,9.4,13.0,18.6,"*"
"Enfield School District","=""0490011""","Edgar H. Parkman School","=""0491311""","Not Eligible For Lunch",3.1,2.5,4.7,3.4,"*"
"Enfield School District","=""0490011""","Edgar H. Parkman School","=""0491311""","Eligible For Reduced Lunch",0.0,0.0,0.0,0.0,"*"
"Enfield School District","=""0490011""","Eli Whitney - Intermediate Adaptive Learning (IAL)","=""0491411""","Not Eligible For Lunch","N/A","N/A","N/A","N/A","*"
"Enfield School District","=""0490011""","Eli Whitney School","=""0491611""","Eligible For Free Lunch",13.9,13.0,15.0,9.0,14.3
"Enfield School District","=""0490011""","Eli Whitney School","=""0491611""","Not Eligible For Lunch",6.0,3.4,4.3,"*","*"
"Enfield School District","=""0490011""","Eli Whitney School","=""0491611""","Eligible For Reduced Lunch","*","*","*","*",0.0
"Enfield School District","=""0490011""","Enfield High School","=""0496111""","Eligible For Free Lunch",28.9,29.3,24.6,27.1,28.6
"Enfield School District","=""0490011""","Enfield High School","=""0496111""","Not Eligible For Lunch",11.2,10.4,8.2,12.7,11.7
"Enfield School District","=""0490011""","Enfield High School","=""0496111""","Eligible For Reduced Lunch",16.1,16.7,15.1,19.3,17.4
"Enfield School District","=""0490011""","Enfield Street - Autism Spectrum Disorder (ASD)","=""0490311""","Eligible For Free Lunch","N/A","N/A","N/A","*","*"
"Enfield School District","=""0490011""","Enfield Street - Autism Spectrum Disorder (ASD)","=""0490311""","Not Eligible For Lunch","N/A","N/A","N/A","*","*"
"Enfield School District","=""0490011""","Enfield Street School","=""0490211""","Eligible For Free Lunch",16.4,"*","*","*","*"
"Enfield School District","=""0490011""","Enfield Street School","=""0490211""","Not Eligible For Lunch",7.5,5.0,"*","*","*"
"Enfield School District","=""0490011""","Enfield Street School","=""0490211""","Eligible For Reduced Lunch",0.0,"*","*","*","*"
"Enfield School District","=""0490011""","Enfield Transitional Learning Academy","=""0499011""","Eligible For Free Lunch","*","*","*","*","*"
"Enfield School District","=""0490011""","Enfield Transitional Learning Academy","=""0499011""","Not Eligible For Lunch","*","*","*","*","*"
"Enfield School District","=""0490011""","Enfield Transitional Learning Academy","=""0499011""","Eligible For Reduced Lunch","N/A","N/A","N/A","N/A","*"
"Enfield School District","=""0490011""","Enrico Fermi High School","=""0496211""","Eligible For Free Lunch",29.8,27.8,21.1,23.2,"*"
"Enfield School District","=""0490011""","Enrico Fermi High School","=""0496211""","Not Eligible For Lunch",9.3,10.4,8.7,9.6,11.9
"Enfield School District","=""0490011""","Enrico Fermi High School","=""0496211""","Eligible For Reduced Lunch",8.3,15.7,14.3,26.7,"*"
"Enfield School District","=""0490011""","Hazardville Memorial School","=""0490411""","Eligible For Free Lunch","*","*","*","*",15.9
"Enfield School District","=""0490011""","Hazardville Memorial School","=""0490411""","Not Eligible For Lunch","*","*",4.5,"*","*"
"Enfield School District","=""0490011""","Hazardville Memorial School","=""0490411""","Eligible For Reduced Lunch","*","*","*","*","*"
"Enfield School District","=""0490011""","Henry Barnard - Educational Counseling Program (ECP)","=""0490611""","Eligible For Free Lunch","N/A","N/A","N/A","*","*"
"Enfield School District","=""0490011""","Henry Barnard - Educational Counseling Program (ECP)","=""0490611""","Not Eligible For Lunch","N/A","N/A","N/A","*","*"
"Enfield School District","=""0490011""","Henry Barnard - Educational Counseling Program (ECP)","=""0490611""","Eligible For Reduced Lunch","N/A","N/A","N/A","*","N/A"
"Enfield School District","=""0490011""","Henry Barnard School","=""0491811""","Eligible For Free Lunch","*",12.5,"*",14.6,"*"
"Enfield School District","=""0490011""","Henry Barnard School","=""0491811""","Not Eligible For Lunch","*","*","*","*",7.5
"Enfield School District","=""0490011""","Henry Barnard School","=""0491811""","Eligible For Reduced Lunch","*","*","*","*","*"
"Enfield School District","=""0490011""","John F. Kennedy Middle School","=""0495211""","Eligible For Free Lunch",24.6,26.2,29.9,27.6,28.1
"Enfield School District","=""0490011""","John F. Kennedy Middle School","=""0495211""","Not Eligible For Lunch",9.2,10.0,12.1,10.5,8.3
"Enfield School District","=""0490011""","John F. Kennedy Middle School","=""0495211""","Eligible For Reduced Lunch","*","*","*","*","*"
"Enfield School District","=""0490011""","Nathan Hale - Primary Adaptive Learning (PAL)","=""0490811""","Eligible For Free Lunch","N/A","N/A","N/A","*","*"
"Enfield School District","=""0490011""","Nathan Hale - Primary Adaptive Learning (PAL)","=""0490811""","Not Eligible For Lunch","N/A","N/A","N/A","*","*"
"Enfield School District","=""0490011""","Nathan Hale School","=""0491111""","Eligible For Free Lunch","*","*",20.0,13.6,21.6
"Enfield School District","=""0490011""","Nathan Hale School","=""0491111""","Not Eligible For Lunch",5.9,5.6,6.8,5.9,"*"
"Enfield School District","=""0490011""","Nathan Hale School","=""0491111""","Eligible For Reduced Lunch","*","*","*","*","*"
"Enfield School District","=""0490011""","Prudence Crandall - Educational Counseling Program (ECP)","=""0490711""","Eligible For Free Lunch","N/A","N/A","N/A","*","*"
"Enfield School District","=""0490011""","Prudence Crandall - Educational Counseling Program (ECP)","=""0490711""","Not Eligible For Lunch","N/A","N/A","N/A","*","*"
"Enfield School District","=""0490011""","Prudence Crandall - Educational Counseling Program (ECP)","=""0490711""","Eligible For Reduced Lunch","N/A","N/A","N/A","N/A","*"
"Enfield School District","=""0490011""","Prudence Crandall School","=""0491511""","Eligible For Free Lunch","*",12.8,12.4,8.8,12.6
"Enfield School District","=""0490011""","Prudence Crandall School","=""0491511""","Not Eligible For Lunch",6.3,"*","*","*",3.3
"Enfield School District","=""0490011""","Prudence Crandall School","=""0491511""","Eligible For Reduced Lunch","*","*","*","*",0.0
"Essex School District","=""0500011""","Essex Elementary School","=""0500111""","Eligible For Free Lunch","*","*","*","*","*"
"Essex School District","=""0500011""","Essex Elementary School","=""0500111""","Not Eligible For Lunch","*","*","*",2.4,2.1
"Essex School District","=""0500011""","Essex Elementary School","=""0500111""","Eligible For Reduced Lunch","*","*",0.0,"*","*"
"Explorations District","=""2720013""","Explorations","=""2726113""","Eligible For Free Lunch","*",57.1,44.0,"*","*"
"Explorations District","=""2720013""","Explorations","=""2726113""","Not Eligible For Lunch","*",32.7,22.2,27.6,"*"
"Explorations District","=""2720013""","Explorations","=""2726113""","Eligible For Reduced Lunch","N/A","N/A","N/A","*","*"
"Fairfield School District","=""0510011""","Burr Elementary School","=""0510211""","Eligible For Free Lunch","*","*","*","*","*"
"Fairfield School District","=""0510011""","Burr Elementary School","=""0510211""","Not Eligible For Lunch",2.2,"*","*","*","*"
"Fairfield School District","=""0510011""","Burr Elementary School","=""0510211""","Eligible For Reduced Lunch","*","*","*","*","*"
"Fairfield School District","=""0510011""","Dwight Elementary School","=""0510111""","Eligible For Free Lunch","*","*","*","*","*"
"Fairfield School District","=""0510011""","Dwight Elementary School","=""0510111""","Not Eligible For Lunch",2.4,"*",2.7,"*",4.0
"Fairfield School District","=""0510011""","Dwight Elementary School","=""0510111""","Eligible For Reduced Lunch","*","*","*","*","*"
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","=""0516011""","Eligible For Free Lunch",22.5,20.3,"*","*","*"
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","=""0516011""","Not Eligible For Lunch",6.2,5.3,3.1,4.1,4.9
"Fairfield School District","=""0510011""","Fairfield Ludlowe High School","=""0516011""","Eligible For Reduced Lunch",15.0,23.5,"*","*","*"
"Fairfield School District","=""0510011""","Fairfield School/Community Partnership","=""0510511""","Eligible For Free Lunch","N/A","N/A","N/A","N/A","*"
"Fairfield School District","=""0510011""","Fairfield School/Community Partnership","=""0510511""","Not Eligible For Lunch","N/A","N/A","N/A","N/A","*"
"Fairfield School District","=""0510011""","Fairfield Warde High School","=""0516211""","Eligible For Free Lunch","*",12.3,"*","*","*"
"Fairfield School District","=""0510011""","Fairfield Warde High School","=""0516211""","Not Eligible For Lunch",6.2,5.0,2.4,3.4,3.7
"Fairfield School District","=""0510011""","Fairfield Warde High School","=""0516211""","Eligible For Reduced Lunch","*",13.0,"*","*","*"
"Fairfield School District","=""0510011""","Fairfield Woods Middle School","=""0515211""","Eligible For Free Lunch","*","*","*","*","*"
"Fairfield School District","=""0510011""","Fairfield Woods Middle School","=""0515211""","Not Eligible For Lunch","*",4.7,4.4,2.4,2.1
"Fairfield School District","=""0510011""","Fairfield Woods Middle School","=""0515211""","Eligible For Reduced Lunch","*","*","*","*","*"
"Fairfield School District","=""0510011""","Holland Hill School","=""0510411""","Eligible For Free Lunch","*","*","*","*","*"
"Fairfield School District","=""0510011""","Holland Hill School","=""0510411""","Not Eligible For Lunch","*","*",3.1,1.8,2.5
"Fairfield School District","=""0510011""","Holland Hill School","=""0510411""","Eligible For Reduced Lunch","*","*","*","*","*"
"Fairfield School District","=""0510011""","Jennings School","=""0511711""","Eligible For Free Lunch","*","*","*","*","*"
"Fairfield School District","=""0510011""","Jennings School","=""0511711""","Not Eligible For Lunch",2.7,0.0,3.4,3.3,"*"
"Fairfield School District","=""0510011""","Jennings School","=""0511711""","Eligible For Reduced Lunch","*","*","*","*","*"
"Fairfield School District","=""0510011""","McKinley School","=""0510611""","Eligible For Free Lunch","*","*","*",8.3,"*"
"Fairfield School District","=""0510011""","McKinley School","=""0510611""","Not Eligible For Lunch",6.5,"*",4.3,2.9,"*"
"Fairfield School District","=""0510011""","McKinley School","=""0510611""","Eligible For Reduced Lunch","*",0.0,"*",0.0,0.0
"Fairfield School District","=""0510011""","Mill Hill School","=""0510711""","Eligible For Free Lunch","*","*","*","*","*"
"Fairfield School District","=""0510011""","Mill Hill School","=""0510711""","Not Eligible For Lunch","*","*","*",1.8,"*"
"Fairfield School District","=""0510011""","Mill Hill School","=""0510711""","Eligible For Reduced Lunch","*","*","*","*","*"
"Fairfield School District","=""0510011""","North Stratfield School","=""0511611""","Eligible For Free Lunch","*","*","*","*","*"
"Fairfield School District","=""0510011""","North Stratfield School","=""0511611""","Not Eligible For Lunch","*","*",1.6,1.5,2.5
"Fairfield School District","=""0510011""","North Stratfield School","=""0511611""","Eligible For Reduced Lunch","*","*","*","*","*"
"Fairfield School District","=""0510011""","Osborn Hill School","=""0511811""","Eligible For Free Lunch","*","*","*","*","*"
"Fairfield School District","=""0510011""","Osborn Hill School","=""0511811""","Not Eligible For Lunch","*","*","*","*",3.8
"Fairfield School District","=""0510011""","Osborn Hill School","=""0511811""","Eligible For Reduced Lunch","*","*","*","N/A","*"
"Fairfield School District","=""0510011""","Riverfield School","=""0511211""","Eligible For Free Lunch","*","*","*","*","*"
"Fairfield School District","=""0510011""","Riverfield School","=""0511211""","Not Eligible For Lunch","*","*","*","*","*"
"Fairfield School District","=""0510011""","Riverfield School","=""0511211""","Eligible For Reduced Lunch","*","*","*","*","*"
"Fairfield School District","=""0510011""","Roger Ludlowe Middle School","=""0515311""","Eligible For Free Lunch","*","*","*","*","*"
"Fairfield School District","=""0510011""","Roger Ludlowe Middle School","=""0515311""","Not Eligible For Lunch",6.0,4.0,4.9,5.3,"*"
"Fairfield School District","=""0510011""","Roger Ludlowe Middle School","=""0515311""","Eligible For Reduced Lunch","*","*","*","*","*"
